date,open,high,low,close,volume
2019-03-20,52.75,53.5,49.5,49.8,2350800
2019-03-21,49.99,50.0,48.2,48.98,1764700
2019-03-22,48.8,49.95,48.16,48.6,844700
2019-03-25,48.6,49.4,48.0,49.15,440900
2019-03-26,49.0,49.75,48.18,48.85,504700
2019-03-27,49.0,50.78,49.0,50.099998,1788600
2019-03-28,50.9,51.0,49.915,50.85,585400
2019-03-29,49.52,52.48,49.18,51.63,1769000
2019-04-01,52.3,54.39,51.25,53.5,19663400
2019-04-02,55.12,57.39,54.3,56.25,17414200
2019-04-03,57.080002,57.2,55.51,56.88,15066200
2019-04-04,57.2,60.52,57.099998,59.71,13309200
2019-04-05,58.39,58.98,56.27,57.24,17000800
2019-04-08,56.5,58.39,56.27,57.15,10764600
2019-04-09,56.8,57.2,56.080002,56.27,9179900
2019-04-10,55.99,56.41,55.099998,55.71,9081900
2019-04-11,55.7,56.21,54.83,54.89,7346100
2019-04-12,55.93,58.33,55.93,58.3,9281700
2019-04-15,58.57,58.85,57.29,57.78,5727300
2019-04-16,58.71,58.99,57.84,58.5,6681600
2019-04-17,58.95,59.049999,58.2,58.32,6420700
2019-04-18,58.36,58.61,57.55,57.77,5178800
2019-04-22,57.48,58.41,57.26,57.89,4401700
2019-04-23,57.29,57.84,57.0,57.64,5687200
2019-04-24,57.49,57.89,55.865,55.98,5431300
2019-04-25,55.76,55.98,54.82,55.33,6260500
2019-04-26,55.3,55.6,54.95,55.25,4009800
2019-04-29,55.049999,55.685,54.8,55.5,5935200
2019-04-30,55.76,57.205,55.6,56.73,6454100
2019-05-01,56.82,57.48,55.88,56.13,7644400
2019-05-02,55.54,56.49,52.029999,52.7,13932700
2019-05-03,53.2,53.35,51.72,53.3,7401700
2019-05-06,52.15,54.029999,51.7,53.46,6089500
2019-05-07,52.86,53.325,52.65,52.95,7330800
2019-05-08,53.33,53.395,52.31,52.48,5390700
2019-05-09,52.26,53.14,51.55,52.93,4579700
2019-05-10,52.94,53.714,52.49,53.07,4758100
2019-05-13,52.28,52.55,50.76,50.95,4213100
2019-05-14,51.33,53.0,50.84,52.48,4204500
2019-05-15,51.98,53.325,51.67,52.95,2928700
2019-05-16,53.29,53.55,52.73,52.98,3689700
2019-05-17,52.34,52.52,50.66,50.8,4440800
2019-05-20,50.4,50.54,49.92,50.080002,5168400
2019-05-21,50.28,51.19,50.02,50.63,4968400
2019-05-22,50.46,50.61,49.965,50.21,3019100
2019-05-23,49.5,49.86,48.21,48.71,4919200
2019-05-24,49.39,49.575,48.44,49.2,2918900
2019-05-28,49.37,49.43,48.099998,48.56,6613000
2019-05-29,48.2,49.43,48.0099983,48.71,3525900
2019-05-30,48.12,48.59,48.02,48.47,3777600
2019-05-31,47.96,48.0,46.75,46.76,3396900
2019-06-03,46.85,47.96,46.85,47.96,5905200
2019-06-04,48.68,49.93,48.64,49.93,7043000
2019-06-05,50.49,50.57,49.049999,50.34,6413300
2019-06-06,50.28,51.31,50.15,51.060001,6228100
2019-06-07,51.13,51.69,50.87,51.3,5391100
2019-06-10,51.72,52.099998,51.58,51.62,5434400
2019-06-11,52.0,52.17,51.56,52.040001,5144300
2019-06-12,52.060001,52.64,51.68,52.49,3103900
2019-06-13,52.68,52.95,52.040001,52.88,4179800
2019-06-14,52.63,52.69,51.0,51.15,3919300
2019-06-17,50.060001,50.33,49.049999,49.35,5787300
2019-06-18,49.75,50.57,49.4,49.61,5014200
2019-06-19,49.95,50.24,48.33,48.5,5404000
2019-06-20,49.095001,49.59,48.62,48.93,4228300
2019-06-21,48.82,49.27,48.31,48.36,9478500
