date,open,high,low,close,volume
2006-10-18,26.7,27.07,26.55,26.69,506500
2006-10-19,26.56,26.66,26.31,26.49,261600
2006-10-20,26.53,26.56,26.13,26.5,491300
2006-10-23,26.32,26.98,26.17,26.67,324600
2006-10-24,26.51,26.88,26.47,26.76,515700
2006-10-25,26.71,27.44,26.71,27.2,372700
2006-10-26,27.43,27.43,26.83,27.3,213400
2006-10-27,27.13,27.23,26.75,26.88,219700
2006-10-30,26.88,27.35,26.66,27.32,136800
2006-10-31,27.37,27.41,26.94,27.18,273600
2006-11-01,27.22,27.22,26.59,26.82,605500
2006-11-02,26.59,26.71,26.33,26.34,385500
2006-11-03,26.34,26.34,25.8,25.98,383400
2006-11-06,26.19,27.0,26.19,26.93,450400
2006-11-07,26.73,27.15,26.73,26.96,225900
2006-11-08,26.93,27.55,26.73,27.29,327900
2006-11-09,27.34,27.34,26.85,27.030001,259700
2006-11-10,27.01,27.43,26.99,27.43,227300
2006-11-13,27.37,27.56,27.14,27.25,299800
2006-11-14,27.32,27.4,26.9,27.29,359000
2006-11-15,27.4,27.85,27.4,27.53,485800
2006-11-16,27.6,27.78,27.44,27.71,167300
2006-11-17,27.71,27.71,27.35,27.48,250100
2006-11-20,27.48,27.79,27.35,27.6,195000
2006-11-21,27.58,27.69,27.45,27.56,215200
2006-11-22,27.66,27.85,27.51,27.77,96200
2006-11-24,27.52,28.059999,27.48,28.02,179100
2006-11-27,27.85,27.85,27.09,27.09,425500
2006-11-28,26.97,27.51,26.87,27.42,477500
2006-11-29,27.67,28.0,27.48,27.88,482700
2006-11-30,27.85,27.86,27.42,27.46,454400
2006-12-01,27.47,27.47,26.4,26.9,937500
2006-12-04,26.89,27.75,26.89,27.42,347800
2006-12-05,27.3,27.5,27.08,27.33,415700
2006-12-06,27.22,27.23,26.83,26.97,419800
2006-12-07,26.97,27.32,26.87,27.28,234300
2006-12-08,27.2,27.46,27.1,27.25,193400
2006-12-11,27.2,27.47,27.16,27.31,138500
2006-12-12,27.26,27.38,27.1,27.27,268900
2006-12-13,27.43,27.43,27.13,27.3,331200
2006-12-14,27.32,27.72,27.3,27.51,284500
2006-12-15,27.68,27.8,27.6,27.75,502000
2006-12-18,27.71,28.08,27.71,27.9,477600
2006-12-19,27.8,27.91,27.51,27.88,428100
2006-12-20,27.95,28.18,27.88,27.98,334700
2006-12-21,27.98,28.01,27.42,27.66,684700
2006-12-22,27.63,27.83,27.47,27.79,323600
2006-12-26,27.78,28.13,27.78,28.02,213000
2006-12-27,28.15,28.36,28.02,28.36,148600
2006-12-28,28.3,28.5,28.19,28.35,118800
2006-12-29,28.35,28.45,27.99,28.0,191100
2007-01-03,27.8,28.19,27.78,28.040001,533600
2007-01-04,28.040001,28.43,27.7,28.36,336400
2007-01-05,28.25,28.25,27.99,28.0,229900
2007-01-08,27.9,28.15,27.55,28.0,777800
2007-01-09,28.01,28.5,28.01,28.5,468200
2007-01-10,28.5,28.63,28.37,28.62,270400
2007-01-11,28.6,29.059999,28.56,28.94,471400
2007-01-12,28.84,29.030001,28.75,28.9,142400
2007-01-16,28.96,29.1,28.7,28.77,381000
2007-01-17,28.77,28.92,28.57,28.79,541600
2007-01-18,28.79,29.0,28.71,28.78,429500
2007-01-19,28.78,28.78,28.51,28.7,508800
2007-01-22,28.7,28.85,28.58,28.76,387000
2007-01-23,28.7,28.83,28.56,28.64,435100
2007-01-24,28.71,28.94,28.69,28.8,187400
2007-01-25,28.7,28.81,28.43,28.61,407100
2007-01-26,28.61,28.66,28.43,28.61,218300
2007-01-29,28.61,28.61,28.36,28.43,344600
2007-01-30,28.45,28.53,28.38,28.44,311700
2007-01-31,28.4,28.6,28.32,28.57,634400
2007-02-01,28.7,28.74,28.3,28.5,438000
2007-02-02,28.75,28.93,28.42,28.91,474000
2007-02-05,28.91,28.91,28.59,28.68,154100
2007-02-06,28.75,28.78,28.5,28.7,215700
2007-02-07,29.85,32.4,29.85,32.38,4274000
2007-02-08,32.22,32.24,31.8,31.95,892500
2007-02-09,31.94,32.18,31.6,31.75,683500
2007-02-12,31.88,31.92,31.57,31.71,830400
2007-02-13,31.85,31.98,31.73,31.82,696800
2007-02-14,31.82,32.16,31.7,31.76,555500
2007-02-15,31.81,32.2,31.7,31.97,331100
2007-02-16,31.97,32.049999,31.8,32.049999,463400
2007-02-20,32.0,32.32,31.65,32.09,328100
2007-02-21,32.02,32.37,32.0,32.3,246100
2007-02-22,32.25,32.32,31.94,32.3,444600
2007-02-23,31.8,32.13,31.45,31.95,664100
2007-02-26,31.85,31.9,31.55,31.7,559200
