date,open,high,low,close,volume
2006-10-18,38.18,38.64,37.28,37.7,1717000
2006-10-19,37.69,37.7,37.029999,37.15,1166700
2006-10-20,37.29,37.37,36.67,37.22,1093000
2006-10-23,37.040001,37.32,36.87,37.21,1378600
2006-10-24,37.39,38.19,37.2,37.46,1276400
2006-10-25,37.58,38.15,37.21,37.63,863600
2006-10-26,37.63,37.63,36.95,37.56,908500
2006-10-27,37.56,37.56,36.67,36.71,765300
2006-10-30,36.58,37.65,36.5,37.64,1030900
2006-10-31,37.64,37.88,37.22,37.52,1615900
2006-11-01,37.74,38.029999,37.12,37.18,1026200
2006-11-02,37.07,37.34,36.51,37.24,1086700
2006-11-03,37.25,37.25,35.57,35.73,2318400
2006-11-06,36.09,37.55,36.07,36.65,2029900
2006-11-07,36.57,36.84,36.38,36.55,795100
2006-11-08,36.56,37.23,36.13,37.15,1413500
2006-11-09,37.12,37.12,36.2,36.27,1458100
2006-11-10,36.53,36.65,36.27,36.64,987700
2006-11-13,36.47,36.83,36.17,36.65,983100
2006-11-14,36.7,36.74,36.16,36.51,1718300
2006-11-15,36.35,36.8,36.35,36.52,1595600
2006-11-16,36.68,36.78,36.5,36.76,1236600
2006-11-17,36.58,36.66,36.4,36.51,1216500
2006-11-20,36.76,37.14,36.74,36.93,1887400
2006-11-21,36.93,37.12,36.71,36.95,1374200
2006-11-22,36.84,37.16,36.75,37.12,1133300
2006-11-24,36.82,36.93,35.96,36.040001,939900
2006-11-27,36.040001,36.57,35.87,35.99,2513000
2006-11-28,35.79,36.42,35.5,35.99,1744200
2006-11-29,36.049999,36.33,35.64,35.96,1311200
2006-11-30,35.9,36.029999,35.47,35.95,1341400
2006-12-01,35.82,36.24,35.46,35.87,1310600
2006-12-04,35.88,36.87,35.81,36.76,1106700
2006-12-05,36.76,36.78,36.07,36.27,1138700
2006-12-06,36.33,36.39,36.02,36.21,943600
2006-12-07,36.07,36.42,35.68,35.75,1356500
2006-12-08,35.73,36.24,35.45,35.99,1567800
2006-12-11,36.080002,36.64,35.99,36.58,1134200
2006-12-12,36.17,36.17,35.53,35.73,1737500
2006-12-13,35.73,36.9,35.73,36.87,2535100
2006-12-14,37.029999,37.25,36.72,36.94,1448400
2006-12-15,37.029999,37.27,36.049999,36.21,2125500
2006-12-18,36.35,36.69,35.95,36.080002,1375100
2006-12-19,35.86,36.34,35.69,36.34,2047500
2006-12-20,36.43,36.88,35.38,35.82,2949700
2006-12-21,36.040001,36.3,35.75,35.79,1459200
2006-12-22,35.88,36.33,35.78,36.19,935500
2006-12-26,36.2,36.47,36.15,36.36,666500
2006-12-27,36.39,36.61,35.96,36.26,849000
2006-12-28,36.13,36.54,36.12,36.41,666700
2006-12-29,36.34,36.45,35.86,35.97,804600
2007-01-03,35.97,36.42,35.75,36.099998,1546700
2007-01-04,36.080002,36.080002,35.46,35.77,1893300
