date,open,high,low,close,volume
2006-10-18,37.6,38.54468,37.59149,38.4766,1984458
2006-10-19,38.4766,38.55319,38.25532,38.51064,1412350
2006-10-20,38.51064,38.68085,38.33192,38.53617,1896685
2006-10-23,38.53617,38.67234,38.14468,38.55319,1185928
2006-10-24,38.55319,38.7234,38.29787,38.71489,1229755
2006-10-25,38.70638,39.12341,38.66383,38.9617,937885
2006-10-26,38.7234,38.83404,38.41702,38.50213,1048923
2006-10-27,38.46809,38.5617,38.40851,38.44255,656003
2006-10-30,38.55319,38.6383,38.38298,38.51064,524050
2006-10-31,38.55319,38.68085,38.34043,38.66383,939060
2006-11-01,38.92766,39.29362,38.76596,39.11489,1129410
2006-11-02,39.16596,39.2766,38.84255,39.13192,1649818
2006-11-03,39.13192,39.17447,38.85106,38.90213,955158
2006-11-06,39.021278,39.25106,38.88511,39.18298,703943
2006-11-07,39.18298,39.37872,38.82553,39.12341,1598470
2006-11-08,39.13192,39.34468,38.97872,39.21702,1186045
2006-11-09,39.21702,39.21702,38.87659,38.91915,1009560
2006-11-10,38.93617,39.31064,38.80851,39.28511,810045
2006-11-13,39.30213,39.37021,39.072338,39.20851,509833
2006-11-14,39.31064,39.3617,39.0383,39.17447,1062670
2006-11-15,39.13192,39.57447,39.11489,39.49787,1304838
2006-11-16,39.58298,39.96596,39.53191,39.8383,903928
2006-11-17,39.87234,40.21276,39.82979,39.95745,1698110
2006-11-20,39.85532,40.025532,39.80426,39.8383,665873
2006-11-21,39.84681,39.9234,39.70213,39.87234,779143
2006-11-22,39.6851,40.0085106,39.65957,40.0,748358
2006-11-24,39.87234,39.95745,39.77872,39.77872,300448
2006-11-27,39.80426,39.81277,39.55745,39.59149,700418
2006-11-28,39.6,39.80426,39.4383,39.65957,929543
2006-11-29,39.63404,39.97447,39.61702,39.91489,1039405
2006-11-30,39.89787,40.17021,39.78724,40.076595,1264300
2006-12-01,40.076595,40.3149,39.98298,40.26383,1091223
2006-12-04,40.26383,40.76596,40.26383,40.65532,757640
2006-12-05,40.65532,40.70638,40.51064,40.64681,721803
2006-12-06,40.65532,40.67234,40.46809,40.51064,604420
2006-12-07,40.62128,40.64681,40.17021,40.24681,643078
2006-12-08,40.33192,40.57872,40.059574,40.18723,701593
2006-12-11,40.34043,40.74043,40.21276,40.70638,1047748
2006-12-12,40.74043,41.37872,40.73191,41.35319,1493308
2006-12-13,41.48936,41.64255,41.31064,41.48936,1093808
2006-12-14,41.23404,41.63404,41.12341,41.51489,2513795
2006-12-15,41.61702,41.63404,41.24255,41.46383,1148680
2006-12-18,41.42128,41.50638,41.0042534,41.04681,942350
2006-12-19,41.029785,41.41277,40.85106,41.28511,859865
2006-12-20,41.31915,41.48936,41.15745,41.16596,766923
2006-12-21,41.12341,41.32766,41.055321,41.17447,764220
2006-12-22,41.31915,41.31915,41.0383,41.10638,658235
2006-12-26,41.16596,41.57447,41.12341,41.5234,524520
2006-12-27,41.63404,41.90638,41.63404,41.86383,730380
2006-12-28,41.85532,41.88085,41.34468,41.37021,590438
2006-12-29,41.37021,41.44681,41.012768,41.2,731790
2007-01-03,41.30213,42.059574,41.25106,41.87234,1391435
2007-01-04,41.71915,41.95745,41.45532,41.50638,682910
2007-01-05,41.40425,41.44681,40.30638,40.57021,1293205
2007-01-08,40.44255,40.67234,40.20425,40.4,744715
2007-01-09,40.4,40.46809,40.085106,40.21276,1168890
2007-01-10,40.22979,40.28936,39.88936,40.14468,884070
2007-01-11,40.22979,40.30638,39.69362,39.81277,1409883
2007-01-12,39.6851,39.93192,39.063831,39.10638,1613393
2007-01-16,38.97872,39.66808,38.51064,39.39574,1036468
2007-01-17,39.56596,39.56596,39.10638,39.46383,829785
2007-01-18,39.46383,39.5234,39.16596,39.2,812395
2007-01-19,39.23404,39.31915,38.93617,39.19149,796885
2007-01-22,39.10638,39.14894,38.91064,39.063831,745185
2007-01-23,39.063831,39.25106,38.97872,39.063831,1058088
2007-01-24,38.94468,39.75319,38.94468,39.6,1467105
2007-01-25,39.6,39.61702,39.2,39.23404,867385
2007-01-26,39.34468,39.42979,39.055321,39.18298,1207430
2007-01-29,39.22553,39.56596,39.17447,39.31915,1205198
2007-01-30,39.4383,39.5234,39.30213,39.41277,1072658
2007-01-31,39.44681,39.65957,39.14043,39.46383,1129763
2007-02-01,39.50638,39.85532,39.48936,39.74468,1289445
2007-02-02,39.75319,40.11915,39.75319,39.94894,1135873
2007-02-05,39.94894,40.11064,39.73617,40.085106,1216830
2007-02-06,40.085106,40.36596,40.085106,40.18723,1428565
2007-02-07,40.12766,40.29787,40.076595,40.20425,533098
2007-02-08,40.085106,40.35745,40.085106,40.35745,883130
2007-02-09,40.41702,40.58723,40.10213,40.27234,1404243
2007-02-12,40.20425,40.30638,39.77021,39.77872,1306953
2007-02-13,40.25532,40.99575,40.15319,40.85106,4091820
2007-02-14,40.85106,41.35319,40.85106,41.12341,1945683
2007-02-15,41.10638,41.21702,40.81702,40.91915,1018608
2007-02-16,40.7234,41.012768,40.48511,40.84255,1269470
2007-02-20,40.87659,40.92766,40.74043,40.84255,1179935
2007-02-21,40.84255,40.86808,40.4,40.67234,1515750
2007-02-22,40.79149,40.88511,40.57872,40.64681,1385443
2007-02-23,40.68936,40.80851,40.54468,40.6383,665168
2007-02-26,41.19149,41.4383,40.68936,40.75745,1277695
2007-02-27,40.83404,40.85106,39.48085,39.69362,1480500
2007-02-28,39.69362,39.88936,39.17447,39.40425,2464563
2007-03-01,39.41277,39.88936,39.063831,39.79575,1718085
2007-03-02,40.21276,40.38298,39.65957,39.69362,1938868
2007-03-05,39.40425,39.56596,38.99575,38.99575,1140808
2007-03-06,39.04681,39.54042,38.91064,39.50638,1107673
2007-03-07,39.44681,39.80426,39.21702,39.41277,1617858
2007-03-08,39.57447,39.70213,39.2766,39.34468,1018138
2007-03-09,39.44681,39.73617,39.25957,39.55745,841065
2007-03-12,39.42979,39.6766,39.37872,39.57447,1227405
2007-03-13,39.46383,39.88085,39.15745,39.25106,1942510
2007-03-14,39.35319,39.6,38.85106,39.42128,2275270
2007-03-15,38.97021,39.86383,38.86808,39.55745,1891163
2007-03-16,39.65957,39.85532,39.34468,39.41277,1476505
2007-03-19,39.62553,39.89787,39.37872,39.84681,1069250
2007-03-20,39.72766,40.40851,39.58298,40.4,1012145
2007-03-21,40.29787,40.85106,39.91489,40.68085,1632780
2007-03-22,40.59575,40.71489,40.24681,40.39149,1233750
2007-03-23,40.50213,40.68085,40.12766,40.6383,1155730
2007-03-26,40.58723,40.85957,40.34043,40.85957,1566745
2007-03-27,40.75745,40.91064,40.49362,40.70638,1209663
2007-03-28,40.49362,41.31915,40.4766,40.97872,1906203
2007-03-29,41.10638,41.30213,40.77447,41.0042534,1218475
2007-03-30,40.93617,41.063831,40.35745,40.76596,2304175
2007-04-02,40.68085,41.61702,40.68085,41.47234,1657808
2007-04-03,41.48936,41.64255,41.24255,41.39574,1136108
2007-04-04,41.48936,41.57447,41.063831,41.14894,1468868
2007-04-05,41.0383,41.37872,40.99575,41.2,768803
2007-04-09,41.2,41.40425,41.2,41.33617,521465
2007-04-10,41.20851,41.64255,41.17447,41.63404,598780
2007-04-11,41.54893,41.73617,41.37021,41.5234,1046338
2007-04-12,41.46383,41.72766,41.38723,41.70213,1044810
2007-04-13,41.78724,41.80426,41.37872,41.44681,1343378
2007-04-16,41.48085,41.71064,41.29362,41.69362,1102150
2007-04-17,42.18723,42.18723,41.49787,41.90638,806638
2007-04-18,41.69362,41.97447,41.6,41.77872,745420
2007-04-19,42.18723,42.38298,41.4383,41.47234,973723
2007-04-20,41.78724,42.3234,41.50638,42.28936,1611160
2007-04-23,42.17021,42.5617,42.17021,42.40851,905455
2007-04-24,42.33192,42.7234,42.17021,42.65532,1017198
2007-04-25,43.10638,43.86383,43.04681,43.77872,2197603
2007-04-26,43.77021,44.10213,43.77021,43.79575,1805153
2007-04-27,43.65957,43.74468,43.28511,43.38723,1301195
2007-04-30,43.31915,43.48085,43.055321,43.055321,1091340
2007-05-01,43.072338,43.85532,43.072338,43.65107,2220633
2007-05-02,43.49787,43.88085,43.25106,43.70213,1399190
2007-05-03,43.70213,44.20425,43.3617,43.82979,1358535
