date,open,high,low,close,volume
2006-10-18,54.21663,54.44326,54.094601,54.37353,3949693
2006-10-19,54.35609,55.12315,54.21663,55.0011139,3454426
2006-10-20,55.34977,55.61127,54.73962,55.59384,3231802
2006-10-23,55.59384,55.82047,55.053413,55.50667,2931337
2006-10-24,55.38464,55.41951,54.86165,55.03598,2600126
2006-10-25,55.21031,55.9948,55.17545,55.7856,2641485
2006-10-26,55.64614,55.8379,55.26261,55.38464,1605690
2006-10-27,55.28004,55.69844,55.03598,55.40207,1922561
2006-10-30,55.69844,55.7333,55.14058,55.43694,1852578
2006-10-31,55.34977,55.59384,54.91395,55.15801,2813801
2006-11-01,55.19288,55.7333,54.98368,55.43694,2444903
2006-11-02,55.43694,55.50667,54.70475,54.89652,2634085
2006-11-03,54.89652,55.08828,53.36241,54.1992,3615729
2006-11-06,53.60648,53.99,53.22295,53.51931,3275455
2006-11-07,53.34498,53.85054,53.083485,53.44958,2851259
2006-11-08,53.44958,54.44326,53.20552,54.16433,2479149
2006-11-09,53.99,54.39096,53.7808,54.23406,2956462
2006-11-10,54.39096,54.98368,54.28636,54.96625,2609763
2006-11-13,55.0011139,55.38464,54.91395,55.29748,2464636
2006-11-14,55.41951,55.6287,55.053413,55.45437,2188378
2006-11-15,54.82679,55.018547,54.60015,54.75705,2771869
2006-11-16,54.79192,55.40207,54.79192,54.91395,1796421
2006-11-17,54.70475,55.28004,54.70475,55.26261,2050594
2006-11-20,55.17545,55.29748,54.87909,55.0011139,1400677
2006-11-21,55.0011139,55.26261,54.40839,54.54786,2647852
2006-11-22,54.47813,54.82679,54.47813,54.65245,1495899
2006-11-24,54.12946,54.91395,54.077168,54.61759,675443
2006-11-27,54.39096,54.60015,53.37984,53.60648,2657202
2006-11-28,53.43214,54.65245,53.34498,54.42583,1997075
2006-11-29,54.42583,55.29748,54.16433,55.10571,2236104
2006-11-30,55.10571,55.40207,54.82679,55.29748,1713819
2006-12-01,55.34977,55.61127,54.80935,55.24518,1719784
2006-12-04,56.72698,57.4766,56.37832,57.040775,4282510
2006-12-05,57.093075,57.16281,56.50035,56.98848,2427178
2006-12-06,56.98848,57.005909,56.48292,56.63982,1834968
2006-12-07,56.63982,57.14537,56.43062,56.50035,2619744
2006-12-08,56.57008,57.023342,56.46549,57.005909,1757816
2006-12-11,57.49403,57.79039,57.18024,57.75553,2803591
2006-12-12,57.96473,58.27852,57.5812,57.94729,3025354
2006-12-13,58.051891,59.18504,57.59863,59.010704,3312511
2006-12-14,59.3245,60.14385,58.43542,58.64461,3699306
2006-12-15,58.64461,58.9584,58.20879,58.41798,3959846
2006-12-18,58.97584,59.09787,57.77296,57.82526,2577239
2006-12-19,57.80783,58.086758,57.61607,57.89499,2683589
2006-12-20,57.87756,57.99959,57.16281,57.26741,2454999
2006-12-21,57.5289,57.79039,57.28484,57.70323,1699306
2006-12-22,57.6335,58.017025,57.4766,57.56377,1160041
2006-12-26,57.77296,57.91243,57.4243,57.86013,803763
2006-12-27,57.96473,58.15649,57.80783,57.82526,1378822
2006-12-28,57.86013,58.069324,57.44173,57.56377,1736534
2006-12-29,57.54633,58.22622,57.51147,57.89499,2045775
2007-01-03,60.0,60.0,56.7,57.42,4830600
2007-01-04,57.060001,57.75,57.029999,57.54,3946433
2007-01-05,57.54,57.66,56.13,56.22,2948467
2007-01-08,56.76,56.82,56.07,56.31,2282100
2007-01-09,56.46,56.64,55.8,56.040001,2964600
2007-01-10,56.0099983,56.37,55.2,55.8,2338800
2007-01-11,56.099998,56.28,55.65,55.95,3197000
2007-01-12,56.099998,56.16,55.47,55.68,2892600
2007-01-16,55.74,55.98,55.65,55.86,3327800
2007-01-17,56.040001,56.040001,55.62,55.77,3510567
2007-01-18,55.65,56.19,55.65,56.040001,2886600
2007-01-19,56.37,56.55,56.13,56.22,3154200
2007-01-22,56.22,56.4,55.86,55.92,2654333
2007-01-23,55.92,56.099998,55.68,56.0099983,2844833
2007-01-24,56.040001,56.46,55.86,56.25,3288800
2007-01-25,56.34,57.0,56.25,56.76,3825700
2007-01-26,56.85,57.36,56.85,57.24,4573567
2007-01-29,57.36,57.72,57.21,57.57,3388967
2007-01-30,57.72,58.59,57.63,58.41,3287200
2007-01-31,58.41,59.22,58.35,59.07,3468400
2007-02-01,59.25,60.24,59.099998,59.55,4729400
2007-02-02,59.34,60.0,59.07,59.97,2985367
2007-02-05,60.0,61.29,59.91,60.87,3567900
2007-02-06,60.54,61.2,60.18,60.18,4116967
2007-02-07,60.18,60.21,59.34,59.97,2869200
2007-02-08,60.0,60.57,59.91,60.48,1993933
2007-02-09,60.57,60.87,60.0,60.48,1550500
2007-02-12,60.72,60.87,60.39,60.6,1719467
2007-02-13,60.69,61.2,60.6,61.17,2011700
2007-02-14,60.72,60.84,60.09,60.18,3825067
2007-02-15,60.66,60.66,59.85,60.0,1474500
2007-02-16,59.97,60.12,59.73,59.88,2054733
2007-02-20,59.88,60.0,59.46,59.85,3604167
2007-02-21,59.52,59.91,59.4,59.85,2077733
2007-02-22,59.79,59.94,59.31,59.46,1914633
