date,open,high,low,close,volume
2006-10-18,44.66,45.02,44.49,44.89,703700
2006-10-19,44.99,45.16,44.72,44.9,483500
2006-10-20,44.99,45.48,44.71,44.98,739500
2006-10-23,44.8,45.0099983,44.5,44.85,827900
2006-10-24,44.85,45.0099983,44.61,44.86,618000
2006-10-25,44.93,45.049999,44.7,44.92,688000
2006-10-26,45.049999,45.15,44.79,45.040001,728800
2006-10-27,45.080002,45.42,45.080002,45.29,627600
2006-10-30,45.099998,45.61,44.98,45.55,607200
2006-10-31,45.6,45.65,44.94,45.35,865300
2006-11-01,45.35,45.69,45.34,45.44,474300
2006-11-02,45.43,45.53,45.09,45.42,767700
2006-11-03,45.45,45.71,45.11,45.24,440600
2006-11-06,45.27,46.15,45.2,45.87,538900
2006-11-07,45.87,46.11,45.67,45.77,615900
2006-11-08,45.48,46.24,45.47,45.97,454900
2006-11-09,46.15,46.15,45.53,45.58,468100
2006-11-10,45.57,45.69,45.060001,45.3,566900
2006-11-13,45.099998,45.85,44.98,45.73,525400
2006-11-14,45.94,45.99,45.45,45.75,507900
2006-11-15,45.79,45.84,45.61,45.7,609200
2006-11-16,45.71,45.95,45.53,45.87,514900
2006-11-17,45.72,45.85,45.38,45.79,491700
2006-11-20,45.7,46.0,45.6,45.86,309500
2006-11-21,45.72,46.4,45.7,46.19,613700
2006-11-22,46.0,46.24,45.91,46.029999,248600
2006-11-24,46.0,46.2,45.95,46.0,162700
2006-11-27,46.0,46.0099983,45.36,45.46,513000
2006-11-28,45.35,45.47,44.96,45.11,577700
2006-11-29,44.95,45.17,44.029999,44.52,1366500
2006-11-30,44.5,44.69,44.27,44.35,1034200
2006-12-01,44.45,44.71,43.81,44.21,944100
2006-12-04,44.31,45.4,44.27,44.95,764700
2006-12-05,45.049999,45.67,45.049999,45.25,870600
2006-12-06,45.3,45.48,45.0,45.31,541800
2006-12-07,45.25,45.44,44.98,45.23,389400
2006-12-08,45.31,45.57,45.14,45.52,419300
2006-12-11,45.5,45.78,45.4,45.48,369600
2006-12-12,45.22,45.43,44.98,45.17,675500
2006-12-13,45.25,45.44,44.9,44.98,720700
2006-12-14,44.98,45.38,44.95,45.14,662300
2006-12-15,45.02,45.02,44.53,44.77,2054500
2006-12-18,44.77,44.91,44.42,44.84,907300
2006-12-19,44.85,45.4,44.76,45.39,860200
2006-12-20,45.38,45.67,45.2,45.44,438300
2006-12-21,45.44,45.56,45.060001,45.38,620000
2006-12-22,45.45,45.45,44.91,44.94,432300
2006-12-26,44.92,45.32,44.87,45.14,351600
2006-12-27,45.33,45.52,45.11,45.29,346500
2006-12-28,45.33,45.73,45.26,45.3,293600
2006-12-29,45.31,45.49,45.080002,45.2,336800
2007-01-03,45.2,45.37,44.28,44.5,1095500
2007-01-04,44.4,44.47,43.74,43.95,1177800
2007-01-05,43.95,44.22,43.76,43.96,1335600
2007-01-08,43.84,43.99,43.54,43.82,985800
2007-01-09,43.95,44.060001,43.71,43.83,908200
2007-01-10,43.75,43.94,43.6,43.8,656200
2007-01-11,43.8,44.48,43.8,44.31,608900
2007-01-12,44.42,45.0,44.32,44.66,582300
2007-01-16,44.5,44.99,44.5,44.88,537700
2007-01-17,44.88,44.88,44.59,44.69,571900
2007-01-18,44.71,44.81,44.3,44.38,348500
2007-01-19,44.3,44.44,44.049999,44.12,682600
2007-01-22,44.049999,44.32,43.97,44.11,481100
2007-01-23,44.0,44.26,43.91,44.24,689000
2007-01-24,44.24,44.53,44.16,44.41,623600
2007-01-25,44.33,44.35,43.65,43.85,1189200
2007-01-26,43.97,43.98,42.96,43.16,1385700
2007-01-29,43.060001,43.63,43.049999,43.47,1309000
2007-01-30,43.37,43.44,42.77,43.14,1091000
2007-01-31,43.099998,44.02,43.099998,43.9,841300
2007-02-01,43.87,44.31,43.75,44.17,853500
2007-02-02,44.17,44.56,44.12,44.27,863100
2007-02-05,44.12,44.2,43.54,43.73,668100
2007-02-06,43.73,44.48,43.73,44.25,722100
2007-02-07,44.24,44.39,44.029999,44.24,349700
2007-02-08,44.11,44.2,43.82,44.0,507000
2007-02-09,44.0,44.46,43.92,43.93,546900
2007-02-12,44.060001,44.5,43.9,44.099998,894200
2007-02-13,44.15,44.59,43.75,43.9,1043800
2007-02-14,43.94,44.38,43.93,44.07,993700
2007-02-15,44.07,44.44,44.0,44.35,611000
2007-02-16,44.18,44.57,44.15,44.52,927700
2007-02-20,44.6,44.75,44.3,44.6,649500
2007-02-21,44.47,44.83,44.47,44.7,582800
2007-02-22,44.77,44.91,44.0,44.12,537400
2007-02-23,44.049999,44.15,43.77,43.85,735300
2007-02-26,43.88,44.33,43.32,43.43,934800
2007-02-27,42.92,43.14,41.89,42.18,1327800
2007-02-28,42.32,42.77,41.62,42.3,955900
2007-03-01,41.8,42.11,37.0099983,41.75,1935100
2007-03-02,41.79,41.9,41.26,41.39,1299500
2007-03-05,41.25,41.48,40.82,40.83,1198500
2007-03-06,41.07,42.25,41.0,42.060001,1452300
2007-03-07,41.9,42.39,41.85,42.16,973600
2007-03-08,42.38,42.84,42.3,42.57,967600
2007-03-09,42.74,43.18,42.73,43.0099983,731700
2007-03-12,43.0099983,43.26,42.54,43.060001,747600
2007-03-13,42.75,43.0099983,41.75,41.81,1039500
2007-03-14,42.38,42.82,41.97,42.61,1572100
2007-03-15,42.64,43.47,42.64,42.87,1172600
2007-03-16,42.75,42.8,41.86,42.16,1829900
2007-03-19,42.54,43.040001,42.44,43.0,1064000
2007-03-20,42.9,43.07,42.64,42.74,879800
2007-03-21,42.74,43.13,42.43,43.080002,1032900
2007-03-22,43.97,43.97,42.77,42.98,817700
2007-03-23,43.13,43.13,42.67,42.99,959200
2007-03-26,43.099998,43.34,42.44,43.3,648300
2007-03-27,43.11,43.23,42.72,43.0,718400
2007-03-28,42.84,42.84,42.31,42.52,819100
2007-03-29,42.59,42.96,42.47,42.72,1205000
2007-03-30,42.8,43.21,42.59,43.0,1113000
2007-04-02,42.96,43.3,42.79,43.18,903700
2007-04-03,43.35,43.99,43.31,43.73,692900
2007-04-04,43.66,44.080002,43.57,43.57,695000
2007-04-05,43.58,43.83,43.58,43.73,521200
2007-04-09,43.72,43.9,43.61,43.81,459900
2007-04-10,43.85,43.91,43.63,43.68,662600
2007-04-11,43.74,43.85,43.55,43.62,870800
2007-04-12,43.63,44.09,43.6,44.049999,605000
2007-04-13,44.0,44.080002,43.68,43.78,507500
2007-04-16,43.89,44.41,43.89,44.41,634800
2007-04-17,44.38,44.59,44.12,44.19,535600
2007-04-18,44.19,44.23,43.84,43.95,678500
2007-04-19,44.79,44.79,43.57,43.99,587700
2007-04-20,44.41,44.71,44.14,44.64,867400
2007-04-23,44.6,44.77,44.37,44.49,454400
2007-04-24,44.42,44.73,43.8,44.0,884800
2007-04-25,44.32,44.65,44.02,44.17,995400
2007-04-26,44.2,44.33,43.83,44.099998,947400
2007-04-27,44.11,44.12,43.58,43.97,561500
2007-04-30,43.97,43.99,42.99,42.99,975100
2007-05-01,43.0,43.049999,42.029999,42.26,2141100
2007-05-02,42.26,42.95,42.26,42.7,2098100
2007-05-03,42.83,43.24,42.83,43.2,1250900
2007-05-04,43.35,43.35,42.46,42.76,1280800
2007-05-07,42.81,43.38,42.76,42.92,756700
2007-05-08,42.65,42.82,41.87,42.080002,1348500
2007-05-09,42.0,42.37,41.78,42.060001,1430700
2007-05-10,42.060001,42.2,41.64,41.78,1224500
2007-05-11,42.029999,42.43,41.88,42.31,1066700
2007-05-14,42.47,42.8,42.24,42.72,1224700
2007-05-15,43.14,44.61,42.72,44.049999,2261800
2007-05-16,44.060001,44.32,43.93,44.21,1133000
2007-05-17,44.049999,44.29,43.89,43.91,744900
2007-05-18,44.0,44.25,43.84,43.96,1053500
2007-05-21,43.9,44.16,43.69,43.75,784300
2007-05-22,43.72,43.99,43.52,43.8,1144200
2007-05-23,43.82,44.2,43.65,43.71,944900
2007-05-24,43.7,43.9,42.93,42.96,789200
2007-05-25,43.18,43.71,43.15,43.38,608200
2007-05-29,43.59,43.77,43.02,43.13,730300
2007-05-30,43.099998,43.25,42.82,43.19,993800
2007-05-31,43.29,43.69,43.14,43.15,834600
