date,open,high,low,close,volume
2006-10-18,46.91,47.73,46.91,47.54,1085900
2006-10-19,47.2,47.61,47.2,47.47,847600
2006-10-20,47.69,47.89,47.55,47.89,1162800
2006-10-23,47.69,48.09,47.5,47.94,957600
2006-10-24,47.63,47.91,47.5,47.9,1425300
2006-10-25,47.71,48.39,47.71,48.22,1301000
2006-10-26,48.7,48.7,48.13,48.35,986300
2006-10-27,48.38,48.4,48.17,48.23,809600
2006-10-30,48.36,48.61,48.23,48.42,824800
2006-10-31,48.52,48.56,48.25,48.35,732700
2006-11-01,48.47,48.88,48.41,48.66,1296600
2006-11-02,48.51,48.79,48.19,48.78,1251600
2006-11-03,48.48,48.72,47.48,48.02,1833900
2006-11-06,48.0,48.11,47.78,47.93,1849200
2006-11-07,47.88,48.09,47.65,47.69,1145500
2006-11-08,47.7,48.16,47.68,48.080002,1893900
2006-11-09,48.080002,48.18,47.89,48.029999,773800
2006-11-10,48.15,48.37,48.0099983,48.3,899800
2006-11-13,47.87,48.080002,47.57,47.58,1215400
2006-11-14,47.48,48.099998,47.48,47.98,1445600
2006-11-15,47.83,48.049999,47.67,47.72,931300
2006-11-16,47.9,48.2,47.87,47.91,1057400
2006-11-17,47.81,48.11,47.74,47.99,1213100
2006-11-20,48.27,48.27,47.73,47.86,628600
2006-11-21,47.87,47.98,47.7,47.82,701300
2006-11-22,47.77,48.0,47.74,47.79,799200
2006-11-24,47.65,47.98,47.65,47.85,239000
2006-11-27,47.91,47.95,47.33,47.52,857700
2006-11-28,47.45,48.029999,47.41,47.88,1827300
2006-11-29,47.94,48.26,47.9,48.18,2011500
2006-11-30,48.099998,48.27,47.95,48.22,903700
2006-12-01,48.29,48.45,47.9,48.22,882400
2006-12-04,48.28,48.47,48.18,48.4,720000
2006-12-05,48.35,48.47,48.23,48.4,699900
2006-12-06,48.31,48.42,48.060001,48.22,684600
2006-12-07,48.22,48.42,47.95,48.040001,1272000
2006-12-08,48.11,48.23,47.75,47.83,850500
2006-12-11,47.79,48.07,47.79,47.99,858700
2006-12-12,48.099998,48.78,48.040001,48.66,1947700
2006-12-13,48.7,48.86,48.35,48.61,1345800
2006-12-14,48.62,49.13,48.59,49.13,1181900
2006-12-15,49.24,49.28,48.6,48.67,2187000
2006-12-18,48.9,48.95,48.02,48.22,1522700
2006-12-19,48.28,48.44,48.0,48.38,1363600
2006-12-20,48.31,48.35,47.9,47.91,897000
2006-12-21,47.98,47.99,47.55,47.8,885800
2006-12-22,47.8,48.09,47.63,47.76,621900
2006-12-26,47.77,48.0099983,47.59,47.92,553900
2006-12-27,48.0,48.24,47.97,48.19,524900
2006-12-28,48.12,48.3,48.049999,48.14,888800
2006-12-29,48.12,48.3,47.9,48.07,980900
2007-01-03,48.12,48.7,48.12,48.39,1444700
2007-01-04,48.28,48.57,48.049999,48.31,1500300
2007-01-05,48.29,48.31,47.32,47.63,1167200
2007-01-08,47.66,47.76,47.33,47.56,1278800
2007-01-09,47.7,47.87,47.34,47.7,1927200
