date,open,high,low,close,volume
2006-10-18,36.55,37.0,36.42,36.93,987200
2006-10-19,37.0,37.68,36.8,36.92,673400
2006-10-20,36.9,36.9,36.25,36.6,718200
2006-10-23,36.61,37.23,36.5,36.99,1024000
2006-10-24,36.74,36.98,36.68,36.87,636900
2006-10-25,36.92,37.11,36.54,36.68,475700
2006-10-26,36.72,37.29,36.67,37.24,430200
2006-10-27,37.029999,37.64,36.91,37.4,864900
2006-10-30,37.35,38.07,37.3,37.9,788100
2006-10-31,38.17,38.45,37.99,38.029999,996800
2006-11-01,38.13,38.21,37.4,37.54,888700
2006-11-02,37.43,37.7,37.4,37.55,654300
2006-11-03,37.64,37.79,37.25,37.44,689400
2006-11-06,37.55,38.16,37.54,38.049999,490900
2006-11-07,38.029999,38.5,38.029999,38.11,541700
2006-11-08,37.82,38.46,37.78,38.18,512000
2006-11-09,38.38,38.38,38.040001,38.080002,462800
2006-11-10,37.95,38.28,37.95,38.22,189400
2006-11-13,38.080002,38.33,38.02,38.11,198300
2006-11-14,38.07,38.34,37.82,38.31,346400
2006-11-15,38.22,38.47,38.21,38.39,501700
2006-11-16,38.48,38.89,38.36,38.8,424400
2006-11-17,38.61,38.77,38.33,38.48,317500
2006-11-20,38.58,38.58,37.78,37.81,545800
2006-11-21,37.75,38.4,37.73,38.07,368900
2006-11-22,38.07,38.28,37.93,38.099998,183500
2006-11-24,37.88,38.38,37.85,38.18,269800
2006-11-27,38.02,38.24,37.7,38.15,833200
2006-11-28,37.94,38.17,37.59,38.16,825700
2006-11-29,38.13,38.18,37.74,37.98,358300
2006-11-30,37.96,38.16,37.69,37.99,646700
2006-12-01,37.82,38.029999,37.73,37.96,584400
2006-12-04,37.97,38.51,37.87,38.32,461300
2006-12-05,38.22,38.58,38.12,38.42,410500
2006-12-06,38.38,38.93,38.22,38.85,528600
2006-12-07,38.84,38.96,38.55,38.7,513500
2006-12-08,38.65,39.040001,38.55,38.96,507300
2006-12-11,39.0,39.85,38.94,39.81,1469200
2006-12-12,39.8,41.49,39.74,41.31,1981500
2006-12-13,41.15,41.45,40.72,41.21,1876800
2006-12-14,41.2,41.64,41.09,41.38,840600
2006-12-15,41.47,41.57,41.080002,41.18,1167800
2006-12-18,41.15,41.5,41.040001,41.14,599000
2006-12-19,41.07,41.25,40.88,41.12,607400
2006-12-20,41.0,41.44,41.0,41.31,567500
2006-12-21,41.4,41.4,40.99,41.14,503500
2006-12-22,41.02,41.16,40.67,40.78,519100
2006-12-26,40.82,41.040001,40.65,40.94,229100
2006-12-27,41.099998,41.12,40.81,41.0099983,348800
2006-12-28,40.93,40.99,40.76,40.88,189200
2006-12-29,40.77,41.21,40.6,40.6,453100
2007-01-03,40.5,40.53,39.86,40.0099983,1097900
2007-01-04,40.080002,40.5,39.68,40.36,491200
2007-01-05,40.29,40.29,39.62,39.74,716700
2007-01-08,39.8,39.95,39.37,39.88,529900
2007-01-09,39.97,40.13,39.6,39.73,453500
2007-01-10,39.69,39.91,39.44,39.82,527900
2007-01-11,39.74,39.93,39.53,39.85,576100
2007-01-12,39.98,40.060001,39.64,40.049999,722700
2007-01-16,40.09,40.4,40.0099983,40.25,491000
2007-01-17,40.36,40.75,40.25,40.63,499400
2007-01-18,41.35,41.35,40.32,40.37,501900
2007-01-19,40.46,40.56,40.2,40.56,647400
2007-01-22,40.5,40.76,40.32,40.68,525000
2007-01-23,40.65,40.8,40.48,40.62,436600
2007-01-24,40.68,40.84,40.54,40.78,494000
2007-01-25,40.87,40.89,40.39,40.47,466300
2007-01-26,40.47,40.5,39.86,40.049999,573100
2007-01-29,40.0,40.78,39.89,40.48,576900
2007-01-30,40.58,40.65,40.27,40.54,356800
2007-01-31,40.5,41.64,40.2,41.53,764300
2007-02-01,41.58,41.95,40.38,40.45,935900
2007-02-02,40.45,41.17,40.45,41.049999,732800
2007-02-05,41.0,41.099998,40.6,40.75,416400
2007-02-06,40.76,40.96,40.56,40.91,359500
2007-02-07,40.92,41.28,40.92,41.22,410300
2007-02-08,41.22,41.72,41.21,41.6,596700
2007-02-09,41.57,41.82,41.46,41.6,571400
2007-02-12,41.67,41.8,41.54,41.62,388100
2007-02-13,41.65,41.84,41.62,41.69,330200
2007-02-14,41.69,42.0,41.69,41.91,273100
2007-02-15,40.73,41.26,38.89,39.63,4551600
2007-02-16,39.56,39.87,39.32,39.73,1277700
2007-02-20,39.73,40.48,39.56,40.32,1166100
2007-02-21,40.25,40.25,39.75,40.049999,631700
2007-02-22,40.029999,40.3,39.9,40.049999,554400
2007-02-23,40.0,40.0,39.26,39.53,898400
2007-02-26,39.45,39.49,38.84,38.85,970900
2007-02-27,38.7,38.7,37.46,37.66,1580900
2007-02-28,37.88,38.92,37.68,38.68,2042700
2007-03-01,38.48,38.68,38.0,38.62,1501100
2007-03-02,38.43,38.64,37.68,37.73,918400
2007-03-05,37.53,37.65,35.91,36.52,1194700
2007-03-06,36.92,37.38,36.8,37.27,1495100
2007-03-07,37.12,37.35,36.9,37.17,511200
2007-03-08,37.4,37.59,37.21,37.49,641500
2007-03-09,37.6,37.71,37.040001,37.26,585900
2007-03-12,37.19,37.45,37.07,37.27,862100
2007-03-13,37.18,37.24,36.71,36.88,971200
2007-03-14,37.0,37.080002,36.26,36.88,1246100
2007-03-15,36.93,37.24,36.89,36.95,546200
2007-03-16,37.07,37.24,36.78,36.97,947100
2007-03-19,37.099998,37.25,36.88,37.02,694400
2007-03-20,37.09,37.22,36.94,37.02,576800
2007-03-21,37.12,37.38,36.89,37.23,909300
2007-03-22,37.13,37.82,37.09,37.75,989700
2007-03-23,37.62,37.94,37.55,37.76,838000
2007-03-26,37.7,37.9,37.44,37.65,818800
2007-03-27,37.42,37.45,37.22,37.4,729600
2007-03-28,37.35,37.35,36.56,36.67,926200
2007-03-29,36.87,36.9,36.34,36.55,618200
2007-03-30,36.57,36.84,36.14,36.45,895000
2007-04-02,36.5,37.25,36.5,37.12,777900
2007-04-03,37.13,37.5,37.049999,37.46,693600
2007-04-04,37.41,37.52,36.98,37.049999,529500
2007-04-05,36.97,37.17,36.96,37.14,333700
2007-04-09,37.22,37.3,37.12,37.28,341100
2007-04-10,37.35,37.51,37.3,37.35,583300
2007-04-11,37.3,37.33,37.18,37.24,917600
2007-04-12,37.33,37.75,37.25,37.61,1176400
2007-04-13,37.62,37.75,37.45,37.62,1027500
2007-04-16,37.68,38.099998,37.68,38.0099983,700600
2007-04-17,37.89,38.37,37.69,38.23,915900
2007-04-18,38.27,38.5,38.0,38.39,871600
2007-04-19,38.27,39.080002,38.17,38.68,1179200
2007-04-20,39.15,39.5,39.02,39.43,1421600
2007-04-23,40.0,40.21,39.040001,39.44,904800
2007-04-24,39.49,40.97,39.49,40.57,1918600
2007-04-25,40.61,40.88,40.2,40.75,1319700
2007-04-26,40.82,40.84,40.15,40.31,900800
2007-04-27,40.25,40.25,39.93,40.12,593100
2007-04-30,40.09,40.28,39.73,39.8,741600
2007-05-01,40.02,40.26,39.8,40.18,957200
2007-05-02,40.099998,40.39,40.0,40.3,554900
2007-05-03,40.3,40.79,40.3,40.79,823200
2007-05-04,40.81,41.07,40.54,40.95,714200
2007-05-07,40.9,41.18,40.78,40.92,582800
2007-05-08,40.75,40.96,40.34,40.92,1029500
2007-05-09,41.0,41.19,40.87,41.09,834500
2007-05-10,41.0,41.09,40.74,41.0,1978100
2007-05-11,41.099998,41.21,40.87,41.15,767600
2007-05-14,40.99,41.31,40.99,41.25,1456000
2007-05-15,41.33,41.5,41.0099983,41.32,2968800
2007-05-16,41.42,41.59,41.2,41.52,2113900
2007-05-17,41.53,41.6,41.34,41.42,1217100
2007-05-18,41.48,42.11,41.43,41.57,1687600
2007-05-21,41.6,42.14,41.4,41.54,2032600
2007-05-22,41.64,41.64,41.28,41.37,1426500
2007-05-23,41.38,41.55,41.26,41.36,1739800
2007-05-24,41.42,41.54,41.060001,41.09,2304400
2007-05-25,41.080002,41.24,41.0099983,41.23,1478600
2007-05-29,41.21,41.4,41.080002,41.28,1381200
2007-05-30,41.23,41.81,41.21,41.81,736900
2007-05-31,41.92,42.040001,41.69,42.029999,1116100
2007-06-01,42.12,42.36,41.97,42.34,1420900
2007-06-04,43.21,43.21,42.099998,42.33,1166100
2007-06-05,43.5,44.34,42.75,43.75,2893100
2007-06-06,43.74,43.85,43.22,43.74,1951700
2007-06-07,43.5,43.79,43.3,43.3,1716600
2007-06-08,43.3,44.040001,43.11,44.0099983,1352900
2007-06-11,44.02,44.22,43.46,43.51,1395900
2007-06-12,43.47,43.62,43.07,43.3,1417100
2007-06-13,43.48,44.36,43.28,44.18,1678700
2007-06-14,44.28,44.55,44.19,44.49,1020600
2007-06-15,44.74,44.88,44.18,44.23,1889400
2007-06-18,44.11,44.38,43.92,44.2,932100
2007-06-19,44.19,44.5,43.91,44.49,865100
2007-06-20,44.5,44.54,43.85,43.89,1098200
2007-06-21,43.74,44.3,43.48,44.3,980400
2007-06-22,44.049999,44.21,43.74,43.95,1173200
2007-06-25,44.17,44.49,43.87,44.0,935900
2007-06-26,44.18,44.42,43.98,44.34,823700
2007-06-27,43.98,44.51,43.89,44.43,1660000
2007-06-28,44.43,44.58,44.23,44.4,816300
2007-06-29,44.42,44.68,44.22,44.42,1092500
2007-07-02,44.5,45.0,44.34,45.0,875900
2007-07-03,45.0,45.3,44.8,45.25,507600
2007-07-05,45.36,45.36,44.64,45.25,651400
2007-07-06,45.080002,45.15,44.73,45.11,476700
2007-07-09,45.080002,45.6,44.68,45.6,1039300
2007-07-10,45.47,45.56,44.85,44.85,860300
2007-07-11,45.2,46.07,44.88,46.07,1518500
2007-07-12,46.080002,46.26,45.62,46.26,818800
2007-07-13,46.029999,46.3,45.96,46.0,699800
2007-07-16,45.85,46.0,45.45,45.82,502300
2007-07-17,45.92,46.3,45.82,46.14,411700
2007-07-18,46.099998,46.16,45.19,45.59,709000
2007-07-19,45.84,45.89,45.32,45.51,614800
2007-07-20,45.56,45.58,44.89,44.98,768500
2007-07-23,44.13,45.55,44.13,45.18,815500
2007-07-24,44.0,44.4,42.049999,42.59,2762600
2007-07-25,42.8,43.080002,42.3,42.38,2556200
2007-07-26,42.099998,42.15,39.47,40.15,3632100
2007-07-27,40.0,40.82,39.84,40.040001,3050000
2007-07-30,39.95,40.66,39.85,40.55,2025400
2007-07-31,40.67,40.91,40.46,40.46,2955700
2007-08-01,40.25,40.93,39.72,40.16,2229500
2007-08-02,40.19,40.5,40.040001,40.14,1693300
2007-08-03,40.0,40.37,39.48,39.48,2154700
2007-08-06,39.73,40.27,39.2,39.75,2399200
2007-08-07,39.5,39.79,38.88,39.25,2622600
2007-08-08,39.25,39.4,38.9,39.25,2511000
2007-08-09,38.75,38.89,38.14,38.3,2077500
2007-08-10,38.049999,38.15,37.0,37.66,2904300
2007-08-13,37.75,38.78,37.51,38.66,1737300
2007-08-14,38.8,38.82,38.080002,38.14,1502200
2007-08-15,38.15,38.76,37.72,37.74,1261700
2007-08-16,37.21,37.52,35.93,37.44,2162600
2007-08-17,38.32,38.96,37.9,38.78,1805600
2007-08-20,38.78,39.11,38.46,38.96,1189000
2007-08-21,38.85,38.9,38.22,38.43,1033900
