date,open,high,low,close,volume
2006-10-18,42.95,43.049999,42.68,42.97,1733700
2006-10-19,42.9,43.35,42.65,43.34,974700
2006-10-20,43.49,43.95,43.26,43.9,1827200
2006-10-23,43.8,44.19,43.6,44.18,2025500
2006-10-24,44.23,44.36,43.7,44.029999,1313700
2006-10-25,44.2,44.94,43.98,44.64,1279900
2006-10-26,44.82,44.82,44.21,44.52,1302700
2006-10-27,44.64,44.67,44.0,44.12,808500
2006-10-30,44.39,44.53,44.14,44.3,696700
2006-10-31,44.5,44.56,44.18,44.44,1236100
2006-11-01,44.7,45.040001,44.53,44.93,1801500
2006-11-02,44.86,45.25,44.41,44.94,1766900
2006-11-03,44.85,45.0099983,43.95,44.32,1966800
2006-11-06,44.47,45.0099983,44.29,44.64,1621300
2006-11-07,44.54,45.049999,44.52,44.99,1610300
2006-11-08,44.81,45.67,44.81,45.35,2237900
2006-11-09,45.5,45.7,44.9,45.040001,1499200
2006-11-10,45.11,45.55,45.11,45.34,1059000
2006-11-13,45.17,45.53,45.15,45.44,815600
2006-11-14,45.5,45.57,44.9,45.23,1279900
2006-11-15,45.99,46.0,45.69,45.86,2363800
2006-11-16,45.99,46.75,45.87,46.51,2602800
2006-11-17,46.56,46.76,46.13,46.7,2182000
2006-11-20,46.85,46.87,46.17,46.33,1391100
2006-11-21,46.44,46.45,45.84,46.13,1380200
2006-11-22,46.13,46.36,45.8,46.049999,1114100
2006-11-24,45.98,46.080002,45.84,46.049999,360900
2006-11-27,45.83,45.96,45.16,45.2,1491800
2006-11-28,45.19,45.63,45.080002,45.18,1391400
2006-11-29,45.3,46.0,45.26,45.74,1710900
2006-11-30,45.88,46.24,45.67,45.98,1516000
2006-12-01,46.2,46.41,45.9,46.2,1120300
2006-12-04,46.43,46.69,46.34,46.68,945500
2006-12-05,46.61,46.95,46.55,46.81,1352300
2006-12-06,46.9,47.15,46.78,46.85,1470800
2006-12-07,47.0,47.11,46.5,46.69,1170700
2006-12-08,46.74,46.87,46.4,46.87,1047200
2006-12-11,46.81,47.029999,46.77,46.95,964600
2006-12-12,46.85,46.87,45.52,46.28,3175600
2006-12-13,46.4,46.58,46.17,46.26,1581400
2006-12-14,45.57,45.77,45.13,45.25,2901900
2006-12-15,45.19,45.47,44.9,44.98,2054100
2006-12-18,45.0,45.29,44.79,45.099998,1410700
2006-12-19,45.11,45.93,44.9,45.73,1417800
2006-12-20,45.8,46.0,45.63,45.8,903200
2006-12-21,45.8,46.040001,45.58,45.87,926000
2006-12-22,45.79,45.93,45.51,45.54,584800
2006-12-26,45.54,46.15,45.5,46.099998,604100
2006-12-27,46.060001,46.13,45.63,45.81,1054300
2006-12-28,45.68,46.029999,45.63,45.86,628700
2006-12-29,45.66,45.9,45.32,45.48,702100
2007-01-03,46.17,46.28,45.17,45.46,2796100
2007-01-04,45.26,45.34,44.91,44.92,3051300
2007-01-05,44.95,44.98,43.75,43.98,2316300
2007-01-08,43.99,44.25,43.51,43.74,1907700
2007-01-09,43.85,43.93,43.47,43.66,1517200
2007-01-10,43.58,43.82,43.44,43.58,1439500
2007-01-11,43.7,43.86,42.94,43.099998,5213500
2007-01-12,43.19,43.44,42.77,42.95,3172700
