date,open,high,low,close,volume
2006-10-18,20.2,20.41,20.1,20.28,1638000
2006-10-19,20.225,20.225,19.995,20.125,2139000
2006-10-20,20.125,20.16,19.9,20.0,1887000
2006-10-23,20.025,20.09,19.75,19.88,2243000
2006-10-24,19.71,19.985,19.555,19.925,2141800
2006-10-25,20.5,21.8,20.5,20.905,9389400
2006-10-26,20.775,20.92,20.24,20.33,4594000
2006-10-27,20.3,20.55,19.935,20.0,8233800
2006-10-30,19.9,20.105,19.9,19.98,2605800
2006-10-31,19.895,20.305,19.76,20.195,3375400
2006-11-01,20.16,20.195,19.83,19.895,2402200
2006-11-02,19.785,19.87,19.7,19.8,3145400
2006-11-03,19.81,19.87,19.525,19.595,2035400
2006-11-06,19.775,19.99,19.76,19.93,1434600
2006-11-07,19.93,20.2,19.85,19.975,2576400
2006-11-08,19.85,20.145,19.815,20.014999,2235400
2006-11-09,20.0,20.035,19.7,19.75,1837000
2006-11-10,19.775,20.1,19.765,19.98,2945800
2006-11-13,19.98,20.035,19.72,19.78,2775600
2006-11-14,19.775,20.055,19.715,19.985,5269200
2006-11-15,20.040001,20.295,19.965,20.1,2493400
2006-11-16,20.165,20.515,20.13,20.435,2606400
2006-11-17,20.425,20.535,20.285,20.52,3331800
2006-11-20,20.775,20.785,20.48,20.585,2848000
2006-11-21,20.615,20.795,20.61,20.75,2712200
2006-11-22,20.775,20.825,20.605,20.76,1994600
2006-11-24,20.75,21.01,20.67,20.91,2043600
2006-11-27,20.9,20.96,20.58,20.635,2489200
2006-11-28,20.55,20.7,20.48,20.56,2058600
2006-11-29,20.715,20.79,20.595,20.69,3766800
2006-11-30,20.715,20.835,20.555,20.645,3123800
2006-12-01,20.59,20.615,20.14,20.425,2749400
2006-12-04,20.5,20.89,20.485,20.81,3167800
2006-12-05,20.86,21.014999,20.77,20.99,1711200
2006-12-06,20.78,20.78,20.55,20.735,2048200
2006-12-07,20.825,21.075001,20.73,20.78,1780800
2006-12-08,20.77,20.865,20.595,20.77,1532600
2006-12-11,20.4,20.55,20.29,20.54,3251400
2006-12-12,20.45,20.725,20.32,20.65,3215800
2006-12-13,20.825,20.86,20.61,20.635,2405000
2006-12-14,20.62,20.75,20.575,20.635,1026800
2006-12-15,20.725,20.725,20.465,20.52,2267200
2006-12-18,20.5,20.75,20.46,20.605,2359000
2006-12-19,20.755,20.885,20.64,20.77,1948200
2006-12-20,20.71,20.765,20.5,20.55,1445600
2006-12-21,20.47,20.645,20.455,20.57,1093800
2006-12-22,20.58,20.63,20.395,20.575,1302200
2006-12-26,20.59,20.615,20.46,20.595,658000
2006-12-27,20.6,20.635,20.545,20.62,475200
2006-12-28,20.655,20.735,20.625,20.675,718000
2006-12-29,20.585,20.7,20.41,20.41,905600
2007-01-03,20.5,20.68,20.325,20.545,1956800
2007-01-04,20.545,20.68,20.3,20.545,1374600
2007-01-05,20.46,20.6,20.255,20.29,1725200
2007-01-08,20.23,20.25,19.835,20.084999,3255600
2007-01-09,20.225,20.335,20.025,20.21,2024600
2007-01-10,20.1,20.295,20.049999,20.26,667400
2007-01-11,20.365,20.45,20.3,20.4,915200
2007-01-12,20.455,20.73,20.415,20.47,1671200
2007-01-16,20.57,20.695,20.475,20.655,1208600
2007-01-17,20.565,20.585,20.275,20.4,1769400
2007-01-18,20.37,20.565,20.205,20.265,2026800
2007-01-19,20.325,20.495,20.265,20.47,1320800
2007-01-22,20.35,20.5,20.15,20.26,995600
2007-01-23,20.26,20.325,20.115,20.16,1318800
2007-01-24,20.465,20.715,20.44,20.61,2109400
2007-01-25,20.535,20.695,20.345,20.385,1383400
2007-01-26,20.37,20.485,20.22,20.27,1829400
2007-01-29,20.215,20.575,20.215,20.38,1148200
2007-01-30,20.36,20.725,20.31,20.665,3159200
2007-01-31,22.62,24.075001,22.595,23.75,15571600
2007-02-01,23.5,23.825,23.31,23.725,6161000
2007-02-02,23.62,23.685,22.845,23.065001,5164800
2007-02-05,22.97,23.435,22.94,23.31,4171200
2007-02-06,23.5,23.625,23.21,23.245,3158400
2007-02-07,23.3,23.34,22.935,22.935,3145000
2007-02-08,22.96,23.22,22.87,23.13,2084400
2007-02-09,23.105,23.725,23.105,23.315,4523000
2007-02-12,23.37,23.495,23.135,23.21,2363200
2007-02-13,23.345,23.39,23.2,23.325,1462400
2007-02-14,23.525,23.74,23.425,23.565,2470200
2007-02-15,23.485,23.86,23.375,23.76,2812000
2007-02-16,23.765,24.365,23.66,23.875,2528000
2007-02-20,23.83,24.135,23.565,24.115,1747800
2007-02-21,24.049999,24.09,23.515,23.52,2429800
2007-02-22,23.525,23.695,23.145,23.35,2687800
2007-02-23,23.455,23.79,23.405,23.68,1729200
2007-02-26,23.855,23.875,23.565,23.655,2044600
2007-02-27,23.655,23.995,22.8,22.88,5032200
2007-02-28,23.375,24.045,22.96,23.935,4595000
2007-03-01,23.5,23.65,23.205,23.455,4983800
2007-03-02,23.285,23.51,22.96,22.965,2654600
2007-03-05,22.8,23.485,22.705,23.025,3022000
