date,open,high,low,close,volume
2006-10-18,76.5,76.96,76.28,76.71,1933800
2006-10-19,77.050003,77.63,76.33,76.67,3106100
2006-10-20,76.86,78.5,76.42,78.059998,2718200
2006-10-23,77.95,78.68,77.38,78.48,1715000
2006-10-24,78.16,78.82,78.099998,78.62,2048600
2006-10-25,77.5,77.75,75.3,76.53,4911100
2006-10-26,77.3,77.44,76.45,76.71,2278600
2006-10-27,76.38,77.52,76.040001,76.65,2794500
2006-10-30,76.71,77.3,76.11,76.66,2889400
2006-10-31,76.67,77.0,76.12,76.32,1981900
2006-11-01,77.099998,77.3,74.54,75.13,3105400
2006-11-02,75.13,76.050003,74.9,75.26,2382100
2006-11-03,75.36,75.45,73.51,73.8,3291700
2006-11-06,73.75,74.55,73.37,74.13,3026600
2006-11-07,74.019997,75.059998,73.91,74.64,1823000
2006-11-08,73.5,73.63,71.74,73.32,4513400
2006-11-09,72.9,73.050003,71.43,71.7,4785600
2006-11-10,71.9,73.4,71.6,72.89,3457300
2006-11-13,72.85,73.66,72.79,73.22,2345500
2006-11-14,73.0,73.49,72.84,73.45,2544500
2006-11-15,73.4,73.84,73.19,73.33,3058900
2006-11-16,73.58,73.8,73.29,73.31,1808300
2006-11-17,72.7,73.040001,72.46,72.92,2984200
2006-11-20,72.55,73.45,71.95,72.040001,2241400
2006-11-21,71.57,72.15,70.15,71.31,8387400
2006-11-22,71.31,71.9,71.19,71.7,2358500
2006-11-24,71.55,72.46,71.5,72.4,793000
2006-11-27,72.15,72.36,71.49,71.56,2540400
2006-11-28,71.5,74.25,71.46,73.66,4574200
2006-11-29,74.0,74.2,72.85,73.059998,3754800
2006-11-30,73.31,76.91,73.19,75.67,5666200
2006-12-01,76.089996,76.77,75.0,75.95,2766600
2006-12-04,76.25,76.72,75.28,75.55,2478500
2006-12-05,75.58,76.0,75.13,75.45,2037900
2006-12-06,75.82,76.22,75.080002,75.97,2852500
2006-12-07,75.98,76.42,75.5,76.010002,2023900
2006-12-08,75.8,77.040001,75.4,76.46,1937800
2006-12-11,76.4,77.34,76.2,76.8,2167900
2006-12-12,76.8,77.2,76.050003,76.83,2227000
2006-12-13,77.19,77.9,76.95,77.099998,2705100
2006-12-14,76.7,77.35,76.59,77.11,2070800
2006-12-15,77.11,77.22,76.56,77.13,2359100
2006-12-18,76.95,77.48,76.8,77.33,1832000
2006-12-19,76.95,78.96,76.75,78.54,2995100
2006-12-20,78.4,78.44,77.73,78.23,2325300
2006-12-21,78.23,78.7,78.2,78.55,1486000
2006-12-22,78.25,78.45,77.83,78.22,1500600
2006-12-26,78.47,78.75,78.010002,78.47,810800
2006-12-27,78.6,78.86,78.0,78.0,1583200
2006-12-28,78.0,78.75,77.89,78.5,1536700
2006-12-29,78.59,78.98,78.4,78.69,1537500
2007-01-03,78.42,78.85,77.65,78.19,3356500
2007-01-04,78.19,78.42,77.73,77.87,2172600
