date,open,high,low,close,volume
2006-10-18,30.85,31.115,30.495,30.7,440000
2006-10-19,30.54,31.0,30.51,30.875,452400
2006-10-20,30.88,30.88,29.89,29.915,450200
2006-10-23,29.8,31.395,29.59,30.93,850800
2006-10-24,30.715,31.365,30.435,31.305,595000
2006-10-25,31.3,31.945,30.955,31.285,776000
2006-10-26,31.29,31.295,29.76,29.965,1216200
2006-10-27,30.025,30.2,29.55,29.745,894200
2006-10-30,29.745,30.205,29.395,30.0049992,502200
2006-10-31,29.965,29.995,29.36,29.575,473600
2006-11-01,29.575,29.8,28.75,28.77,459000
2006-11-02,28.225,28.71,28.15,28.475,613400
2006-11-03,28.675,28.78,27.895,28.21,591800
2006-11-06,28.25,29.1,28.025,29.01,604600
2006-11-07,28.975,29.52,28.9,29.115,371400
2006-11-08,28.8,29.545,28.72,29.535,333000
2006-11-09,29.485,29.525,29.075001,29.3,598600
2006-11-10,29.225,29.835,29.125,29.8,380600
2006-11-13,29.675,29.82,29.26,29.37,275600
2006-11-14,29.405,30.45,29.21,30.365,462800
2006-11-15,30.27,30.71,30.145,30.285,438400
2006-11-16,30.37,30.73,29.965,30.059999,289600
2006-11-17,30.055,30.055,29.79,29.985,221400
2006-11-20,29.875,30.21,29.655,29.8,274800
2006-11-21,29.795,30.455,29.795,30.34,390400
2006-11-22,30.31,30.61,30.185,30.5,188400
2006-11-24,30.275,30.635,30.235,30.48,48400
2006-11-27,30.355,30.5,28.975,29.049999,622600
2006-11-28,29.035,29.635,28.91,29.525,535600
2006-11-29,29.8,30.185,29.705,30.0,286200
2006-11-30,29.9,30.225,29.71,29.835,320800
2006-12-01,29.665,29.905,29.295,29.695,404200
2006-12-04,29.82,30.925,29.82,30.865,387800
2006-12-05,30.855,31.14,30.2,30.31,634000
2006-12-06,30.445,30.78,30.305,30.6,478000
2006-12-07,30.165,30.775,30.165,30.185,527000
2006-12-08,30.17,30.175,29.45,29.525,517200
2006-12-11,29.62,29.725,29.395,29.555,565200
2006-12-12,29.625,29.7,28.84,29.059999,815600
2006-12-13,29.45,29.525,28.825,29.030001,969400
2006-12-14,29.205,30.014999,29.185,29.8,404200
2006-12-15,29.81,29.995,29.445,29.445,548600
2006-12-18,29.375,29.62,28.735,28.8,437000
2006-12-19,28.7,28.7,28.245,28.475,728800
2006-12-20,28.46,28.68,28.31,28.465,831800
2006-12-21,28.425,28.845,28.115,28.34,878800
2006-12-22,28.365,28.475,27.96,28.2,798800
2006-12-26,28.2,28.77,28.2,28.525,815800
2006-12-27,28.55,29.195,28.55,29.195,684800
2006-12-28,28.975,29.195,28.625,28.64,946600
2006-12-29,28.59,28.765,28.41,28.425,696200
2007-01-03,28.55,28.72,27.78,28.13,683800
2007-01-04,28.035,28.094999,27.605,27.655,512200
2007-01-05,27.375,27.78,27.28,27.5,601600
2007-01-08,27.495,27.93,27.345,27.71,575200
2007-01-09,27.76,27.89,27.385,27.8,533800
2007-01-10,27.545,28.045,27.495,27.755,378600
2007-01-11,27.65,28.32,27.65,28.15,331800
2007-01-12,28.049999,28.405,28.0,28.37,303200
2007-01-16,28.55,28.775,28.23,28.575,515000
2007-01-17,28.57,29.094999,28.535,28.94,767400
2007-01-18,28.975,28.99,28.555,28.57,382600
2007-01-19,28.655,29.0,28.42,28.925,226000
2007-01-22,28.96,29.0,28.47,28.575,399000
2007-01-23,28.5,29.53,28.445,29.215,305400
2007-01-24,29.38,29.38,28.9,29.12,503600
2007-01-25,29.049999,29.26,28.65,28.82,437600
2007-01-26,28.845,28.855,28.19,28.735,316800
2007-01-29,28.735,28.85,28.425,28.65,637200
2007-01-30,28.635,28.695,28.375,28.68,402600
2007-01-31,28.575,28.86,28.155,28.71,437400
2007-02-01,28.845,29.925,28.815,29.795,654800
2007-02-02,29.785,30.56,29.745,30.325,684600
2007-02-05,30.25,30.25,29.455,29.61,385600
2007-02-06,29.75,29.82,29.505,29.745,422800
2007-02-07,29.725,30.16,29.5,30.155,312600
2007-02-08,29.885,30.255,29.885,30.0,528000
2007-02-09,30.02,30.16,29.33,29.555,247800
2007-02-12,29.625,29.625,29.2,29.45,332000
2007-02-13,29.56,29.71,29.415,29.6,274000
2007-02-14,29.6,29.81,29.525,29.615,437600
2007-02-15,29.52,30.025,29.465,29.97,370800
2007-02-16,29.97,30.33,29.59,30.305,311600
2007-02-20,30.18,30.2,29.745,30.075001,336400
2007-02-21,30.075001,30.83,30.0049992,30.635,580000
2007-02-22,31.25,31.845,30.325,31.0,1250800
2007-02-23,30.89,30.89,30.45,30.77,475800
2007-02-26,30.795,30.99,30.49,30.775,325200
2007-02-27,30.51,30.875,30.11,30.375,1091800
2007-02-28,30.315,30.545,29.945,30.0049992,604600
2007-03-01,29.905,30.16,28.93,29.81,635200
2007-03-02,29.805,29.805,28.94,28.955,478400
2007-03-05,28.675,29.145,28.61,28.69,546000
2007-03-06,29.25,29.955,29.049999,29.69,562000
2007-03-07,29.65,29.975,29.42,29.565,357200
2007-03-08,29.775,30.215,29.66,29.83,367000
2007-03-09,30.125,30.165,29.485,29.93,335400
2007-03-12,29.87,29.91,29.485,29.64,334000
2007-03-13,29.325,29.41,28.785,28.825,427000
2007-03-14,28.75,29.39,28.325,29.07,407600
