date,open,high,low,close,volume
2006-10-18,43.2,43.55,42.45,42.595,3209000
2006-10-19,42.6,42.925,42.17,42.9,2626800
2006-10-20,42.905,42.905,41.965,42.195,3673600
2006-10-23,42.195,42.735,42.07,42.395,2666600
2006-10-24,42.255,42.48,42.255,42.36,2431600
2006-10-25,42.55,42.75,42.225,42.57,2074800
2006-10-26,42.6,42.875,42.475,42.765,1568800
2006-10-27,42.55,42.6,42.060001,42.080002,1619200
2006-10-30,42.080002,42.355,41.92,42.11,1533600
2006-10-31,42.42,42.84,42.11,42.2,2270200
2006-11-01,42.39,42.455,41.75,41.79,1931800
2006-11-02,41.74,41.98,41.375,41.48,2600400
2006-11-03,41.525,41.6,41.0050011,41.105,2486600
2006-11-06,41.325,41.45,41.040001,41.28,6277000
2006-11-07,42.625,44.62,42.4,43.715,15219600
2006-11-08,43.67,44.6,43.46,44.0,5629600
2006-11-09,44.049999,44.13,43.55,43.605,3481400
2006-11-10,43.705,43.865,43.61,43.78,2367400
2006-11-13,43.78,44.35,43.64,44.035,2869600
2006-11-14,44.02,44.36,43.655,43.825,3900000
2006-11-15,43.55,44.445,43.525,43.995,2869200
2006-11-16,44.29,44.615,44.18,44.26,2084000
2006-11-17,43.94,44.28,43.9,44.075001,1937000
2006-11-20,44.15,44.37,43.95,44.115,2013400
2006-11-21,44.225,44.47,44.09,44.41,1901600
2006-11-22,44.3,44.87,44.275,44.52,1588200
2006-11-24,44.4,44.825,44.195,44.5,613400
2006-11-27,44.0,44.055,42.98,42.98,3656800
2006-11-28,42.925,43.165,42.48,43.0099983,3896800
2006-11-29,43.049999,43.625,42.955,43.345,2204400
2006-11-30,43.38,43.81,43.29,43.35,3023200
2006-12-01,43.4,43.435,42.275,42.605,3082600
2006-12-04,42.89,42.9,42.385,42.56,4908400
2006-12-05,43.255,43.42,42.945,43.405,4126000
2006-12-06,43.465,43.465,42.925,43.14,3424400
2006-12-07,43.45,43.81,42.97,43.105,3237200
2006-12-08,43.2,43.51,42.875,43.055,2356800
2006-12-11,43.055,43.12,42.75,42.87,2646400
2006-12-12,42.99,43.16,42.77,42.98,3764500
2006-12-13,43.31,43.48,42.98,43.02,2622400
2006-12-14,42.99,43.2,42.7,43.0,2845700
2006-12-15,43.0,43.0,42.07,42.23,5561100
2006-12-18,42.060001,42.66,41.95,42.47,4538500
2006-12-19,42.25,43.22,42.16,43.099998,3917500
2006-12-20,43.42,44.38,43.35,44.25,5271900
2006-12-21,44.29,44.5,44.13,44.38,4388600
2006-12-22,44.6,44.6,44.040001,44.040001,2292600
2006-12-26,44.02,44.43,43.95,44.39,997700
2006-12-27,44.39,44.65,44.0,44.51,1771100
2006-12-28,44.52,44.57,44.24,44.25,1264600
2006-12-29,44.26,44.5,43.99,44.09,1433900
2007-01-03,44.12,44.87,43.56,43.86,2829700
2007-01-04,43.86,43.98,43.42,43.86,1796500
2007-01-05,43.5,43.72,43.18,43.48,1851600
2007-01-08,43.28,44.040001,43.11,43.91,1814500
2007-01-09,44.0,44.36,43.42,43.92,2574100
2007-01-10,44.33,44.61,43.24,43.59,2473900
2007-01-11,43.75,43.99,43.52,43.79,2915300
2007-01-12,44.080002,44.44,43.88,44.049999,2228900
2007-01-16,44.23,44.56,43.95,44.23,2009200
2007-01-17,44.29,45.049999,44.15,44.51,2884000
2007-01-18,44.5,45.2,44.47,44.56,3445500
2007-01-19,44.6,44.75,44.21,44.41,2267500
2007-01-22,44.33,44.5,44.060001,44.13,1742900
2007-01-23,44.28,44.66,44.17,44.48,2097500
2007-01-24,44.72,44.84,44.4,44.56,2295500
2007-01-25,44.46,44.66,44.0,44.0099983,3283400
2007-01-26,44.02,44.15,43.69,43.84,2726100
2007-01-29,43.78,44.2,43.59,44.080002,2250300
2007-01-30,44.0099983,44.25,43.8,44.15,2199000
