date,open,high,low,close,volume
2006-10-18,33.0050011,33.445,32.63,33.029999,7638200
2006-10-19,33.215,33.705,32.77,33.63,7091400
2006-10-20,33.69,33.705,32.66,33.125,5871600
2006-10-23,32.86,33.23,32.51,33.055,6230200
2006-10-24,32.955,34.54,32.885,34.465,8575400
2006-10-25,33.625,35.405,33.565,35.17,8088400
2006-10-26,35.5,35.535,34.245,34.67,6222200
2006-10-27,34.545,35.035,33.935,34.0050011,4702400
2006-10-30,33.61,34.055,33.25,33.5,7219400
2006-10-31,33.45,33.665,32.525,33.265,8793800
2006-11-01,33.125,33.375,32.54,33.0099983,6996800
2006-11-02,32.65,33.185,32.29,32.875,6731400
2006-11-03,33.35,34.064999,33.22,33.565,5336600
2006-11-06,33.235,33.865,32.975,33.445,5471800
2006-11-07,33.63,33.64,32.97,33.125,5683800
2006-11-08,33.0,33.98,32.96,33.825,5296200
2006-11-09,34.23,34.99,33.905,34.605,9937200
2006-11-10,34.2,34.245,33.38,33.73,4929400
2006-11-13,33.064999,33.98,33.064999,33.48,4694200
2006-11-14,33.815,33.915,33.495,33.835,4909400
2006-11-15,33.63,34.52,33.61,34.235,6791800
2006-11-16,34.57,34.715,32.865,32.965,6257600
2006-11-17,32.75,34.25,32.75,34.15,7047200
2006-11-20,33.915,34.255,33.52,34.11,5787000
2006-11-21,34.19,34.865,33.995,34.775,8574200
2006-11-22,34.775,34.905,34.15,34.78,6498800
2006-11-24,34.85,35.34,34.735,34.735,2045600
2006-11-27,34.96,35.064999,34.45,34.465,5107800
2006-11-28,34.59,35.71,34.59,35.485,7712000
2006-11-29,35.75,36.135,34.775,36.029999,12554000
2006-11-30,35.6,35.7,34.83,35.265,11025200
2006-12-01,34.955,35.36,34.43,35.315,5826000
2006-12-04,34.875,35.055,34.24,34.585,5264000
2006-12-05,34.78,34.965,34.315,34.665,6123000
2006-12-06,34.45,35.275,34.45,34.675,4714400
2006-12-07,34.675,34.835,34.26,34.47,3881600
2006-12-08,34.725,34.825,34.195,34.335,4227600
2006-12-11,34.255,34.55,33.77,34.195,4366400
2006-12-12,34.21,34.585,33.86,34.135,4375400
2006-12-13,34.46,34.655,34.02,34.315,3883400
2006-12-14,34.535,35.084999,34.29,34.91,6303600
2006-12-15,34.91,34.98,33.97,34.31,5559800
2006-12-18,33.95,33.95,32.56,32.74,6180800
2006-12-19,31.65,33.555,31.65,33.215,4960600
2006-12-20,33.29,33.29,32.445,32.505,4978000
2006-12-21,32.7,32.835,32.14,32.5,4775200
2006-12-22,32.5,32.54,32.105,32.155,3027800
2006-12-26,31.55,32.43,31.47,31.58,3400000
2006-12-27,31.58,31.95,31.165,31.835,5196400
2006-12-28,32.0,32.19,31.655,31.84,3759400
2006-12-29,31.625,31.8,30.935,31.225,5953800
2007-01-03,30.905,31.735,29.605,30.33,11005800
2007-01-04,30.86,30.935,29.88,30.35,11306200
2007-01-05,30.65,31.5,30.45,31.34,13043600
2007-01-08,31.93,32.0,30.645,31.125,8059600
2007-01-09,30.5,30.945,30.059999,30.725,10820800
2007-01-10,30.625,30.805,30.01,30.49,7194400
2007-01-11,31.035,31.040001,29.855,29.98,9170600
2007-01-12,30.0,31.22,29.99,31.14,7472000
2007-01-16,31.059999,31.545,30.755,31.014999,6056600
2007-01-17,30.955,31.41,30.87,31.084999,6105000
2007-01-18,31.255,31.35,30.6,30.85,4997000
2007-01-19,31.2,32.435,31.065001,32.365,6780000
2007-01-22,32.75,33.225,32.185,32.465,8496400
2007-01-23,32.785,34.055,32.765,33.745,7264200
2007-01-24,33.415,33.705,32.845,33.68,5309800
2007-01-25,33.545,33.545,32.39,32.48,6689200
2007-01-26,32.8,33.135,32.545,32.785,4264000
2007-01-29,33.084999,33.745,32.475,32.515,5342000
2007-01-30,32.515,34.235,32.515,34.029999,7449400
2007-01-31,33.35,34.875,33.165,34.565,8264800
