date,open,high,low,close,volume
2006-10-18,64.080002,65.69,63.69,65.37,366800
2006-10-19,65.23,67.099998,64.9,66.53,404400
2006-10-20,66.78,67.87,66.14,67.22,560600
2006-10-23,67.37,68.47,66.5,67.92,745800
2006-10-24,67.98,68.2,67.37,68.080002,320300
2006-10-25,68.2,69.13,67.46,68.37,678200
2006-10-26,66.95,70.74,66.95,70.65,817700
2006-10-27,70.21,70.68,68.79,68.83,342300
2006-10-30,68.83,69.55,68.3,68.9,478800
2006-10-31,68.0,69.17,67.9,68.4,419800
2006-11-01,68.019997,68.25,66.98,67.010002,417100
2006-11-02,66.75,67.52,66.6,67.3,478600
2006-11-03,67.32,68.19,66.9,67.68,153800
2006-11-06,67.76,68.53,67.76,68.41,339800
2006-11-07,68.3,70.3,68.23,69.32,474300
2006-11-08,68.9,70.61,68.36,69.89,389200
2006-11-09,69.92,70.4,69.61,70.010002,502100
2006-11-10,69.87,70.22,69.5,70.0,222000
2006-11-13,69.79,70.4,69.6,69.99,160600
2006-11-14,70.089996,72.57,69.45,72.5,670600
2006-11-15,72.3,73.92,72.3,73.080002,440800
2006-11-16,73.0,73.7,72.029999,72.29,390300
2006-11-17,72.26,72.81,71.75,72.46,239600
2006-11-20,71.66,74.71,71.43,74.58,415200
2006-11-21,74.77,77.47,74.72,76.45,559900
2006-11-22,76.63,77.67,76.42,76.94,235900
2006-11-24,76.3,76.91,76.019997,76.019997,52700
2006-11-27,75.52,75.54,73.59,73.95,370600
2006-11-28,73.35,73.91,72.89,73.32,274000
2006-11-29,73.95,75.7,73.26,74.66,430100
2006-11-30,74.66,77.17,74.6,76.51,324800
2006-12-01,75.58,76.18,73.33,74.83,462100
2006-12-04,74.94,77.2,74.41,76.33,279900
2006-12-05,76.84,77.44,75.85,76.22,263700
2006-12-06,76.96,79.47,76.52,78.72,817100
2006-12-07,79.0,81.29,77.69,78.42,752700
2006-12-08,78.47,78.72,77.36,77.95,391100
2006-12-11,78.97,81.6,78.73,79.34,742800
2006-12-12,79.69,80.14,77.75,79.23,389400
2006-12-13,79.98,81.2,79.6,80.82,589600
2006-12-14,80.89,82.99,80.71,82.51,462700
2006-12-15,82.7,83.11,81.61,81.9,568400
2006-12-18,80.76,81.65,77.65,78.12,587500
2006-12-19,77.59,79.15,77.16,77.98,253600
2006-12-20,77.78,78.31,76.68,77.0,268900
2006-12-21,77.2,77.28,75.41,75.91,262900
2006-12-22,75.75,75.83,74.7,75.39,199400
2006-12-26,75.13,76.2,75.099998,76.019997,152500
2006-12-27,76.25,78.95,76.25,78.15,499400
2006-12-28,78.18,78.18,76.0,76.37,208200
2006-12-29,76.37,76.9,75.55,75.62,221900
2007-01-03,76.0,77.69,75.27,75.38,506500
2007-01-04,74.22,77.6,71.95,77.2,933400
2007-01-05,76.69,77.0,74.73,76.17,378000
2007-01-08,76.19,76.32,75.27,75.99,282600
2007-01-09,76.11,78.74,75.42,78.18,398500
2007-01-10,77.9,80.43,77.6,79.85,514000
2007-01-11,79.4,84.38,79.35,82.37,740000
2007-01-12,82.5,82.5,81.44,81.93,351800
2007-01-16,82.010002,82.48,81.75,82.07,959800
2007-01-17,81.9,81.98,80.87,81.6,391900
2007-01-18,81.0,81.33,78.010002,79.54,580400
2007-01-19,79.54,83.34,79.54,83.010002,480800
2007-01-22,82.68,82.71,80.9,81.76,549100
2007-01-23,81.55,84.28,81.35,82.99,416800
2007-01-24,83.29,83.95,82.91,83.019997,457700
2007-01-25,83.19,83.55,81.71,82.35,373300
2007-01-26,82.34,82.73,81.010002,81.69,328600
2007-01-29,81.54,83.15,81.44,81.95,317000
2007-01-30,82.14,84.81,82.050003,83.57,350800
2007-01-31,83.99,84.94,83.080002,84.07,617400
2007-02-01,84.15,85.62,83.18,83.2,386000
2007-02-02,83.45,84.41,83.080002,83.16,401200
2007-02-05,83.019997,83.99,82.52,82.69,265500
2007-02-06,83.24,83.26,81.35,82.07,299700
2007-02-07,82.35,84.8,81.71,84.6,423500
2007-02-08,84.15,86.25,80.55,80.84,890800
2007-02-09,81.0,81.8,78.55,80.080002,669600
2007-02-12,80.099998,80.18,79.13,80.11,331300
2007-02-13,80.37,83.74,80.24,83.55,650300
2007-02-14,83.21,87.72,82.98,86.49,1239700
2007-02-15,86.55,87.41,85.0,86.019997,358400
2007-02-16,86.019997,87.14,84.74,87.0,281100
2007-02-20,86.7,87.78,85.6,87.31,400900
2007-02-21,86.86,87.63,85.71,87.18,496100
2007-02-22,87.099998,88.68,86.95,88.36,550500
2007-02-23,88.46,88.83,87.9,88.59,513500
2007-02-26,88.61,88.76,87.63,88.56,410500
2007-02-27,87.81,87.81,83.65,84.34,888100
2007-02-28,84.54,85.15,81.53,82.67,888500
2007-03-01,81.22,83.24,80.31,83.14,588300
2007-03-02,82.32,83.099998,80.25,80.38,569100
2007-03-05,80.18,81.76,79.019997,79.11,460800
2007-03-06,79.97,83.059998,79.74,82.86,602700
2007-03-07,82.91,83.98,81.089996,81.33,448900
2007-03-08,81.89,85.22,81.89,83.68,553200
2007-03-09,84.5,84.78,82.61,83.22,197000
2007-03-12,82.92,83.79,82.54,82.85,188000
2007-03-13,82.25,83.2,80.55,81.099998,439700
2007-03-14,80.98,82.41,79.68,81.99,490800
2007-03-15,82.089996,83.11,81.14,83.089996,406300
2007-03-16,83.080002,83.74,81.26,81.56,470500
2007-03-19,82.25,84.84,81.83,84.5,431500
2007-03-20,84.5,86.61,84.18,86.59,456200
2007-03-21,86.78,88.75,85.45,88.57,311700
2007-03-22,88.78,90.12,87.11,89.63,496100
2007-03-23,89.79,90.28,88.93,89.84,361500
2007-03-26,89.98,90.25,87.99,90.0,443000
2007-03-27,87.31,88.63,86.0,86.18,909000
2007-03-28,85.38,85.82,83.9,85.41,1618700
2007-03-29,86.0,86.48,84.8,85.83,610900
2007-03-30,85.89,86.89,84.36,85.63,514800
2007-04-02,85.98,86.47,85.15,85.87,324300
2007-04-03,86.050003,87.34,85.88,86.6,576800
2007-04-04,86.74,87.050003,86.029999,86.76,351100
2007-04-05,86.52,88.24,86.52,87.95,205800
2007-04-09,88.07,89.57,88.029999,88.89,243800
2007-04-10,88.75,89.67,88.5,89.3,346000
2007-04-11,89.64,89.64,88.019997,88.019997,232400
2007-04-12,88.27,88.82,86.91,88.75,440500
2007-04-13,88.53,88.7,87.67,88.22,327100
2007-04-16,89.050003,90.53,88.6,89.0,329000
2007-04-17,88.84,89.59,88.33,88.72,365200
2007-04-18,88.5,88.56,87.15,87.33,337600
2007-04-19,87.26,87.28,85.41,85.49,370000
2007-04-20,85.8,86.99,85.19,85.67,347900
2007-04-23,85.44,87.23,85.44,87.059998,168200
2007-04-24,87.12,88.3,86.0,87.54,415200
2007-04-25,87.76,87.76,85.84,86.14,434300
2007-04-26,85.97,90.6,85.97,87.26,966400
2007-04-27,86.87,91.54,86.44,88.49,1038300
2007-04-30,88.96,88.96,83.25,83.47,1066100
2007-05-01,83.27,83.82,80.29,82.9,1189600
2007-05-02,83.040001,84.11,82.24,83.71,997200
2007-05-03,83.37,85.0,83.37,84.41,462000
2007-05-04,84.68,84.74,82.099998,82.83,669000
2007-05-07,83.019997,83.019997,80.7,81.61,544700
2007-05-08,81.49,81.85,80.6,81.37,368200
2007-05-09,80.93,81.27,79.75,80.84,420500
2007-05-10,80.61,82.26,80.18,81.059998,668400
2007-05-11,80.010002,82.64,80.010002,82.53,294100
2007-05-14,82.38,82.74,81.27,81.51,417900
2007-05-15,81.38,82.21,78.2,78.21,500800
2007-05-16,78.6,78.94,76.64,78.26,1209000
2007-05-17,78.75,81.78,78.089996,81.24,1262200
2007-05-18,81.54,82.92,80.93,82.59,652800
