date,open,high,low,close,volume
2006-10-18,49.61,50.049999,49.55,49.87,61100
2006-10-19,50.0,50.15,49.72,49.83,49100
2006-10-20,50.0,50.42,49.9,50.099998,39100
2006-10-23,50.27,50.7,50.23,50.5,27200
2006-10-24,50.33,50.89,50.16,50.85,38000
2006-10-25,50.99,51.0099983,50.28,50.79,45100
2006-10-26,51.0,51.25,50.68,51.25,57700
2006-10-27,51.07,51.19,50.36,50.38,21300
2006-10-30,50.23,50.5,50.049999,50.5,33800
2006-10-31,50.66,50.73,50.36,50.65,36900
2006-11-01,50.95,50.95,49.81,50.51,33900
2006-11-02,50.46,51.3,50.45,50.96,69000
2006-11-03,51.32,51.97,51.0,51.63,58300
2006-11-06,51.62,52.029999,51.4,51.89,84100
2006-11-07,51.89,53.98,51.69,53.36,136000
2006-11-08,53.22,54.029999,53.099998,53.78,55000
2006-11-09,53.69,54.36,53.69,54.32,40600
2006-11-10,54.38,54.57,54.02,54.11,53500
2006-11-13,54.26,54.83,53.72,54.77,106200
2006-11-14,54.69,55.31,54.34,54.93,111600
2006-11-15,54.85,55.0,54.82,55.0,49100
2006-11-16,54.92,55.0,54.65,55.0,33600
2006-11-17,54.99,55.0,54.56,54.81,53900
2006-11-20,54.59,54.62,54.29,54.51,66200
2006-11-21,54.52,55.35,54.26,55.35,100200
2006-11-22,55.2,55.55,55.2,55.54,62600
2006-11-24,55.33,55.6,55.33,55.4,9900
2006-11-27,55.58,55.58,54.69,54.99,32000
2006-11-28,54.8,55.02,54.48,54.65,68600
2006-11-29,54.72,55.61,54.63,55.61,57700
2006-11-30,55.48,56.33,55.2,56.28,160900
2006-12-01,56.12,56.12,55.5,56.099998,58000
2006-12-04,56.09,56.71,55.65,56.66,31800
2006-12-05,56.55,56.83,56.3,56.75,38000
2006-12-06,56.84,57.72,56.55,57.62,41900
2006-12-07,57.67,57.89,57.55,57.57,40800
2006-12-08,57.37,57.37,56.67,56.76,31200
2006-12-11,56.69,56.88,56.65,56.74,18900
2006-12-12,56.65,56.78,56.54,56.65,16500
2006-12-13,56.85,56.95,56.46,56.82,55400
2006-12-14,56.9,57.3,56.81,57.19,49600
2006-12-15,57.080002,57.48,56.86,57.19,47000
2006-12-18,57.21,57.63,57.21,57.4,76300
2006-12-19,57.18,57.64,57.16,57.59,32500
2006-12-20,57.44,57.83,57.31,57.5,29900
2006-12-21,57.7,57.78,57.14,57.4,54900
2006-12-22,57.62,57.98,57.33,57.94,14800
2006-12-26,57.67,57.71,57.33,57.44,26800
2006-12-27,57.63,58.25,57.19,58.19,36000
2006-12-28,57.99,58.24,57.94,57.98,11100
2006-12-29,57.87,58.19,57.71,57.98,26500
2007-01-03,57.78,58.24,57.24,57.52,243700
2007-01-04,57.31,57.32,56.64,57.22,71100
2007-01-05,57.07,57.2,56.56,56.87,58300
2007-01-08,56.72,56.72,56.16,56.33,42000
2007-01-09,56.28,56.51,56.25,56.5,41600
2007-01-10,56.49,56.49,55.75,56.0,75100
2007-01-11,56.0,56.049999,55.84,56.049999,36500
2007-01-12,55.88,56.0099983,55.7,55.95,28800
2007-01-16,55.95,55.95,55.78,55.88,28400
2007-01-17,55.82,55.96,55.19,55.82,80400
2007-01-18,55.63,55.65,55.0,55.029999,54700
2007-01-19,55.19,55.26,54.95,55.12,43600
2007-01-22,55.31,55.67,54.87,55.37,43500
2007-01-23,55.22,55.28,54.69,54.87,56000
2007-01-24,55.0099983,55.0099983,54.25,54.59,36100
2007-01-25,54.5,54.52,54.12,54.16,32500
2007-01-26,54.35,54.67,53.66,54.46,35700
2007-01-29,54.45,54.97,54.18,54.97,37000
2007-01-30,54.75,55.02,54.75,55.0,21900
2007-01-31,54.87,55.33,54.87,55.27,55500
2007-02-01,55.029999,55.45,55.029999,55.45,18800
2007-02-02,55.33,55.37,54.91,55.17,48200
2007-02-05,54.97,55.38,54.87,55.29,43000
2007-02-06,55.07,55.54,54.95,55.54,23200
2007-02-07,55.55,55.55,55.24,55.55,19100
2007-02-08,55.51,55.56,55.24,55.48,25800
2007-02-09,55.48,55.53,54.92,55.42,61100
2007-02-12,55.45,55.45,54.83,55.13,29600
2007-02-13,55.029999,55.34,55.0099983,55.31,38700
2007-02-14,55.17,55.32,54.9,55.23,58900
2007-02-15,55.25,55.3,54.89,55.080002,37100
2007-02-16,54.88,55.24,54.61,55.18,78300
2007-02-20,55.3,56.44,55.22,56.41,72400
2007-02-21,56.42,56.42,55.87,55.94,19400
2007-02-22,55.83,56.28,55.78,56.24,25400
2007-02-23,56.33,56.33,55.71,56.060001,22800
2007-02-26,56.07,56.22,55.64,55.92,28900
2007-02-27,55.099998,55.35,54.74,55.02,53800
2007-02-28,54.96,54.96,53.69,53.91,68200
2007-03-01,53.72,53.72,52.71,53.09,74400
2007-03-02,53.2,53.21,52.67,53.080002,63800
2007-03-05,52.72,52.72,52.099998,52.099998,54500
2007-03-06,52.07,52.96,52.02,52.54,39300
2007-03-07,52.6,52.94,52.38,52.94,32400
2007-03-08,53.0,53.0,52.4,52.77,35700
2007-03-09,52.93,52.94,52.67,52.9,30500
2007-03-12,53.0099983,53.19,52.87,53.09,28000
2007-03-13,53.09,53.21,52.5,52.5,34800
2007-03-14,52.41,52.64,51.76,52.17,46000
2007-03-15,52.32,53.29,51.75,53.28,31400
2007-03-16,53.049999,53.049999,51.95,52.029999,73600
2007-03-19,52.0099983,52.39,51.89,52.23,40900
2007-03-20,52.25,52.52,52.099998,52.4,46700
2007-03-21,52.4,52.8,52.17,52.79,23900
2007-03-22,52.79,52.93,52.42,52.42,48400
2007-03-23,52.57,53.34,52.22,52.27,59700
2007-03-26,52.16,52.67,52.15,52.67,26400
2007-03-27,52.73,52.73,52.43,52.72,42500
2007-03-28,52.84,52.96,52.43,52.88,36300
2007-03-29,52.82,52.9,52.67,52.84,31700
2007-03-30,52.71,52.87,52.43,52.77,32800
2007-04-02,52.95,52.95,52.57,52.67,34900
2007-04-03,52.45,53.35,52.2,52.84,57500
2007-04-04,52.89,52.89,52.52,52.63,49300
2007-04-05,52.78,52.88,52.63,52.88,23600
2007-04-09,52.95,52.95,52.47,52.7,27100
2007-04-10,52.57,53.099998,52.53,52.91,25500
2007-04-11,52.78,52.8,52.48,52.52,110600
2007-04-12,52.63,52.63,52.0099983,52.42,32000
2007-04-13,52.26,52.5,52.02,52.5,16300
2007-04-16,52.45,53.68,52.33,53.24,67100
2007-04-17,53.099998,53.52,52.94,53.02,43600
2007-04-18,53.040001,53.22,52.9,53.02,17500
2007-04-19,53.0,53.12,52.86,53.049999,19500
2007-04-20,53.37,53.37,53.049999,53.32,34700
2007-04-23,53.46,53.58,53.12,53.37,28000
2007-04-24,53.25,53.25,52.87,53.19,16900
2007-04-25,53.23,53.34,53.07,53.28,39700
2007-04-26,53.16,53.33,53.0,53.19,14200
2007-04-27,53.26,53.88,53.26,53.65,24500
2007-04-30,53.81,53.81,52.46,52.55,39400
2007-05-01,52.47,52.75,52.23,52.53,19400
2007-05-02,52.21,53.69,52.21,53.69,26900
2007-05-03,53.37,54.39,53.36,54.39,38900
2007-05-04,54.15,54.66,52.51,54.58,26800
2007-05-07,54.59,55.19,54.59,55.17,49600
2007-05-08,54.75,55.39,54.37,55.35,43700
2007-05-09,55.36,55.84,55.32,55.83,26800
2007-05-10,55.75,55.95,55.57,55.9,32700
2007-05-11,55.8,56.0,55.7,55.89,21300
2007-05-14,55.84,55.84,54.98,55.099998,49900
2007-05-15,55.049999,55.62,55.040001,55.040001,31100
2007-05-16,55.040001,55.37,55.0099983,55.24,24300
2007-05-17,55.3,55.58,54.95,55.23,56100
2007-05-18,55.16,55.44,55.0,55.080002,27900
2007-05-21,55.040001,55.58,55.040001,55.41,34400
2007-05-22,55.67,56.0,55.47,56.0,30600
