date,open,high,low,close,volume
2006-10-18,24.25,24.35,24.13,24.25,1150700
2006-10-19,24.26,24.36,24.16,24.31,1175800
2006-10-20,24.33,24.45,24.17,24.45,878200
2006-10-23,24.4,24.74,24.24,24.73,509700
2006-10-24,24.75,24.83,24.61,24.77,1098600
2006-10-25,24.75,24.96,24.74,24.95,1072900
2006-10-26,24.97,24.99,24.81,24.9,960500
2006-10-27,24.93,24.93,24.69,24.73,573800
2006-10-30,24.68,24.78,24.56,24.71,684900
2006-10-31,24.24,25.030001,24.23,25.01,1285400
2006-11-01,25.13,25.42,25.059999,25.12,1091900
2006-11-02,24.99,25.22,24.99,25.17,816700
2006-11-03,25.09,25.26,25.030001,25.15,503600
2006-11-06,25.4,25.97,25.25,25.4,1146300
2006-11-07,25.4,25.69,25.19,25.69,1392600
2006-11-08,25.69,26.040001,25.61,25.98,737500
2006-11-09,26.049999,26.1,25.77,25.95,488100
2006-11-10,26.02,26.31,25.93,26.3,521100
2006-11-13,26.25,26.28,26.16,26.22,428200
2006-11-14,26.17,26.48,26.15,26.47,644900
2006-11-15,26.51,26.74,26.41,26.7,761000
2006-11-16,26.78,27.040001,26.72,26.97,881100
2006-11-17,26.98,27.08,26.68,27.040001,1003200
2006-11-20,27.81,27.82,26.97,27.18,953900
2006-11-21,27.22,27.4,27.16,27.34,934200
2006-11-22,27.41,27.42,27.16,27.39,816300
2006-11-24,27.39,27.74,27.3,27.7,239000
2006-11-27,27.72,27.72,27.22,27.35,692200
2006-11-28,27.33,27.75,27.27,27.72,882300
2006-11-29,27.7,28.01,27.64,27.94,862200
2006-11-30,27.98,28.08,27.83,28.030001,876900
2006-12-01,28.0,28.37,28.0,28.3,886300
2006-12-04,28.35,28.82,28.3,28.59,837400
2006-12-05,28.53,28.9,28.47,28.81,694300
2006-12-06,28.75,28.75,28.43,28.49,810900
2006-12-07,28.44,28.62,27.97,28.0,1432700
2006-12-08,28.0,28.059999,27.63,27.87,856100
2006-12-11,27.85,27.91,27.67,27.71,1245400
2006-12-12,27.73,28.0,27.68,27.8,724500
2006-12-13,27.9,28.07,27.82,28.030001,691600
2006-12-14,28.07,28.32,28.01,28.17,568100
2006-12-15,28.18,28.25,27.94,28.0,745700
2006-12-18,28.07,28.15,27.74,27.85,494600
2006-12-19,27.9,28.0,27.74,27.98,647900
2006-12-20,28.02,28.11,27.78,27.87,554700
2006-12-21,27.85,28.049999,27.71,27.88,525400
2006-12-22,27.95,28.02,27.79,27.87,324700
2006-12-26,27.8,28.16,27.7,28.15,278900
2006-12-27,28.22,28.42,28.17,28.27,348500
2006-12-28,28.29,28.35,28.09,28.14,326000
2006-12-29,28.14,28.28,27.99,28.16,484000
2007-01-03,27.95,28.47,27.91,28.43,1418800
2007-01-04,28.4,28.46,28.16,28.2,757100
2007-01-05,28.12,28.17,27.43,27.61,720600
2007-01-08,27.54,27.82,27.49,27.76,606200
2007-01-09,27.73,27.81,27.44,27.74,555600
2007-01-10,27.72,27.87,27.5,27.71,840300
2007-01-11,27.77,27.9,27.67,27.72,595600
2007-01-12,27.75,27.87,27.55,27.69,500500
2007-01-16,27.61,27.98,27.58,27.67,663900
2007-01-17,27.6,27.73,27.5,27.59,621800
2007-01-18,27.65,27.65,27.18,27.4,752500
2007-01-19,27.34,27.63,27.31,27.57,433100
2007-01-22,27.6,27.63,27.34,27.61,452100
2007-01-23,27.54,27.58,27.34,27.44,704800
2007-01-24,27.53,27.76,27.31,27.73,474100
2007-01-25,27.65,27.72,27.33,27.44,396300
2007-01-26,27.5,27.6,27.15,27.55,301400
2007-01-29,27.5,27.74,27.34,27.43,502000
2007-01-30,27.47,27.61,27.39,27.55,411200
2007-01-31,27.55,27.79,27.41,27.65,593200
2007-02-01,27.78,27.87,27.7,27.79,730800
2007-02-02,27.77,27.91,27.75,27.8,714100
2007-02-05,27.73,28.26,27.65,28.13,731800
2007-02-06,28.21,28.44,28.13,28.43,408100
2007-02-07,28.51,28.64,28.37,28.58,449200
2007-02-08,28.51,28.77,28.49,28.68,777700
2007-02-09,28.76,29.0,28.65,28.8,550800
2007-02-12,28.88,29.0,28.79,28.88,600600
2007-02-13,28.95,29.11,28.77,28.9,597000
2007-02-14,28.95,29.29,28.95,29.1,537100
2007-02-15,29.15,29.25,28.96,29.09,416000
2007-02-16,29.11,29.18,28.93,29.049999,374200
2007-02-20,28.65,29.3,28.53,29.24,388600
2007-02-21,29.18,29.6,29.040001,29.39,750200
2007-02-22,29.37,29.62,29.25,29.37,951000
2007-02-23,29.4,29.77,29.34,29.71,854700
2007-02-26,29.94,30.059999,29.52,29.69,1507300
2007-02-27,29.25,29.38,28.73,29.030001,989000
2007-02-28,29.02,29.34,28.86,29.040001,1089300
2007-03-01,28.4,29.22,28.4,29.1,1442000
2007-03-02,29.030001,29.34,28.84,28.94,852700
2007-03-05,28.65,28.82,28.37,28.38,716600
