date,open,high,low,close,volume
2006-10-18,127.0,128.0099945,126.55,127.3,91600
2006-10-19,127.72,128.41,126.2,126.2,136200
2006-10-20,125.76,126.98,125.2,126.59,90300
2006-10-23,126.080002,128.0099945,125.56,128.0099945,78000
2006-10-24,127.94,128.14999,126.32,126.87,58600
2006-10-25,126.43,128.12,126.18,127.66,51500
2006-10-26,127.95,129.47,127.55,129.47,120700
2006-10-27,129.34,131.75,129.11,130.39999,409900
2006-10-30,131.0,133.059998,130.96001,132.28999,405900
2006-10-31,133.2,133.94,132.0099945,133.28,301300
2006-11-01,133.8,133.8,131.56,131.94,160200
2006-11-02,133.39999,133.5,128.11,129.050003,408300
2006-11-03,128.86,130.72,126.17,127.4,284500
2006-11-06,127.76,129.16,127.21,128.60001,165100
2006-11-07,128.39999,129.14999,127.5,127.53,115500
2006-11-08,127.36,128.52,126.49,127.97,74500
2006-11-09,127.37,129.020004,125.07,127.64,82200
2006-11-10,126.7,128.2,126.7,127.94,82700
2006-11-13,127.2,127.8,126.019997,127.21,82100
2006-11-14,127.75,128.2,126.72,128.17999,135300
2006-11-15,128.50999,128.50999,127.38,127.38,53600
2006-11-16,127.91,128.89,127.61,128.35001,91700
2006-11-17,128.14999,128.47,127.36,127.81,54800
2006-11-20,128.48,132.64,128.48,132.62,228700
2006-11-21,132.37,133.32001,131.95,133.2,194500
2006-11-22,132.67,133.99001,130.69,131.95,163200
2006-11-24,132.0,133.50999,131.55,133.47,20300
2006-11-27,132.89999,132.99001,128.52,128.53,107200
2006-11-28,127.53,128.39,127.080002,127.5,162200
2006-11-29,127.85,130.98,127.85,130.17,191800
2006-11-30,129.92,133.19,129.92,132.039993,290500
2006-12-01,132.28999,133.39,130.69,131.75,100800
2006-12-04,132.31,133.71001,132.14999,132.8,94500
2006-12-05,132.029999,133.66,131.35001,133.0,259900
2006-12-06,132.10001,132.89999,130.50999,131.8,241100
2006-12-07,132.27,132.71001,131.44,131.72,174700
2006-12-08,131.72,132.66,131.0,131.0,109600
2006-12-11,131.10001,132.55,130.52,131.97,180400
2006-12-12,132.64999,132.99001,131.37,131.58,70300
2006-12-13,131.8,132.039993,130.0,130.7,79700
2006-12-14,131.77,132.059998,130.13,130.61,376500
2006-12-15,131.0,131.89999,129.39999,129.39999,110800
2006-12-18,129.3,130.22,128.67999,129.2,166300
2006-12-19,128.5,128.59,126.3,126.95,209700
2006-12-20,127.4,128.85001,127.0,128.020004,84100
2006-12-21,127.77,128.50999,127.15,127.75,131100
2006-12-22,128.0,128.2,125.69,126.040001,136300
2006-12-26,125.55,127.07,125.55,126.8,70600
2006-12-27,126.2,127.75,126.2,127.75,61000
2006-12-28,127.75,127.76,126.76,127.35,113800
2006-12-29,127.35,129.82001,127.35,129.25,136800
2007-01-03,130.10001,130.10001,128.020004,129.25,203300
2007-01-04,129.14,130.13,128.0,129.12,187100
2007-01-05,128.25,129.039993,127.32,127.52,134200
2007-01-08,127.6,127.62,125.97,126.5,184000
2007-01-09,126.75,128.7,126.5,128.45,107100
2007-01-10,128.0,131.039993,127.73,130.85001,90700
2007-01-11,131.3,133.72,131.3,131.47,156900
2007-01-12,130.89999,133.36,130.89999,132.98,68100
2007-01-16,132.89999,136.63,132.89999,136.34,142500
2007-01-17,135.8,136.92999,134.57001,136.16,118500
2007-01-18,136.16,137.25,135.47,136.3,134800
2007-01-19,137.78,137.78,136.050003,137.47,162600
2007-01-22,138.0,138.0,135.88,136.23,141500
2007-01-23,136.7,138.85001,136.5,138.32001,165700
2007-01-24,138.32001,139.3,137.72,138.89999,179800
2007-01-25,139.5,142.95,139.28,141.2,208100
2007-01-26,141.2,142.60001,139.22,141.97,469300
