date,open,high,low,close,volume
2006-10-18,37.7,37.755,36.72,36.885,2373400
2006-10-19,36.885,36.885,36.48,36.73,1232400
2006-10-20,36.735,36.735,35.725,36.205,2678600
2006-10-23,36.0050011,36.91,35.875,36.56,1604600
2006-10-24,36.325,36.915,36.325,36.84,1529400
2006-10-25,37.0,37.080002,36.42,36.945,1634800
2006-10-26,37.0,37.125,36.57,36.98,1836200
2006-10-27,36.725,36.81,36.42,36.495,1696600
2006-10-30,36.4,36.63,36.09,36.215,1633200
2006-10-31,36.22,36.38,35.955,36.215,2081600
2006-11-01,36.45,36.475,35.62,35.715,1594400
2006-11-02,35.4,35.93,35.33,35.875,1880800
2006-11-03,36.325,36.45,35.525,35.72,2221600
2006-11-06,35.75,36.64,35.72,36.58,2319400
2006-11-07,36.485,36.69,36.265,36.585,1573800
2006-11-08,36.3,36.95,36.26,36.815,1803200
2006-11-09,36.75,37.115,36.665,36.795,2056000
2006-11-10,36.89,37.4,36.89,37.4,1257000
2006-11-13,37.4,37.495,37.17,37.435,1571200
2006-11-14,37.525,37.75,37.26,37.64,2112400
2006-11-15,37.64,38.075001,37.55,37.9,1570400
2006-11-16,37.95,38.025002,37.605,37.765,1554400
2006-11-17,37.615,37.845,37.48,37.8,1924200
2006-11-20,37.8,38.34,37.56,38.205,2793600
2006-11-21,38.15,38.365,38.099998,38.175,1682000
2006-11-22,38.17,38.395,38.084999,38.3,1309000
2006-11-24,38.049999,38.5,37.965,38.26,598800
2006-11-27,38.19,38.56,37.77,37.825,1754200
2006-11-28,37.7,37.76,37.465,37.61,1429000
2006-11-29,37.9,38.235,37.68,37.975,1493200
2006-11-30,38.075001,38.675,38.064999,38.54,1369200
2006-12-01,38.595,38.89,38.125,38.42,2626400
2006-12-04,38.42,39.044998,38.325,39.02,1671200
2006-12-05,38.85,39.235,38.815,38.875,2320400
2006-12-06,38.675,39.245,38.675,39.055,1460000
2006-12-07,38.995,39.3,38.91,39.09,1082200
2006-12-08,39.0050011,39.42,38.95,39.19,1163000
2006-12-11,38.75,38.795,38.305,38.51,3507200
2006-12-12,38.685,38.685,38.049999,38.495,2707600
2006-12-13,38.8,38.81,38.48,38.51,1254000
2006-12-14,38.36,39.025002,38.34,38.945,1533400
2006-12-15,39.029999,39.029999,37.26,37.4,4878600
2006-12-18,37.465,37.825,37.325,37.5,2653000
2006-12-19,37.5,37.795,37.2,37.795,1900600
2006-12-20,37.845,38.215,37.735,38.080002,1276400
2006-12-21,38.15,38.23,37.67,37.67,1231400
2006-12-22,38.0,38.0,37.16,37.23,1280200
2006-12-26,37.3,37.485,37.19,37.33,633200
2006-12-27,37.45,37.81,37.45,37.715,909800
2006-12-28,37.45,37.965,37.45,37.9,851600
2006-12-29,37.845,37.85,37.525,37.57,814400
2007-01-03,37.445,37.96,37.445,37.595,2639600
2007-01-04,37.59,37.82,37.26,37.63,1442000
2007-01-05,37.375,37.585,37.14,37.31,1275800
2007-01-08,37.25,37.46,36.945,37.29,2029000
2007-01-09,36.95,37.26,36.7,37.11,2994800
2007-01-10,37.080002,37.195,36.61,37.125,3783800
2007-01-11,36.09,37.315,35.955,37.14,5331800
2007-01-12,37.15,37.26,36.925,37.26,2751800
2007-01-16,37.41,37.58,37.205,37.575,1623000
2007-01-17,37.75,38.84,37.65,38.415,3582000
2007-01-18,38.13,38.54,38.044998,38.17,2118400
2007-01-19,38.45,39.115,38.375,38.825,2878600
2007-01-22,38.605,38.605,36.09,36.9,8213200
2007-01-23,37.075001,38.060001,36.95,38.035,3895200
2007-01-24,37.9,38.099998,37.63,37.955,1983200
2007-01-25,37.79,37.94,37.48,37.495,2491600
2007-01-26,37.47,37.905,37.405,37.825,2434400
2007-01-29,37.83,38.285,37.595,38.125,3970000
2007-01-30,38.285,38.5,37.955,38.48,3078400
2007-01-31,38.48,39.29,38.35,39.175,2392200
2007-02-01,39.02,39.275,38.815,39.175,2402600
2007-02-02,38.955,39.5,38.845,39.31,1883400
2007-02-05,39.25,39.555,39.125,39.41,1653400
2007-02-06,39.335,39.335,38.945,39.055,1875000
