date,open,high,low,close,volume
2006-10-18,42.25,42.77,42.22,42.68,5330800
2006-10-19,42.68,42.76,42.47,42.66,2426600
2006-10-20,42.77,42.92,42.42,42.65,3102600
2006-10-23,42.44,42.84,42.44,42.73,2572800
2006-10-24,42.099998,42.73,42.09,42.6,4029000
2006-10-25,42.73,43.38,42.71,43.25,3595400
2006-10-26,43.23,43.39,43.09,43.22,2186400
2006-10-27,43.099998,43.37,43.099998,43.23,2052400
2006-10-30,43.43,43.43,43.13,43.3,1713800
2006-10-31,43.45,43.47,42.85,42.91,3132400
2006-11-01,43.029999,43.31,42.77,43.099998,3793800
2006-11-02,43.09,43.13,42.46,42.65,2103200
2006-11-03,42.47,42.55,41.99,42.13,2740000
2006-11-06,42.76,43.080002,42.4,42.98,4742000
2006-11-07,42.98,43.16,42.89,42.94,2291600
2006-11-08,42.55,43.23,42.55,43.07,1461400
2006-11-09,43.07,43.27,43.02,43.16,1292800
2006-11-10,43.2,43.43,43.17,43.37,2170400
2006-11-13,43.35,43.98,43.26,43.82,5818200
2006-11-14,43.88,44.02,43.63,44.0099983,2505000
2006-11-15,43.98,44.31,43.95,44.3,2717800
2006-11-16,44.5,44.92,44.48,44.59,3626400
2006-11-17,44.4,44.71,44.33,44.67,2343000
2006-11-20,44.5,44.78,44.48,44.69,1804600
2006-11-21,44.5,44.61,44.45,44.52,1463000
2006-11-22,44.49,44.84,44.49,44.67,1350200
2006-11-24,44.55,44.73,44.52,44.66,486200
2006-11-27,44.53,44.89,44.45,44.65,2461800
2006-11-28,44.58,44.98,44.28,44.95,2716000
2006-11-29,44.97,45.74,44.94,45.73,2365400
2006-11-30,45.59,45.79,45.38,45.66,2474400
2006-12-01,45.55,45.91,45.25,45.41,3054600
2006-12-04,45.69,46.049999,45.57,46.0,2642400
2006-12-05,46.0,46.34,45.93,45.98,2398400
2006-12-06,45.96,46.22,45.79,46.060001,2414000
2006-12-07,46.099998,46.2,45.73,45.77,1928800
2006-12-08,45.77,45.94,45.54,45.62,1679600
2006-12-11,45.7,46.0,45.62,45.94,1491400
2006-12-12,46.0,46.2,45.74,46.14,1990200
2006-12-13,46.13,46.35,46.0,46.17,1438800
2006-12-14,46.2,46.43,45.94,46.21,2659400
2006-12-15,46.2,46.3,46.049999,46.3,2151600
2006-12-18,46.24,46.55,46.060001,46.17,1761200
2006-12-19,46.24,46.72,46.2,46.62,2254000
2006-12-20,46.62,47.02,46.55,46.64,1621000
2006-12-21,46.6,46.82,46.41,46.5,1178200
2006-12-22,46.52,46.58,46.22,46.4,1361200
2006-12-26,46.4,46.59,46.33,46.49,673000
2006-12-27,46.73,46.75,46.4,46.51,841800
2006-12-28,46.38,46.61,46.16,46.17,1062800
2006-12-29,46.16,46.36,46.09,46.16,1244600
2007-01-03,46.16,46.71,46.049999,46.49,2639800
2007-01-04,46.49,47.080002,46.3,47.040001,5220800
