date,open,high,low,close,volume
2006-10-18,3.88917,3.9,3.83667,3.85417,9912000
2006-10-19,3.84667,3.89,3.83,3.85083,7849200
2006-10-20,3.72917,3.75667,3.67083,3.7,15037200
2006-10-23,3.69667,3.69667,3.65583,3.66667,7070400
2006-10-24,3.65667,3.70417,3.65417,3.69083,7470000
2006-10-25,3.685,3.71667,3.67583,3.69667,4424400
2006-10-26,3.7,3.72333,3.66667,3.71583,4299600
2006-10-27,3.70583,3.70583,3.66917,3.67,2824800
2006-10-30,3.6625,3.675,3.62833,3.62917,5157600
2006-10-31,3.61667,3.61667,3.55917,3.5775,9180000
2006-11-01,3.55667,3.59083,3.52417,3.56,7880400
2006-11-02,3.54167,3.57,3.52833,3.56333,5036400
2006-11-03,3.56333,3.62917,3.55667,3.6125,4435200
2006-11-06,3.6125,3.66,3.59167,3.64333,4410000
2006-11-07,3.64667,3.6675,3.62917,3.6325,2576400
2006-11-08,3.62333,3.6625,3.6225,3.65083,4076400
2006-11-09,3.65333,3.65667,3.6,3.6,5814000
2006-11-10,3.6,3.60417,3.5775,3.59917,3642000
2006-11-13,3.58917,3.5975,3.54833,3.57,4692000
2006-11-14,3.56667,3.60333,3.52667,3.60083,3958800
2006-11-15,3.60333,3.65417,3.6025,3.63917,3408000
2006-11-16,3.65083,3.6725,3.63167,3.6725,3867600
2006-11-17,3.67,3.685,3.6625,3.67167,2800800
2006-11-20,3.67417,3.72,3.66417,3.685,5006400
2006-11-21,3.68917,3.74833,3.68333,3.72833,5156400
2006-11-22,3.73083,3.74667,3.71833,3.74583,2874000
2006-11-24,3.7325,3.75667,3.73083,3.74417,1482000
2006-11-27,3.74417,3.77917,3.72333,3.74333,7600800
2006-11-28,3.74083,3.7825,3.73917,3.77417,5947200
2006-11-29,3.78417,3.83417,3.78417,3.82167,3750000
2006-11-30,3.82083,3.85,3.80917,3.82,3835200
2006-12-01,3.8125,3.835,3.78667,3.83083,3339600
2006-12-04,3.83333,3.90833,3.83333,3.89417,3582000
2006-12-05,3.9,3.9,3.8625,3.88333,1827600
2006-12-06,3.88333,3.89333,3.87167,3.88417,1947600
2006-12-07,3.8825,3.8975,3.8625,3.8675,3349200
2006-12-08,3.8675,3.89,3.85833,3.88333,3667200
2006-12-11,3.895,3.97917,3.895,3.93083,6939600
2006-12-12,3.93083,3.9775,3.92833,3.9725,5078400
2006-12-13,3.98333,3.99417,3.92917,3.95167,3513600
2006-12-14,3.95833,3.98917,3.94083,3.94333,3039600
2006-12-15,3.95,4.016667,3.95,4.001667,4078800
2006-12-18,4.001667,4.039167,4.001667,4.025833,3339600
2006-12-19,4.016667,4.025,3.95583,3.995,3409200
2006-12-20,3.99167,4.015833,3.97833,4.0050001,1959600
2006-12-21,4.0058331,4.036667,3.9575,3.96583,2637600
2006-12-22,3.9625,3.97417,3.93833,3.94,1719600
2006-12-26,3.93333,3.98833,3.9275,3.975,1108800
2006-12-27,3.975,4.0033331,3.9675,3.98917,1010400
2006-12-28,3.98083,4.034167,3.97583,3.99,1965600
2006-12-29,3.99083,3.99167,3.92,3.92,1803600
2007-01-03,3.895,4.015,3.83833,3.995,4191600
2007-01-04,3.99583,4.020833,3.98667,4.001667,2203200
2007-01-05,3.98583,4.001667,3.94917,3.99167,1730400
2007-01-08,3.98417,3.98667,3.94333,3.9675,3348000
2007-01-09,3.9675,4.021667,3.965,4.0033331,2149200
2007-01-10,3.99167,4.011667,3.97833,4.0033331,1556400
2007-01-11,4.0075002,4.069167,4.0075002,4.041667,2216400
2007-01-12,4.035833,4.12417,4.035833,4.10667,4752000
2007-01-16,4.1075,4.11667,4.1,4.10583,3079200
2007-01-17,4.090833,4.12333,4.090833,4.10917,3259200
2007-01-18,4.11167,4.14917,4.10417,4.12,2918400
2007-01-19,4.10333,4.11583,4.095833,4.105,3490800
2007-01-22,4.10833,4.14583,4.1025,4.13917,2920800
2007-01-23,4.13083,4.1625,4.11417,4.14333,2692800
2007-01-24,4.12917,4.17417,4.12833,4.17417,2108400
2007-01-25,4.16833,4.185,4.14917,4.18083,3336000
2007-01-26,4.18333,4.26083,4.17917,4.25167,4687200
2007-01-29,4.25167,4.27917,4.225,4.27167,9842400
2007-01-30,4.25583,4.275,4.22833,4.26583,6704400
2007-01-31,4.25667,4.2725,4.22667,4.26333,5030400
2007-02-01,4.26333,4.27833,4.2375,4.27167,3525600
2007-02-02,4.29083,4.33333,4.25417,4.31917,6817200
2007-02-05,4.31667,4.37583,4.27917,4.35417,6387600
2007-02-06,4.13333,4.2375,4.071667,4.16417,14065200
2007-02-07,4.1725,4.24833,4.1725,4.2175,5050800
2007-02-08,4.21333,4.27833,4.21333,4.24333,3271200
2007-02-09,4.24167,4.27167,4.20417,4.21583,2989200
2007-02-12,4.22417,4.27667,4.22083,4.2475,3178800
2007-02-13,4.24667,4.27083,4.24667,4.25667,2211600
2007-02-14,4.25667,4.31667,4.25417,4.30083,2835600
2007-02-15,4.28417,4.3625,4.28417,4.34167,3051600
