date,open,high,low,close,volume
2006-10-18,47.39,47.91,46.22,46.54,2160300
2006-10-19,46.65,48.86,46.3,48.11,1657500
2006-10-20,48.31,48.67,47.39,47.65,1362100
2006-10-23,47.0099983,48.88,46.52,47.38,1428200
2006-10-24,47.24,48.35,46.8,48.22,1241900
2006-10-25,47.97,48.89,47.55,48.58,993300
2006-10-26,48.99,48.99,47.39,48.0,1664100
2006-10-27,47.52,48.31,46.96,47.02,900500
2006-10-30,47.049999,48.73,47.049999,48.66,1399000
2006-10-31,48.84,48.9,46.82,47.41,1335900
2006-11-01,47.84,48.43,46.35,46.62,1678300
2006-11-02,46.47,46.83,45.47,46.52,1099500
2006-11-03,47.5,47.61,45.9,46.09,1309000
2006-11-06,46.23,48.02,46.23,47.37,1121700
2006-11-07,45.98,48.12,45.17,46.62,2191700
2006-11-08,46.099998,46.31,45.029999,45.16,2722600
2006-11-09,45.09,45.39,44.55,44.91,2665700
2006-11-10,45.09,46.74,44.87,46.65,1843600
2006-11-13,46.8,47.12,46.4,46.99,1285500
2006-11-14,46.49,47.18,46.09,46.72,1740500
2006-11-15,46.69,47.02,46.4,46.65,1389100
2006-11-16,46.91,47.73,46.53,47.68,1340100
2006-11-17,47.49,47.8,46.46,46.65,1457800
2006-11-20,46.51,46.86,45.62,46.75,1099300
2006-11-21,46.71,47.37,46.67,47.22,1438600
2006-11-22,46.99,47.22,46.67,46.95,955800
2006-11-24,46.51,46.94,46.040001,46.83,514900
2006-11-27,46.49,46.91,45.9,46.28,1171800
2006-11-28,46.080002,46.25,45.55,45.65,1211800
2006-11-29,45.85,46.24,45.29,46.14,1074700
2006-11-30,46.21,46.5,44.83,45.22,1960800
2006-12-01,45.3,45.75,43.98,45.0099983,1746600
2006-12-04,45.27,46.14,44.54,45.29,1564100
2006-12-05,45.26,45.5,44.63,45.18,1069900
2006-12-06,44.95,45.18,44.36,44.46,1041900
2006-12-07,44.48,44.96,43.97,44.099998,1420100
2006-12-08,44.0,44.47,43.61,43.68,1488100
2006-12-11,43.37,43.53,42.5,43.049999,1949700
2006-12-12,43.060001,43.21,42.22,42.51,2106100
2006-12-13,42.57,43.17,42.049999,42.5,1546300
2006-12-14,42.66,43.96,42.42,43.79,2125100
2006-12-15,43.7,44.49,43.33,43.33,2423000
2006-12-18,43.68,43.73,41.84,42.21,1551400
2006-12-19,41.82,42.049999,41.46,41.58,1569700
2006-12-20,41.36,41.59,40.14,40.94,2243100
2006-12-21,41.060001,41.07,39.79,40.22,1587400
2006-12-22,40.07,40.55,40.0099983,40.43,1363400
2006-12-26,40.26,40.6,40.029999,40.42,691300
2006-12-27,40.73,41.3,40.45,41.23,1262100
2006-12-28,40.91,41.19,40.55,40.95,938400
2006-12-29,40.95,41.19,40.34,40.5,836100
2007-01-03,41.13,42.49,40.5,41.79,2343300
2007-01-04,41.85,42.3,41.33,42.21,1386100
2007-01-05,41.96,42.0,41.32,41.78,1437700
2007-01-08,41.77,42.49,41.31,42.33,2047000
2007-01-09,42.27,42.82,41.12,41.37,2031800
2007-01-10,41.029999,41.6,40.62,41.56,1557500
2007-01-11,43.040001,43.72,42.45,42.69,2043800
2007-01-12,42.58,43.94,42.58,43.94,1392200
2007-01-16,44.040001,45.46,44.0,45.060001,1869300
2007-01-17,44.8,45.44,44.71,44.95,1172000
2007-01-18,45.060001,45.43,43.8,43.8,1424000
2007-01-19,43.46,44.62,43.46,44.19,1202900
2007-01-22,44.43,44.43,42.92,43.37,1142600
2007-01-23,43.33,43.57,43.029999,43.25,955100
2007-01-24,43.38,44.18,42.96,43.97,968700
2007-01-25,43.56,43.67,41.75,42.060001,2318900
2007-01-26,42.09,42.18,41.0,41.33,1834000
2007-01-29,41.22,41.78,40.96,41.45,1553900
2007-01-30,41.3,41.53,40.75,40.91,1416400
2007-01-31,41.15,43.13,41.15,42.69,5267200
2007-02-01,42.6,44.25,42.6,43.98,3500600
2007-02-02,44.15,44.74,43.46,44.0,2480000
2007-02-05,43.9,43.9,42.7,43.099998,2151900
2007-02-06,43.16,43.48,42.5,43.060001,1833900
2007-02-07,42.93,44.18,42.7,44.14,3352800
2007-02-08,44.099998,45.77,43.95,45.43,3046700
2007-02-09,45.53,45.53,44.099998,44.44,1760400
2007-02-12,44.44,44.99,43.35,43.67,1460600
2007-02-13,39.18,48.53,38.31,43.58,12358500
2007-02-14,43.33,44.51,42.9,44.099998,4618200
2007-02-15,43.87,44.85,43.76,44.78,2451600
2007-02-16,44.57,45.35,44.57,45.099998,2269200
2007-02-20,45.61,46.51,45.61,46.0099983,4735200
2007-02-21,45.69,46.23,45.55,46.17,2042500
2007-02-22,46.2,46.61,46.060001,46.49,1755200
2007-02-23,46.62,47.12,46.2,47.0099983,1671900
2007-02-26,47.0099983,47.35,45.45,45.91,2626200
2007-02-27,45.029999,45.94,44.52,45.3,3932800
2007-02-28,45.060001,45.55,44.52,44.85,3114900
2007-03-01,44.060001,45.63,43.28,45.6,3264700
2007-03-02,45.45,45.88,44.86,45.080002,2894100
2007-03-05,44.57,45.049999,44.080002,44.43,2369300
2007-03-06,44.81,44.93,44.26,44.51,2273000
2007-03-07,44.41,44.67,44.080002,44.37,2241400
2007-03-08,44.81,44.88,44.47,44.65,1847200
2007-03-09,45.0,45.37,44.13,44.76,1562300
2007-03-12,44.59,45.0099983,44.28,44.45,1156800
2007-03-13,44.080002,44.18,42.93,42.94,2124400
2007-03-14,42.9,43.13,41.66,42.71,2286400
2007-03-15,42.79,42.88,42.049999,42.25,2004700
2007-03-16,41.9,42.24,41.28,42.0099983,2169200
2007-03-19,42.28,42.45,41.72,42.31,1057800
2007-03-20,42.4,42.58,41.97,42.27,1406500
2007-03-21,42.3,43.07,41.5,42.89,1475400
2007-03-22,43.15,43.59,42.6,42.85,1099900
2007-03-23,43.02,43.61,42.93,43.2,961000
2007-03-26,43.11,43.2,42.02,42.48,1223000
2007-03-27,42.34,42.38,41.75,42.040001,1098100
2007-03-28,41.76,41.98,40.82,41.099998,2025200
2007-03-29,41.060001,41.36,40.64,41.33,1526700
2007-03-30,41.48,41.78,40.93,41.32,1117900
2007-04-02,41.14,41.38,40.74,41.19,1279800
2007-04-03,41.24,42.060001,41.19,41.92,1324900
2007-04-04,42.040001,42.14,41.66,42.14,1126600
2007-04-05,41.89,42.54,41.76,42.43,1145400
2007-04-09,42.43,43.52,42.41,42.44,1294000
2007-04-10,42.36,42.7,42.09,42.33,1007800
2007-04-11,42.39,42.4,40.88,41.060001,1489800
2007-04-12,40.83,42.0,40.51,41.63,1629800
2007-04-13,41.51,41.81,41.27,41.6,962900
2007-04-16,41.53,42.3,41.11,41.73,1621100
2007-04-17,41.66,42.16,41.56,41.75,1098800
2007-04-18,41.75,42.44,41.74,41.94,1358400
2007-04-19,41.64,41.88,41.099998,41.3,1288600
2007-04-20,41.57,42.71,41.099998,41.5,2620900
2007-04-23,41.5,41.88,41.080002,41.29,1477400
2007-04-24,41.46,41.54,40.8,41.37,1534800
2007-04-25,42.15,44.099998,42.0099983,43.31,2695200
2007-04-26,42.87,43.15,42.060001,42.71,2012300
2007-04-27,42.66,43.029999,42.21,42.75,1322400
2007-04-30,42.91,43.0099983,41.73,41.8,1373800
2007-05-01,41.8,42.42,41.33,42.15,1759300
2007-05-02,41.99,43.29,41.85,42.9,2435300
2007-05-03,45.58,48.7,42.74,45.13,5208600
2007-05-04,44.99,45.99,44.89,45.92,2451500
2007-05-07,45.56,45.99,45.14,45.48,1394700
2007-05-08,45.3,45.89,44.35,45.66,1562400
2007-05-09,45.34,45.5,44.56,45.25,1342600
2007-05-10,45.2,45.2,43.8,44.029999,1270700
2007-05-11,44.15,44.75,43.83,44.49,1277600
2007-05-14,44.5,44.68,43.64,44.080002,1100200
2007-05-15,43.92,44.43,43.51,43.72,1249200
2007-05-16,44.080002,45.0,43.76,44.9,1688200
2007-05-17,44.86,45.09,44.2,44.34,1596800
2007-05-18,44.56,44.85,43.83,44.3,1302400
2007-05-21,44.14,45.0,44.0,44.45,817400
2007-05-22,44.3,44.45,43.72,43.95,1061200
2007-05-23,43.94,44.29,43.61,43.67,1105700
2007-05-24,43.67,44.25,42.72,42.88,1744100
2007-05-25,43.0,43.16,42.73,42.82,1109900
2007-05-29,42.78,43.29,42.28,43.2,1420400
2007-05-30,42.95,43.11,42.13,43.11,1484500
2007-05-31,43.060001,43.75,42.94,43.66,1610200
2007-06-01,43.85,44.82,43.57,44.65,1819000
2007-06-04,44.43,44.48,43.7,44.38,1379900
2007-06-05,44.3,44.3,43.13,43.55,1364700
2007-06-06,43.47,43.5,42.21,42.86,1588500
2007-06-07,42.67,43.37,42.25,42.26,2047100
2007-06-08,42.13,42.7,41.51,42.59,1276100
2007-06-11,42.62,42.99,41.96,42.41,985000
2007-06-12,42.12,42.38,41.81,41.87,1353200
2007-06-13,41.98,42.27,41.55,42.080002,1568600
2007-06-14,42.0099983,42.8,42.0099983,42.61,1622900
2007-06-15,43.07,43.59,41.89,42.3,2972000
2007-06-18,42.25,42.3,41.29,41.62,1906600
2007-06-19,41.35,41.86,40.81,41.77,1434100
2007-06-20,41.8,42.5,40.85,41.17,2689600
2007-06-21,41.15,41.87,40.8,41.6,1312100
2007-06-22,41.39,42.040001,41.080002,41.46,1984200
2007-06-25,41.62,42.4,41.28,42.12,1888800
2007-06-26,42.3,42.49,41.7,42.040001,2123500
2007-06-27,41.82,42.36,41.2,42.23,1498000
2007-06-28,42.21,42.45,41.89,42.22,1537900
2007-06-29,42.17,42.29,41.040001,41.3,1932700
2007-07-02,41.45,41.98,41.45,41.83,1473500
2007-07-03,41.71,42.27,41.52,42.15,581700
2007-07-05,42.0,42.0,41.080002,41.6,1020200
2007-07-06,41.78,42.029999,41.099998,41.76,1172000
2007-07-09,42.86,43.8,42.61,43.53,2325800
2007-07-10,43.53,44.060001,43.32,43.95,2467200
2007-07-11,44.0,44.99,43.9,44.92,2124800
2007-07-12,45.049999,45.37,44.75,45.37,1690800
2007-07-13,45.45,45.78,45.080002,45.71,1087200
2007-07-16,45.52,46.14,45.34,45.9,2670500
2007-07-17,46.049999,46.66,45.69,46.54,2004000
2007-07-18,46.54,46.99,45.9,46.54,1673200
2007-07-19,46.64,47.18,46.42,46.9,1191500
2007-07-20,46.96,46.96,45.75,46.42,1624000
2007-07-23,46.95,47.16,46.3,47.09,1787200
2007-07-24,47.14,47.31,45.8,46.15,1681900
2007-07-25,46.02,46.7,45.099998,45.69,1745900
2007-07-26,45.15,45.35,44.0,44.71,1936500
2007-07-27,44.92,45.35,43.81,44.81,2197700
2007-07-30,45.049999,45.3,44.4,45.080002,2257500
2007-07-31,44.54,46.11,44.54,44.68,2779200
2007-08-01,44.68,45.34,43.76,45.26,2055300
2007-08-02,45.029999,46.0099983,44.71,46.0,1586300
2007-08-03,46.2,46.39,44.75,44.85,1383300
2007-08-06,44.77,47.0,44.63,46.99,2047900
2007-08-07,46.029999,50.25,45.65,49.66,2850900
2007-08-08,49.58,53.42,49.26,52.68,3202000
2007-08-09,51.42,54.46,50.74,52.36,4255600
2007-08-10,51.3,51.8,47.6,47.78,4135300
2007-08-13,48.48,48.67,46.87,47.74,1892300
2007-08-14,47.66,48.029999,46.25,46.49,1205100
2007-08-15,46.67,47.86,45.25,45.31,1509500
2007-08-16,45.25,46.080002,42.88,44.17,2640000
2007-08-17,45.0,46.0,43.81,45.15,1921300
2007-08-20,45.87,46.46,44.96,45.83,1308300
2007-08-21,45.02,45.86,44.099998,44.27,1383700
2007-08-22,44.75,45.61,44.39,45.27,1392900
2007-08-23,45.73,45.75,44.69,45.14,1046500
2007-08-24,44.94,45.78,44.72,45.78,908100
2007-08-27,45.52,45.72,45.0099983,45.16,701800
2007-08-28,44.77,45.16,43.19,43.25,1208900
2007-08-29,43.44,44.57,42.65,44.52,1018500
2007-08-30,44.66,44.95,43.49,43.81,1067400
2007-08-31,44.42,44.7,43.93,44.17,972200
2007-09-04,43.35,44.91,43.35,44.65,993400
2007-09-05,44.4,44.76,43.55,43.64,1313900
2007-09-06,43.96,44.13,42.76,43.080002,1934000
2007-09-07,42.8,43.0,42.09,42.44,1871300
2007-09-10,42.75,43.42,42.41,42.89,1941500
2007-09-11,43.27,43.53,42.92,43.39,906300
2007-09-12,43.25,43.25,42.26,42.37,1096200
2007-09-13,42.8,43.58,42.33,43.080002,1376300
2007-09-14,42.55,43.77,42.51,43.68,1309000
2007-09-17,43.36,43.86,42.75,42.8,892500
2007-09-18,43.11,44.59,42.45,44.56,1172000
2007-09-19,44.56,45.6,44.45,45.37,1382500
2007-09-20,45.15,45.24,44.23,44.33,1083600
2007-09-21,44.16,45.12,44.16,44.8,2727600
2007-09-24,45.0,45.76,44.61,45.18,1055900
2007-09-25,45.07,45.94,44.58,45.88,1398900
2007-09-26,46.0,46.71,45.5,46.32,859700
2007-09-27,46.65,47.080002,45.9,47.049999,693900
2007-09-28,46.91,47.5,46.83,47.3,891800
2007-10-01,47.35,48.19,47.3,48.19,1421700
2007-10-02,48.040001,48.61,47.86,48.5,1380700
2007-10-03,48.11,48.64,47.88,48.0099983,1252700
2007-10-04,48.0,48.46,47.55,47.98,1272300
2007-10-05,48.23,50.09,47.79,50.049999,1936700
2007-10-08,49.52,49.93,48.85,49.91,927100
2007-10-09,51.55,52.36,51.14,51.86,36802800
2007-10-10,51.65,52.27,50.96,50.96,5610500
2007-10-11,50.19,51.029999,49.16,49.55,4061200
2007-10-12,49.55,50.3,49.16,50.19,1849200
2007-10-15,50.049999,50.22,49.19,49.43,2655900
2007-10-16,49.47,49.59,48.72,48.84,2111800
2007-10-17,49.44,49.9,48.14,49.11,1716100
2007-10-18,49.0,49.8,48.11,49.78,1142100
2007-10-19,49.71,50.0,47.45,47.45,2162800
2007-10-22,47.38,49.12,47.17,48.89,933300
2007-10-23,48.37,49.2,47.91,48.87,1100800
2007-10-24,48.27,49.0,47.28,48.58,1556300
2007-10-25,48.79,49.56,47.8,48.68,1313500
2007-10-26,49.47,49.47,48.0,48.95,731500
2007-10-29,49.07,49.74,48.14,49.2,1140600
2007-10-30,48.9,49.64,48.64,49.19,942500
2007-10-31,49.45,51.040001,48.95,50.65,1803100
2007-11-01,50.39,50.5,48.7,48.9,1430300
2007-11-02,49.39,50.71,48.59,50.64,1389400
2007-11-05,50.0,50.5,48.9,49.93,1500700
2007-11-06,51.0099983,53.48,50.63,53.34,3145200
2007-11-07,51.29,51.29,46.84,46.86,3869700
2007-11-08,47.46,48.25,46.55,47.5,2630100
2007-11-09,46.65,47.49,45.36,45.36,1980100
2007-11-12,45.41,46.67,45.13,45.25,2027000
2007-11-13,45.65,46.65,44.46,46.62,1887100
2007-11-14,46.63,46.63,45.09,45.33,1570500
2007-11-15,45.080002,46.099998,44.77,45.09,1656700
2007-11-16,45.4,45.5,43.73,44.47,1927900
2007-11-19,44.19,45.15,43.59,43.93,1533900
2007-11-20,44.0,45.0,42.61,43.58,1443200
2007-11-21,43.31,44.65,42.8,43.49,1453800
2007-11-23,43.61,43.96,43.23,43.64,391800
2007-11-26,43.23,44.29,42.65,42.72,1194000
2007-11-27,42.58,44.4,42.44,43.71,2057300
2007-11-28,44.41,45.11,43.37,45.07,1520900
2007-11-29,44.5,45.0,43.85,44.62,1162600
2007-11-30,45.0,46.94,44.95,46.92,1692600
2007-12-03,45.55,47.22,45.54,45.97,1444800
2007-12-04,45.46,46.67,44.8,46.21,991900
2007-12-05,46.83,48.0,46.21,47.46,1420500
2007-12-06,47.95,48.15,46.09,47.77,1311900
2007-12-07,47.77,48.91,47.7,48.38,1256300
2007-12-10,48.42,48.69,47.74,48.29,1191100
2007-12-11,48.49,48.86,46.36,46.4,1430100
2007-12-12,48.0,48.36,46.61,47.27,1621700
2007-12-13,46.17,47.93,46.17,46.95,1378000
2007-12-14,46.18,46.77,45.83,45.85,1151900
2007-12-17,45.67,46.17,44.94,44.99,1719800
2007-12-18,45.47,45.95,44.24,44.79,1755900
2007-12-19,44.79,45.15,44.34,44.8,1047900
2007-12-20,45.15,45.72,44.36,45.72,1085800
2007-12-21,46.36,46.63,45.88,46.32,2185300
2007-12-24,46.54,46.63,46.14,46.58,287300
2007-12-26,46.16,46.69,45.72,46.48,552200
2007-12-27,46.47,46.67,45.17,45.19,798700
2007-12-28,45.57,45.97,45.099998,45.77,821500
2007-12-31,45.45,45.75,44.68,44.68,888900
2008-01-02,45.24,45.24,43.21,43.49,1969900
2008-01-03,43.6,43.97,42.95,43.56,1563100
2008-01-04,43.54,43.74,41.049999,41.21,2322000
2008-01-07,41.26,42.029999,40.5,41.45,2665400
2008-01-08,41.68,42.22,40.49,40.5,1952800
2008-01-09,40.52,40.76,39.39,40.5,2332400
2008-01-10,39.78,41.28,39.36,40.63,2004200
2008-01-11,41.45,41.77,40.54,40.57,2273100
2008-01-14,41.0,42.42,40.92,42.27,1972100
2008-01-15,41.53,42.38,41.42,41.52,3877000
2008-01-16,41.68,43.0,41.029999,42.45,2611200
2008-01-17,42.47,43.15,41.6,41.61,2906000
2008-01-18,42.17,43.62,41.33,43.51,3433400
2008-01-22,41.02,43.35,41.02,42.71,3752500
2008-01-23,42.45,47.59,42.3,47.23,5087400
2008-01-24,47.060001,47.2,43.38,44.36,3775800
2008-01-25,44.8,45.74,43.88,44.74,2844100
