date,open,high,low,close,volume
2006-10-18,18.11,18.33,18.07,18.15,161000
2006-10-19,18.19,18.38,18.15,18.3,113300
2006-10-20,18.39,18.39,17.98,18.07,102800
2006-10-23,17.92,18.21,17.86,18.18,104800
2006-10-24,18.059999,18.2,17.82,17.98,101800
2006-10-25,18.030001,18.34,17.93,18.14,116500
2006-10-26,18.3,18.69,18.3,18.61,177500
2006-10-27,18.48,18.65,18.31,18.35,110900
2006-10-30,18.21,18.5,17.91,18.5,198800
2006-10-31,18.6,18.6,18.16,18.44,110900
2006-11-01,18.53,18.6,18.059999,18.24,205000
2006-11-02,18.85,18.85,17.69,18.01,324600
2006-11-03,18.25,18.26,17.09,17.37,460500
2006-11-06,17.42,17.85,17.4,17.75,216900
2006-11-07,17.68,17.85,17.5,17.53,119200
2006-11-08,17.51,17.73,17.47,17.58,137000
2006-11-09,17.64,17.64,17.31,17.44,169800
2006-11-10,17.36,17.63,17.36,17.59,116700
2006-11-13,17.59,17.73,17.46,17.69,121400
2006-11-14,17.67,17.69,17.46,17.5,527100
2006-11-15,17.52,17.73,17.4,17.64,781200
2006-11-16,17.67,17.67,17.45,17.49,185300
2006-11-17,17.49,17.5,17.31,17.45,456800
2006-11-20,17.5,17.99,17.44,17.99,199600
2006-11-21,18.0,18.16,17.67,18.16,228800
2006-11-22,18.25,18.44,18.0,18.07,158000
2006-11-24,18.0,18.36,17.95,18.32,102300
2006-11-27,18.22,18.22,17.7,17.81,270100
2006-11-28,17.81,18.01,17.64,17.96,131100
2006-11-29,18.12,18.4,17.87,18.18,300000
2006-11-30,18.15,18.59,17.86,18.42,255000
2006-12-01,18.36,18.56,18.059999,18.37,126700
2006-12-04,18.55,18.95,18.55,18.9,366100
2006-12-05,19.0,19.0,18.55,18.63,115700
2006-12-06,18.56,18.7,18.36,18.61,145600
2006-12-07,18.75,18.75,18.35,18.48,186600
2006-12-08,18.41,18.58,18.3,18.45,163700
2006-12-11,18.45,18.61,18.41,18.51,130500
2006-12-12,18.55,18.69,18.25,18.5,164900
2006-12-13,18.47,18.47,18.0,18.02,313300
2006-12-14,18.12,18.36,18.0,18.040001,304900
2006-12-15,18.059999,18.32,18.02,18.07,422600
2006-12-18,18.049999,18.22,17.69,17.77,236700
2006-12-19,17.64,17.76,17.57,17.74,190600
2006-12-20,18.0,18.18,17.86,17.9,560200
2006-12-21,17.74,18.0,17.74,17.8,333100
2006-12-22,17.85,17.87,17.52,17.65,203600
2006-12-26,17.64,17.95,17.64,17.77,225600
2006-12-27,17.87,18.18,17.87,18.049999,187900
2006-12-28,18.049999,18.059999,17.92,18.02,203200
2006-12-29,18.16,18.44,17.96,18.26,198200
2007-01-03,18.43,18.71,18.2,18.53,336300
2007-01-04,18.54,18.75,18.43,18.74,383900
2007-01-05,18.62,18.65,18.14,18.21,193000
2007-01-08,18.18,18.18,17.85,18.030001,182200
2007-01-09,18.059999,18.29,17.96,18.2,193200
2007-01-10,18.07,18.46,18.07,18.36,374700
2007-01-11,18.45,18.76,18.37,18.47,193600
2007-01-12,18.53,18.74,18.47,18.74,68600
2007-01-16,18.87,18.92,18.56,18.7,295500
2007-01-17,18.5,18.82,18.46,18.76,155700
2007-01-18,18.8,18.82,18.45,18.54,271900
2007-01-19,18.54,18.76,18.39,18.76,211400
2007-01-22,18.68,18.92,18.51,18.91,207200
2007-01-23,18.8,18.95,18.7,18.75,116900
2007-01-24,18.75,18.87,18.7,18.8,121900
2007-01-25,18.79,18.89,18.64,18.86,209200
2007-01-26,18.83,18.98,18.6,18.93,202100
2007-01-29,18.87,19.23,18.87,19.17,124000
2007-01-30,19.15,19.46,18.91,19.44,170600
2007-01-31,19.35,19.97,19.26,19.74,319200
2007-02-01,19.83,19.91,19.63,19.76,235300
2007-02-02,19.74,20.5,19.74,19.95,227500
2007-02-05,19.75,19.75,19.39,19.66,555200
2007-02-06,19.68,19.73,19.42,19.7,164300
2007-02-07,19.82,20.17,19.45,20.17,269700
2007-02-08,20.17,20.38,19.83,20.11,964800
2007-02-09,20.09,20.09,19.29,19.7,588600
2007-02-12,19.75,19.86,19.26,19.42,271200
2007-02-13,19.41,20.0,19.41,19.96,152100
2007-02-14,19.9,20.08,19.65,19.84,162200
2007-02-15,19.83,20.21,19.68,19.84,275000
2007-02-16,19.84,19.95,19.39,19.93,211300
2007-02-20,19.84,20.13,19.64,20.049999,123600
2007-02-21,20.049999,20.059999,19.82,19.87,134500
2007-02-22,19.83,19.88,19.64,19.7,290200
2007-02-23,19.7,19.71,19.19,19.3,455000
2007-02-26,19.3,19.37,18.81,19.08,329900
2007-02-27,19.45,19.45,18.53,18.63,628600
2007-02-28,18.64,19.28,18.42,19.0,610900
2007-03-01,18.73,19.12,18.37,18.85,867400
2007-03-02,18.6,19.21,18.57,18.86,599100
2007-03-05,18.86,19.02,18.19,18.19,521900
2007-03-06,18.38,18.87,18.29,18.77,447700
2007-03-07,18.72,19.15,18.66,18.92,328000
2007-03-08,19.3,19.59,19.22,19.55,361400
2007-03-09,19.67,20.18,19.63,20.030001,623000
2007-03-12,20.030001,20.55,19.8,20.44,797100
2007-03-13,19.93,20.16,19.66,19.92,665500
2007-03-14,19.85,19.94,19.64,19.9,1486400
2007-03-15,19.94,20.17,19.92,20.049999,249400
2007-03-16,20.030001,20.059999,19.81,19.93,760400
2007-03-19,20.09,20.23,19.99,20.12,216900
2007-03-20,20.12,20.12,19.98,20.01,278500
2007-03-21,19.97,19.97,19.15,19.57,3184400
2007-03-22,19.57,19.61,19.38,19.53,2596500
2007-03-23,19.54,19.6,19.4,19.45,724100
2007-03-26,19.48,19.57,19.1,19.3,842600
2007-03-27,19.3,19.3,19.030001,19.13,1145100
2007-03-28,19.0,19.01,18.68,18.91,1065800
2007-03-29,19.12,19.12,18.63,18.7,628600
2007-03-30,18.75,18.95,18.64,18.94,724900
2007-04-02,19.01,19.25,18.86,19.19,879900
2007-04-03,18.95,19.26,18.94,19.12,457800
2007-04-04,19.14,19.22,18.96,19.09,490500
2007-04-05,19.16,19.18,19.1,19.18,289400
2007-04-09,19.16,19.21,18.98,19.01,291700
2007-04-10,19.059999,19.21,19.0,19.1,643400
2007-04-11,19.13,19.14,18.78,18.84,634800
2007-04-12,18.8,18.8,18.57,18.77,387700
2007-04-13,18.8,19.0,18.7,18.97,385700
2007-04-16,19.99,19.99,18.92,19.059999,358200
2007-04-17,19.07,19.47,18.98,19.33,625200
2007-04-18,19.33,19.51,19.16,19.18,438000
2007-04-19,19.02,19.16,18.86,19.059999,297400
2007-04-20,19.37,19.41,19.09,19.19,295900
2007-04-23,19.07,19.29,19.07,19.25,361500
2007-04-24,19.33,19.33,19.0,19.26,327400
2007-04-25,19.21,19.46,19.15,19.41,526800
2007-04-26,19.44,19.54,19.09,19.29,926300
2007-04-27,19.29,19.31,19.08,19.17,400200
2007-04-30,19.16,19.17,18.67,18.71,392700
2007-05-01,18.75,18.81,18.42,18.66,363100
2007-05-02,18.41,18.74,18.4,18.68,223700
2007-05-03,18.95,18.95,18.5,18.53,566500
2007-05-04,18.5,18.58,18.1,18.38,802600
2007-05-07,18.33,18.43,18.16,18.2,289300
2007-05-08,18.2,18.2,17.91,17.94,745600
