date,open,high,low,close,volume
2006-10-18,5.3125,5.38375,5.215,5.3425,7182400
2006-10-19,5.3175,5.3875,5.2075,5.23125,6919200
2006-10-20,5.205,5.22375,5.09875,5.175,9127200
2006-10-23,5.15625,5.30625,5.1325,5.18125,6520000
2006-10-24,5.1625,5.25,5.14,5.23625,5811200
2006-10-25,5.2275,5.24625,5.18,5.24,5076800
2006-10-26,5.25,5.29875,5.12625,5.26,6261600
2006-10-27,5.23875,5.25,5.08125,5.09,6376000
2006-10-30,5.0925,5.17625,5.0925,5.14375,6090400
2006-10-31,5.08375,5.19,4.97375,5.03,8711200
2006-11-01,5.07875,5.10125,4.87125,4.90375,7343200
2006-11-02,4.87125,4.935,4.7775,4.88375,7244800
2006-11-03,4.75,4.7525,4.59375,4.675,15468000
2006-11-06,4.65625,4.7375,4.5525,4.725,18405600
2006-11-07,4.69375,4.8625,4.6325,4.72875,10932800
2006-11-08,4.68,4.7975,4.68,4.74875,6955200
2006-11-09,4.7525,4.7575,4.575,4.625,9378400
2006-11-10,4.6125,4.65125,4.565,4.5875,9460000
2006-11-13,4.6,4.6675,4.57875,4.61875,6253600
2006-11-14,4.6175,4.67,4.57,4.6625,5816000
2006-11-15,4.65625,4.83,4.65625,4.76875,10268000
2006-11-16,4.8125,4.81875,4.74875,4.785,10066400
2006-11-17,4.7775,4.78625,4.66875,4.67625,10568000
2006-11-20,4.68875,4.76875,4.655,4.7225,7183200
2006-11-21,4.715,4.73,4.665,4.685,3625600
2006-11-22,4.71625,4.73125,4.65875,4.69875,5942400
2006-11-24,4.66125,4.69,4.62375,4.6475,2100000
2006-11-27,4.64125,4.7075,4.5375,4.55125,8076800
2006-11-28,4.5475,4.555,4.44625,4.5025,9791200
2006-11-29,4.48625,4.5825,4.48625,4.56375,5799200
2006-11-30,4.54,4.57,4.48875,4.49875,7324800
2006-12-01,4.53,4.585,4.47875,4.5575,12514400
2006-12-04,4.53625,4.60875,4.46875,4.59375,9081600
2006-12-05,4.5475,4.5675,4.475,4.5,16648800
2006-12-06,4.5,4.52375,4.44375,4.46,9864000
2006-12-07,4.47875,4.52125,4.44375,4.45,6655200
