date,open,high,low,close,volume
2006-10-18,51.099998,51.75,50.71,51.029999,240300
2006-10-19,50.9,51.24,50.54,50.66,162100
2006-10-20,50.6,50.6,49.71,50.17,252300
2006-10-23,49.97,50.65,49.97,50.64,155500
2006-10-24,50.54,51.18,50.41,51.0099983,213000
2006-10-25,51.0,51.72,50.97,51.56,239600
2006-10-26,51.7,52.32,51.45,52.24,214600
2006-10-27,52.0,52.43,51.66,51.7,191700
2006-10-30,51.7,52.049999,51.3,51.56,225600
2006-10-31,51.57,51.67,50.72,50.9,165000
2006-11-01,51.15,51.3,50.45,50.51,219200
2006-11-02,50.43,51.44,50.35,51.29,248400
2006-11-03,51.4,51.51,50.7,51.14,187500
2006-11-06,51.23,52.48,51.15,52.4,190700
2006-11-07,52.5,52.74,52.060001,52.11,110800
2006-11-08,51.91,52.58,51.8,52.58,111600
2006-11-09,52.44,52.44,51.76,51.88,157200
2006-11-10,51.83,52.47,51.75,52.13,275000
2006-11-13,52.0099983,52.21,51.76,51.99,155600
2006-11-14,51.98,52.51,51.5,52.49,166000
2006-11-15,52.39,53.4,52.18,53.14,172400
2006-11-16,53.3,53.79,53.15,53.51,160100
2006-11-17,53.5,53.5,52.82,52.95,124400
2006-11-20,52.75,52.75,52.17,52.47,154500
2006-11-21,52.25,53.28,52.22,52.98,189900
2006-11-22,53.0,53.61,52.7,53.43,140800
2006-11-24,53.23,53.68,53.14,53.62,26400
2006-11-27,53.45,53.5,52.6,52.61,262900
2006-11-28,52.56,52.84,51.95,52.73,318600
2006-11-29,52.87,53.35,52.73,53.099998,256100
2006-11-30,53.099998,53.48,52.51,52.88,197900
2006-12-01,53.3,53.5,52.49,53.22,282500
2006-12-04,53.17,54.0,53.15,53.85,208800
2006-12-05,53.98,54.23,53.52,54.11,149500
2006-12-06,54.19,54.38,54.060001,54.32,125300
2006-12-07,54.35,54.55,53.12,53.51,267600
2006-12-08,53.57,54.18,53.15,53.94,162600
2006-12-11,53.74,54.16,53.47,53.78,232800
2006-12-12,53.58,54.17,53.44,53.95,269500
2006-12-13,54.099998,54.69,54.099998,54.4,172700
2006-12-14,54.6,55.32,54.35,54.74,237500
2006-12-15,54.99,54.99,54.13,54.5,286000
2006-12-18,54.5,54.99,54.3,54.63,220200
2006-12-19,54.98,58.049999,54.099998,56.62,904700
2006-12-20,56.63,57.27,56.5,56.76,388600
2006-12-21,56.9,56.95,56.5,56.72,294000
2006-12-22,56.55,57.09,56.5,56.6,335600
2006-12-26,56.52,56.85,56.35,56.76,128800
2006-12-27,56.7,57.51,56.62,57.23,190400
2006-12-28,57.080002,57.35,56.9,57.029999,102800
2006-12-29,56.88,57.060001,56.37,56.48,146800
2007-01-03,56.55,56.71,55.02,55.78,397600
2007-01-04,55.5,56.26,55.049999,56.049999,244100
2007-01-05,55.8,55.97,54.91,55.35,198400
2007-01-08,55.5,55.57,54.68,55.38,188400
2007-01-09,55.3,55.53,54.6,55.3,185100
2007-01-10,55.2,55.44,54.72,55.34,154700
2007-01-11,55.2,56.099998,55.14,55.95,184400
2007-01-12,56.4,57.91,56.4,57.61,301800
2007-01-16,57.7,59.28,57.7,58.78,417500
2007-01-17,58.53,58.85,58.18,58.78,227500
2007-01-18,58.7,58.81,57.38,57.58,346000
2007-01-19,58.040001,58.099998,57.0,57.5,289400
2007-01-22,57.7,57.85,56.52,57.11,259900
2007-01-23,57.25,57.69,56.58,56.65,372700
2007-01-24,56.77,57.41,56.77,57.17,437500
2007-01-25,57.19,57.35,56.9,57.060001,514200
2007-01-26,57.0099983,57.76,57.0099983,57.56,146700
2007-01-29,57.6,57.82,57.11,57.65,183400
2007-01-30,57.7,58.66,57.57,58.38,227000
2007-01-31,58.09,58.32,57.61,58.080002,203900
2007-02-01,58.42,59.22,58.0099983,59.22,352800
2007-02-02,58.34,59.64,58.34,59.37,364400
2007-02-05,59.12,59.65,59.0,59.13,168200
2007-02-06,59.049999,59.54,58.95,59.47,177100
2007-02-07,59.4,60.34,59.25,60.15,276100
2007-02-08,59.79,60.15,59.67,59.89,180100
2007-02-09,59.88,60.029999,59.15,59.29,161700
2007-02-12,59.23,59.62,58.95,59.040001,192000
2007-02-13,58.8,59.61,58.55,59.48,303100
2007-02-14,59.6,60.62,59.57,60.09,249200
2007-02-15,60.0,61.33,59.76,61.18,250000
2007-02-16,61.11,62.25,61.080002,61.73,421900
2007-02-20,61.77,62.64,61.35,62.57,189800
2007-02-21,62.47,63.48,62.44,63.25,430200
2007-02-22,63.2,63.6,62.35,62.68,204800
2007-02-23,62.72,62.72,62.0,62.55,287800
2007-02-26,62.74,62.83,61.67,61.79,221900
2007-02-27,61.0,61.32,59.51,59.73,478400
2007-02-28,59.6,61.0,58.9,60.86,491000
2007-03-01,59.87,60.38,58.84,60.0,294800
2007-03-02,59.89,60.6,59.37,60.44,393200
2007-03-05,59.75,60.7,59.0,60.38,452600
2007-03-06,60.7,62.27,60.7,61.94,416600
2007-03-07,61.99,62.46,61.53,62.15,369100
2007-03-08,62.5,63.84,62.32,63.28,435200
2007-03-09,63.7,63.95,62.61,63.31,240600
2007-03-12,64.85,66.37,64.25,65.95,755200
2007-03-13,65.75,65.75,64.86,65.24,314900
2007-03-14,65.24,65.76,64.35,65.53,433700
2007-03-15,65.7,66.83,65.61,66.74,375900
2007-03-16,66.88,66.95,66.12,66.58,420600
2007-03-19,66.58,66.65,64.15,64.7,897800
2007-03-20,67.25,68.13,62.9,64.7,1809900
2007-03-21,64.95,66.36,64.18,65.85,640300
2007-03-22,66.23,66.51,64.71,66.010002,452600
2007-03-23,65.91,66.0,64.9,65.64,404400
2007-03-26,64.7,65.25,63.76,64.16,619800
2007-03-27,63.89,63.89,62.77,62.94,492500
2007-03-28,62.89,62.89,61.64,61.78,597500
2007-03-29,62.37,63.27,61.91,62.88,517400
2007-03-30,63.0,63.19,62.25,62.85,374600
2007-04-02,62.78,62.98,61.98,62.13,389200
2007-04-03,62.25,63.26,62.25,62.94,403400
2007-04-04,62.9,63.18,62.32,62.67,256300
2007-04-05,62.5,62.91,62.0,62.49,143600
2007-04-09,62.49,62.55,61.87,62.45,343000
2007-04-10,62.45,62.45,61.55,61.81,260800
2007-04-11,61.4,61.4,60.57,61.0099983,294900
2007-04-12,60.77,61.080002,60.11,61.07,227500
2007-04-13,60.86,61.14,60.18,60.69,317400
2007-04-16,60.5,61.83,60.23,61.7,445100
2007-04-17,61.4,62.43,61.37,62.099998,378100
2007-04-18,62.09,62.12,61.6,61.9,321000
2007-04-19,61.5,61.53,60.96,61.040001,296400
2007-04-20,61.6,61.69,61.0,61.35,236500
2007-04-23,61.18,62.099998,61.15,62.029999,238400
2007-04-24,61.99,61.99,61.4,61.58,219700
2007-04-25,61.47,62.42,61.0099983,62.3,280800
2007-04-26,62.25,62.67,62.07,62.52,272300
2007-04-27,62.47,62.78,62.12,62.56,278000
2007-04-30,62.099998,62.21,61.51,61.51,402800
2007-05-01,61.75,61.84,61.0,61.51,281500
2007-05-02,61.68,62.55,61.61,62.21,274500
2007-05-03,62.13,62.64,61.77,62.46,141000
2007-05-04,63.0,64.31,63.0,63.28,498200
2007-05-07,63.0,63.55,62.88,62.98,206300
2007-05-08,62.98,63.41,62.63,63.39,204700
2007-05-09,63.4,63.57,63.099998,63.22,232100
2007-05-10,61.51,63.39,61.51,63.23,192300
2007-05-11,63.24,64.2,62.94,64.010002,249200
2007-05-14,64.010002,64.95,63.8,63.86,290000
2007-05-15,63.8,64.26,63.31,63.38,104400
2007-05-16,63.33,63.5,62.84,63.38,114800
2007-05-17,63.38,63.4,62.87,62.87,190800
2007-05-18,63.17,64.099998,62.88,64.040001,172100
2007-05-21,64.31,65.41,64.010002,64.89,292300
2007-05-22,64.9,64.9,63.9,64.24,239400
2007-05-23,64.24,64.74,63.57,63.82,210000
2007-05-24,63.82,63.86,61.81,62.25,281000
2007-05-25,62.21,62.99,62.17,62.88,184500
2007-05-29,63.0099983,63.87,62.8,63.87,153100
2007-05-30,63.78,64.21,63.7,64.19,161200
2007-05-31,64.43,64.48,63.47,63.83,226000
2007-06-01,64.13,64.23,62.8,62.94,288100
2007-06-04,62.59,63.49,62.59,63.25,269500
2007-06-05,62.45,63.69,62.45,63.65,262900
2007-06-06,63.64,63.64,61.79,62.34,234100
2007-06-07,62.2,62.35,60.2,60.3,480500
2007-06-08,60.45,61.76,60.26,61.76,292100
2007-06-11,62.0,62.84,61.68,62.64,219200
2007-06-12,62.55,63.040001,62.060001,62.47,202300
2007-06-13,62.77,63.13,62.26,62.41,292100
2007-06-14,62.38,63.3,62.38,63.21,258700
2007-06-15,63.7,63.72,62.95,63.38,273400
2007-06-18,63.22,63.87,62.45,63.87,441200
2007-06-19,65.75,68.91,65.75,68.089996,1337600
2007-06-20,68.67,70.86,68.36,69.36,826300
2007-06-21,69.44,70.0,68.88,69.35,356000
2007-06-22,68.75,68.75,66.92,66.92,568300
2007-06-25,67.019997,68.089996,66.54,66.68,396300
2007-06-26,67.089996,67.49,66.5,66.99,287800
2007-06-27,66.9,68.66,66.84,68.16,210700
2007-06-28,68.2,68.86,67.57,68.4,313300
2007-06-29,68.7,69.26,68.040001,68.35,238900
2007-07-02,68.7,69.14,68.4,68.73,226600
2007-07-03,68.6,69.099998,68.37,68.51,121700
2007-07-05,68.8,68.8,67.74,68.22,208800
2007-07-06,68.55,68.89,68.36,68.43,148700
2007-07-09,68.4,69.050003,67.91,68.88,126900
2007-07-10,68.36,68.98,66.66,66.9,188900
2007-07-11,66.15,66.33,65.25,65.75,562900
2007-07-12,65.75,66.61,65.5,66.5,380600
2007-07-13,66.29,66.83,65.96,66.56,460800
2007-07-16,67.099998,67.41,66.75,67.11,216900
2007-07-17,67.050003,67.6,66.95,67.2,279200
2007-07-18,67.47,67.5,66.55,67.089996,327600
2007-07-19,67.099998,67.8,67.010002,67.6,241000
2007-07-20,67.13,67.51,66.18,67.37,496900
2007-07-23,67.61,67.82,67.31,67.53,190900
2007-07-24,67.3,67.49,66.94,67.36,325500
2007-07-25,67.37,67.37,66.2,66.75,255000
2007-07-26,66.6,66.65,64.84,65.54,391200
2007-07-27,65.26,65.56,63.69,64.98,388000
2007-07-30,64.8,65.0,63.65,64.9,291800
2007-07-31,64.95,66.5,64.95,65.99,414800
2007-08-01,65.8,66.38,63.88,66.19,318300
2007-08-02,66.2,67.22,66.16,66.91,198900
2007-08-03,66.9,67.19,64.25,64.36,317800
2007-08-06,64.5,64.67,62.55,64.65,435200
2007-08-07,64.71,64.79,60.81,62.55,763700
2007-08-08,62.99,63.15,61.23,62.91,665500
2007-08-09,62.25,62.46,55.41,55.54,1206700
2007-08-10,54.6,60.93,50.86,59.88,1147200
2007-08-13,60.75,62.88,60.11,62.54,382700
2007-08-14,62.94,62.94,59.14,59.36,311800
2007-08-15,59.0,59.77,58.12,59.0,638500
2007-08-16,58.15,58.72,54.7,55.66,762600
2007-08-17,57.25,60.16,56.8,57.34,519800
2007-08-20,57.0,57.39,56.060001,56.41,415300
2007-08-21,56.59,57.75,55.9,56.4,475100
2007-08-22,56.9,57.62,56.34,56.92,986400
2007-08-23,56.92,57.49,56.5,56.94,375400
2007-08-24,56.73,57.95,56.43,57.02,316500
2007-08-27,56.7,57.21,56.13,56.25,250300
2007-08-28,56.0099983,56.57,55.51,56.02,416800
2007-08-29,56.07,56.93,55.7,56.62,421400
2007-08-30,56.19,59.23,56.19,58.55,468400
2007-08-31,59.099998,60.099998,57.76,59.93,398300
2007-09-04,59.75,59.78,58.62,58.94,268600
2007-09-05,58.3,58.69,57.59,58.21,293300
2007-09-06,58.45,58.65,57.25,58.25,216600
2007-09-07,57.88,57.91,56.53,56.78,370000
2007-09-10,56.78,57.11,55.92,56.42,262100
2007-09-11,56.6,57.17,56.44,57.17,316500
2007-09-12,57.4,59.099998,57.18,58.47,277500
2007-09-13,58.58,59.37,58.16,58.27,190200
2007-09-14,58.0,60.41,57.39,60.38,403700
2007-09-17,60.43,60.57,59.46,59.46,257600
2007-09-18,59.58,60.9,59.23,60.76,258400
