date,open,high,low,close,volume
2026-05-27,135.0,159.89999,135.0,151.0,14200
2026-05-28,158.10001,200.0,158.10001,185.0,6300
2026-05-29,189.0,199.5,160.37,160.37,15400
2026-06-01,164.0,166.89999,141.33,149.53,7419200
2026-06-02,150.0099945,158.49001,149.11,153.34,4482500
2026-06-03,152.3,153.21001,145.0099945,152.0,4596400
2026-06-04,150.66,166.27,150.66,157.71001,2928400
2026-06-05,157.48,175.0,157.48,167.84,2924900
2026-06-08,167.020004,183.0,166.13,178.77,1759900
2026-06-09,178.12,194.27,178.12,188.46001,2448900
2026-06-10,175.5,186.11,169.99001,175.35001,2595700
2026-06-11,177.0,188.33,177.0,180.0,1894500
2026-06-12,180.53999,182.0,168.11,174.75999,1477800
2026-06-15,173.91,177.81,166.039993,167.16,1707700
2026-06-16,162.10001,167.020004,160.020004,163.84,1914300
2026-06-17,163.89999,165.85001,157.8,161.89999,2465500
2026-06-18,165.0,167.42,160.10001,162.85001,3231500
2026-06-22,165.45,169.53999,160.080002,160.94,2276200
2026-06-23,162.0,171.66,161.0,166.47,1694400
2026-06-24,169.0,170.98,157.96001,160.45,1805800
2026-06-25,161.020004,164.13,157.75,158.53,1217500
2026-06-26,155.36,157.5,144.27,153.89,6564800
2026-06-29,152.49001,154.94,147.46001,149.69,1978200
2026-06-30,149.84,154.050003,145.49001,151.0,2118500
2026-07-01,151.0,156.49001,148.33,155.77,2519600
2026-07-02,155.67999,157.32001,149.31,150.81,1091000
2026-07-06,151.059998,156.17999,150.5,152.67999,985100
2026-07-07,154.38,154.38,144.45,144.72,1122900
2026-07-08,144.10001,146.37,140.67,143.3,1323400
2026-07-09,145.0,155.69,145.0,154.25,1190900
2026-07-10,155.66,156.7,147.19,149.53,1305700
2026-07-13,151.34,152.45,147.81,148.37,1304200
2026-07-14,148.14,149.050003,144.089996,144.75,1799300
2026-07-15,145.0,145.35001,139.57001,141.8,1264600
2026-07-16,143.92999,153.28999,141.19,152.42999,1531700
2026-07-17,152.49001,158.27,150.46001,152.25999,1326100
2026-07-20,152.0,154.59,148.41,150.14,831700
2026-07-21,150.11,153.39999,148.25,150.38,664000
2026-07-22,149.63,152.27,148.11,149.32001,599400
2026-07-23,149.37,155.34,148.78,154.78999,1449800
2026-07-24,155.14999,159.039993,149.44,158.0,1255300
2026-07-27,157.24001,158.35001,149.25999,150.3,1122700
2026-07-28,150.13,153.64,147.45,150.99001,757800
2026-07-29,150.45,153.78,143.5,144.36,901400
2026-07-30,144.59,147.33,135.64,137.55,1563100
2026-07-31,136.63,141.92,136.63,140.53,878300
2026-08-03,141.0,144.7,139.0,139.020004,637800
2026-08-04,139.77,144.16,139.0,142.7,1141400
2026-08-05,143.059998,145.91,142.55,143.029999,846200
2026-08-06,142.28,146.53,141.58,146.42,842100
2026-08-07,146.56,150.0,142.97,144.75999,1328900
2026-08-10,143.48,144.78999,141.3,141.35001,780800
2026-08-11,140.69,143.83,138.10001,139.50999,975600
2026-08-12,139.57001,142.14,138.8,141.24001,892300
2026-08-13,142.020004,152.020004,140.7,151.99001,3146700
2026-08-14,151.089996,152.67,146.080002,150.28999,2201100
2026-08-17,149.0,149.0,143.73,143.82001,1263200
2026-08-18,143.5,144.0,139.12,139.23,1120300
2026-08-19,141.0,145.25999,138.039993,138.17,1131200
2026-08-20,137.28,137.75,132.87,136.39999,1093100
2026-08-21,138.17999,140.24001,135.38,137.32001,722400
2026-08-24,137.0,137.75,130.25,131.27,1229100
2026-08-25,132.53,133.31,128.71001,128.75,1135600
2026-08-26,128.0099945,134.21001,127.65,131.27,1429100
2026-08-27,131.5,133.98,130.3,133.25,925800
2026-08-28,133.029999,134.58,131.53,133.45,774100
2026-08-31,132.81,135.23,131.61,133.74001,1460300
2026-09-01,133.57001,135.7,126.53,127.57,1044500
2026-09-02,127.5,129.39,125.89,126.6,1121700
2026-09-03,125.455,128.65,123.24,127.21,295222
