date,open,high,low,close,volume
2006-10-18,28.895,29.275,27.925,28.31,1364600
2006-10-19,28.08,28.52,27.835,28.425,1059200
2006-10-20,28.355,28.435,27.71,28.28,1209600
2006-10-23,28.295,29.12,28.135,28.81,1060400
2006-10-24,28.8,28.865,28.415,28.63,896200
2006-10-25,28.805,32.495,27.835,29.059999,5058600
2006-10-26,32.49,33.675,32.0050011,33.315,9180800
2006-10-27,33.095001,33.195,32.31,32.855,2548000
2006-10-30,32.535,33.3,32.385,33.07,1628200
2006-10-31,32.975,33.63,32.885,33.095001,1152600
2006-11-01,33.035,33.51,32.315,32.35,1801600
2006-11-02,32.075001,32.365,31.64,31.775,1969000
2006-11-03,31.775,32.18,31.74,32.084999,1618800
2006-11-06,32.075001,33.040001,32.040001,32.81,1172800
2006-11-07,32.77,34.12,32.77,33.585,1810000
2006-11-08,32.555,33.099998,32.31,32.745,2115600
2006-11-09,33.52,35.285,33.255,34.165,4675200
2006-11-10,33.5,33.675,33.0,33.26,1929200
2006-11-13,33.325,34.2,33.325,33.76,1295400
2006-11-14,34.525,36.275,34.5,36.035,3849800
2006-11-15,35.92,36.62,35.605,36.34,3379200
2006-11-16,36.014999,36.25,35.44,36.0050011,2430000
2006-11-17,35.975,36.055,35.545,35.905,938200
2006-11-20,35.91,36.455,35.91,36.35,1295400
2006-11-21,36.405,36.82,36.035,36.7,1333800
2006-11-22,36.73,37.3,36.73,37.09,1099000
2006-11-24,36.66,37.060001,36.375,36.555,590600
2006-11-27,37.31,38.075001,36.28,36.33,3485800
2006-11-28,36.32,36.95,35.415,36.775,2098800
2006-11-29,37.115,38.25,37.014999,37.45,2401400
2006-11-30,37.625,37.98,36.8,37.405,1554600
2006-12-01,36.895,37.54,36.455,37.014999,1854000
2006-12-04,37.025002,37.5,36.82,37.48,836000
2006-12-05,37.5,37.705,37.12,37.295,548000
2006-12-06,37.18,37.28,36.535,36.705,914200
2006-12-07,36.7,37.040001,36.044998,36.435,1234200
2006-12-08,36.28,38.87,35.83,37.975,3591800
2006-12-11,37.86,38.17,37.305,37.34,1437200
2006-12-12,37.325,37.775,36.405,36.965,1339600
2006-12-13,37.375,37.76,36.88,37.145,1168600
2006-12-14,37.29,38.5,37.29,38.47,2773800
2006-12-15,39.025002,39.275,37.975,38.24,2828400
2006-12-18,38.15,39.029999,37.95,38.099998,1629000
2006-12-19,37.86,38.34,36.655,37.795,1951600
2006-12-20,37.060001,37.595,36.8,36.885,2387600
2006-12-21,36.945,37.835,36.64,36.96,1641400
2006-12-22,36.925,37.27,36.33,36.475,1089600
2006-12-26,36.475,37.225,36.475,37.165,816400
2006-12-27,37.235,37.835,37.099998,37.515,534600
2006-12-28,37.38,37.685,36.97,37.51,832000
2006-12-29,37.43,37.8,36.885,37.105,1005000
2007-01-03,36.71,37.61,36.075001,36.86,1740400
2007-01-04,36.735,38.31,36.73,38.18,1992600
2007-01-05,38.13,38.15,37.18,37.58,1192800
2007-01-08,37.775,39.44,37.71,39.375,3219000
