date,open,high,low,close,volume
2006-10-18,35.74,36.12,35.61,35.84,1674700
2006-10-19,35.65,35.89,35.65,35.86,866600
2006-10-20,35.86,36.3,35.72,36.2,478600
2006-10-23,36.080002,37.029999,36.080002,37.02,771800
2006-10-24,36.9,36.9,36.2,36.35,438000
2006-10-25,36.35,36.6,36.14,36.4,294700
2006-10-26,36.52,36.52,35.89,36.48,468700
2006-10-27,36.35,36.55,36.22,36.29,526100
2006-10-30,36.31,37.07,36.31,36.96,534200
2006-10-31,37.07,37.23,36.43,36.63,355100
2006-11-01,36.88,37.0,36.25,36.46,1081700
2006-11-02,36.5,40.33,36.4,39.91,3361600
2006-11-03,39.9,40.12,38.65,39.13,1681300
2006-11-06,38.95,39.82,38.9,39.61,839400
2006-11-07,39.5,40.75,39.47,40.64,995500
2006-11-08,40.57,41.6,40.5,41.37,1226400
2006-11-09,41.55,41.55,40.6,40.74,818200
2006-11-10,40.9,41.62,40.55,41.18,705900
2006-11-13,41.15,41.36,40.73,41.14,805500
2006-11-14,41.049999,41.66,40.97,41.6,757200
2006-11-15,41.5,42.049999,41.48,41.88,906400
2006-11-16,41.98,42.44,41.59,42.35,934700
2006-11-17,42.25,42.42,41.79,41.99,741600
2006-11-20,41.78,42.47,41.23,42.36,735900
2006-11-21,42.0,42.22,41.72,42.18,582400
2006-11-22,42.049999,42.29,41.91,42.060001,464100
2006-11-24,41.9,42.97,41.67,42.55,647500
2006-11-27,42.35,42.48,41.27,41.34,814300
2006-11-28,41.15,41.17,40.63,41.060001,1495800
2006-11-29,41.07,41.49,40.97,41.2,957200
2006-11-30,41.28,41.75,41.25,41.62,692700
2006-12-01,41.65,42.62,41.6,42.59,1414000
2006-12-04,42.55,42.74,42.25,42.37,656100
2006-12-05,42.45,42.52,42.029999,42.29,309900
2006-12-06,42.17,42.17,41.76,41.95,323200
2006-12-07,41.94,41.95,41.37,41.46,880300
2006-12-08,41.35,41.73,41.2,41.49,537600
2006-12-11,41.39,41.86,41.22,41.74,446500
2006-12-12,41.59,41.65,41.25,41.41,298500
2006-12-13,41.8,42.29,41.75,42.12,968100
2006-12-14,42.3,42.92,42.2,42.47,824500
2006-12-15,42.35,42.69,41.86,41.88,1008200
2006-12-18,42.080002,42.080002,41.72,41.74,819400
2006-12-19,41.21,41.5,41.049999,41.3,349600
2006-12-20,41.32,41.82,41.3,41.58,205900
2006-12-21,41.6,41.76,41.12,41.3,321400
2006-12-22,41.2,41.32,40.83,40.96,221100
2006-12-26,40.96,41.42,40.78,41.27,130700
2006-12-27,41.27,41.4,41.060001,41.09,205900
2006-12-28,41.099998,41.2,40.83,41.040001,211000
2006-12-29,40.94,41.09,40.38,40.65,317600
2007-01-03,40.2,41.099998,40.2,40.51,741500
2007-01-04,40.47,40.97,40.4,40.85,640600
2007-01-05,40.049999,40.6,40.049999,40.39,558800
2007-01-08,40.28,40.68,40.17,40.34,475000
2007-01-09,40.27,40.58,40.14,40.42,401100
2007-01-10,40.3,40.84,40.2,40.77,302500
2007-01-11,40.77,41.33,40.56,41.080002,401100
2007-01-12,41.14,41.6,41.080002,41.56,361600
2007-01-16,41.69,41.7,41.39,41.5,318000
2007-01-17,41.3,41.46,41.060001,41.27,327200
2007-01-18,41.35,41.84,41.14,41.56,556300
2007-01-19,41.45,41.74,41.3,41.67,425700
2007-01-22,41.58,41.6,41.029999,41.060001,502100
2007-01-23,41.09,41.13,40.77,41.040001,946200
2007-01-24,41.0,41.48,40.89,41.0,679100
2007-01-25,41.75,41.75,40.15,40.86,792700
2007-01-26,40.9,40.9,40.25,40.33,807400
2007-01-29,40.45,40.6,40.09,40.3,367700
2007-01-30,40.28,40.45,39.61,39.97,901400
2007-01-31,39.98,40.029999,39.13,39.82,784300
2007-02-01,39.8,40.14,39.79,40.029999,470800
2007-02-02,40.02,40.16,39.8,39.91,226800
2007-02-05,39.82,40.41,39.71,40.23,407100
2007-02-06,40.45,40.5,40.099998,40.49,287800
2007-02-07,40.43,40.58,40.23,40.42,372800
2007-02-08,40.39,40.75,40.39,40.51,297400
2007-02-09,40.43,40.65,39.76,39.91,242000
2007-02-12,39.99,40.14,39.9,40.0099983,315300
2007-02-13,40.23,40.23,39.6,39.7,280200
2007-02-14,39.7,39.78,39.43,39.62,600700
2007-02-15,39.62,39.76,39.5,39.56,458900
2007-02-16,39.57,39.84,39.44,39.74,182700
2007-02-20,39.6,40.33,39.58,40.26,494700
2007-02-21,40.14,40.39,39.97,40.15,283500
2007-02-22,40.12,40.3,39.92,40.25,274000
2007-02-23,40.18,40.29,39.97,40.14,255100
2007-02-26,40.13,40.35,39.91,39.96,622000
2007-02-27,39.49,39.71,38.73,38.96,721800
2007-02-28,39.060001,39.3,38.65,39.029999,795800
2007-03-01,38.65,39.5,38.52,39.21,609400
2007-03-02,39.18,39.18,38.51,38.52,370900
2007-03-05,38.46,38.72,38.09,38.09,624100
2007-03-06,38.24,38.79,38.16,38.67,800100
2007-03-07,38.6,38.92,38.52,38.76,512500
2007-03-08,38.88,38.96,38.23,38.38,888500
2007-03-09,38.61,38.61,38.049999,38.17,384800
