date,open,high,low,close,volume
2006-10-18,39.35,39.61,39.02,39.28,1679000
2006-10-19,39.060001,39.35,38.59,39.19,3398100
2006-10-20,39.2,39.41,38.71,39.37,2137900
2006-10-23,39.29,39.57,39.25,39.52,2085800
2006-10-24,39.42,39.54,39.2,39.44,1537000
2006-10-25,39.65,39.7,39.14,39.46,1303900
2006-10-26,39.41,39.84,39.0,39.79,1841300
2006-10-27,39.58,39.72,39.49,39.53,1610900
2006-10-30,39.65,39.99,39.43,39.72,1166800
2006-10-31,39.75,39.95,39.64,39.85,1612100
2006-11-01,39.9,40.0,39.54,39.58,1344900
2006-11-02,39.5,39.5,39.19,39.24,1318400
2006-11-03,39.46,39.79,39.25,39.51,1674800
2006-11-06,39.72,39.96,39.43,39.73,1612700
2006-11-07,39.76,40.0,39.65,39.73,1055100
2006-11-08,39.75,40.31,39.65,40.26,1642900
2006-11-09,40.18,40.5,40.16,40.37,2129800
2006-11-10,40.44,40.5,39.94,40.2,1253200
2006-11-13,40.26,40.72,40.2,40.46,1586300
2006-11-14,40.48,40.68,40.2,40.58,1641400
2006-11-15,40.55,40.9,40.33,40.53,1476200
2006-11-16,40.52,41.0,40.48,40.91,1445600
2006-11-17,40.76,40.91,40.7,40.79,1215000
2006-11-20,40.68,41.0,40.68,40.86,915800
2006-11-21,39.92,40.4,39.9,40.26,3075600
2006-11-22,40.19,40.36,39.97,40.0,2300800
2006-11-24,39.8,40.09,39.78,39.93,1122600
2006-11-27,39.82,40.0,39.32,39.36,2501400
2006-11-28,39.15,39.38,38.96,39.12,2862400
2006-11-29,39.25,39.52,39.14,39.42,1777800
2006-11-30,39.28,39.59,39.049999,39.43,2049600
2006-12-01,39.49,39.56,39.14,39.33,1305600
2006-12-04,39.56,39.95,39.41,39.94,1214700
2006-12-05,39.93,40.02,39.59,40.0,1608200
2006-12-06,40.07,40.13,39.86,39.92,930300
2006-12-07,40.029999,40.029999,39.62,39.63,934300
2006-12-08,39.51,39.92,39.51,39.71,1167600
2006-12-11,39.71,40.0099983,39.68,39.93,1323600
2006-12-12,39.95,40.23,39.85,40.14,1591000
2006-12-13,40.11,40.52,40.11,40.4,1575600
2006-12-14,40.54,40.71,40.3,40.63,1787600
2006-12-15,40.61,40.95,40.6,40.87,3165000
2006-12-18,40.86,40.96,40.71,40.94,1283600
2006-12-19,40.94,41.0,40.77,40.95,1445400
2006-12-20,40.88,41.0,40.8,40.98,1136300
2006-12-21,41.0,41.36,40.95,41.19,1552700
2006-12-22,41.2,41.23,40.82,40.9,1023100
2006-12-26,40.9,41.22,40.88,41.19,750700
2006-12-27,41.37,41.5,41.13,41.44,1482100
2006-12-28,41.32,41.57,41.23,41.38,782900
