date,open,high,low,close,volume
2006-10-18,9.73625,9.73625,9.44235,9.54785,4726641
2006-10-19,9.54032,9.75132,9.46496,9.67596,6039310
2006-10-20,9.66089,9.71364,9.48003,9.578,6289847
2006-10-23,9.56292,9.67596,9.26149,9.35192,8353598
2006-10-24,9.30671,9.41974,9.20121,9.39714,11722585
2006-10-25,8.93745,9.20874,8.89977,9.11831,23799082
2006-10-26,9.10324,9.23135,8.80934,9.035418,16133799
2006-10-27,9.058026,9.058026,8.74906,8.86209,6838960
2006-10-30,8.80181,8.98267,8.75659,8.89977,9513794
2006-10-31,8.89224,8.92992,8.6737,8.74152,10524039
2006-11-01,8.76413,8.79427,8.50038,8.50038,7224055
2006-11-02,8.49284,8.63602,8.49284,8.5682,5197461
2006-11-03,8.56066,8.65863,8.44009,8.54559,5699200
2006-11-06,8.55313,8.74152,8.53806,8.63602,6379685
2006-11-07,8.64356,8.81688,8.63602,8.68124,8474355
2006-11-08,8.66616,8.72645,8.59834,8.6737,6314795
2006-11-09,8.7792,8.84702,8.61341,8.68877,6306966
2006-11-10,8.71138,8.80934,8.71138,8.77166,5787312
2006-11-13,8.77166,8.81688,8.72645,8.80934,5087055
2006-11-14,8.86209,8.86209,8.63602,8.77166,5093026
2006-11-15,8.7792,8.89977,8.69631,8.80934,7698458
2006-11-16,8.81688,8.86963,8.72645,8.84702,5818895
2006-11-17,8.78674,8.82442,8.59081,8.74906,6186474
2006-11-20,8.68124,8.7792,8.65109,8.66616,6454793
2006-11-21,8.71891,8.72645,8.65109,8.70384,4536615
2006-11-22,8.66616,8.71138,8.59081,8.66616,7150672
2006-11-24,8.62848,8.62848,8.52298,8.5682,2804216
2006-11-27,8.5682,8.57574,8.3798,8.44763,6517428
2006-11-28,8.44763,8.44763,8.30445,8.34966,7017972
2006-11-29,8.3798,8.53806,8.34212,8.4853,9234195
2006-11-30,8.47777,8.54559,8.36473,8.47777,7060967
2006-12-01,8.50791,8.62095,8.4627,8.51545,10730786
2006-12-04,8.47777,8.72645,8.47777,8.62095,7622023
2006-12-05,8.60588,8.72645,8.59834,8.65109,5335734
2006-12-06,8.65863,8.86963,8.65863,8.85456,9132812
2006-12-07,8.89977,9.012811,8.80181,8.83195,8471037
2006-12-08,8.79427,8.96006,8.74152,8.82442,5392928
2006-12-11,8.77166,8.9676,8.74152,8.80934,8372707
2006-12-12,8.75659,8.86963,8.66616,8.74906,12828109
2006-12-13,8.80181,8.81688,8.59081,8.70384,5946818
2006-12-14,8.70384,8.93745,8.62848,8.83949,7091355
2006-12-15,8.86963,8.9902,8.86209,8.91485,9507424
2006-12-18,8.96006,9.035418,8.86209,8.90731,6750449
2006-12-19,8.86209,8.8847,8.62848,8.74906,5773644
2006-12-20,8.74152,8.83949,8.71138,8.74906,4169965
2006-12-21,8.69631,8.74152,8.54559,8.60588,3495451
2006-12-22,8.60588,8.65109,8.41748,8.55313,6571835
2006-12-26,8.49284,8.59081,8.47777,8.56066,4786356
2006-12-27,8.60588,8.69631,8.57574,8.62095,4385602
2006-12-28,8.56066,8.66616,8.55313,8.65863,4919587
2006-12-29,8.66616,8.71138,8.63602,8.65109,5209802
2007-01-03,8.68877,8.80934,8.47777,8.58327,12381043
2007-01-04,8.58327,8.74152,8.44763,8.68877,7911176
2007-01-05,8.68124,8.74152,8.47777,8.73399,8759792
2007-01-08,8.73399,8.89977,8.69631,8.83949,7306993
2007-01-09,8.75659,8.86963,8.69631,8.72645,9025723
2007-01-10,8.66616,8.83195,8.65863,8.76413,9411482
2007-01-11,8.83949,9.0052748,8.77166,8.89977,6827680
2007-01-12,8.87717,9.13338,8.86963,9.10324,8022379
2007-01-16,9.10324,9.20874,9.073097,9.16353,6960380
2007-01-17,9.21628,9.25396,8.90731,9.0052748,9364241
2007-01-18,9.0052748,9.058026,8.85456,8.89977,5366255
2007-01-19,8.81688,8.97513,8.81688,8.91485,6123574
2007-01-22,8.87717,8.91485,8.65863,8.71138,5751616
2007-01-23,8.71138,8.78674,8.6737,8.71138,6469789
2007-01-24,8.71138,8.80181,8.66616,8.71138,9518836
2007-01-25,8.68124,8.72645,8.53806,8.54559,6611379
2007-01-26,8.59081,8.62848,8.40995,8.52298,6883016
2007-01-29,8.45516,8.57574,8.37227,8.47777,7023678
2007-01-30,8.51545,8.62848,8.47777,8.59081,7684259
2007-01-31,8.74906,8.82442,8.54559,8.76413,17965059
2007-02-01,9.042954,9.042954,8.71138,8.74906,7878664
2007-02-02,8.74906,8.82442,8.64356,8.65863,6870808
2007-02-05,8.65863,8.71891,8.38734,8.40241,11103142
2007-02-06,8.40241,8.60588,8.3572,8.58327,14688298
2007-02-07,8.62848,8.79427,8.62095,8.70384,16327541
2007-02-08,8.70384,8.77166,8.64356,8.74152,8244120
2007-02-09,8.74152,8.79427,8.59081,8.65863,6927471
2007-02-12,8.6737,8.6737,8.4627,8.59081,7543597
2007-02-13,8.5682,8.69631,8.55313,8.69631,5515012
2007-02-14,8.74906,8.87717,8.68124,8.80934,7147089
2007-02-15,8.77166,9.10324,8.77166,9.05049,15031460
2007-02-16,9.027882,9.058026,8.89224,9.012811,10222014
2007-02-20,8.98267,9.020347,8.71891,8.95252,7766400
2007-02-21,8.91485,9.095705,8.86209,9.058026,7542933
2007-02-22,9.12585,9.12585,8.9676,9.05049,6089072
2007-02-23,9.035418,9.058026,8.8847,8.98267,5464188
2007-02-26,9.012811,9.042954,8.7792,8.84702,6211820
2007-02-27,8.69631,8.74152,8.4627,8.50038,11128355
2007-02-28,8.4853,8.52298,8.22909,8.23662,15576061
2007-03-01,8.085908,8.34966,8.048229,8.2743,10433538
2007-03-02,8.22155,8.30445,8.070836,8.13866,9447577
2007-03-05,8.17634,8.2517,8.040693,8.13866,7765604
2007-03-06,8.21402,8.38734,8.20648,8.3572,9415198
2007-03-07,8.31952,8.33459,8.22909,8.26677,6018874
2007-03-08,8.36473,8.39488,8.28184,8.28938,4928611
2007-03-09,8.37227,8.40241,8.26677,8.34212,4719343
2007-03-12,8.32705,8.52298,8.2743,8.47777,5919880
2007-03-13,8.31952,8.45516,8.26677,8.34212,8190908
2007-03-14,8.31198,8.45516,8.30445,8.36473,11391101
2007-03-15,8.34966,8.45516,8.33459,8.40241,6250303
2007-03-16,8.2517,8.44763,8.21402,8.29691,7937451
2007-03-19,8.34966,8.3572,8.2743,8.31952,4658035
2007-03-20,8.3798,8.44009,8.28938,8.30445,9899685
2007-03-21,8.32705,8.53806,8.2743,8.53806,7183051
2007-03-22,8.2517,8.40241,8.033157,8.34966,16727897
2007-03-23,8.32705,8.50038,8.28938,8.41748,4235917
2007-03-26,8.41748,8.49284,8.34212,8.43256,5769000
2007-03-27,8.40995,8.45516,8.29691,8.30445,6520878
2007-03-28,8.2743,8.31198,8.078372,8.10098,10254127
2007-03-29,8.13112,8.2743,8.018086,8.17634,6833652
2007-03-30,8.1688,8.26677,8.12359,8.24416,6073812
2007-04-02,8.24416,8.34212,8.13866,8.22155,7894721
2007-04-03,8.23662,8.28184,8.17634,8.2517,8621121
2007-04-04,8.2517,8.39488,8.24416,8.37227,5013671
2007-04-05,8.34966,8.39488,8.25923,8.30445,6888988
2007-04-09,8.30445,8.34212,8.26677,8.32705,4774811
2007-04-10,8.29691,8.31952,8.18387,8.22909,7076758
2007-04-11,8.21402,8.25923,8.13112,8.19141,7474195
2007-04-12,8.21402,8.31952,8.20648,8.26677,9830947
2007-04-13,8.25923,8.33459,8.20648,8.33459,4873275
2007-04-16,8.31198,8.47777,8.31198,8.4627,4699571
2007-04-17,8.44763,8.57574,8.40995,8.55313,5811198
2007-04-18,8.49284,8.50791,8.38734,8.39488,4767911
2007-04-19,8.33459,8.4853,8.29691,8.40995,7395504
2007-04-20,8.53052,8.53052,8.33459,8.3798,8276101
2007-04-23,8.40995,8.42502,8.31198,8.36473,6411931
2007-04-24,8.3572,8.38734,8.25923,8.36473,5351658
2007-04-25,8.31952,8.4853,8.29691,8.40995,6139233
2007-04-26,8.47777,8.51545,8.32705,8.4853,8954596
2007-04-27,8.6737,9.15599,8.6737,8.75659,18465072
2007-04-30,8.79427,8.80934,8.3798,8.40241,9815952
2007-05-01,8.40241,8.50791,8.28184,8.49284,9650077
2007-05-02,8.49284,8.74906,8.43256,8.65863,9378307
2007-05-03,8.69631,8.85456,8.52298,8.79427,8232177
2007-05-04,8.80181,8.89224,8.68877,8.7792,6816136
2007-05-07,8.65863,8.76413,8.59081,8.65109,5157784
2007-05-08,8.65109,8.81688,8.52298,8.78674,6735321
2007-05-09,8.68124,8.8847,8.66616,8.83195,5520187
2007-05-10,8.80934,8.80934,8.44009,8.59834,9115163
2007-05-11,8.59834,8.65109,8.49284,8.64356,3606388
2007-05-14,8.64356,8.73399,8.52298,8.53806,7713984
2007-05-15,8.63602,8.75659,8.50038,8.50791,7237989
2007-05-16,8.49284,8.60588,8.41748,8.57574,5531069
2007-05-17,8.51545,8.57574,8.42502,8.44009,5385099
2007-05-18,8.4627,8.50038,8.40241,8.44763,5330161
2007-05-21,8.43256,8.61341,8.42502,8.54559,5154201
2007-05-22,8.51545,8.59081,8.47777,8.55313,6172142
2007-05-23,8.54559,8.5682,8.44763,8.54559,8064843
2007-05-24,8.55313,8.60588,8.4627,8.49284,7866191
2007-05-25,8.50791,8.53052,8.3798,8.38734,5524832
2007-05-29,8.37227,8.43256,8.3572,8.36473,4841427
2007-05-30,8.3572,8.51545,8.2743,8.51545,7149345
2007-05-31,8.52298,8.71891,8.49284,8.70384,6853159
2007-06-01,8.68877,8.86209,8.62095,8.81688,8935620
2007-06-04,8.83195,8.85456,8.47023,8.69631,33294165
2007-06-05,8.59081,8.63602,8.063301,8.22155,35512112
2007-06-06,8.22155,8.34966,8.18387,8.32705,17724474
2007-06-07,8.18387,8.34212,8.18387,8.20648,11552995
2007-06-08,8.20648,8.24416,8.11605,8.18387,7462385
2007-06-11,8.19895,8.44009,8.19141,8.37227,9287673
2007-06-12,8.34966,8.44009,8.30445,8.32705,8927127
2007-06-13,8.33459,8.40241,8.31198,8.38734,6263307
2007-06-14,8.37227,8.47777,8.34212,8.38734,6093584
2007-06-15,8.47023,8.47023,8.28184,8.34966,12780072
2007-06-18,8.34966,8.44009,8.33459,8.42502,8298925
2007-06-19,8.40995,8.45516,8.38734,8.43256,5583353
2007-06-20,8.44763,8.4627,8.31198,8.33459,4758622
2007-06-21,8.32705,8.53806,8.28184,8.50038,7573720
2007-06-22,8.50038,8.62095,8.33459,8.36473,7677226
2007-06-25,8.37227,8.39488,8.23662,8.2743,9573509
2007-06-26,8.28938,8.31952,8.10851,8.13866,8943980
2007-06-27,8.10098,8.33459,8.10098,8.31198,8078909
2007-06-28,8.31198,8.41748,8.28938,8.40995,6575418
2007-06-29,8.40241,8.41748,8.11605,8.13866,8661196
2007-07-02,8.22909,8.36473,8.19141,8.32705,6292767
2007-07-03,8.30445,8.42502,8.30445,8.42502,2332866
2007-07-05,8.38734,8.40241,8.22155,8.31952,5221214
2007-07-06,8.32705,8.34212,8.23662,8.31198,3562730
2007-07-09,8.30445,8.37227,8.18387,8.3572,5926382
2007-07-10,8.33459,8.3572,8.20648,8.20648,5322597
2007-07-11,8.22155,8.32705,8.16127,8.28184,6188597
2007-07-12,8.26677,8.40995,8.2517,8.38734,8268670
2007-07-13,8.40241,8.44009,8.31952,8.34966,4755437
2007-07-16,8.47023,8.58327,8.44009,8.49284,10273899
2007-07-17,8.50038,8.82442,8.49284,8.58327,14322975
2007-07-18,8.59834,8.65109,8.4627,8.4853,7400414
2007-07-19,8.50791,8.68877,8.50038,8.62848,8571093
2007-07-20,8.77166,8.80181,8.56066,8.59081,6315591
2007-07-23,8.65863,8.70384,8.62848,8.65109,4811304
2007-07-24,8.64356,8.71891,8.4853,8.59081,12921795
2007-07-25,8.59834,8.69631,8.55313,8.65109,9013249
2007-07-26,8.4627,8.50791,8.21402,8.40995,24600590
2007-07-27,8.53052,8.60588,8.38734,8.41748,12436511
2007-07-30,8.36473,8.58327,8.3572,8.39488,11112298
2007-07-31,8.4627,8.47023,8.3798,8.41748,13633067
2007-08-01,8.41748,8.58327,8.36473,8.57574,12398294
2007-08-02,8.58327,8.63602,8.55313,8.62095,7466233
2007-08-03,8.63602,8.64356,8.36473,8.36473,7310310
2007-08-06,8.30445,8.44009,8.22155,8.31198,9482477
2007-08-07,8.33459,8.38734,8.19895,8.38734,7157440
2007-08-08,8.50038,8.69631,8.50038,8.69631,11271936
2007-08-09,8.53052,8.83195,8.49284,8.64356,11792386
2007-08-10,8.62095,8.92992,8.62095,8.82442,9162802
2007-08-13,8.83195,8.83195,8.64356,8.72645,6127555
2007-08-14,8.72645,8.76413,8.53052,8.53052,7416205
2007-08-15,8.50791,8.55313,8.30445,8.30445,8332631
2007-08-16,8.25923,8.42502,8.14619,8.34212,9339957
2007-08-17,8.28938,8.4853,8.17634,8.40241,11408086
2007-08-20,8.37227,8.37227,8.24416,8.28184,6882884
2007-08-21,8.31198,8.37227,8.19141,8.26677,4718812
