date,open,high,low,close,volume
2019-03-12,38.0,38.0,38.0,38.0,10000
2019-03-13,39.0,39.9,38.7,39.75,20477400
2019-03-14,39.75,41.4,39.75,40.65,6248600
2019-03-15,41.38,41.87,41.24,41.7,7107300
2019-03-18,41.95,41.95,41.049999,41.7,4020900
2019-03-19,41.55,41.7,39.84,40.34,10118500
2019-03-20,40.49,40.81,38.24,38.62,15683200
2019-03-21,39.0,40.07,38.75,40.02,12751700
2019-03-22,39.93,39.99,37.69,38.72,10898000
2019-03-25,38.89,38.96,37.39,37.44,9338900
2019-03-26,37.65,38.28,37.51,37.54,6287100
2019-03-27,37.52,37.91,36.76,36.92,5578100
2019-03-28,36.85,37.15,36.34,36.4,5326200
2019-03-29,36.55,36.91,36.15,36.71,5895300
2019-04-01,36.91,37.15,36.71,36.85,5311200
2019-04-02,36.96,37.18,35.9,36.28,6704600
2019-04-03,36.37,36.56,35.9,36.080002,8393500
2019-04-04,36.2,36.8,36.0099983,36.76,4908400
2019-04-05,36.79,37.85,36.69,37.68,7344900
2019-04-08,37.6,37.68,37.265,37.47,3393300
2019-04-09,37.42,37.65,37.17,37.31,5725900
2019-04-10,37.33,37.53,36.36,36.48,4828400
2019-04-11,36.57,37.16,35.99,37.09,4791400
2019-04-12,37.15,37.62,36.47,37.53,6368500
2019-04-15,37.46,37.57,36.99,37.53,3927100
2019-04-16,37.67,37.85,37.47,37.75,5722000
2019-04-17,37.87,38.85,37.76,38.84,7603800
2019-04-18,38.91,39.0,38.43,38.44,4737400
2019-04-22,38.36,38.44,37.62,37.7,7675300
2019-04-23,37.79,38.39,37.63,38.080002,6328800
2019-04-24,37.95,38.31,37.805,37.96,5323500
2019-04-25,37.98,38.2,37.54,38.15,5309700
2019-04-26,38.080002,38.53,37.9,38.48,5297400
2019-04-29,38.54,39.525,38.31,39.2,6885200
2019-04-30,39.19,39.33,38.47,38.99,5044400
2019-05-01,39.12,39.49,38.66,39.4,5149800
2019-05-02,39.23,39.47,37.080002,37.28,11495900
2019-05-03,37.41,37.75,37.12,37.47,4809800
2019-05-06,37.17,37.99,36.96,37.92,4801300
2019-05-07,37.58,37.81,37.12,37.26,6053300
2019-05-08,37.34,37.7,36.855,37.42,8635300
2019-05-09,38.5,39.25,37.51,38.5,15210200
2019-05-10,38.64,38.75,37.44,38.53,6742500
2019-05-13,37.77,38.68,37.73,37.97,5604000
2019-05-14,38.049999,38.52,37.872,37.89,6198600
2019-05-15,37.7,37.97,37.57,37.71,2975400
2019-05-16,37.91,38.080002,36.7,36.74,8704900
2019-05-17,36.56,37.59,36.55,37.32,5508000
2019-05-20,37.18,37.64,37.0,37.14,3670000
2019-05-21,37.26,38.0,37.099998,37.69,4668600
2019-05-22,37.66,37.76,37.055,37.12,3431200
2019-05-23,36.82,37.080002,36.63,36.91,4431900
2019-05-24,37.049999,37.205,36.85,36.92,2879000
2019-05-28,36.97,37.34,36.505,36.64,4380400
2019-05-29,36.5,36.65,35.79,35.79,3691300
2019-05-30,35.88,36.155,35.15,35.22,4730400
2019-05-31,34.97,35.27,34.7,35.23,6706100
2019-06-03,35.049999,35.3,33.78,34.24,7665000
2019-06-04,34.52,35.25,34.15,34.48,8058900
2019-06-05,34.62,34.98,34.28,34.36,6240600
2019-06-06,34.66,34.66,33.98,34.12,5288300
2019-06-07,34.18,34.44,34.0,34.0099983,4226800
2019-06-10,34.049999,34.4,33.9,34.029999,5620500
2019-06-11,34.23,34.41,34.0099983,34.18,3166900
2019-06-12,34.2,35.099998,34.16,35.049999,4426800
2019-06-13,35.17,35.5,34.963,35.29,4384800
2019-06-14,35.24,35.5,34.93,35.24,4362200
2019-06-17,35.42,36.325,35.34,36.13,7195400
2019-06-18,36.45,37.049999,36.080002,36.19,4938900
2019-06-19,36.26,36.42,35.678,35.99,4790000
2019-06-20,36.38,36.475,35.56,35.58,5916500
2019-06-21,35.61,37.295,35.31,36.18,11402200
2019-06-24,36.0099983,36.07,35.605,35.8,5280100
2019-06-25,35.78,35.86,35.14,35.34,7204300
2019-06-26,35.79,36.099998,35.33,35.47,4297300
2019-06-27,35.53,36.33,35.2,35.99,5083900
2019-06-28,35.98,36.76,35.81,36.64,10930000
2019-07-01,36.46,36.99,35.74,35.92,6396600
2019-07-02,36.0099983,36.62,35.92,36.59,3599500
2019-07-03,36.6,36.82,36.27,36.35,3160300
2019-07-05,36.24,36.8,36.075001,36.6,1982000
2019-07-08,36.53,36.675,36.080002,36.13,1644600
2019-07-09,36.029999,36.27,35.82,36.02,2379600
2019-07-10,36.19,36.43,36.075001,36.14,2400700
2019-07-11,36.17,36.35,35.85,36.29,2987000
2019-07-12,36.46,37.040001,36.099998,36.96,2755700
2019-07-15,37.029999,37.16,36.64,37.0099983,2861600
2019-07-16,36.93,37.11,36.63,36.69,2721500
2019-07-17,36.73,36.76,36.11,36.17,5740500
2019-07-18,36.17,36.72,35.96,36.55,5286800
2019-07-19,36.7,36.74,36.14,36.43,4402000
2019-07-22,36.51,36.61,36.060001,36.099998,7865700
2019-07-23,36.19,36.39,35.84,36.22,5573600
2019-07-24,36.13,36.86,36.13,36.6,5980600
2019-07-25,36.63,37.34,36.63,37.17,3251600
2019-07-26,37.29,37.8,37.080002,37.21,2669100
2019-07-29,37.16,37.57,37.07,37.51,2130600
2019-07-30,37.35,37.98,37.32,37.82,2971800
2019-07-31,37.67,37.692,36.81,37.32,5280600
2019-08-01,37.25,37.49,36.725,36.89,3280700
2019-08-02,36.73,36.96,36.33,36.63,2419000
2019-08-05,36.47,36.56,35.77,36.049999,4517200
2019-08-06,36.16,36.6,35.93,36.45,3366700
2019-08-07,35.89,37.15,35.8,37.040001,4657400
2019-08-08,37.22,37.25,35.0,35.13,9539900
2019-08-09,35.11,35.65,34.98,35.4,4234400
2019-08-12,35.040001,35.32,34.7,34.95,4172900
2019-08-13,34.84,35.59,34.8,35.060001,2940800
2019-08-14,34.7,34.75,33.38,33.69,7489800
2019-08-15,33.88,34.09,32.725,32.75,7037700
2019-08-16,33.0,33.3,32.67,32.99,3230900
2019-08-19,33.32,34.025002,33.29,33.87,3915100
2019-08-20,33.83,34.049999,33.52,33.59,2810700
2019-08-21,33.64,33.725,33.0099983,33.41,3050400
2019-08-22,33.38,33.54,32.95,33.049999,3725400
2019-08-23,32.93,33.084999,31.63,31.75,3866200
2019-08-26,31.84,32.14,31.58,32.080002,3235600
2019-08-27,32.22,32.38,31.92,31.93,3449400
2019-08-28,32.049999,32.28,31.62,31.79,3567200
2019-08-29,32.0,33.125,31.88,32.74,3687100
2019-08-30,33.72,33.72,32.79,33.17,2924600
2019-09-03,32.66,33.11,32.54,32.77,2090800
2019-09-04,32.99,33.61,32.9,33.56,2280900
2019-09-05,33.64,34.405,33.56,34.25,3946900
2019-09-06,34.32,34.74,34.060001,34.23,2514600
2019-09-09,33.39,34.34,33.39,34.3,2659800
2019-09-10,33.85,34.72,33.85,34.3,3198100
2019-09-11,34.28,34.43,33.8,34.0,3287100
2019-09-12,34.19,34.19,33.67,33.79,4290500
2019-09-13,33.96,34.21,33.51,33.83,4606100
2019-09-16,33.68,33.83,33.47,33.6,2175600
2019-09-17,33.59,33.59,32.79,32.86,6701300
2019-09-18,32.88,32.96,32.13,32.64,5590600
2019-09-19,32.48,32.78,31.96,32.040001,4889000
2019-09-20,31.99,32.425,31.72,32.27,8111700
2019-09-23,32.37,32.49,31.995,32.27,3485400
2019-09-24,32.28,32.445,31.475,31.59,5844900
2019-09-25,31.61,32.18,31.56,32.0099983,4376500
2019-09-26,32.18,32.19,31.39,31.45,5960000
2019-09-27,31.65,31.72,31.15,31.44,4252800
2019-09-30,31.63,31.87,31.35,31.535,3152800
2019-10-01,31.73,32.07,31.2,31.24,2703400
2019-10-02,31.17,31.29,30.365,30.42,4879800
2019-10-03,30.34,30.55,29.705,30.46,7168800
2019-10-04,30.6,30.81,30.37,30.57,2858300
2019-10-07,30.75,31.14,30.58,30.6,4854600
2019-10-08,30.27,30.28,29.695,30.055,3829600
2019-10-09,30.36,30.45,29.96,30.23,3537100
2019-10-10,30.24,30.55,30.049999,30.52,3493600
2019-10-11,30.99,31.755,30.76,31.46,4444200
2019-10-14,31.27,31.43,31.040001,31.39,2998500
2019-10-15,31.33,31.805,31.15,31.7,3758800
2019-10-16,31.61,32.0099983,31.545,31.99,4383300
2019-10-17,32.099998,32.14,31.54,31.98,9068100
2019-10-18,32.040001,32.57,31.96,32.21,8890300
2019-10-21,32.36,32.81,32.2,32.74,5158700
2019-10-22,32.73,33.565,32.55,33.45,5518000
2019-10-23,33.33,33.67,33.15,33.24,7061400
2019-10-24,33.18,33.39,31.79,32.3,9056900
2019-10-25,32.39,32.775,32.32,32.41,5446800
