date,open,high,low,close,volume
2006-10-18,77.15,77.24,76.9,77.24,159400
2006-10-19,77.24,77.41,76.75,77.050003,129000
2006-10-20,76.9,76.93,76.099998,76.84,146100
2006-10-23,76.75,77.53,76.46,77.47,153100
2006-10-24,77.43,77.54,77.050003,77.38,172200
2006-10-25,77.25,78.089996,77.15,78.089996,159200
2006-10-26,78.089996,78.59,77.87,78.59,129400
2006-10-27,78.15,78.73,78.010002,78.5,230000
2006-10-30,78.3,79.83,78.13,79.52,215600
2006-10-31,79.85,80.19,79.57,80.15,443900
2006-11-01,79.6,80.43,79.5,80.14,316700
2006-11-02,80.0,80.0,77.9,79.15,667200
2006-11-03,79.0,79.38,77.73,78.34,403000
2006-11-06,78.5,78.55,77.2,78.13,322500
2006-11-07,77.9,78.14,77.2,77.2,228900
2006-11-08,76.84,77.4,76.35,77.0,292200
2006-11-09,77.15,78.15,76.52,77.67,202300
2006-11-10,77.6,78.3,77.6,78.3,120800
2006-11-13,78.099998,78.35,77.27,77.63,141700
2006-11-14,77.95,78.73,77.71,78.7,162500
2006-11-15,78.5,79.010002,78.16,78.49,138400
2006-11-16,78.4,78.78,78.010002,78.5,361000
2006-11-17,78.45,78.55,78.15,78.38,166500
2006-11-20,78.85,82.099998,78.85,81.52,538100
2006-11-21,81.65,82.85,81.58,82.75,247900
2006-11-22,82.75,83.65,82.69,83.44,209100
2006-11-24,83.3,84.5,83.24,84.48,93400
2006-11-27,83.55,84.19,82.22,82.4,340400
2006-11-28,82.4,82.5,81.7,82.28,251300
2006-11-29,82.45,84.24,82.11,84.16,215000
2006-11-30,84.9,85.86,84.099998,85.18,921500
2006-12-01,85.18,86.0,85.07,85.35,244100
2006-12-04,85.26,87.19,85.26,87.15,137800
2006-12-05,87.0,87.11,86.23,86.58,246600
2006-12-06,86.25,86.4,85.34,86.099998,233600
2006-12-07,86.34,86.63,85.41,85.71,282000
2006-12-08,85.51,85.59,84.61,85.15,149000
2006-12-11,85.0,85.24,84.010002,84.76,230700
2006-12-12,84.85,85.0,84.010002,84.27,182300
2006-12-13,84.52,84.73,83.12,83.9,212400
2006-12-14,83.7,84.54,83.47,83.7,187400
2006-12-15,84.5,84.5,83.32,84.040001,188200
2006-12-18,84.0,84.0,82.15,82.52,197300
2006-12-19,82.15,82.15,80.35,81.75,257700
2006-12-20,81.9,82.42,81.47,82.099998,280400
2006-12-21,82.080002,82.98,81.5,81.57,326800
2006-12-22,81.9,82.15,81.0,81.3,416900
2006-12-26,81.5,82.71,81.29,82.36,147000
2006-12-27,82.31,83.92,82.31,83.85,236500
2006-12-28,83.35,84.76,83.059998,84.21,247000
2006-12-29,84.46,85.77,84.25,85.0,301200
2007-01-03,85.46,86.12,83.76,84.46,229400
2007-01-04,84.25,84.29,83.099998,83.42,199200
2007-01-05,83.42,83.5,81.84,82.029999,154400
2007-01-08,81.5,82.050003,80.82,81.93,169400
2007-01-09,82.0,84.040001,81.93,83.8,188000
2007-01-10,83.7,85.0,82.96,84.73,257800
2007-01-11,84.83,86.53,84.61,85.65,206600
2007-01-12,85.53,86.080002,85.33,85.78,128100
2007-01-16,85.7,87.66,85.7,87.48,164000
2007-01-17,87.37,87.84,86.34,87.24,146400
2007-01-18,87.49,87.7,86.41,87.23,100600
2007-01-19,87.33,88.68,86.44,88.68,200700
2007-01-22,88.68,88.92,87.97,88.19,414600
2007-01-23,88.35,89.79,87.96,88.85,293700
2007-01-24,88.83,89.32,88.48,89.3,295200
2007-01-25,89.8,91.96,89.69,91.0,460200
2007-01-26,91.050003,91.92,90.3,91.92,289100
2007-01-29,91.9,92.44,90.58,90.81,296600
2007-01-30,92.5,93.24,91.8,93.050003,571700
2007-01-31,91.85,94.18,91.85,93.42,224700
2007-02-01,93.4,94.53,93.050003,94.46,204000
2007-02-02,94.67,95.0,93.49,94.49,188300
2007-02-05,94.32,94.79,93.059998,93.58,254000
2007-02-06,94.0,96.62,93.83,96.62,330600
2007-02-07,95.12,98.92,94.88,97.12,575500
2007-02-08,96.75,97.73,95.14,95.84,435900
2007-02-09,96.0,96.69,92.33,94.97,936900
2007-02-12,94.57,94.65,91.7,92.3,443500
2007-02-13,92.55,94.6,89.040001,93.92,447700
2007-02-14,92.0,94.96,91.55,92.7,669400
2007-02-15,91.6,94.4,91.6,94.0,401700
2007-02-16,93.65,93.94,92.42,93.27,322700
2007-02-20,92.029999,94.42,91.88,94.0,346400
2007-02-21,93.57,93.9,92.78,93.77,213500
2007-02-22,93.74,93.85,92.38,93.3,214100
2007-02-23,93.4,93.4,91.51,91.84,293100
2007-02-26,90.8,92.5,89.87,91.63,341900
2007-02-27,91.23,91.23,86.7,89.55,527000
2007-02-28,90.099998,90.99,89.35,90.49,565500
2007-03-01,90.13,91.059998,87.029999,90.010002,643300
2007-03-02,90.95,91.41,89.67,89.95,874400
2007-03-05,89.4,89.55,86.8,86.94,560500
2007-03-06,88.0,90.2,88.0,89.49,372400
2007-03-07,89.55,89.89,87.75,88.18,289800
2007-03-08,89.6,90.97,89.41,90.28,373400
2007-03-09,90.7,92.040001,90.12,91.49,234500
2007-03-12,91.28,92.14,90.45,91.69,191500
2007-03-13,91.0,91.73,88.74,88.9,292400
2007-03-14,89.15,89.57,86.77,89.35,381700
2007-03-15,89.35,91.0,89.31,89.95,198600
2007-03-16,89.9,90.21,88.66,88.95,212000
2007-03-19,89.5,90.29,88.81,90.07,174400
2007-03-20,89.52,90.54,89.13,89.84,278500
2007-03-21,88.84,91.42,88.81,91.15,259100
2007-03-22,90.9,91.7,90.57,91.16,141000
2007-03-23,90.91,92.32,90.79,91.24,156600
2007-03-26,91.49,91.5,89.25,89.43,269800
2007-03-27,89.29,89.32,88.019997,88.42,234400
2007-03-28,87.42,88.89,86.73,88.050003,249000
2007-03-29,88.54,89.099998,87.61,87.83,233100
2007-03-30,88.5,90.68,88.24,90.62,588100
2007-04-02,90.72,92.080002,90.57,92.050003,278100
2007-04-03,92.4,93.34,92.26,92.45,345700
2007-04-04,92.15,92.35,90.71,91.39,302400
2007-04-05,91.14,91.74,91.010002,91.22,163700
2007-04-09,91.22,91.93,90.93,91.81,134500
2007-04-10,91.81,92.82,91.53,92.19,136200
2007-04-11,90.3,92.040001,90.12,90.48,189200
2007-04-12,88.59,90.33,88.59,89.92,173600
2007-04-13,89.99,91.089996,89.75,90.91,175800
2007-04-16,91.4,92.79,90.47,90.6,155100
2007-04-17,91.050003,91.98,90.21,91.8,181500
2007-04-18,91.5,91.83,90.89,91.27,160200
2007-04-19,90.35,90.65,89.83,90.33,214000
2007-04-20,90.64,91.27,90.64,91.27,132800
2007-04-23,91.2,92.9,91.099998,92.59,217300
2007-04-24,92.69,93.010002,91.089996,91.85,118600
2007-04-25,92.35,92.5,90.58,91.37,143700
2007-04-26,91.42,91.9,90.76,91.010002,157300
2007-04-27,90.7,91.83,90.51,91.57,191300
2007-04-30,91.58,92.13,90.050003,90.17,344000
2007-05-01,90.3,90.34,87.76,90.32,446300
2007-05-02,89.92,90.83,88.86,90.53,259600
2007-05-03,90.53,91.41,90.27,90.87,260100
2007-05-04,91.07,91.099998,89.97,90.14,246400
2007-05-07,90.39,90.87,89.78,89.91,243600
2007-05-08,89.45,89.7,88.75,88.76,272600
2007-05-09,88.96,90.79,88.85,90.35,296100
2007-05-10,90.0,90.43,88.85,89.22,201600
2007-05-11,89.47,90.16,89.080002,89.62,145200
2007-05-14,90.0,90.5,88.75,88.93,229300
2007-05-15,88.7,88.99,86.86,87.18,309400
2007-05-16,87.18,87.34,85.49,86.07,393900
2007-05-17,86.019997,86.019997,84.12,84.85,332600
2007-05-18,84.85,84.85,83.25,83.6,300100
2007-05-21,83.6,85.86,83.6,84.54,392400
2007-05-22,84.54,86.56,84.22,85.75,346600
2007-05-23,86.28,86.99,84.34,84.52,197200
2007-05-24,84.14,84.45,82.040001,82.77,389300
2007-05-25,84.040001,84.7,83.23,83.62,273100
2007-05-29,84.79,86.49,84.79,86.07,693600
2007-05-30,86.07,88.78,85.97,88.49,593800
2007-05-31,88.56,89.010002,86.72,88.62,578800
2007-06-01,88.75,89.52,88.5,89.059998,277700
2007-06-04,88.14,89.71,87.95,88.74,234700
2007-06-05,88.61,88.78,86.52,86.58,319300
2007-06-06,85.87,87.15,85.4,86.45,205800
2007-06-07,85.76,85.8,82.99,83.3,268700
2007-06-08,83.66,85.34,82.33,85.34,154100
2007-06-11,84.91,84.92,83.7,84.2,187000
2007-06-12,83.95,84.0,82.33,82.53,309200
2007-06-13,83.23,84.61,82.79,84.29,390400
2007-06-14,84.25,84.9,82.41,82.76,225100
2007-06-15,83.62,84.12,82.75,82.85,504100
2007-06-18,82.21,83.099998,80.35,80.42,476000
2007-06-19,79.92,80.019997,78.63,79.94,802200
2007-06-20,79.18,79.22,77.54,77.54,565600
2007-06-21,77.13,77.49,75.8,76.7,648900
2007-06-22,76.24,77.089996,76.07,76.84,559000
2007-06-25,76.8,76.88,75.24,75.87,499100
2007-06-26,76.14,76.14,74.96,75.27,597500
2007-06-27,75.15,76.64,74.36,76.6,1035600
2007-06-28,76.5,77.97,75.95,77.050003,606600
2007-06-29,77.5,78.68,76.010002,77.26,613500
2007-07-02,78.16,80.71,77.63,79.78,527400
2007-07-03,80.58,81.61,78.79,79.059998,319800
2007-07-05,79.42,82.77,79.42,80.49,508900
2007-07-06,81.19,81.19,79.31,80.019997,283100
2007-07-09,79.48,79.95,78.72,78.74,441800
2007-07-10,77.9,77.96,76.3,76.55,471100
2007-07-11,75.95,76.84,74.75,76.59,287800
2007-07-12,76.78,82.5,76.31,82.19,1424400
2007-07-13,83.050003,85.040001,82.89,83.65,693700
2007-07-16,83.3,83.99,82.27,82.54,472600
2007-07-17,82.6,83.32,82.32,82.72,418700
2007-07-18,82.0,82.86,81.099998,82.82,361100
2007-07-19,82.82,84.25,81.92,82.37,268200
2007-07-20,82.5,82.99,79.64,80.51,290900
2007-07-23,80.65,80.68,79.37,79.65,258500
2007-07-24,79.63,80.66,76.89,77.24,253700
2007-07-25,78.019997,78.33,75.49,77.099998,288600
2007-07-26,76.059998,76.81,74.75,76.66,411700
2007-07-27,74.77,77.28,73.37,73.82,640200
