date,open,high,low,close,volume
2006-10-18,75.2,75.75,74.32,75.029999,3293000
2006-10-19,73.0,73.71,71.78,72.45,2881000
2006-10-20,72.0,72.33,71.23,72.17,2111100
2006-10-23,71.65,72.78,71.62,72.78,1721100
2006-10-24,72.45,73.12,72.39,73.12,2131700
2006-10-25,73.43,73.48,72.099998,72.74,2507000
2006-10-26,72.68,72.7,70.86,72.29,2443200
2006-10-27,72.089996,72.099998,70.88,70.91,1622500
2006-10-30,70.53,71.83,70.53,71.46,1011100
2006-10-31,71.46,71.64,70.83,71.099998,962000
2006-11-01,71.050003,72.040001,71.050003,71.55,1250400
2006-11-02,71.07,71.3,70.64,70.93,943400
2006-11-03,70.88,71.14,70.17,70.53,1014000
2006-11-06,70.53,71.59,70.53,71.44,688400
2006-11-07,71.099998,72.29,70.89,72.0,1263600
2006-11-08,71.99,72.0,70.089996,70.49,1917700
2006-11-09,70.5,70.97,69.29,70.28,2087800
2006-11-10,70.050003,70.35,69.93,70.35,1237400
2006-11-13,70.3,71.48,70.19,71.3,1227400
2006-11-14,71.17,72.0,70.59,71.91,1154400
2006-11-15,72.24,74.14,72.14,73.85,2408400
2006-11-16,74.2,75.14,73.89,74.94,2374400
2006-11-17,74.95,75.14,73.75,73.91,1825700
2006-11-20,73.5,73.54,72.79,72.98,1701000
2006-11-21,73.13,74.22,73.07,73.78,2387900
2006-11-22,73.9,74.14,73.48,73.78,1299700
2006-11-24,73.78,73.97,73.5,73.65,548600
2006-11-27,73.6,73.74,72.31,72.56,1667800
2006-11-28,72.2,73.67,72.12,73.54,1768600
2006-11-29,73.51,75.0,73.14,74.99,1986500
2006-11-30,74.99,75.0,74.2,74.84,2163200
2006-12-01,74.84,75.089996,74.21,74.81,1024200
2006-12-04,75.029999,75.59,74.93,75.3,1077000
2006-12-05,75.29,75.92,75.21,75.76,1022100
2006-12-06,75.97,75.97,75.3,75.4,1405800
2006-12-07,75.66,75.86,74.68,74.73,1178700
2006-12-08,74.4,74.73,74.029999,74.14,1281600
2006-12-11,74.15,74.93,74.019997,74.62,745500
2006-12-12,74.62,74.84,73.31,73.79,1437500
2006-12-13,74.37,74.37,72.73,72.89,1846900
2006-12-14,73.5,73.92,73.11,73.35,1726300
2006-12-15,73.34,73.41,72.36,72.52,2570800
2006-12-18,73.0,73.75,72.53,72.8,1325200
2006-12-19,72.8,74.52,72.79,74.3,1660700
2006-12-20,74.49,74.97,74.3,74.44,1371400
2006-12-21,74.45,74.99,74.27,74.63,1387300
2006-12-22,74.45,74.52,73.6,73.98,786000
2006-12-26,73.98,74.45,73.8,74.27,824000
2006-12-27,74.75,75.019997,74.4,74.88,721300
2006-12-28,74.75,75.15,74.35,74.86,834000
2006-12-29,74.76,75.24,74.25,74.35,550000
2007-01-03,75.050003,75.57,73.87,73.95,1785300
2007-01-04,74.13,74.61,73.59,74.42,1357700
2007-01-05,74.4,74.76,74.029999,74.59,1497300
2007-01-08,76.099998,78.029999,75.85,78.0,2984300
2007-01-09,78.0,78.8,77.75,78.31,2729600
2007-01-10,78.15,79.5,77.88,79.29,1589900
2007-01-11,79.3,80.71,79.29,80.51,2029900
2007-01-12,80.2,80.59,79.5,80.089996,1721100
2007-01-16,80.089996,80.95,79.6,79.66,2737200
2007-01-17,79.69,80.099998,79.62,80.07,1336700
2007-01-18,80.9,80.9,78.75,78.86,1756700
2007-01-19,79.15,80.23,78.85,79.53,1601200
2007-01-22,79.4,79.56,78.4,78.76,1792600
2007-01-23,78.77,81.28,78.77,80.89,2425900
