date,open,high,low,close,volume
2023-07-26,80.26,80.308,77.29,77.43,4148600
2023-07-27,78.0,78.87,76.25,76.86,3224700
2023-07-28,77.24,78.32,76.89,77.87,2910100
2023-07-31,77.72,78.029999,76.27,78.0,3916200
2023-08-01,77.84,78.035004,77.099998,77.69,2126700
2023-08-02,77.32,77.78,76.15,76.59,3073000
2023-08-03,76.64,76.69,75.68,76.019997,2053300
2023-08-04,75.98,76.795,75.626,75.9,1449600
2023-08-07,76.099998,76.29,75.17,75.59,1668300
2023-08-08,75.29,75.47,73.32,73.93,2574900
2023-08-09,73.8,74.88,73.42,73.92,3028400
2023-08-10,74.25,74.58,72.12,72.3,3681600
2023-08-11,72.14,72.14,70.86,71.59,2897100
2023-08-14,71.5,71.87,70.85,71.8,2601100
2023-08-15,71.75,71.75,70.19,70.54,2476300
2023-08-16,71.21,72.28,70.42,70.67,3697400
2023-08-17,70.7,70.8,68.24,68.39,3791900
2023-08-18,68.2,68.75,67.895,68.36,2911000
2023-08-21,69.33,69.5,68.6,68.97,2807800
2023-08-22,69.15,69.4,68.67,68.93,2170100
2023-08-23,68.96,69.53,68.81,68.99,2079500
2023-08-24,69.64,69.79,68.24,68.43,2623200
2023-08-25,68.41,68.89,67.61,68.59,3096600
2023-08-28,69.059998,69.66,68.76,69.31,2438700
2023-08-29,69.33,70.5,69.33,70.48,2044300
2023-08-30,70.5,70.99,70.23,70.39,1889200
2023-08-31,70.51,71.13,69.861,70.45,3573300
2023-09-01,70.67,71.019997,69.099998,69.25,2096700
2023-09-05,69.13,69.16,67.41,67.66,3773500
2023-09-06,67.51,68.2,66.059998,66.98,3140100
2023-09-07,68.089996,68.17,65.83,65.9,2836900
2023-09-08,65.92,65.99,64.72,64.9,3103100
2023-09-11,65.32,67.35,65.2,66.62,3630500
2023-09-12,66.38,66.62,65.22,65.4,2381800
2023-09-13,65.12,65.94,64.21,64.53,3612800
2023-09-14,64.86,66.059998,64.57,66.0,3945100
2023-09-15,66.0,66.5,65.58,66.43,6711100
2023-09-18,65.87,66.99,65.87,66.28,3205300
2023-09-19,66.5,66.75,65.35,66.12,3160400
2023-09-20,66.42,66.8,64.9,65.010002,1796400
2023-09-21,64.62,64.89,63.79,63.89,2172500
2023-09-22,63.83,64.805,63.736,64.33,2277800
2023-09-25,64.0,67.040001,64.0,66.48,3214500
2023-09-26,66.19,67.405,66.12,66.21,3619900
2023-09-27,66.37,68.411,66.15,68.28,5470000
2023-09-28,68.74,70.58,68.010002,69.78,4817700
2023-09-29,70.080002,70.2,67.93,68.040001,3145800
2023-10-02,68.0,68.66,67.57,67.84,1942100
2023-10-03,67.35,67.53,66.4,66.98,2726100
2023-10-04,67.14,68.07,66.47,67.88,2084400
2023-10-05,68.34,68.68,66.627,67.6,1894300
2023-10-06,67.010002,68.99,66.65,68.46,2318600
2023-10-09,67.82,68.080002,67.18,67.8,1600300
2023-10-10,68.0,68.63,67.61,68.19,2209000
2023-10-11,68.31,68.31,67.040001,67.78,2032900
2023-10-12,67.72,67.91,66.17,66.51,2252100
2023-10-13,66.13,67.64,66.059998,67.12,1984200
2023-10-16,67.63,67.69,66.33,66.88,1951500
2023-10-17,66.37,67.41,66.07,66.8,1596000
2023-10-18,66.3,66.48,65.089996,65.23,1917700
2023-10-19,65.23,66.67,64.84,65.45,1669200
2023-10-20,65.53,65.53,63.86,64.050003,2575000
2023-10-23,63.95,64.54,63.36,63.99,2412500
2023-10-24,64.019997,65.059998,63.96,64.67,2511200
2023-10-25,64.2,64.99,63.98,64.51,3179600
2023-10-26,64.12,64.74,63.58,63.91,3484900
2023-10-27,64.2,64.32,62.72,63.099998,2606400
2023-10-30,63.54,63.67,62.35,63.17,4484200
2023-10-31,66.69,67.7,65.77,66.57,7555100
2023-11-01,66.75,68.45,66.0,68.28,4523300
2023-11-02,69.6,69.76,68.28,69.25,3115900
2023-11-03,69.94,71.9,69.63,71.57,4022500
2023-11-06,71.67,71.96,70.76,71.089996,2350100
2023-11-07,71.25,71.46,70.68,70.7,1912900
2023-11-08,71.16,71.16,69.525,69.99,2062100
2023-11-09,70.13,70.14,68.050003,68.31,1981500
2023-11-10,68.55,69.57,68.39,69.52,2773300
2023-11-13,69.57,70.55,69.35,70.010002,1993200
2023-11-14,71.0,72.37,70.68,72.21,2634400
2023-11-15,72.0,72.63,71.475,71.52,2780100
2023-11-16,72.0,72.66,71.5,71.92,2946600
2023-11-17,72.53,73.379,71.92,73.0,2920000
2023-11-20,73.089996,73.49,72.77,73.33,1787600
2023-11-21,73.5,73.69,72.59,73.38,1469300
2023-11-22,73.75,74.18,73.19,73.6,1123300
2023-11-24,73.82,73.84,73.391,73.71,558900
2023-11-27,71.26,71.515,70.55,71.14,4253600
2023-11-28,70.7,70.785,68.105,68.13,5167900
