date,open,high,low,close,volume
2006-10-18,22.049999,22.19,21.36,21.81,10295000
2006-10-19,21.74,21.75,21.01,21.33,15974200
2006-10-20,21.41,21.44,20.86,20.93,14775000
2006-10-23,20.86,21.39,20.79,21.0,9144100
2006-10-24,20.98,20.99,20.61,20.79,22154400
2006-10-25,20.93,20.93,20.34,20.78,20829100
2006-10-26,19.6,19.76,19.22,19.49,45557200
2006-10-27,19.45,19.55,18.75,18.82,28275500
2006-10-30,18.75,19.75,18.59,19.66,21058600
2006-10-31,19.59,19.89,19.51,19.84,15973100
2006-11-01,19.88,20.07,19.74,19.91,19520700
2006-11-02,19.75,20.12,19.67,20.07,12728700
2006-11-03,20.12,20.16,19.64,19.91,9766400
2006-11-06,19.95,20.49,19.86,20.42,12120200
2006-11-07,20.46,20.69,20.25,20.34,10528500
2006-11-08,20.2,20.54,20.13,20.25,9001100
2006-11-09,20.24,20.45,19.78,19.85,11037700
2006-11-10,19.99,20.19,19.8,20.11,8351700
2006-11-13,20.059999,20.82,20.0,20.53,14697200
2006-11-14,20.48,20.61,20.15,20.42,12368800
2006-11-15,20.33,20.9,20.31,20.72,11320400
2006-11-16,20.77,20.98,20.62,20.75,12128900
2006-11-17,20.56,20.75,20.23,20.66,11271200
2006-11-20,20.42,20.74,20.32,20.62,8481700
2006-11-21,20.39,20.78,20.38,20.77,10831500
2006-11-22,20.79,21.16,20.55,20.94,8758400
2006-11-24,20.56,21.17,20.56,20.93,2645200
2006-11-27,20.85,20.95,20.6,20.67,14711800
2006-11-28,20.59,21.14,20.33,20.97,13429300
2006-11-29,21.02,21.35,20.88,21.14,11463400
2006-11-30,21.14,21.42,21.0,21.22,11303500
2006-12-01,21.059999,21.11,20.43,20.64,13483400
2006-12-04,20.59,21.3,20.51,21.15,10243200
2006-12-05,21.23,21.25,20.35,20.62,17770000
2006-12-06,20.5,21.15,20.08,20.11,22386800
2006-12-07,20.12,20.25,19.64,19.76,17221300
2006-12-08,19.7,20.12,19.69,19.93,12015000
2006-12-11,19.85,21.0,19.85,20.41,30654400
2006-12-12,20.47,20.83,20.21,20.55,12571700
2006-12-13,20.68,20.92,20.42,20.68,12743000
2006-12-14,20.75,21.21,20.67,20.94,16016300
2006-12-15,21.08,21.38,20.92,21.17,17804900
2006-12-18,21.14,21.57,20.84,21.059999,13115500
2006-12-19,20.85,21.47,20.8,21.39,12185600
2006-12-20,21.71,21.9,21.3,21.39,13048100
2006-12-21,21.25,21.4,20.93,21.030001,20178500
2006-12-22,21.16,21.22,20.7,20.83,8703500
2006-12-26,20.72,21.08,20.72,20.94,3127800
2006-12-27,21.01,21.2,20.94,20.95,4917300
2006-12-28,21.08,21.36,20.93,21.28,7584300
2006-12-29,21.19,21.4,20.75,20.85,7391900
2007-01-03,20.98,21.86,20.86,21.34,17988400
2007-01-04,21.38,21.83,21.27,21.66,17884500
2007-01-05,21.58,21.6,21.27,21.34,11815700
2007-01-08,21.2,21.53,21.2,21.38,14239900
2007-01-09,21.38,21.8,21.33,21.57,9016200
2007-01-10,21.44,21.57,21.2,21.46,8692900
2007-01-11,21.51,21.86,21.2,21.33,14797000
2007-01-12,21.75,21.75,20.35,20.48,36673200
2007-01-16,18.71,19.25,17.65,17.79,121704800
2007-01-17,17.81,18.19,17.26,17.85,45726600
2007-01-18,17.98,18.15,17.7,17.75,21043900
2007-01-19,17.62,17.85,17.47,17.54,18084900
2007-01-22,17.58,17.74,17.33,17.5,14873700
2007-01-23,17.57,17.75,17.35,17.41,10082800
2007-01-24,17.41,17.8,17.3,17.48,11057500
2007-01-25,17.59,19.02,17.57,17.97,39354000
2007-01-26,17.94,18.15,17.53,17.77,19826300
2007-01-29,17.72,17.73,17.27,17.52,16851400
2007-01-30,17.55,17.71,17.44,17.62,10620500
2007-01-31,17.68,17.84,17.46,17.71,10843500
2007-02-01,17.68,18.040001,17.56,17.92,16894400
2007-02-02,17.9,18.21,17.84,18.059999,12866300
2007-02-05,18.0,18.09,17.77,17.78,13157700
2007-02-06,17.85,17.95,17.49,17.62,17169200
2007-02-07,17.71,18.2,17.7,18.1,20272600
2007-02-08,18.049999,18.17,17.95,18.0,9459900
2007-02-09,18.0,18.11,17.75,17.87,13861400
2007-02-12,17.94,17.95,17.66,17.82,7541100
2007-02-13,17.9,18.040001,17.76,17.91,15665900
2007-02-14,18.0,18.37,17.86,18.33,18274900
2007-02-15,18.29,18.3,18.049999,18.24,10355200
2007-02-16,18.21,18.3,17.87,17.95,12194400
2007-02-20,17.91,17.95,17.53,17.85,15826000
2007-02-21,17.77,17.83,17.4,17.47,19585000
2007-02-22,17.55,17.62,17.33,17.53,12402800
2007-02-23,17.59,17.59,17.27,17.36,9771200
2007-02-26,17.4,17.4,17.11,17.21,15902300
2007-02-27,17.07,17.3,16.74,16.74,19549200
2007-02-28,16.84,17.35,16.65,17.1,23195100
2007-03-01,16.95,17.25,16.8,16.96,16339200
2007-03-02,16.8,17.17,16.8,16.9,14184300
2007-03-05,16.8,17.049999,16.69,16.69,12158300
2007-03-06,16.89,16.95,16.59,16.84,16352700
2007-03-07,16.62,16.76,16.41,16.65,27190900
2007-03-08,16.89,16.9,16.48,16.57,19391600
2007-03-09,16.66,16.96,16.57,16.84,16226000
2007-03-12,16.84,17.049999,16.7,17.01,10204000
2007-03-13,16.81,16.91,16.41,16.41,13370100
2007-03-14,16.43,16.59,16.2,16.55,12252400
2007-03-15,16.56,16.64,16.37,16.62,8751600
2007-03-16,17.040001,17.18,16.73,16.9,20070700
2007-03-19,16.92,16.95,16.61,16.84,10240300
2007-03-20,16.91,17.059999,16.75,16.96,12108400
2007-03-21,17.0,17.16,16.8,17.07,17437800
2007-03-22,17.07,17.25,16.95,17.17,20316400
2007-03-23,17.15,17.63,17.15,17.54,16400500
2007-03-26,17.49,17.74,17.45,17.61,17605500
2007-03-27,17.66,17.95,17.59,17.85,21571300
2007-03-28,17.71,17.84,17.45,17.45,9426700
2007-03-29,17.57,17.67,17.18,17.45,9294500
2007-03-30,17.42,17.58,17.14,17.3,8454500
2007-04-02,17.22,17.37,16.96,17.040001,15789300
2007-04-03,17.059999,17.1,16.82,16.99,17202900
2007-04-04,16.93,17.02,16.81,16.85,12689800
2007-04-05,16.85,16.96,16.79,16.92,6747900
2007-04-09,16.98,17.11,16.92,16.95,11480900
2007-04-10,16.89,17.1,16.77,17.1,9898500
2007-04-11,17.059999,17.2,16.92,17.059999,10005700
2007-04-12,17.11,17.47,17.030001,17.37,11013100
2007-04-13,17.34,17.71,17.32,17.4,15411700
2007-04-16,17.49,17.59,17.22,17.53,11093300
2007-04-17,17.57,17.72,17.47,17.5,9774800
2007-04-18,17.38,17.46,17.28,17.39,7786500
2007-04-19,17.17,17.34,17.15,17.26,6333500
2007-04-20,17.35,17.7,17.29,17.63,16282200
2007-04-23,17.75,17.95,17.56,17.76,17469500
2007-04-24,17.95,17.98,17.44,17.47,17069100
2007-04-25,17.59,17.7,17.35,17.61,10921600
2007-04-26,17.4,17.93,17.26,17.71,9961800
2007-04-27,17.65,17.93,17.6,17.71,12551400
2007-04-30,17.75,18.0,17.58,17.6,11542300
2007-05-01,17.61,17.88,17.51,17.83,10791500
2007-05-02,17.89,18.33,17.51,18.17,16944400
2007-05-03,19.29,19.75,18.97,19.049999,40898400
2007-05-04,19.1,19.51,19.09,19.4,12667000
2007-05-07,19.47,19.72,19.33,19.51,15939200
2007-05-08,19.42,19.78,19.4,19.73,15945600
2007-05-09,19.67,19.82,19.62,19.77,13226600
2007-05-10,19.65,19.79,19.38,19.48,13344700
2007-05-11,19.44,19.79,19.42,19.65,12103000
2007-05-14,19.66,19.75,19.43,19.65,11766700
2007-05-15,19.68,20.0,19.49,19.52,15242900
2007-05-16,19.49,19.9,19.42,19.88,13729500
2007-05-17,19.88,19.98,19.79,19.89,9021800
2007-05-18,19.86,19.98,19.66,19.86,11081100
2007-05-21,19.76,19.87,19.63,19.79,10330200
2007-05-22,19.76,19.77,19.51,19.63,10151800
2007-05-23,19.6,19.8,19.4,19.6,11282200
2007-05-24,19.58,19.71,19.21,19.27,14843400
2007-05-25,19.36,19.85,19.35,19.79,13415700
2007-05-29,19.66,19.71,19.44,19.63,11674900
2007-05-30,19.43,19.77,19.29,19.77,11637600
2007-05-31,19.76,20.040001,19.71,19.99,13480300
2007-06-01,19.97,20.1,19.77,19.97,7533800
2007-06-04,19.8,20.25,19.8,20.16,10102900
2007-06-05,20.049999,20.32,19.83,20.02,10921500
2007-06-06,19.98,20.11,19.8,19.98,11025400
2007-06-07,19.8,20.02,19.55,19.55,10431300
2007-06-08,19.43,19.74,19.4,19.7,8010900
2007-06-11,19.56,19.76,19.54,19.61,8995400
2007-06-12,19.54,19.92,19.4,19.62,15003500
2007-06-13,19.65,20.35,19.63,20.01,14734500
