date,open,high,low,close,volume
2006-10-18,17.09,17.2625,16.9275,16.93,23216000
2006-10-19,16.99,17.1875,16.9,17.075001,22601200
2006-10-20,17.155,17.25,16.94,17.2475,19693200
2006-10-23,17.1675,17.4075,17.059999,17.345,12431200
2006-10-24,17.3125,17.3375,17.01,17.16,11304400
2006-10-25,17.0975,17.1875,16.78,16.9875,15327600
2006-10-26,16.9425,17.3525,16.85,17.3375,9901200
2006-10-27,17.2375,17.3225,17.0074997,17.045,9563600
2006-10-30,17.0,17.27,16.9375,17.2425,12896800
2006-10-31,17.3,17.4625,17.1275,17.225,11517600
2006-11-01,17.275,17.365,16.755,16.895,14220400
2006-11-02,16.895,17.0425,16.6675,17.0025005,14150400
2006-11-03,16.965,17.0625,16.7875,16.965,9480800
2006-11-06,16.9975,17.3375,16.9975,17.205,11286400
2006-11-07,17.1475,17.475,17.0425,17.4375,13219200
2006-11-08,17.3225,17.375,17.032499,17.245,11434000
2006-11-09,17.355,17.355,16.6875,16.765,14309600
2006-11-10,16.7675,16.84,16.5875,16.835,12113600
2006-11-13,16.805,16.8975,16.5975,16.7675,9296400
2006-11-14,16.65,16.9325,16.625,16.9,11048000
2006-11-15,16.885,17.1875,16.8525,16.9675,15305600
2006-11-16,17.049999,17.23,17.0275,17.07,10360400
2006-11-17,17.01,17.36,17.01,17.3575,17662800
2006-11-20,17.3375,17.5,17.0625,17.225,15781200
2006-11-21,17.3475,17.3475,16.825,16.8775,12465600
2006-11-22,16.8825,16.9,16.4675,16.6375,15165600
2006-11-24,16.5125,16.7,16.4725,16.5375,4490400
2006-11-27,16.5025,16.5375,16.2,16.3,14337200
2006-11-28,16.3,16.57,16.2275,16.5325,14147600
2006-11-29,16.49,16.695,16.405,16.6875,12729200
2006-11-30,16.7175,16.7175,16.43,16.49,9493200
2006-12-01,16.57,16.625,16.0275,16.305,19147200
2006-12-04,16.4125,17.0175,16.3575,16.905,19098000
2006-12-05,16.9,17.0,16.75,16.925,17634000
2006-12-06,16.98,17.035,16.795,17.025,11864000
2006-12-07,17.049999,17.057501,16.6375,16.72,13051600
2006-12-08,16.5,16.86,16.395,16.53,12613200
2006-12-11,16.3975,16.5375,16.305,16.4375,8524400
2006-12-12,16.4025,16.5275,16.3025,16.315,13942000
2006-12-13,16.2875,16.3475,15.9375,15.9925,19809200
2006-12-14,15.9925,16.2375,15.78,15.8375,21914000
2006-12-15,16.014999,16.1725,15.7775,16.1225,27668800
2006-12-18,16.1075,16.215,15.8825,15.9475,10866000
2006-12-19,15.93,16.2325,15.8025,16.16,13602800
2006-12-20,16.3125,16.495,16.1775,16.19,20335600
2006-12-21,16.2425,16.4625,16.185,16.3425,20901600
2006-12-22,16.3425,16.4125,15.98,16.125,10743200
2006-12-26,16.18,16.3,16.032499,16.2775,5977200
2006-12-27,16.4225,16.555,16.3375,16.5075,10388800
2006-12-28,16.4575,16.5225,16.175,16.3375,8839200
2006-12-29,16.3075,16.46,16.1875,16.2325,7876800
2007-01-03,16.32,16.535,15.48,15.7875,33461200
2007-01-04,15.78,16.1575,15.6175,16.047501,18666400
2007-01-05,16.055,16.205,15.9625,16.0525,14022000
2007-01-08,15.995,16.084999,15.8775,16.057501,12984000
2007-01-09,16.2375,16.3775,16.13,16.2525,20593600
2007-01-10,16.1625,16.2425,16.012501,16.1725,12706800
2007-01-11,16.2475,16.5625,16.1775,16.56,17697600
2007-01-12,16.45,16.6225,16.4475,16.54,15242800
2007-01-16,16.5425,16.62,16.4625,16.5875,14289600
2007-01-17,16.56,16.6475,16.4125,16.5975,18442800
2007-01-18,16.675,16.745,16.3175,16.54,14631200
2007-01-19,16.4675,16.6775,16.345,16.395,12762000
2007-01-22,16.375,16.42,16.030001,16.0625,15188000
2007-01-23,16.065001,16.16,15.8625,15.96,13597200
2007-01-24,15.9075,16.1275,15.9075,16.0625,12464800
2007-01-25,16.0275,16.0625,15.7975,15.8525,15518800
2007-01-26,15.8625,15.9225,15.6,15.6825,23048000
2007-01-29,15.6625,15.99,15.6075,15.7975,15867600
2007-01-30,15.8125,15.9075,15.73,15.8675,12757600
