date,open,high,low,close,volume
2006-10-18,28.55556,28.67111,28.42222,28.54667,717300
2006-10-19,28.54667,28.54667,27.72889,27.85333,1842750
2006-10-20,27.90667,27.93333,27.71556,27.79556,717750
2006-10-23,27.77778,28.0,27.60889,27.94667,603450
2006-10-24,27.94667,27.94667,27.72444,27.80889,573525
2006-10-25,27.77778,27.8,27.54667,27.64889,828900
2006-10-26,27.57333,27.96,27.57333,27.94222,718875
2006-10-27,27.85778,27.91556,27.6,27.63556,626400
2006-10-30,27.65778,27.86667,27.65778,27.71556,356625
2006-10-31,27.77333,27.84,27.40444,27.41333,726300
2006-11-01,27.48,27.66667,27.4,27.43556,457650
2006-11-02,27.44,27.73333,27.37778,27.71111,539775
2006-11-03,27.79111,27.88444,27.54222,27.66222,407250
2006-11-06,27.65778,27.95556,27.65778,27.8,325800
2006-11-07,27.80444,27.96889,27.76444,27.89778,495225
2006-11-08,27.95556,28.071112,27.84,27.84,514350
2006-11-09,27.90222,27.97778,27.72889,27.82667,624150
2006-11-10,27.89333,28.15111,27.89333,28.044443,704475
2006-11-13,28.10667,28.25333,28.071112,28.088888,351450
2006-11-14,28.17778,28.28,28.0,28.24889,297675
2006-11-15,28.29333,28.37333,28.14222,28.22667,468450
2006-11-16,28.26667,28.44,28.22222,28.39556,270675
2006-11-17,28.30667,28.48,28.28,28.39111,442575
2006-11-20,28.31111,28.41778,28.19556,28.31556,289575
2006-11-21,28.28889,28.33333,28.075556,28.14222,282150
2006-11-22,28.12,28.23111,28.088888,28.15111,244125
2006-11-24,28.088888,28.14222,28.0,28.11111,172350
2006-11-27,28.10222,28.10222,27.71111,27.78222,351450
2006-11-28,27.66667,27.88444,27.65333,27.71556,532575
2006-11-29,27.78667,27.99556,27.68889,27.95111,663075
2006-11-30,27.97778,28.13333,27.84,28.097778,739575
2006-12-01,28.17778,28.23556,27.77778,27.92444,690975
2006-12-04,28.013332,28.55556,27.97778,28.44444,1206450
2006-12-05,28.49778,28.49778,28.28889,28.33778,796725
2006-12-06,28.31111,28.38667,28.23556,28.36889,722250
2006-12-07,28.41778,28.52,28.19111,28.21778,488025
2006-12-08,28.24889,28.4,28.17333,28.27556,483525
2006-12-11,28.34667,28.51111,28.34667,28.4,504675
2006-12-12,28.46222,28.48444,28.22222,28.31111,547650
2006-12-13,28.42222,28.46222,28.20889,28.28444,521325
