date,open,high,low,close,volume
2006-10-18,24.73,24.88,24.17,24.42,10567200
2006-10-19,24.18,24.25,23.41,23.75,12500100
2006-10-20,23.81,23.85,23.15,23.26,15836500
2006-10-23,23.55,23.82,23.2,23.39,14005700
2006-10-24,23.2,23.28,22.26,23.14,24333500
2006-10-25,22.12,22.12,20.72,21.1,61964500
2006-10-26,21.25,21.34,21.0,21.21,26053000
2006-10-27,21.3,21.43,20.51,20.59,22733800
2006-10-30,20.45,20.85,20.31,20.7,23515600
2006-10-31,20.8,20.98,20.32,20.43,16655800
2006-11-01,20.63,20.79,20.13,20.29,12132500
2006-11-02,20.24,20.35,19.7,20.31,15439400
2006-11-03,20.66,20.75,20.25,20.51,14128200
2006-11-06,20.58,20.7,20.31,20.6,11859800
2006-11-07,20.72,21.2,20.7,21.07,23386700
2006-11-08,20.8,20.95,20.35,20.68,14880200
2006-11-09,20.87,20.95,20.11,20.13,14192300
2006-11-10,20.19,20.26,19.96,20.12,10247200
2006-11-13,20.01,20.76,20.0,20.69,16302900
2006-11-14,20.88,21.5,20.78,21.31,29289000
2006-11-15,21.4,21.53,21.25,21.4,16422300
2006-11-16,21.7,21.8,21.35,21.61,16513700
2006-11-17,21.61,21.65,21.09,21.21,10639200
2006-11-20,21.049999,21.2,20.72,20.93,12932700
2006-11-21,21.11,21.23,20.78,21.0,15674800
2006-11-22,21.17,21.57,21.1,21.54,17792900
2006-11-24,21.33,21.62,21.25,21.37,3745100
2006-11-27,21.55,21.6,20.8,20.99,16978100
2006-11-28,21.0,21.15,20.72,20.93,17865300
2006-11-29,21.1,21.5,21.07,21.49,14578800
2006-11-30,21.53,21.7,21.01,21.56,11475800
2006-12-01,20.57,21.55,19.48,21.02,18169700
2006-12-04,20.99,21.17,20.82,20.99,14425800
2006-12-05,21.19,22.0,21.16,21.94,22034100
2006-12-06,22.049999,22.34,21.87,21.89,18907200
2006-12-07,21.75,21.8,20.56,21.049999,36213200
2006-12-08,20.85,21.0,20.53,20.7,13335300
2006-12-11,20.99,20.99,20.2,20.32,17538900
2006-12-12,20.0,20.1,19.59,19.75,34202600
2006-12-13,19.79,19.99,19.42,19.56,14404800
2006-12-14,19.68,19.98,19.5,19.81,15243100
2006-12-15,19.98,20.1,19.4,19.49,20412200
2006-12-18,19.71,19.91,19.44,19.56,12522800
2006-12-19,19.15,19.31,18.71,18.94,24738300
2006-12-20,19.09,19.64,18.95,19.2,18724400
2006-12-21,19.2,19.23,18.8,19.15,19030200
2006-12-22,19.21,19.29,18.88,18.91,10685100
2006-12-26,18.8,19.07,18.69,18.79,7972400
2006-12-27,18.85,19.07,18.85,19.01,9199800
2006-12-28,18.92,18.95,18.75,18.81,9089300
2006-12-29,18.7,18.86,18.62,18.71,9517200
2007-01-03,18.94,19.26,18.61,18.85,24615200
2007-01-04,18.68,19.6,18.62,19.54,27623900
2007-01-05,19.31,19.64,18.91,19.040001,21106700
2007-01-08,19.049999,19.15,18.55,18.64,25627400
2007-01-09,18.93,19.1,18.32,18.46,38826900
2007-01-10,18.5,18.99,18.12,18.96,29761900
2007-01-11,18.32,19.54,18.32,19.42,28846700
2007-01-12,19.48,20.08,19.35,20.030001,29755000
2007-01-16,19.96,20.2,19.8,20.049999,16914000
2007-01-17,19.91,19.91,19.26,19.45,26332500
2007-01-18,19.3,19.59,19.25,19.35,20501400
2007-01-19,19.29,19.53,19.25,19.33,19869800
2007-01-22,19.42,19.45,18.81,19.0,15984900
2007-01-23,18.95,19.0,18.6,18.84,14801900
2007-01-24,20.21,21.09,20.2,20.9,65890000
2007-01-25,21.3,21.73,20.89,21.16,27326800
2007-01-26,21.28,21.3,20.95,21.2,12167100
2007-01-29,21.15,21.28,20.79,20.92,11096300
2007-01-30,20.76,21.01,20.64,20.68,13292800
2007-01-31,20.74,20.97,20.3,20.84,13931900
2007-02-01,21.0,21.14,20.7,20.86,10674700
2007-02-02,20.86,21.23,20.85,21.09,14004900
2007-02-05,21.19,21.58,21.17,21.36,15186900
2007-02-06,21.5,22.41,21.45,22.37,36924000
2007-02-07,22.52,22.8,22.26,22.39,24203000
2007-02-08,22.28,22.68,22.25,22.49,16552200
2007-02-09,22.15,22.5,21.5,21.59,23145900
2007-02-12,21.61,21.85,21.43,21.6,12198400
2007-02-13,21.81,22.0,21.72,21.92,12171400
2007-02-14,21.88,22.43,21.76,22.24,15481400
2007-02-15,22.23,22.41,21.96,22.049999,12190100
2007-02-16,21.93,22.0,21.54,21.72,15484000
2007-02-20,21.56,22.0,21.51,21.73,10595800
2007-02-21,21.67,21.96,21.45,21.9,10413500
2007-02-22,22.0,22.14,21.74,21.77,13613200
2007-02-23,21.61,21.8,21.55,21.61,10716800
2007-02-26,21.65,21.88,21.42,21.52,10119800
2007-02-27,21.0,21.11,19.56,20.38,26094200
2007-02-28,20.5,20.88,20.13,20.63,18310400
2007-03-01,20.049999,20.97,19.82,20.76,23548100
2007-03-02,20.48,20.73,20.23,20.3,17262100
2007-03-05,20.0,20.67,19.94,20.14,13367400
2007-03-06,20.68,20.75,20.39,20.63,12632200
2007-03-07,20.56,21.22,20.53,20.99,18446600
2007-03-08,21.36,21.48,21.11,21.23,14509200
2007-03-09,21.58,21.62,21.25,21.37,11596100
2007-03-12,21.37,21.95,21.31,21.77,11110900
2007-03-13,21.52,21.92,21.28,21.32,14035600
2007-03-14,21.28,21.68,21.1,21.6,14160700
2007-03-15,21.55,21.77,21.35,21.74,15134000
2007-03-16,21.75,22.18,21.64,21.77,18669300
2007-03-19,22.1,22.59,22.049999,22.45,17245800
2007-03-20,22.4,23.0,22.35,22.94,16740000
2007-03-21,23.0,23.21,22.71,23.12,11235200
2007-03-22,23.040001,23.15,22.71,22.94,12754700
2007-03-23,23.0,23.12,22.84,22.99,8675800
2007-03-26,22.85,22.93,22.49,22.9,11735200
2007-03-27,22.78,23.15,22.62,23.08,12539800
2007-03-28,22.96,23.33,22.65,22.92,13906700
2007-03-29,23.049999,23.16,22.48,22.83,13107300
2007-03-30,22.75,22.97,22.39,22.74,10237500
2007-04-02,22.52,22.8,22.43,22.72,8327600
2007-04-03,22.82,23.14,22.76,23.040001,11318500
2007-04-04,22.97,23.15,22.81,23.12,13612900
2007-04-05,23.11,23.86,23.059999,23.59,17632000
2007-04-09,23.76,23.77,23.3,23.52,7860000
2007-04-10,23.52,24.040001,23.49,23.77,15141900
2007-04-11,23.93,24.030001,23.7,23.71,15916400
2007-04-12,23.59,23.9,23.37,23.83,12481300
2007-04-13,24.0,24.0,23.53,23.74,8122700
2007-04-16,23.89,24.049999,23.73,24.01,10557300
2007-04-17,24.0,24.01,23.55,23.69,12622100
2007-04-18,23.4,23.84,23.2,23.63,13594200
2007-04-19,23.75,23.75,23.42,23.56,8755000
2007-04-20,23.85,23.85,22.91,23.48,22459500
2007-04-23,23.54,23.73,23.25,23.32,8254700
2007-04-24,23.4,23.82,22.96,23.73,18667200
2007-04-25,24.96,25.53,24.5,24.98,44053100
2007-04-26,25.26,25.4,24.56,24.91,16254700
2007-04-27,24.61,24.74,24.29,24.4,13002600
2007-04-30,24.29,24.38,23.65,23.72,14474400
2007-05-01,23.49,23.69,23.01,23.56,20090400
2007-05-02,23.57,24.16,23.56,23.82,10735500
2007-05-03,23.83,24.24,23.2,23.97,7664100
2007-05-04,24.36,24.45,23.83,23.96,11689900
2007-05-07,24.01,24.28,23.83,23.86,6334600
2007-05-08,23.79,23.99,23.45,23.73,9073200
2007-05-09,23.65,23.94,23.51,23.69,11262000
2007-05-10,23.56,23.61,23.1,23.29,12690400
2007-05-11,23.45,23.84,23.36,23.73,11878200
2007-05-14,23.73,23.97,23.23,23.34,11241500
2007-05-15,23.5,23.7,23.2,23.33,12205400
2007-05-16,23.76,23.89,23.53,23.83,13561100
2007-05-17,23.82,23.93,23.58,23.69,9934800
2007-05-18,23.74,23.94,23.6,23.92,11416800
2007-05-21,23.8,24.73,23.7,24.52,20334500
2007-05-22,24.55,24.83,24.37,24.61,14330900
2007-05-23,24.67,24.98,24.57,24.6,17524900
2007-05-24,24.42,24.71,23.79,23.98,16846600
2007-05-25,23.95,24.24,23.72,24.16,7709800
2007-05-29,24.21,24.5,24.030001,24.2,7778500
2007-05-30,23.99,24.97,23.89,24.87,15723500
2007-05-31,24.85,25.01,24.68,25.0,12055700
2007-06-01,25.15,25.98,25.0,25.65,18891900
2007-06-04,25.63,26.24,25.49,25.97,17551900
2007-06-05,25.73,26.1,25.51,25.74,16888900
2007-06-06,25.57,25.72,25.25,25.67,14242000
2007-06-07,25.66,25.82,25.12,25.15,14036600
2007-06-08,25.15,25.6,25.0,25.59,12857800
2007-06-11,25.65,26.07,25.55,25.94,12105500
2007-06-12,25.89,25.9,25.29,25.3,13147500
2007-06-13,25.46,26.030001,25.37,26.0,12524100
2007-06-14,25.97,26.25,25.95,26.02,9150200
2007-06-15,26.13,26.67,26.1,26.34,16060600
2007-06-18,26.39,26.4,26.11,26.22,11341700
2007-06-19,26.0,26.030001,25.35,25.98,21427700
2007-06-20,26.23,26.38,25.55,25.6,14911700
2007-06-21,25.48,25.97,25.44,25.69,22997000
2007-06-22,25.65,25.74,25.45,25.49,14099100
2007-06-25,25.5,25.95,25.46,25.66,10609500
2007-06-26,25.75,25.9,25.2,25.39,14342700
2007-06-27,25.31,25.6,25.11,25.56,9701100
2007-06-28,25.75,25.82,25.47,25.7,8066200
2007-06-29,25.7,25.85,25.35,25.55,8477200
2007-07-02,25.79,25.82,25.65,25.76,5901800
2007-07-03,25.93,25.98,25.82,25.9,3487900
2007-07-05,25.95,25.95,25.48,25.68,10699200
2007-07-06,25.8,25.89,25.55,25.82,9124100
2007-07-09,25.99,26.43,25.95,26.2,11032300
2007-07-10,26.0,26.08,25.72,25.89,16920900
