date,open,high,low,close,volume
2006-10-18,44.97,45.79,44.56,45.18,397200
2006-10-19,44.099998,44.91,44.099998,44.62,591000
2006-10-20,44.8,45.23,44.45,45.09,714900
2006-10-23,45.07,45.59,44.98,45.5,348300
2006-10-24,45.41,45.61,45.17,45.5,306100
2006-10-25,45.26,45.63,45.16,45.53,503400
2006-10-26,45.57,45.96,45.46,45.86,295700
2006-10-27,45.84,45.94,45.35,45.6,488400
2006-10-30,45.5,45.67,45.23,45.6,322300
2006-10-31,45.66,45.89,45.43,45.52,393600
2006-11-01,45.6,45.72,45.099998,45.13,259000
2006-11-02,45.049999,45.3,44.81,45.19,273800
2006-11-03,45.25,45.56,44.91,45.09,258900
2006-11-06,45.27,45.88,45.25,45.77,387100
2006-11-07,45.66,46.0,45.45,45.69,285500
2006-11-08,45.82,46.040001,45.7,45.99,587500
2006-11-09,46.0,46.0,45.8,45.93,325800
2006-11-10,45.97,46.35,45.81,46.33,609000
2006-11-13,46.2,46.33,45.82,45.88,402000
2006-11-14,45.91,46.35,44.54,46.27,683100
2006-11-15,46.25,46.46,46.2,46.28,572400
2006-11-16,46.89,47.66,46.62,47.56,889000
2006-11-17,47.48,47.56,47.080002,47.47,664000
2006-11-20,47.35,47.46,47.060001,47.3,444100
2006-11-21,47.24,47.44,47.13,47.34,297300
2006-11-22,47.28,47.52,47.12,47.45,251400
2006-11-24,47.31,47.47,47.040001,47.2,91000
2006-11-27,47.2,47.23,46.73,46.78,376100
2006-11-28,46.62,46.7,46.29,46.53,431000
2006-11-29,46.57,46.99,46.38,46.94,293300
2006-11-30,46.78,47.049999,46.66,46.89,376600
2006-12-01,46.95,47.14,46.29,46.61,460900
2006-12-04,46.74,47.21,46.64,47.099998,380300
2006-12-05,47.099998,47.75,47.02,47.74,336000
2006-12-06,47.56,47.87,47.14,47.75,590500
2006-12-07,47.91,48.080002,47.060001,47.31,430200
2006-12-08,47.33,47.64,47.23,47.45,231200
2006-12-11,47.5,47.65,47.32,47.5,167800
2006-12-12,47.38,47.69,47.2,47.63,314700
2006-12-13,47.83,47.83,47.25,47.47,312600
2006-12-14,47.57,47.93,47.41,47.79,291900
2006-12-15,47.73,47.95,46.98,47.25,646400
2006-12-18,47.36,47.53,46.9,47.080002,277800
2006-12-19,46.99,47.46,46.73,47.32,316400
2006-12-20,47.24,47.68,47.23,47.54,277600
2006-12-21,47.71,47.91,47.26,47.53,237500
2006-12-22,47.46,47.5,47.07,47.16,179000
2006-12-26,47.02,47.47,46.92,47.39,207600
2006-12-27,47.64,48.09,47.64,48.02,259300
2006-12-28,48.0,48.34,47.8,47.87,223600
2006-12-29,47.77,47.99,47.39,47.43,154500
2007-01-03,47.47,48.12,47.25,47.55,443400
2007-01-04,47.69,47.85,47.09,47.37,451200
2007-01-05,47.35,47.37,46.77,46.86,384400
2007-01-08,46.82,46.89,46.45,46.75,508100
2007-01-09,46.95,47.2,46.63,47.15,397700
2007-01-10,47.049999,47.38,46.92,47.29,451100
2007-01-11,47.39,47.66,47.28,47.57,432200
2007-01-12,47.74,48.13,47.6,47.95,347700
2007-01-16,48.049999,48.6,47.98,48.38,356300
2007-01-17,48.4,48.58,48.2,48.25,365900
2007-01-18,48.41,48.47,47.86,47.9,589900
2007-01-19,48.0,48.049999,47.3,47.5,655100
2007-01-22,47.54,47.73,47.36,47.48,599400
2007-01-23,47.48,47.65,47.34,47.37,471800
2007-01-24,47.3,47.53,47.26,47.49,383800
2007-01-25,47.35,47.44,46.6,46.68,485700
2007-01-26,46.68,46.79,46.26,46.37,502800
2007-01-29,46.43,46.73,46.19,46.44,550400
2007-01-30,46.59,46.78,46.43,46.7,229000
2007-01-31,46.71,47.52,46.65,47.52,525300
2007-02-01,47.53,48.44,47.46,48.09,632400
2007-02-02,48.099998,48.37,48.0099983,48.19,464600
2007-02-05,48.2,48.49,48.0099983,48.25,422900
2007-02-06,48.27,48.7,48.25,48.65,513600
2007-02-07,48.66,49.2,48.65,49.14,581700
2007-02-08,49.15,49.35,48.75,48.87,419300
2007-02-09,49.0,49.42,48.9,48.96,479800
2007-02-12,49.0099983,49.14,48.78,48.82,396400
2007-02-13,48.85,49.2,48.85,49.2,508200
2007-02-14,49.2,49.64,49.12,49.46,513400
2007-02-15,49.53,49.65,49.35,49.51,390800
2007-02-16,49.32,49.89,49.2,49.77,519300
2007-02-20,49.89,50.040001,49.42,49.75,610400
2007-02-21,49.73,50.15,49.66,50.09,898800
2007-02-22,50.28,50.75,50.18,50.44,579700
2007-02-23,50.2,50.74,49.9,50.56,555400
2007-02-26,50.61,50.64,49.91,50.17,417300
2007-02-27,49.94,49.97,48.2,48.33,849700
2007-02-28,48.45,49.23,48.31,48.73,1041000
2007-03-01,48.0,48.68,47.95,48.51,1023500
2007-03-02,48.45,48.73,48.14,48.21,652000
2007-03-05,47.92,48.62,47.5,48.049999,533300
2007-03-06,48.24,48.64,47.82,48.46,530800
2007-03-07,48.11,48.38,47.94,48.25,675400
2007-03-08,48.58,48.76,48.4,48.63,534200
2007-03-09,48.8,48.95,48.42,48.67,278300
2007-03-12,48.64,48.96,48.5,48.81,263700
2007-03-13,48.61,48.76,48.11,48.23,616900
2007-03-14,48.22,48.56,47.86,48.53,776000
2007-03-15,48.45,48.78,48.4,48.72,394000
2007-03-16,48.64,48.85,48.15,48.42,665700
2007-03-19,48.79,49.09,48.57,49.060001,329700
2007-03-20,49.080002,49.52,48.95,49.52,311400
2007-03-21,49.5,49.9,48.9,49.9,388100
2007-03-22,49.82,49.99,49.49,49.56,305200
2007-03-23,49.6,49.76,49.3,49.68,414200
2007-03-26,49.68,49.73,49.16,49.68,386700
2007-03-27,49.45,49.53,49.0,49.16,268700
2007-03-28,49.09,49.09,48.5,48.59,334000
2007-03-29,48.78,48.84,48.5,48.75,336500
2007-03-30,48.8,49.040001,48.47,49.0,469000
2007-04-02,48.94,49.36,48.91,49.29,395800
2007-04-03,49.47,50.0,49.47,49.89,330800
2007-04-04,49.99,50.25,49.4,49.68,404400
2007-04-05,49.68,49.69,49.49,49.62,253200
2007-04-09,49.78,50.0,49.38,49.81,308500
2007-04-10,49.65,49.87,49.58,49.82,206600
2007-04-11,49.75,49.75,49.02,49.07,341200
2007-04-12,49.07,49.31,48.82,49.25,398800
2007-04-13,49.21,49.25,48.93,49.15,430900
2007-04-16,49.38,50.060001,49.33,50.0,353700
2007-04-17,50.0099983,50.0099983,49.61,49.8,249200
2007-04-18,49.8,50.02,49.39,49.89,375500
2007-04-19,50.83,51.3,48.39,49.44,464100
2007-04-20,49.95,49.95,49.32,49.86,851300
2007-04-23,49.9,50.12,49.8,49.92,483100
2007-04-24,49.91,50.09,49.47,49.88,585100
2007-04-25,50.8,51.63,49.8,50.3,503300
2007-04-26,50.15,50.34,49.87,50.3,283000
2007-04-27,50.25,50.31,49.88,49.96,246400
2007-04-30,50.040001,50.16,49.37,49.41,431400
2007-05-01,49.41,49.65,49.0,49.6,530000
2007-05-02,49.57,49.89,49.5,49.88,394200
2007-05-03,49.79,49.88,49.6,49.87,353400
2007-05-04,49.63,49.92,48.89,49.27,1033100
2007-05-07,49.21,49.54,49.099998,49.45,557200
2007-05-08,49.36,49.46,49.07,49.4,326300
2007-05-09,49.19,49.86,49.07,49.78,361700
2007-05-10,49.55,49.56,49.19,49.3,412700
2007-05-11,49.36,49.5,49.099998,49.39,390000
2007-05-14,49.5,49.5,49.049999,49.28,451000
2007-05-15,49.3,49.78,49.15,49.2,561200
2007-05-16,49.3,49.61,49.12,49.59,397200
2007-05-17,49.5,49.86,49.38,49.74,406200
2007-05-18,49.83,50.07,49.73,50.07,479600
2007-05-21,50.0,50.45,49.89,50.37,392000
2007-05-22,50.24,50.94,50.22,50.65,501800
2007-05-23,50.67,50.92,49.89,50.0,539700
2007-05-24,50.0,50.26,49.53,49.6,432900
2007-05-25,49.85,50.0,49.56,49.97,287800
2007-05-29,50.080002,51.17,50.080002,50.78,591000
2007-05-30,50.57,51.38,50.23,51.29,847200
2007-05-31,50.73,51.45,50.73,51.32,644400
2007-06-01,51.5,51.65,50.46,50.89,687200
2007-06-04,50.65,51.46,50.55,51.43,425800
2007-06-05,51.35,51.59,50.33,50.56,419200
2007-06-06,50.18,50.18,49.67,49.75,399100
2007-06-07,49.71,49.73,49.09,49.09,616400
2007-06-08,49.080002,49.87,48.94,49.83,436200
2007-06-11,49.17,50.14,49.17,49.84,359100
2007-06-12,49.73,50.21,49.28,49.38,620400
2007-06-13,49.61,50.080002,49.43,50.080002,562000
2007-06-14,50.12,50.41,49.76,49.89,487200
2007-06-15,50.23,50.37,49.55,49.87,772700
2007-06-18,50.02,50.11,49.69,49.88,386500
2007-06-19,49.75,50.12,49.5,50.0099983,313100
2007-06-20,50.099998,50.39,49.7,49.7,329100
2007-06-21,49.7,50.18,49.4,50.17,445000
2007-06-22,50.13,50.13,49.2,49.37,793800
2007-06-25,49.4,50.12,49.33,49.46,526800
2007-06-26,49.77,49.92,49.33,49.45,525300
2007-06-27,49.21,49.87,49.14,49.83,376200
2007-06-28,49.71,49.97,49.5,49.84,373500
2007-06-29,49.91,50.15,49.27,49.6,628300
2007-07-02,49.95,50.3,49.82,50.3,444700
2007-07-03,50.5,50.71,50.32,50.48,243300
2007-07-05,50.48,50.61,50.080002,50.12,493000
2007-07-06,50.14,50.48,49.8,50.33,497900
2007-07-09,50.51,50.51,49.74,49.97,428400
2007-07-10,49.87,49.95,48.99,48.99,600700
2007-07-11,48.99,49.34,48.83,49.33,486100
2007-07-12,49.63,50.21,49.33,50.21,531800
2007-07-13,50.22,50.49,49.85,50.41,298200
2007-07-16,50.41,50.8,50.09,50.46,511000
2007-07-17,50.47,51.0099983,50.45,50.5,387800
2007-07-18,50.25,50.7,49.92,50.59,646900
2007-07-19,50.6,51.27,50.27,51.19,669400
2007-07-20,51.040001,51.040001,49.029999,49.07,1016600
2007-07-23,49.44,49.8,49.16,49.55,918600
2007-07-24,49.33,50.53,49.14,49.96,1081400
2007-07-25,50.15,50.69,49.96,50.080002,1290900
2007-07-26,49.78,50.049999,48.43,49.07,1067900
2007-07-27,49.060001,49.060001,47.52,47.52,1379800
2007-07-30,47.37,48.4,46.8,48.29,1181800
2007-07-31,48.5,48.61,47.58,47.58,988600
2007-08-01,47.4,48.36,47.23,48.13,1147500
2007-08-02,48.25,48.71,48.029999,48.66,1133700
2007-08-03,48.7,48.88,47.59,47.59,1004600
2007-08-06,47.83,49.029999,47.66,48.92,1294300
2007-08-07,48.61,49.49,48.53,49.09,1140700
2007-08-08,48.23,50.2,48.23,50.049999,1161400
2007-08-09,49.63,50.0099983,48.58,48.63,1349400
2007-08-10,48.4,48.63,47.27,48.11,1060200
2007-08-13,48.43,49.7,48.16,49.19,925600
2007-08-14,49.38,49.58,48.07,48.07,769600
2007-08-15,47.87,48.61,47.07,47.16,848000
2007-08-16,46.46,48.51,46.0,48.21,1477000
2007-08-17,49.63,50.33,48.35,49.07,902800
