date,open,high,low,close,volume
2006-10-18,20.73,21.09,20.73,20.945,2242600
2006-10-19,20.95,21.47,20.94,21.34,3430800
2006-10-20,21.25,21.29,20.835,21.28,2808600
2006-10-23,21.185,21.8,21.13,21.725,2965600
2006-10-24,21.71,21.75,21.265,21.275,2128800
2006-10-25,21.295,21.5,21.23,21.455,1472600
2006-10-26,21.455,21.49,21.215,21.42,1631200
2006-10-27,21.42,21.945,21.35,21.63,2066000
2006-10-30,21.735,21.985,21.595,21.94,1535200
2006-10-31,22.0,22.1,21.805,21.855,1317400
2006-11-01,22.0049992,22.39,21.625,21.675,2284000
2006-11-02,21.58,21.58,21.15,21.445,1734200
2006-11-03,21.405,21.485,20.75,20.995,2019200
2006-11-06,21.014999,21.315,20.935,21.23,2100800
2006-11-07,21.29,21.81,21.18,21.75,1911400
2006-11-08,21.675,21.845,21.625,21.74,1876600
2006-11-09,21.72,21.75,21.415,21.47,1494000
2006-11-10,21.405,21.63,21.31,21.56,1063200
2006-11-13,21.595,22.014999,21.47,21.9,1445800
2006-11-14,21.86,22.45,21.84,22.415,1810400
2006-11-15,22.365,22.65,22.28,22.29,1834200
2006-11-16,22.37,22.64,22.265,22.435,1093000
2006-11-17,22.435,22.465,22.255,22.4,510000
2006-11-20,22.46,22.5,21.94,22.125,1211600
2006-11-21,22.22,22.22,22.0,22.21,692800
2006-11-22,22.145,22.24,21.965,22.049999,817200
2006-11-24,21.95,22.39,21.95,22.335,274600
2006-11-27,22.46,22.46,22.14,22.25,1844400
2006-11-28,22.049999,22.22,21.83,22.13,1514200
2006-11-29,22.13,22.49,22.030001,22.44,1146400
2006-11-30,22.585,23.075001,22.5,22.9,2021600
2006-12-01,22.96,22.96,22.6,22.795,896000
2006-12-04,22.7,23.035,22.7,22.95,1258200
2006-12-05,22.95,23.040001,22.74,23.0,959200
2006-12-06,23.049999,23.09,22.81,22.9,525200
2006-12-07,22.83,23.09,22.74,22.935,474600
2006-12-08,22.75,23.475,22.72,23.3,1338600
2006-12-11,23.285,23.4,23.145,23.305,994200
2006-12-12,23.255,23.35,23.07,23.275,1157200
2006-12-13,23.545,23.805,23.39,23.74,2068600
2006-12-14,23.775,24.030001,23.775,23.83,1038200
2006-12-15,23.85,23.925,23.52,23.605,1195800
2006-12-18,23.68,23.71,23.29,23.34,1009800
2006-12-19,23.34,23.35,23.049999,23.28,738400
2006-12-20,23.155,23.68,23.155,23.63,571000
2006-12-21,23.57,23.66,23.345,23.405,815600
2006-12-22,23.505,23.56,23.195,23.225,541000
2006-12-26,23.56,23.56,23.135,23.23,628200
