date,open,high,low,close,volume
2006-10-18,51.42,51.48,49.57,49.57,1521900
2006-10-19,49.4,49.43,47.62,49.4,3216200
2006-10-20,49.58,49.61,48.36,48.95,3099100
2006-10-23,50.98,51.0,49.35,49.88,3172800
2006-10-24,50.0,50.99,49.63,50.62,1602900
2006-10-25,51.14,53.0,51.099998,52.91,2813500
2006-10-26,54.31,55.080002,53.0,54.87,3494200
2006-10-27,54.49,55.58,52.37,52.89,3497600
2006-10-30,52.95,54.0,52.15,52.56,2609600
2006-10-31,52.99,53.76,52.25,53.41,3482900
2006-11-01,46.56,47.0,44.8,44.98,26861500
2006-11-02,45.6,46.95,44.53,46.5,8846500
2006-11-03,46.74,47.34,45.85,46.57,4089400
2006-11-06,47.4,48.29,46.57,47.19,3047800
2006-11-07,47.35,47.99,47.0,47.040001,2526300
2006-11-08,46.75,48.09,46.7,47.51,2172800
2006-11-09,47.79,47.85,46.61,47.09,2163900
2006-11-10,47.17,47.17,46.080002,46.28,2323200
2006-11-13,46.25,46.75,45.75,46.7,1923600
2006-11-14,46.5,48.36,46.4,48.35,2328600
2006-11-15,48.29,49.38,47.96,49.049999,2068300
2006-11-16,49.49,50.59,49.29,50.5,3313200
2006-11-17,50.34,50.46,49.31,50.13,1988700
2006-11-20,49.66,50.0,48.59,48.99,2437900
2006-11-21,49.0,49.6,48.27,48.62,1600900
2006-11-22,48.88,50.0,48.060001,49.28,1924500
2006-11-24,48.83,49.78,48.6,49.02,715600
2006-11-27,50.0099983,50.37,48.29,48.77,2246500
2006-11-28,48.84,49.080002,48.15,48.6,1594300
2006-11-29,49.6,50.5,48.91,50.24,3482000
2006-11-30,50.25,51.080002,50.25,50.89,2284400
2006-12-01,50.5,50.69,49.35,49.96,1757500
2006-12-04,50.47,50.5,49.98,50.22,2097800
2006-12-05,51.22,51.4,50.74,50.84,2699500
2006-12-06,50.75,51.35,50.5,50.97,1363700
2006-12-07,49.74,50.35,48.8,49.6,3046300
2006-12-08,49.58,49.76,48.2,49.72,2546000
2006-12-11,50.31,50.94,50.0,50.25,2378200
2006-12-12,50.25,51.89,50.080002,51.44,3181200
2006-12-13,51.6,52.92,51.5,52.72,3674000
2006-12-14,53.0,54.09,52.8,53.44,2927800
2006-12-15,53.39,54.87,53.09,54.76,5245800
2006-12-18,54.9,55.7,54.47,55.37,3327900
2006-12-19,54.85,55.44,52.029999,55.040001,4517400
2006-12-20,54.53,55.39,53.8,54.57,1738800
2006-12-21,54.45,55.24,53.92,54.67,2166200
2006-12-22,54.8,55.34,54.13,55.16,1870700
2006-12-26,54.91,55.11,54.32,54.95,1122100
2006-12-27,55.33,55.85,55.0,55.23,1533700
2006-12-28,55.55,56.8,55.2,56.25,2662100
2006-12-29,56.18,56.89,55.55,55.66,1798700
2007-01-03,55.87,56.66,54.07,55.67,3995000
2007-01-04,55.43,55.94,54.4,55.060001,2170900
2007-01-05,54.65,55.0,53.75,54.88,2645500
2007-01-08,54.53,54.64,53.07,54.0,2633900
2007-01-09,52.0,52.95,50.4,51.93,5974700
2007-01-10,51.09,52.6,51.0,52.3,2578100
2007-01-11,52.88,52.9,51.82,52.040001,2350000
2007-01-12,51.85,52.59,51.5,52.3,1515700
2007-01-16,52.099998,52.2,51.44,52.11,2336600
2007-01-17,51.62,52.6,51.61,52.24,2346400
2007-01-18,51.87,51.95,49.65,50.13,2702700
2007-01-19,49.87,51.099998,49.34,49.55,2794800
2007-01-22,49.52,49.54,48.46,49.29,2417800
2007-01-23,49.36,50.49,49.36,50.060001,1602000
2007-01-24,50.42,50.58,50.0,50.43,1321500
2007-01-25,50.25,50.3,49.27,49.68,1393500
2007-01-26,49.56,49.98,48.56,49.49,2112200
2007-01-29,49.49,50.32,48.81,49.91,1588700
2007-01-30,49.97,49.97,48.8,49.19,1433400
2007-01-31,49.85,50.49,49.31,50.22,2036600
2007-02-01,50.38,51.049999,49.6,49.7,1533900
2007-02-02,49.9,51.47,49.86,51.15,1919500
2007-02-05,51.15,51.3,50.42,50.91,1212600
2007-02-06,51.0,51.69,50.33,50.95,1099400
2007-02-07,51.099998,51.75,50.77,51.7,1806800
2007-02-08,51.54,53.16,51.54,53.15,2081600
2007-02-09,53.17,53.27,51.98,52.26,2040100
2007-02-12,51.52,52.47,51.13,51.84,2634500
2007-02-13,52.099998,52.91,51.88,52.71,2598700
2007-02-14,58.25,59.3,55.11,57.0,19819700
2007-02-15,56.9,58.5,56.27,56.5,4223300
2007-02-16,56.4,56.47,54.76,55.77,3458300
2007-02-20,56.82,58.81,56.43,57.66,5140400
2007-02-21,57.96,58.4,56.79,57.18,2324100
2007-02-22,57.48,57.93,56.029999,56.69,2303900
2007-02-23,56.99,57.8,56.86,57.49,1665100
2007-02-26,58.24,59.09,56.75,57.19,2611000
2007-02-27,55.85,56.3,54.19,54.19,2971500
2007-02-28,54.95,55.74,54.049999,54.76,2509600
2007-03-01,53.2,54.76,52.0,53.83,2984300
2007-03-02,53.63,53.97,52.02,52.049999,2098100
2007-03-05,51.67,52.59,51.13,51.23,2142500
2007-03-06,52.45,53.32,52.060001,52.73,1808000
2007-03-07,52.73,52.86,50.0099983,51.68,2602400
2007-03-08,52.61,53.25,52.24,52.73,2007200
2007-03-09,53.4,53.63,52.099998,52.48,1308700
2007-03-12,52.38,53.48,52.38,53.48,1188800
2007-03-13,52.83,53.52,52.49,52.49,2183300
2007-03-14,52.45,53.57,52.11,53.34,1671800
2007-03-15,53.049999,53.99,53.0099983,53.57,1628900
2007-03-16,53.56,54.49,53.28,53.76,2019800
2007-03-19,54.25,54.83,53.85,54.51,1642400
2007-03-20,54.73,55.029999,54.51,54.87,1260500
2007-03-21,55.0,55.8,54.71,55.8,1620100
2007-03-22,55.96,56.07,55.31,55.83,1400600
2007-03-23,55.86,56.15,55.35,55.64,900100
2007-03-26,55.6,55.6,54.3,55.07,1495800
2007-03-27,54.85,55.15,54.26,54.34,1102200
2007-03-28,54.29,54.84,53.8,53.86,1530400
2007-03-29,54.32,55.34,53.77,54.29,1710100
2007-03-30,54.3,54.47,53.86,54.15,1426400
2007-04-02,54.26,54.55,54.0099983,54.3,1034200
2007-04-03,54.69,55.12,54.35,54.81,1031700
2007-04-04,54.72,54.79,53.8,54.029999,1528400
2007-04-05,53.95,54.25,53.91,54.07,1093400
2007-04-09,54.35,54.4,53.69,53.76,1013200
2007-04-10,53.5,53.78,53.049999,53.49,1748600
2007-04-11,53.59,53.8,52.3,52.69,1202400
2007-04-12,52.75,53.55,52.18,53.39,1176400
2007-04-13,53.17,53.74,53.0099983,53.6,879300
2007-04-16,53.75,54.25,53.61,54.15,1070700
2007-04-17,54.52,54.66,53.8,54.19,1223400
2007-04-18,54.049999,55.07,54.0099983,54.7,1127300
2007-04-19,54.48,55.28,54.36,55.11,1213800
2007-04-20,55.22,55.62,54.95,55.0099983,1680000
2007-04-23,55.0099983,55.66,54.65,55.12,1088500
2007-04-24,55.15,55.5,54.7,54.82,1040400
2007-04-25,55.15,56.97,55.049999,56.29,2298200
2007-04-26,56.92,58.099998,55.9,57.96,2297600
2007-04-27,57.61,58.9,57.59,58.61,2339300
2007-04-30,58.61,59.7,57.91,58.19,4335100
2007-05-01,58.38,59.5,58.0,59.37,3301900
2007-05-02,55.75,58.040001,55.25,56.94,8134900
2007-05-03,56.79,57.040001,55.8,56.65,2130500
2007-05-04,56.7,56.97,55.15,55.45,1950000
2007-05-07,55.5,56.25,55.27,55.72,1247100
2007-05-08,55.67,55.97,54.96,55.72,1306400
2007-05-09,55.32,56.69,55.2,56.61,1354600
2007-05-10,56.46,56.6,55.25,55.56,1543400
2007-05-11,55.69,56.19,55.25,56.17,1164000
2007-05-14,56.45,56.45,55.62,56.049999,1121000
2007-05-15,56.24,57.049999,55.68,55.8,1473900
2007-05-16,56.31,56.4,55.31,55.76,1486600
2007-05-17,55.68,56.13,55.12,55.42,666200
2007-05-18,55.97,57.0,55.14,56.83,2094500
2007-05-21,56.25,57.94,56.15,57.4,2152300
2007-05-22,57.15,58.59,57.060001,58.34,2133500
2007-05-23,58.55,60.73,58.34,60.13,3564400
2007-05-24,59.75,61.46,59.73,60.87,3489100
2007-05-25,61.0,61.0,60.0,60.09,1511000
2007-05-29,60.15,60.7,59.5,60.46,1149700
2007-05-30,60.19,65.0,59.93,64.98,4645500
2007-05-31,65.040001,66.39,64.059998,64.33,3107800
2007-06-01,64.5,65.040001,63.81,64.97,1310800
2007-06-04,64.51,64.6,63.6,64.080002,1379100
2007-06-05,63.71,64.33,63.44,63.94,1440000
2007-06-06,63.52,64.38,62.74,64.17,1425800
2007-06-07,63.68,64.31,62.43,62.66,1667100
2007-06-08,62.46,64.5,62.12,63.82,1434400
2007-06-11,64.13,66.21,64.07,66.080002,2555600
2007-06-12,65.82,66.7,65.5,65.67,2172700
2007-06-13,66.35,67.44,65.77,67.43,2415100
2007-06-14,67.63,69.25,67.44,68.77,2296500
2007-06-15,69.71,69.9,68.38,69.77,2698400
2007-06-18,69.47,71.89,69.12,71.57,2866700
2007-06-19,71.5,71.97,70.5,70.95,2100900
2007-06-20,70.92,71.17,68.24,68.36,2115700
2007-06-21,68.45,70.96,68.3,70.69,2255000
2007-06-22,70.68,71.4,69.46,70.83,8082900
2007-06-25,71.39,73.75,71.099998,72.35,3126500
2007-06-26,73.0,73.25,70.55,71.62,2327100
2007-06-27,71.24,75.089996,71.059998,75.029999,2590600
2007-06-28,73.68,75.66,73.35,73.42,2600100
2007-06-29,73.79,74.25,73.42,73.97,1628200
2007-07-02,74.3,76.67,73.58,76.050003,2489300
2007-07-03,76.65,76.67,74.8,75.18,811100
2007-07-05,75.5,76.5,74.5,76.34,1709400
2007-07-06,76.5,77.71,76.0,77.66,1741600
2007-07-09,77.77,78.9,77.13,78.89,1652600
2007-07-10,79.24,79.64,77.58,77.92,1706900
