date,open,high,low,close,volume
2006-10-18,184.070007,184.64999,181.85001,182.97,6127000
2006-10-19,181.25,182.63,179.89999,180.050003,5560400
2006-10-20,179.72,180.69,178.85001,180.39999,4206600
2006-10-23,180.23,184.87,180.21001,184.7,4695800
2006-10-24,184.52,188.25,184.39999,187.84,5516100
2006-10-25,188.64,189.69,187.16,188.61,5224400
2006-10-26,189.17999,193.60001,188.28999,193.38,5732100
2006-10-27,192.0099945,193.23,188.39,188.67,5703200
2006-10-30,188.0,190.55,186.7,189.75,5354900
2006-10-31,190.0,191.020004,188.88,189.78999,4548300
2006-11-01,191.0,192.21001,184.75,185.0,7731800
2006-11-02,184.50999,187.78999,182.7,187.39,6191000
2006-11-03,188.89999,188.95,185.3,187.13,4153100
2006-11-06,187.67999,191.7,187.67999,190.0,4639000
2006-11-07,190.2,191.42,188.56,188.67999,3697900
2006-11-08,187.64999,189.92,186.5,188.77,3989800
2006-11-09,188.39999,189.0,184.78,184.78,4488400
2006-11-10,185.46001,187.070007,184.60001,187.059998,3319800
2006-11-13,187.64999,189.8,187.23,187.73,3382300
2006-11-14,188.39999,190.94,185.39999,190.36,4702800
2006-11-15,190.37,194.32001,189.84,193.11,5090900
2006-11-16,194.0,196.8,194.0,196.72,4784000
2006-11-17,195.98,197.0,194.88,195.039993,3397300
2006-11-20,195.35001,198.11,195.029999,197.45,3344800
2006-11-21,199.0,199.89,198.28999,199.75999,3447600
2006-11-22,200.0,202.47,199.99001,202.28999,3057200
2006-11-24,200.23,203.35001,199.14999,201.60001,1978600
2006-11-27,201.35001,202.10001,193.11,193.11,6328200
2006-11-28,193.0,197.49001,191.5,197.12,5864900
2006-11-29,197.99001,199.45,193.059998,196.22,5915000
2006-11-30,195.98,196.45,193.17999,194.8,4082500
2006-12-01,195.7,196.42999,191.52,194.5,4820900
2006-12-04,195.64999,200.080002,195.39,200.050003,4259100
2006-12-05,199.7,202.25,198.21001,201.61,3733000
2006-12-06,202.0,205.050003,201.0,205.0,4133200
