date,open,high,low,close,volume
2006-10-18,73.0,74.2,72.72,72.89,1453700
2006-10-19,72.8,73.15,72.13,72.3,811600
2006-10-20,72.25,72.31,71.11,71.63,697000
2006-10-23,71.5,73.26,71.5,72.089996,665500
2006-10-24,72.089996,73.099998,72.0,73.099998,759400
2006-10-25,73.22,73.45,72.45,72.9,434100
2006-10-26,73.07,73.89,72.76,73.33,567700
2006-10-27,73.099998,74.0,72.74,72.84,609600
2006-10-30,72.38,73.19,72.16,72.67,486100
2006-10-31,72.9,73.37,72.15,72.78,534900
2006-11-01,72.89,73.71,72.77,72.82,634000
2006-11-02,72.35,72.61,71.79,72.3,561400
2006-11-03,71.75,72.25,70.41,71.27,1101100
2006-11-06,71.4,71.5,71.0,71.33,723100
2006-11-07,71.4,72.26,71.4,71.85,522300
2006-11-08,71.4,72.72,71.4,72.62,515700
2006-11-09,71.77,72.47,70.28,70.42,1395300
2006-11-10,68.6,70.69,68.4,70.5,1318400
2006-11-13,70.45,71.019997,70.36,70.8,486600
2006-11-14,70.8,71.36,70.47,71.080002,651100
2006-11-15,71.0,75.9,70.99,73.57,1757900
2006-11-16,73.7,74.41,73.45,73.95,598500
2006-11-17,73.99,74.059998,73.33,73.7,484000
2006-11-20,73.4,73.75,73.0,73.14,346000
2006-11-21,73.099998,73.58,73.010002,73.37,537100
2006-11-22,73.36,73.87,73.040001,73.41,521700
2006-11-24,73.15,73.63,73.029999,73.3,129300
2006-11-27,73.050003,73.72,72.12,72.19,702700
2006-11-28,72.25,72.5,71.56,72.050003,436600
2006-11-29,72.24,72.63,72.0,72.42,237000
2006-11-30,72.75,72.82,71.85,72.36,510400
2006-12-01,72.4,72.57,71.36,71.9,449800
2006-12-04,71.9,72.94,71.31,72.57,468000
2006-12-05,72.5,72.53,71.87,72.37,532800
2006-12-06,72.42,73.66,72.4,73.58,542700
2006-12-07,73.96,74.14,73.22,73.38,460000
2006-12-08,73.34,74.42,72.85,74.12,559700
2006-12-11,73.75,73.76,71.95,72.12,598200
2006-12-12,72.17,72.94,71.96,72.64,441900
2006-12-13,72.88,72.89,71.74,72.0,354900
2006-12-14,72.42,73.089996,72.0,72.45,338900
2006-12-15,72.38,72.38,70.79,71.0,901900
2006-12-18,71.099998,72.019997,71.050003,71.27,682400
2006-12-19,71.0,71.28,70.38,71.16,673200
2006-12-20,71.099998,71.8,71.099998,71.51,360100
2006-12-21,71.81,71.81,70.98,70.98,555100
2006-12-22,71.15,71.17,69.68,70.0,606900
2006-12-26,69.8,70.040001,69.68,69.95,348200
2006-12-27,70.0,70.99,69.94,70.81,373400
2006-12-28,70.7,71.47,70.13,70.4,350900
2006-12-29,70.37,70.39,69.84,69.94,267600
2007-01-03,70.5,71.67,70.37,71.0,706000
2007-01-04,71.0,71.18,70.25,70.78,452100
2007-01-05,70.6,70.79,68.92,69.34,583000
2007-01-08,69.34,70.34,68.77,70.019997,365600
2007-01-09,70.019997,70.23,69.53,70.07,281300
2007-01-10,69.77,70.65,69.57,70.56,403200
2007-01-11,70.57,71.35,70.51,71.35,314100
2007-01-12,71.39,71.89,71.099998,71.76,290800
2007-01-16,71.6,71.8,71.29,71.73,155800
2007-01-17,71.8,72.36,71.63,72.089996,407500
2007-01-18,72.3,72.3,70.51,70.9,724300
2007-01-19,71.019997,71.66,71.0,71.32,379300
2007-01-22,71.32,71.4,70.92,71.12,373600
2007-01-23,71.13,72.25,71.0,71.8,290200
2007-01-24,71.73,72.47,71.25,72.42,402900
2007-01-25,72.42,72.6,71.64,71.99,666300
2007-01-26,72.4,74.76,72.26,72.73,965800
2007-01-29,74.65,77.25,74.0,76.6,1336800
2007-01-30,75.77,76.95,75.77,76.48,791900
2007-01-31,76.22,77.87,75.82,77.65,672700
2007-02-01,77.6,78.0,76.88,77.6,881100
2007-02-02,77.0,77.67,76.91,77.5,402000
2007-02-05,77.75,79.18,77.42,78.57,932000
2007-02-06,78.7,78.74,77.81,78.61,677600
2007-02-07,78.54,78.88,78.42,78.69,516000
2007-02-08,78.4,78.4,77.2,77.95,760500
2007-02-09,78.099998,78.38,77.99,78.17,845800
2007-02-12,77.7,78.23,77.11,77.6,957600
2007-02-13,77.9,78.9,77.85,78.51,593200
2007-02-14,78.91,79.15,78.5,78.9,599700
2007-02-15,79.3,79.36,79.0,79.21,391500
2007-02-16,78.99,78.99,78.099998,78.73,247500
2007-02-20,79.25,80.0,78.74,79.95,634900
2007-02-21,79.8,80.35,79.3,80.32,404800
2007-02-22,80.07,80.37,79.65,80.37,290800
2007-02-23,79.95,80.059998,79.72,79.98,291600
2007-02-26,79.99,80.24,79.41,79.57,352700
2007-02-27,78.75,79.080002,76.56,76.95,929800
2007-02-28,76.74,77.8,76.28,77.29,622000
2007-03-01,76.78,77.62,76.35,77.040001,587400
2007-03-02,77.040001,77.25,75.65,75.76,543400
2007-03-05,75.23,75.48,74.3,74.3,575500
2007-03-06,74.6,75.27,74.0,75.07,481500
2007-03-07,74.89,75.89,74.84,75.4,333100
2007-03-08,75.89,76.39,75.8,76.25,360300
2007-03-09,76.5,76.83,75.96,76.58,296900
2007-03-12,76.54,77.18,75.88,76.62,507500
2007-03-13,76.25,76.31,75.15,75.25,524600
2007-03-14,75.26,75.8,73.32,74.84,869200
2007-03-15,74.86,75.55,74.6,75.11,490800
2007-03-16,75.68,76.089996,74.81,75.26,584600
2007-03-19,75.4,76.5,75.4,75.95,243400
2007-03-20,75.9,76.5,75.9,76.2,190400
2007-03-21,76.14,77.56,75.9,77.47,298700
2007-03-22,77.53,78.54,77.53,78.010002,580700
2007-03-23,78.07,78.84,78.0,78.71,304100
2007-03-26,78.35,78.45,76.65,77.71,454400
2007-03-27,77.5,77.5,76.66,77.050003,158800
2007-03-28,76.8,76.97,75.95,76.21,307000
2007-03-29,76.46,76.73,76.14,76.62,246700
2007-03-30,76.55,77.88,76.49,77.24,591600
2007-04-02,77.099998,77.25,76.22,76.39,420600
2007-04-03,76.44,77.11,76.0,77.080002,508900
2007-04-04,77.16,77.22,76.46,77.029999,272900
2007-04-05,76.96,77.7,76.65,77.51,245500
2007-04-09,77.51,78.45,76.78,77.42,405800
2007-04-10,77.25,77.9,77.25,77.58,227300
2007-04-11,77.42,77.44,76.4,77.0,596900
2007-04-12,77.050003,78.33,76.7,78.19,389100
2007-04-13,78.27,79.75,78.050003,79.53,1004500
2007-04-16,81.0,83.99,81.0,81.59,1564100
2007-04-17,81.34,82.25,80.69,82.099998,676300
2007-04-18,82.0,83.080002,81.31,82.7,918100
2007-04-19,81.76,82.39,81.0,82.029999,818100
2007-04-20,82.45,83.19,82.41,82.98,946000
2007-04-23,83.0,84.099998,82.82,83.9,598200
2007-04-24,83.4,83.7,83.0,83.080002,443300
2007-04-25,83.15,84.25,82.95,84.019997,476500
2007-04-26,84.029999,84.28,83.58,84.019997,350100
2007-04-27,83.9,84.21,83.26,83.85,324600
2007-04-30,83.16,83.85,82.6,82.62,560600
2007-05-01,82.62,83.83,82.5,83.58,610500
2007-05-02,83.55,84.95,83.4,84.46,496500
2007-05-03,84.4,84.8,84.21,84.32,389200
2007-05-04,84.5,84.89,83.73,84.080002,626700
2007-05-07,84.080002,84.35,83.13,83.3,800100
2007-05-08,83.15,84.39,83.0,84.18,789800
2007-05-09,84.0,84.6,83.61,84.5,543200
2007-05-10,83.9,84.0,83.41,83.62,511500
2007-05-11,83.76,84.58,83.54,84.58,347900
2007-05-14,84.55,84.8,84.15,84.45,256100
2007-05-15,84.7,85.0,83.9,84.040001,335500
2007-05-16,84.0,84.099998,83.36,83.9,318700
2007-05-17,83.87,83.87,83.31,83.61,453500
2007-05-18,83.99,85.050003,83.64,84.78,395700
2007-05-21,84.88,85.7,84.8,85.4,638200
2007-05-22,85.25,86.0,85.16,85.82,216900
2007-05-23,85.85,86.4,85.6,86.14,494300
2007-05-24,86.16,86.97,84.59,84.81,432800
2007-05-25,84.97,85.91,84.63,85.64,228300
2007-05-29,85.8,86.0,85.5,85.89,277400
2007-05-30,85.6,87.25,85.37,87.25,478400
2007-05-31,87.26,88.050003,86.8,88.050003,388900
2007-06-01,88.050003,89.099998,88.040001,88.7,579900
2007-06-04,88.3,88.58,86.91,88.23,513500
2007-06-05,87.75,88.24,87.5,87.7,482200
2007-06-06,87.54,87.54,86.65,86.83,474900
2007-06-07,87.76,88.07,85.14,85.15,663300
2007-06-08,85.16,86.12,85.15,85.95,635600
2007-06-11,85.94,87.36,85.53,86.74,403500
2007-06-12,86.58,88.019997,86.010002,87.040001,581100
2007-06-13,87.62,90.3,87.62,89.49,1116300
2007-06-14,89.2,89.77,88.99,89.6,553800
2007-06-15,90.48,90.6,89.59,89.73,849200
2007-06-18,90.050003,91.34,90.050003,90.8,401700
2007-06-19,90.51,91.48,89.94,90.92,664700
2007-06-20,91.099998,92.25,90.68,90.68,1144400
2007-06-21,90.76,92.71,90.7,92.54,775400
2007-06-22,92.12,92.49,91.25,91.94,1015400
2007-06-25,92.089996,93.48,91.9,93.25,1862800
2007-06-26,93.36,94.75,92.63,93.19,1742400
2007-06-27,92.25,93.44,91.24,93.34,644000
2007-06-28,93.34,93.67,92.69,92.93,398900
2007-06-29,93.4,93.94,92.75,93.050003,466000
2007-07-02,93.5,94.39,93.16,94.26,315900
2007-07-03,94.45,94.72,93.13,93.24,405200
2007-07-05,93.24,93.81,92.83,93.69,482300
2007-07-06,94.18,94.54,93.32,94.21,468100
2007-07-09,94.21,95.0,93.99,95.0,578300
2007-07-10,94.7,94.7,92.87,92.87,596300
2007-07-11,92.9,94.089996,92.46,94.089996,357500
2007-07-12,94.41,96.77,94.089996,96.77,803800
2007-07-13,95.42,98.6,95.42,98.45,1161600
2007-07-16,97.5,97.57,93.099998,94.33,1682700
2007-07-17,94.63,95.94,94.22,95.4,934100
2007-07-18,95.0,95.44,94.25,95.34,687500
2007-07-19,95.71,95.71,94.55,94.98,587200
2007-07-20,94.93,94.99,92.68,93.2,732800
2007-07-23,93.8,94.76,92.77,92.93,607800
2007-07-24,93.51,93.51,90.81,91.17,885200
2007-07-25,91.38,91.92,89.57,90.55,701700
2007-07-26,90.0,90.36,87.36,88.46,738800
2007-07-27,88.080002,88.67,86.85,86.86,954600
2007-07-30,86.69,88.87,86.5,88.55,603100
2007-07-31,89.2,89.68,87.36,87.36,553600
2007-08-01,86.97,87.95,86.27,87.61,684200
2007-08-02,87.66,87.97,86.36,87.72,558000
2007-08-03,88.16,88.16,85.6,85.6,855200
2007-08-06,85.94,86.71,85.089996,86.71,491000
2007-08-07,86.2,87.23,85.31,86.85,634600
2007-08-08,87.099998,87.61,85.7,87.080002,972400
2007-08-09,85.8,86.81,84.050003,84.61,1278300
2007-08-10,84.45,86.92,83.3,86.38,826700
2007-08-13,86.9,88.25,86.050003,86.35,678400
2007-08-14,86.68,86.95,83.089996,83.46,512300
2007-08-15,83.27,84.4,81.71,81.94,306600
2007-08-16,81.18,81.77,79.38,81.77,687100
2007-08-17,84.36,85.6,82.88,84.65,553200
2007-08-20,84.71,86.36,84.7,85.86,467400
2007-08-21,86.2,88.71,85.72,87.45,689500
2007-08-22,88.36,89.81,87.93,89.39,555900
2007-08-23,90.0,90.0,88.26,88.73,583000
2007-08-24,88.4,90.8,87.92,90.66,642700
2007-08-27,90.6,92.33,90.5,91.050003,517800
2007-08-28,90.19,90.49,87.14,87.14,618500
2007-08-29,87.75,90.11,87.62,90.089996,487900
2007-08-30,88.97,90.49,88.77,89.93,406200
2007-08-31,91.089996,92.24,90.5,91.61,412000
2007-09-04,91.080002,92.84,90.66,92.050003,401600
2007-09-05,91.47,91.61,89.68,90.080002,370600
2007-09-06,90.11,91.27,89.52,90.85,382300
2007-09-07,89.95,89.95,87.66,88.099998,575900
2007-09-10,88.0,89.48,86.34,88.51,657100
2007-09-11,88.36,88.81,86.67,87.07,1245400
2007-09-12,86.99,87.71,86.019997,86.76,637900
2007-09-13,86.81,87.44,85.59,86.55,836900
2007-09-14,85.67,87.65,85.61,87.33,771700
2007-09-17,87.34,87.73,85.95,86.42,703500
2007-09-18,87.080002,89.75,86.69,89.69,800500
2007-09-19,89.98,92.42,89.75,91.0,644200
2007-09-20,91.089996,91.55,90.07,90.69,842900
2007-09-21,91.65,92.14,90.69,91.099998,449400
2007-09-24,91.080002,91.98,90.52,90.71,359200
2007-09-25,90.0,90.57,89.39,90.38,382600
2007-09-26,90.71,91.37,90.31,91.3,350900
2007-09-27,91.82,92.0,91.010002,91.41,471200
2007-09-28,91.53,92.5,90.97,91.19,623500
2007-10-01,91.45,93.61,91.45,93.46,620600
2007-10-02,93.65,93.88,91.68,92.76,400400
2007-10-03,92.45,92.51,90.8,91.050003,502100
2007-10-04,91.43,92.12,90.31,91.99,301300
2007-10-05,93.34,94.95,91.71,94.35,679800
2007-10-08,94.0,94.95,93.7,94.12,204400
2007-10-09,94.73,95.0,94.12,94.8,367700
2007-10-10,94.72,94.91,93.47,94.050003,324000
2007-10-11,94.22,94.28,92.26,92.71,710900
2007-10-12,93.050003,94.54,91.6,94.22,714500
2007-10-15,95.0,96.0,92.010002,93.75,1239800
2007-10-16,94.0,95.37,92.84,93.59,776100
2007-10-17,94.42,94.66,91.83,92.71,639900
2007-10-18,92.48,92.67,90.34,90.7,798700
2007-10-19,90.38,91.25,89.16,89.16,755400
2007-10-22,88.62,90.44,88.6,89.8,836400
2007-10-23,90.0,90.18,88.2,88.85,751400
2007-10-24,88.85,89.38,87.52,89.14,952000
2007-10-25,89.35,89.5,87.83,88.89,627300
2007-10-26,89.35,89.43,88.53,89.050003,545300
2007-10-29,89.28,89.8,88.69,88.92,437400
2007-10-30,88.82,89.14,87.91,87.92,699200
2007-10-31,88.57,90.15,88.49,89.92,874000
2007-11-01,89.79,89.79,87.52,87.52,535200
2007-11-02,87.9,88.74,86.43,88.18,591100
2007-11-05,87.67,88.82,87.0,88.18,696000
2007-11-06,88.87,88.87,87.37,87.96,587600
2007-11-07,87.0,87.0,85.58,85.69,1135200
2007-11-08,85.96,87.27,85.32,86.9,776800
2007-11-09,85.93,86.55,85.24,85.29,480700
2007-11-12,85.45,86.33,84.61,84.62,476200
2007-11-13,85.0,87.21,84.6,87.21,834500
2007-11-14,87.56,90.71,86.37,88.36,1240400
2007-11-15,90.56,91.57,88.91,89.19,1456500
2007-11-16,91.73,91.73,87.71,88.39,1024600
2007-11-19,87.68,87.85,85.69,85.99,891200
2007-11-20,85.94,87.27,85.25,86.42,937500
2007-11-21,85.65,85.89,84.4,84.4,1075100
2007-11-23,85.72,86.92,84.58,86.84,261500
2007-11-26,86.67,88.38,85.81,85.81,620800
2007-11-27,86.080002,87.38,85.75,86.75,558200
2007-11-28,87.48,89.26,86.86,89.2,625700
