date,open,high,low,close,volume
2006-10-18,23.5,23.59,23.3,23.41,1535700
2006-10-19,23.26,23.48,23.21,23.33,1420000
2006-10-20,23.41,23.41,23.08,23.3,955400
2006-10-23,24.15,25.95,23.8,25.33,7610000
2006-10-24,25.41,25.58,25.18,25.44,3400400
2006-10-25,25.0,25.12,24.8,25.049999,3850400
2006-10-26,25.01,25.3,25.0,25.21,1314300
2006-10-27,25.16,25.3,24.99,25.1,1502000
2006-10-30,25.16,25.56,25.040001,25.5,3008900
2006-10-31,25.5,25.96,25.46,25.92,4551000
2006-11-01,25.92,26.76,25.89,26.64,5752000
2006-11-02,26.5,27.13,26.43,26.6,5610100
2006-11-03,26.7,27.5,26.34,27.01,6022200
2006-11-06,27.18,27.32,26.73,27.0,2560200
2006-11-07,27.0,27.33,26.85,27.1,2272200
2006-11-08,27.049999,27.19,26.93,27.0,2338500
2006-11-09,27.0,27.040001,26.88,26.99,2293200
2006-11-10,27.0,27.09,26.89,26.93,1799400
2006-11-13,26.98,27.01,26.56,26.75,2303800
2006-11-14,26.85,26.97,26.71,26.95,2359800
2006-11-15,26.9,26.97,26.84,26.87,2151500
2006-11-16,26.89,26.99,26.75,26.91,1472400
2006-11-17,26.85,26.9,26.69,26.83,1614200
2006-11-20,26.84,27.13,26.73,27.0,2108300
2006-11-21,27.0,27.13,26.87,27.1,2173800
2006-11-22,27.13,27.39,27.030001,27.3,2987600
2006-11-24,27.21,27.23,27.059999,27.18,411000
2006-11-27,27.17,27.23,26.8,26.82,1920900
2006-11-28,26.82,26.82,26.3,26.61,1605700
2006-11-29,26.61,26.9,26.58,26.73,2334800
2006-11-30,26.7,26.85,26.47,26.75,1457800
2006-12-01,26.87,26.9,26.14,26.45,1404300
2006-12-04,26.58,26.84,26.42,26.75,1786700
2006-12-05,26.95,27.29,26.85,27.11,2125100
2006-12-06,27.1,27.28,27.0,27.19,1869000
2006-12-07,27.15,27.43,26.63,26.87,1952000
2006-12-08,26.87,26.94,26.43,26.53,1663700
2006-12-11,26.67,27.040001,26.54,26.88,3071700
2006-12-12,26.81,26.95,26.6,26.73,2093100
2006-12-13,26.88,26.99,26.72,26.78,1442200
2006-12-14,26.75,27.1,26.72,27.049999,1067200
2006-12-15,27.07,27.12,26.94,27.01,2035900
2006-12-18,27.1,27.69,27.1,27.24,2656300
2006-12-19,27.1,27.42,27.01,27.34,1869700
2006-12-20,27.37,27.67,27.059999,27.43,3100900
2006-12-21,27.4,27.5,27.040001,27.09,1186600
2006-12-22,27.18,27.23,26.93,27.15,742700
2006-12-26,27.030001,27.29,27.01,27.17,968100
2006-12-27,27.25,27.41,27.17,27.27,1356400
2006-12-28,27.25,27.48,27.18,27.31,909400
2006-12-29,27.33,27.48,27.21,27.25,731600
2007-01-03,27.3,27.83,27.2,27.49,2260800
2007-01-04,27.48,27.69,27.38,27.53,1709700
2007-01-05,27.42,27.5,27.17,27.36,1029100
2007-01-08,27.29,27.33,27.040001,27.14,1208300
2007-01-09,27.23,27.72,27.2,27.65,2202900
2007-01-10,27.65,27.8,27.43,27.78,967900
2007-01-11,27.76,27.88,27.64,27.87,812600
2007-01-12,27.95,27.96,27.57,27.9,1822100
2007-01-16,27.91,28.13,27.72,27.8,1462000
2007-01-17,27.83,28.030001,27.75,27.94,1122500
2007-01-18,27.9,28.29,27.7,28.14,1503700
2007-01-19,28.19,28.41,28.030001,28.29,1282400
2007-01-22,28.3,28.49,28.08,28.11,1131600
2007-01-23,28.02,28.87,27.99,28.77,3393500
2007-01-24,28.82,28.94,28.61,28.91,739900
2007-01-25,28.6,28.62,28.19,28.2,1210800
2007-01-26,28.34,28.39,27.91,28.26,912500
2007-01-29,28.26,28.76,28.12,28.65,1068500
2007-01-30,28.54,28.63,28.19,28.49,731300
2007-01-31,28.42,28.44,28.16,28.4,894500
2007-02-01,28.5,28.75,28.41,28.68,1164900
2007-02-02,28.72,28.98,28.54,28.81,911000
2007-02-05,28.81,28.85,28.12,28.83,1071000
2007-02-06,28.84,28.88,28.39,28.69,1223500
2007-02-07,28.67,29.0,28.46,28.91,945200
2007-02-08,28.95,29.27,28.73,29.12,1426400
2007-02-09,29.23,29.47,28.030001,28.38,3080500
2007-02-12,28.64,28.98,28.07,28.71,2148200
2007-02-13,28.67,28.7,28.28,28.47,1536200
2007-02-14,28.5,29.0,28.45,28.98,1626600
2007-02-15,28.98,29.59,28.91,29.44,2326200
2007-02-16,29.3,29.63,29.11,29.6,1592100
2007-02-20,29.6,29.62,29.21,29.32,2208000
