date,open,high,low,close,volume
2006-10-18,35.95,36.26,35.75,35.89,12402300
2006-10-19,35.84,36.19,35.7,35.91,9847200
2006-10-20,35.98,36.07,35.55,35.99,11183400
2006-10-23,35.81,36.35,35.8,36.24,11491300
2006-10-24,36.18,36.56,36.17,36.5,12234500
2006-10-25,36.57,36.7,36.33,36.6,12371600
2006-10-26,36.84,37.54,36.63,37.38,15365100
2006-10-27,37.24,37.33,36.8,37.07,14936800
2006-10-30,36.88,37.3,36.86,37.25,10040700
2006-10-31,37.25,37.47,36.95,37.33,14471000
2006-11-01,37.5,37.64,37.22,37.35,14395800
2006-11-02,37.049999,37.5,36.91,37.2,16633900
2006-11-03,37.33,37.4,36.8,37.2,13998200
2006-11-06,36.6,37.27,36.55,37.22,16866400
2006-11-07,37.16,37.48,37.11,37.23,17390900
2006-11-08,37.0,37.49,37.0,37.25,13936900
2006-11-09,37.25,37.41,36.79,36.85,18646500
2006-11-10,36.8,36.85,36.48,36.64,14180600
2006-11-13,36.75,36.77,36.25,36.4,20610100
2006-11-14,35.82,38.060001,35.77,37.96,49455400
2006-11-15,37.77,38.29,37.41,37.62,28458300
2006-11-16,37.8,37.9,37.17,37.81,18965600
2006-11-17,37.77,38.29,37.64,38.28,16742100
2006-11-20,38.13,38.85,37.85,38.41,15707800
2006-11-21,38.41,38.44,37.91,37.92,9018400
2006-11-22,37.92,38.31,37.9,38.099998,14130400
2006-11-24,37.85,38.15,37.71,37.72,3064100
2006-11-27,38.099998,38.15,37.46,37.59,12267800
2006-11-28,37.31,37.45,36.99,37.07,11906100
2006-11-29,37.19,37.74,37.060001,37.62,12005600
2006-11-30,37.51,38.26,37.23,37.97,17329100
2006-12-01,39.099998,39.96,38.64,38.97,47279400
2006-12-04,38.7,39.47,38.41,39.2,14555500
2006-12-05,39.39,39.7,39.029999,39.37,11901800
2006-12-06,39.52,40.11,39.26,39.92,17948700
2006-12-07,39.57,39.86,38.89,38.93,16351400
2006-12-08,38.97,39.3,38.69,38.8,11267400
2006-12-11,38.8,38.95,38.46,38.79,15648700
2006-12-12,38.7,38.73,38.18,38.7,17788200
2006-12-13,38.95,39.29,38.79,39.11,18604500
2006-12-14,39.099998,40.099998,38.87,39.97,24292200
2006-12-15,40.11,40.37,39.83,39.89,25977200
2006-12-18,40.07,40.3,39.68,39.96,14082200
2006-12-19,39.75,39.77,39.41,39.64,14938400
2006-12-20,39.55,39.86,39.13,39.13,13445400
2006-12-21,39.25,39.37,38.65,38.91,14785100
2006-12-22,38.95,39.07,38.75,38.89,7911700
2006-12-26,38.62,39.22,38.59,39.060001,7255400
2006-12-27,39.19,39.68,39.18,39.56,8736900
2006-12-28,39.41,39.81,39.38,39.73,8890100
2006-12-29,39.66,40.29,39.65,40.16,11611400
2007-01-03,41.3,41.84,40.96,41.07,50853600
2007-01-04,41.0,41.18,40.38,40.57,22319400
2007-01-05,40.44,40.63,39.72,39.79,21676500
2007-01-08,39.94,39.95,39.25,39.49,17465300
2007-01-09,39.5,39.85,39.22,39.32,20341100
2007-01-10,39.84,39.93,39.060001,39.78,15324600
2007-01-11,39.65,40.19,39.65,40.080002,12149100
2007-01-12,39.95,40.37,39.85,40.11,11218600
2007-01-16,40.0,40.42,39.92,40.29,12639900
2007-01-17,40.19,40.47,40.09,40.29,12729000
2007-01-18,40.049999,40.94,40.0099983,40.87,18810000
2007-01-19,40.97,40.98,40.45,40.55,12125900
2007-01-22,40.66,40.66,39.98,40.049999,14165800
2007-01-23,40.029999,40.61,40.0,40.43,11380400
2007-01-24,40.52,40.79,40.42,40.69,9835700
2007-01-25,40.53,40.67,40.0099983,40.09,11086200
2007-01-26,40.12,40.22,39.64,39.94,9797400
2007-01-29,40.3,40.52,39.84,39.91,12147600
2007-01-30,40.11,40.38,40.0099983,40.17,8671700
2007-01-31,39.97,40.95,39.95,40.74,11630100
2007-02-01,40.77,41.18,40.69,41.080002,12544200
2007-02-02,40.9,41.14,40.61,40.83,9928300
2007-02-05,40.67,41.23,40.54,41.029999,9017400
2007-02-06,41.09,41.38,40.91,41.27,8096800
2007-02-07,41.22,41.46,41.02,41.36,8347100
2007-02-08,41.22,41.27,40.94,41.09,11976500
2007-02-09,41.22,41.42,40.91,41.0,9320000
2007-02-12,41.62,42.0099983,41.27,41.44,18480700
2007-02-13,41.29,41.84,41.18,41.76,13173700
2007-02-14,41.72,41.96,41.5,41.73,20514700
2007-02-15,41.57,41.85,41.32,41.66,10828700
2007-02-16,41.5,41.66,41.2,41.44,11035300
2007-02-20,40.74,41.8,40.7,41.34,17903400
2007-02-21,40.89,41.42,40.65,41.3,11916800
2007-02-22,41.17,41.3,40.99,41.18,9484700
2007-02-23,41.42,41.49,40.81,40.96,13729700
2007-02-26,41.0,41.0,40.31,40.79,12198400
2007-02-27,40.49,40.52,39.56,39.82,23480300
2007-02-28,39.29,39.85,39.29,39.59,26115700
2007-03-01,39.17,39.65,38.66,39.45,21139500
2007-03-02,39.31,39.38,38.97,39.0099983,19521700
2007-03-05,38.75,39.2,38.59,38.67,22835500
2007-03-06,39.02,39.02,38.43,38.8,17472800
2007-03-07,38.71,38.99,38.52,38.71,12320700
2007-03-08,38.77,39.12,38.73,38.8,11707100
2007-03-09,39.15,39.17,38.49,38.67,11988600
2007-03-12,38.41,38.77,38.11,38.17,14195200
2007-03-13,38.029999,38.13,37.25,37.35,21392500
2007-03-14,37.28,37.58,36.5,37.56,24242400
2007-03-15,37.46,37.8,37.22,37.49,10151000
2007-03-16,37.6,37.82,37.33,37.51,16888700
2007-03-19,37.65,37.78,37.36,37.72,9396200
2007-03-20,37.65,38.0,37.5,37.93,11080800
2007-03-21,37.89,38.92,37.81,38.74,15305400
2007-03-22,38.61,38.9,38.15,38.33,9487800
2007-03-23,38.35,38.47,38.07,38.22,11566800
2007-03-26,38.15,38.28,37.58,37.91,11825300
2007-03-27,37.73,37.79,37.28,37.34,12839000
2007-03-28,37.18,37.25,36.6,36.77,13983700
2007-03-29,36.97,37.060001,36.5,36.82,14383400
2007-03-30,36.77,37.19,36.35,36.74,12672200
2007-04-02,36.67,36.86,36.6,36.79,9918400
2007-04-03,36.89,37.78,36.8,37.63,15862400
2007-04-04,37.61,38.26,37.54,38.11,19168400
2007-04-05,37.94,38.11,37.79,38.02,10734900
2007-04-09,38.24,38.25,37.86,38.080002,7312400
2007-04-10,38.09,38.55,38.029999,38.23,10978700
2007-04-11,38.12,38.33,37.77,37.97,15910400
2007-04-12,37.89,38.19,37.6,38.02,11377900
2007-04-13,37.96,37.99,37.75,37.89,10763200
2007-04-16,38.0,38.79,37.91,38.56,11514300
2007-04-17,38.84,39.5,38.7,39.44,15722100
2007-04-18,39.39,39.44,38.82,39.040001,11182000
2007-04-19,38.9,39.17,38.58,38.91,11024800
2007-04-20,39.33,39.34,38.92,39.21,13711900
2007-04-23,39.19,39.39,39.049999,39.21,7912200
2007-04-24,39.09,39.4,38.65,39.31,13273100
2007-04-25,39.42,39.69,39.2,39.5,11327800
2007-04-26,39.42,39.5,38.89,38.99,11421300
2007-04-27,38.9,38.99,38.41,38.47,11310100
2007-04-30,38.5,38.56,37.83,37.87,20383500
2007-05-01,38.15,38.48,37.9,38.43,13068100
2007-05-02,38.34,39.060001,38.34,38.75,13997800
2007-05-03,38.95,39.25,38.44,39.060001,10799300
2007-05-04,39.12,39.19,38.73,38.9,8889900
2007-05-07,38.7,39.2,38.55,38.84,7764700
2007-05-08,38.71,38.75,38.35,38.63,12568400
2007-05-09,38.46,39.2,38.41,39.18,10012600
2007-05-10,38.89,39.62,38.63,38.79,13333800
2007-05-11,38.7,39.17,38.61,38.86,11994300
2007-05-14,39.040001,39.52,38.86,39.0099983,15876800
2007-05-15,38.0,39.32,37.97,38.3,31391600
2007-05-16,38.46,38.58,38.0,38.37,14048500
2007-05-17,38.17,38.59,38.15,38.3,9091200
2007-05-18,38.49,38.91,38.25,38.88,13864100
2007-05-21,38.7,39.049999,38.54,38.63,12653300
2007-05-22,38.6,38.7,38.35,38.53,9354700
2007-05-23,38.72,39.13,38.61,38.78,10899400
2007-05-24,38.63,39.4,38.61,38.95,19185500
2007-05-25,38.92,39.0,38.25,38.38,9629300
2007-05-29,38.38,38.68,38.32,38.65,8878900
2007-05-30,38.63,38.75,38.28,38.7,9268900
2007-05-31,38.75,39.029999,38.57,38.87,9728800
2007-06-01,39.099998,39.57,38.96,39.21,12959300
2007-06-04,39.0,39.87,38.92,39.8,12809100
2007-06-05,39.47,39.85,38.68,38.86,15236100
