date,open,high,low,close,volume
2013-12-12,43.7076,44.97984,43.605,44.118,12935478
2013-12-13,45.12348,45.92376,44.2206,45.3492,1224854
2013-12-16,47.36016,52.839,44.15904,44.15904,4717690
2013-12-17,44.34372,45.12348,44.28216,44.75412,2313840
2013-12-18,44.79516,45.51336,44.44632,44.79516,2857846
2013-12-19,44.631,45.98532,44.2206,45.71856,1469103
2013-12-20,46.17,46.2726,44.85672,45.00035858,994834
2013-12-23,45.16452,45.53388,44.24112,44.24112,1220712
2013-12-24,44.3232,44.46684,43.3998,44.13852,1234064
2013-12-26,44.24112,45.06192,44.2206,44.5284,1309211
2013-12-27,44.3232,44.81568,44.2206,44.3232,1090302
2013-12-30,44.56944,45.082439,44.3232,44.91828,871832
2013-12-31,45.144,46.10844,45.041401,45.657,1134308
2014-01-02,45.657,45.8622,44.67204,44.85672,1763791
2014-01-03,44.7336,45.32868,44.631,45.16452,461257
2014-01-06,45.12348,45.39024,44.65152,45.144,1172320
2014-01-07,45.144,45.3492,44.9388,45.144,1992593
2014-01-08,45.20556,45.20556,44.7336,45.20556,1154240
2014-01-09,45.144,45.18504,44.54892,44.87724,459600
2014-01-10,44.65152,44.85672,44.26164,44.50788,812329
2014-01-13,44.24112,44.79516,44.24112,44.56944,728216
2014-01-14,44.54892,45.36972,44.40528,45.3492,1251608
2014-01-15,45.2466,45.49284,44.79516,44.95932,915253
2014-01-16,44.9388,45.20556,44.50788,45.06192,1130019
2014-01-17,45.06192,46.29312,44.7336,45.657,2702290
2014-01-21,46.19052,46.35468,44.81568,44.97984,1280214
2014-01-22,45.12348,46.14948,44.9388,46.087921,1428655
2014-01-23,46.02636,46.49832,45.3492,46.49832,936062
2014-01-24,45.8622,46.12896,45.32868,46.067402,891033
2014-01-27,46.067402,46.067402,44.91828,45.12348,1099610
2014-01-28,44.81568,45.144,44.631,44.9388,686209
2014-01-29,44.75412,44.89776,44.24112,44.44632,437865
2014-01-30,44.65152,44.77464,44.3232,44.44632,520273
2014-01-31,44.13852,44.50788,43.78968,44.4258,428606
2014-02-03,44.4258,44.5284,42.76368,42.9894,1115010
2014-02-04,43.091999,43.25616,42.76368,43.15356,835770
2014-02-05,42.7842,43.0099182,42.1686,42.6816,694786
2014-02-06,42.76368,43.5024,42.72264,43.5024,294103
2014-02-07,43.62552,44.87724,43.54344,44.4258,513012
2014-02-10,44.46684,44.50788,43.7076,43.93332,562427
2014-02-11,44.58996,44.67204,44.035919,44.50788,642446
2014-02-12,44.61048,45.041401,44.36424,44.91828,436647
2014-02-13,44.69256,45.18504,44.4258,45.041401,551608
2014-02-14,45.144,45.2466,44.85672,45.144,647856
2014-02-18,45.144,45.144,44.58996,44.65152,616179
2014-02-19,44.65152,45.041401,44.118,44.17956,441033
2014-02-20,44.118,44.46684,43.72812,44.097481,602096
2014-02-21,44.118,45.53388,44.056438,45.4518,1166082
2014-02-24,45.57492,46.17,45.22608,45.67752,743177
2014-02-25,45.657,46.33416,45.57492,45.90324,823197
2014-02-26,45.98532,46.53936,45.7596,46.25208,1072027
2014-02-27,45.98532,46.90872,44.7336,46.14948,2187817
2014-02-28,46.17,46.33416,45.30816,45.88272,970565
2014-03-03,45.59544,46.17,45.36972,46.14948,676754
2014-03-04,47.011318,47.4012,46.087921,46.29312,2307018
