date,open,high,low,close,volume
2006-10-18,38.57507,38.77276,38.17971,38.30551,5673649
2006-10-19,37.33506,38.0,36.63419,37.36202,9989121
2006-10-20,37.5597,37.89217,37.092453,37.46985,5149587
2006-10-23,37.46985,37.92811,37.43391,37.82029,3914719
2006-10-24,37.82029,38.70986,37.82029,38.47623,5841140
2006-10-25,38.52116,38.62899,38.053909,38.52116,4407397
2006-10-26,38.61102,38.63797,38.098839,38.47623,3673888
2006-10-27,38.47623,38.53913,37.91014,38.0089836,3492598
2006-10-30,37.97304,38.35043,37.8113,38.13478,2374361
2006-10-31,38.44029,38.44029,37.6226,37.84724,3998631
2006-11-01,38.11681,38.11681,37.79333,37.91913,4724127
2006-11-02,37.90116,37.95507,37.53275,37.6226,3782952
2006-11-03,37.64956,37.89217,37.34405,37.47883,3111654
2006-11-06,37.48782,37.86522,37.40695,37.73941,4909202
2006-11-07,37.73941,38.3684,37.55072,38.11681,5710041
2006-11-08,38.098839,38.18869,37.65855,38.035938,3860966
2006-11-09,38.035938,38.32348,37.82927,37.91913,2638785
2006-11-10,38.12579,38.27855,37.91913,38.22464,3856069
2006-11-13,38.27855,38.79073,38.23362,38.61102,3620469
2006-11-14,38.6829,38.90754,38.48522,38.60203,5483121
2006-11-15,38.60203,39.11421,38.59304,38.95247,3529880
2006-11-16,38.90754,39.033337,38.76377,38.92551,2403630
2006-11-17,38.91653,38.9345,38.51218,38.58406,3872763
2006-11-20,38.59304,38.59304,38.28754,38.35043,3830250
2006-11-21,38.37739,38.77276,38.24261,38.56609,3149381
2006-11-22,38.49421,38.89856,38.49421,38.64696,2179382
2006-11-24,38.27855,38.62,38.26058,38.42232,1193580
2006-11-27,38.4313,38.4313,37.8113,37.91014,3777388
2006-11-28,37.83826,37.99101,37.64956,37.95507,2905323
2006-11-29,38.017967,38.49421,37.97304,38.38638,2796593
2006-11-30,38.23362,38.82667,37.90116,38.62,4931571
2006-12-01,38.52116,38.86261,38.089851,38.46725,5672314
2006-12-04,38.62,39.30291,38.56609,39.18609,4200844
2006-12-05,39.31189,39.38378,38.84464,38.9345,5404996
2006-12-06,38.98841,39.024353,38.45826,38.54812,5246409
2006-12-07,38.63797,38.73682,38.26058,38.26957,5181304
2006-12-08,38.14377,38.18869,37.75739,38.17072,4715001
2006-12-11,38.17971,38.38638,37.78434,37.91913,3251545
2006-12-12,37.94608,37.97304,37.28115,37.76637,5096502
2006-12-13,38.053909,38.12579,37.52376,37.61362,4245026
2006-12-14,37.78434,38.82667,37.78434,38.35942,8054242
2006-12-15,38.75479,39.63537,38.44928,39.19508,8632614
2006-12-18,39.73421,39.98581,38.62,38.83566,6016643
2006-12-19,38.83566,39.869,38.72783,39.85102,5986818
2006-12-20,39.77914,40.39016,39.67131,40.039722,4704206
2006-12-21,39.98581,40.4261,39.89595,40.21943,4306792
2006-12-22,40.21943,40.41712,39.9948,40.10262,2913781
2006-12-26,40.021751,40.47103,40.0037804,40.32726,2411198
2006-12-27,40.48001,40.82147,40.39016,40.77654,3530436
2006-12-28,40.65074,41.12698,40.6148,40.84843,2834432
2006-12-29,40.77654,40.98321,40.52494,40.65074,2901651
2007-01-03,40.45306,41.055092,40.32726,40.52494,3900251
2007-01-04,40.34523,40.62378,39.87798,40.50697,2925689
2007-01-05,40.33625,40.53393,39.79711,40.12059,3377747
2007-01-08,40.12059,40.48001,39.81508,40.3632,2881507
2007-01-09,40.49799,40.73161,40.13857,40.65074,3384424
2007-01-10,40.34523,40.51596,40.093636,40.39915,2582139
2007-01-11,40.6148,41.32466,40.57886,41.073063,3383089
2007-01-12,40.98321,41.064079,40.47103,40.93828,2964640
2007-01-16,40.81248,41.073063,40.63277,40.9922,2621758
2007-01-17,40.8664,41.24379,40.72263,40.92031,3016390
2007-01-18,40.20146,41.064079,40.20146,40.47103,3918280
2007-01-19,40.76756,40.94727,40.489,40.69567,4123832
2007-01-22,40.49799,40.66871,39.50957,39.77016,5121319
2007-01-23,39.87798,40.3003,39.84204,39.94987,5028393
2007-01-24,39.88697,40.30929,39.76117,39.91393,3017948
2007-01-25,39.95885,40.21045,39.4287,39.71624,3199573
2007-01-26,39.62638,39.98581,38.76377,39.65334,5703252
2007-01-29,39.64436,40.021751,39.44667,39.7432,4323374
2007-01-30,39.7432,40.64175,39.7432,40.56089,4824844
2007-01-31,40.56089,41.2348,40.23741,41.055092,4317698
2007-02-01,41.14495,41.34263,40.89335,41.27075,4057726
2007-02-02,41.45944,41.51336,41.24379,41.47741,3080493
2007-02-05,41.31567,41.44147,41.037121,41.35162,3410689
2007-02-06,41.35162,41.89075,41.25278,41.89075,3905037
2007-02-07,41.89974,42.0075645,41.59423,41.84583,3589865
2007-02-08,41.68408,41.98061,41.40553,41.84583,3264788
2007-02-09,41.96264,42.0075645,41.39655,41.5493,3547464
2007-02-12,41.69307,41.71104,41.27075,41.41452,3249208
