date,open,high,low,close,volume
2026-06-15,200.0,200.0,200.0,200.0,400
2026-06-16,297.5,297.5,269.95001,269.95001,7300
2026-06-17,285.0,295.41,269.95001,269.95001,11700
2026-06-18,277.70001,277.70001,256.01001,267.79999,2800
2026-06-22,273.98999,280.0,261.029999,261.029999,9500
2026-06-23,255.10001,256.57001,245.0,245.0,8400
2026-06-24,245.0,259.0,245.0,245.0,29600
2026-06-25,258.45001,258.45001,221.0,221.0099945,44000
2026-06-26,229.75,238.19,206.0099945,221.0099945,3493900
2026-06-29,230.0,239.98,212.5,220.19,8471200
2026-06-30,220.85001,227.99001,214.5,221.080002,5986300
2026-07-01,212.92,231.73,212.57001,227.28999,6509700
2026-07-02,229.99001,248.73,221.5,247.14999,5557200
2026-07-06,249.0099945,266.62,236.7,237.7,7550800
2026-07-07,237.92999,246.020004,233.64,238.14,4866100
2026-07-08,230.59,235.95,223.029999,224.35001,4156700
2026-07-09,225.67,230.89999,217.25,223.12,3395200
2026-07-10,222.78,228.95,218.85001,220.75,1926200
2026-07-13,220.67,221.59,210.23,213.050003,2956700
2026-07-14,213.050003,215.98,205.56,207.50999,3334200
2026-07-15,203.14999,215.5,203.0,212.55,2107800
2026-07-16,211.7,215.78999,204.2,208.37,2878500
2026-07-17,207.52,217.83,205.0099945,211.63,2548500
2026-07-20,207.28,210.0,198.88,202.47,3279200
2026-07-21,202.86,203.5,195.16,200.14,3221200
2026-07-22,200.3,208.7,199.0099945,207.78,2348800
2026-07-23,200.59,208.64,193.33,195.87,3436200
2026-07-24,198.28999,204.91,192.029999,204.070007,2709400
2026-07-27,206.33,211.78999,202.98,210.83,1850500
2026-07-28,208.85001,219.2,208.85001,215.89999,2215400
2026-07-29,215.89999,215.89999,203.84,205.19,2102500
2026-07-30,205.28999,205.28999,198.88,204.32001,2174100
2026-07-31,202.31,209.77,202.0099945,206.74001,2319000
2026-08-03,203.99001,211.0,199.48,208.27,3328300
2026-08-04,211.029999,217.059998,207.39999,216.48,2816300
2026-08-05,219.42,222.53999,203.64,203.64,4401500
2026-08-06,155.0,167.31,150.029999,156.47,20631100
2026-08-07,156.24001,168.88,154.0099945,168.50999,8048300
2026-08-10,163.35001,165.49001,159.0099945,163.089996,4798200
2026-08-11,161.99001,170.17,161.23,165.92999,4337300
2026-08-12,168.91,173.0,166.84,167.8,4087500
2026-08-13,166.8,171.2,165.11,169.81,2508000
2026-08-14,169.69,171.49001,165.029999,166.36,3418100
2026-08-17,166.0,166.53,161.25,161.56,3566100
2026-08-18,160.87,164.61,160.39,160.75999,4707000
2026-08-19,165.95,176.25,164.25999,170.37,7279600
2026-08-20,170.0,172.94,164.99001,165.89,3035200
2026-08-21,166.77,168.44,164.23,164.73,4053400
2026-08-24,164.60001,166.85001,160.89,161.2,3110500
2026-08-25,161.89,163.82001,159.11,160.36,2556300
2026-08-26,160.50999,167.57001,160.28999,164.0099945,3731300
2026-08-27,162.16,163.92,158.89999,160.75,3048200
2026-08-28,160.85001,163.58,158.8,162.37,2540400
2026-08-31,161.0,161.21001,155.97,158.11,4261800
2026-09-01,158.28999,159.25,153.63,154.24001,2667900
2026-09-02,154.31,154.78999,151.97,152.55,2770500
2026-09-03,152.225,155.85,150.88,154.89,429504
