date,open,high,low,close,volume
2015-10-19,10.75233,10.75233,9.57829,9.61898,2721233
2015-10-20,9.44462,9.83984,9.44462,9.80496,1220907
2015-10-21,10.025822,10.083943,9.5318,9.57829,135236
2015-10-22,9.71197,9.90958,9.4388,9.85146,189261
2015-10-23,10.025822,10.025822,9.79334,9.88052,103061
2015-10-26,9.94445,9.94445,9.47949,9.54342,885743
2015-10-27,9.62479,9.73522,9.06683,9.14239,1094274
2015-10-28,9.24119,9.50274,9.20923,9.46205,509801
2015-10-29,9.30513,9.45624,9.03777,9.27025,499650
2015-10-30,9.24119,9.35743,8.55537,8.55537,4214161
2015-11-02,8.71229,8.81691,8.05553,8.42169,70312635
2015-11-03,8.17758,8.54956,7.94801,8.34613,69176379
2015-11-04,8.36357,8.43332,7.91023,7.93929,54241942
2015-11-05,7.92766,8.072966,7.62544,7.71843,38180025
2015-11-06,7.66031,8.41588,7.64287,8.36938,51702744
2015-11-09,8.28801,8.41588,8.21246,8.25314,30158099
2015-11-10,8.21246,8.39263,8.14271,8.37519,25426050
2015-11-11,8.25314,8.31707,8.18921,8.20083,18942302
2015-11-12,8.02647,8.032282,7.8986,7.96254,35050675
2015-11-13,7.91023,7.99741,7.64287,7.78236,25678456
2015-11-16,7.77074,7.91023,7.63706,7.77655,23712203
2015-11-17,7.77655,7.84048,7.62544,7.68356,21370697
2015-11-18,7.83467,7.97997,7.66554,7.92766,22402515
2015-11-19,7.86373,8.072966,7.85792,8.0090332,22662319
2015-11-20,8.0090332,8.50306,7.95091,8.25895,31932509
2015-11-23,8.2357,8.25895,7.88698,8.049718,26354291
2015-11-24,7.89279,8.15143,7.84629,7.95673,41484183
2015-11-25,8.08459,8.63674,8.043906,8.20664,39017248
2015-11-27,8.20664,8.50887,8.16596,8.34032,10395090
2015-11-30,8.27058,8.71811,8.24152,8.63674,50075613
2015-12-01,8.64836,9.22957,8.63093,9.072642,43197341
2015-12-02,8.93315,9.031958,8.64255,8.68905,21818558
2015-12-03,8.71811,8.91572,8.474,8.49725,32527478
2015-12-04,8.36357,8.88956,8.27639,8.84597,20648579
2015-12-07,8.71811,8.99708,8.67161,8.97965,16424439
2015-12-08,8.77042,8.88666,8.49725,8.81691,19988745
2015-12-09,8.71229,8.94478,8.53212,8.63093,24538415
2015-12-10,8.59605,8.60768,8.44494,8.55537,19528668
2015-12-11,8.71229,8.95059,8.21827,8.24152,18265779
2015-12-14,8.31126,8.4275,8.090402,8.39263,19834755
2015-12-15,8.43332,8.70648,8.41878,8.46237,22175746
2015-12-16,8.49725,8.60768,8.45656,8.54374,13490889
2015-12-17,8.49144,8.55537,8.26476,8.31707,13118732
2015-12-18,8.29383,8.36066,8.1369,8.22989,33271447
2015-12-21,8.20664,8.36938,8.061342,8.14852,16970372
2015-12-22,8.16015,8.21827,8.090402,8.17177,12547163
2015-12-23,8.24733,8.70067,8.16596,8.6658,19359710
2015-12-24,8.60768,8.81691,8.59605,8.72973,3748234
2015-12-28,8.65417,8.88084,8.61349,8.85178,10203937
2015-12-29,8.88666,8.97209,8.82272,8.83435,10797873
2015-12-30,8.88666,8.99708,8.80529,8.88084,10796841
2015-12-31,8.85178,8.89828,8.77623,8.83435,11644903
2016-01-04,8.70067,8.80529,8.56699,8.79366,25940497
2016-01-05,8.79366,8.86341,8.68323,8.73554,17770259
2016-01-06,8.49725,8.71811,8.43332,8.60186,19468277
2016-01-07,8.4275,8.46237,7.93348,7.96835,34143941
2016-01-08,8.0032206,8.14852,7.73587,7.86954,28272024
2016-01-11,7.80561,7.96835,7.59638,7.70681,25998996
2016-01-12,7.75911,7.7998,7.608,7.70681,21435562
2016-01-13,7.75911,7.75911,7.28253,7.41039,30489650
2016-01-14,7.41039,7.6545,7.35227,7.55569,22973740
2016-01-15,7.32321,7.43945,7.25928,7.28834,33945733
2016-01-19,7.36971,7.42783,7.090726,7.16047,22239750
2016-01-20,6.97448,7.090726,6.75653,7.009357,28630244
2016-01-21,6.97448,7.28834,6.86987,7.21278,28784234
2016-01-22,7.38133,7.80561,7.35227,7.75911,26272736
2016-01-25,7.72424,7.87536,7.62544,7.7533,19241679
2016-01-26,7.75911,7.97707,7.75911,7.90442,18454869
2016-01-27,7.86373,7.91023,7.52954,7.78236,31803640
2016-01-28,7.81723,7.96254,7.59638,7.66612,16989470
