date,open,high,low,close,volume
2006-10-18,17.76,17.93,17.53,17.71,10137600
2006-10-19,17.69,18.01,17.6,17.96,14411600
2006-10-20,18.030001,18.030001,17.71,17.88,11558500
2006-10-23,17.8,18.21,17.8,18.1,14826500
2006-10-24,18.0,18.15,17.73,17.91,11199900
2006-10-25,17.96,18.01,17.67,17.78,14790000
2006-10-26,17.79,17.92,17.72,17.78,12154000
2006-10-27,17.66,17.81,17.37,17.46,13480500
2006-10-30,17.34,17.75,17.32,17.67,10268400
2006-10-31,17.66,17.75,17.48,17.59,12610500
2006-11-01,17.71,17.77,17.47,17.5,10126200
2006-11-02,17.51,17.63,17.46,17.52,7450300
2006-11-03,17.52,17.65,17.32,17.35,9697300
2006-11-06,17.35,17.62,17.35,17.58,9653100
2006-11-07,17.63,17.7,17.54,17.57,10827400
2006-11-08,17.57,17.71,17.48,17.65,12505900
2006-11-09,17.76,18.12,17.76,17.96,22983400
2006-11-10,18.040001,18.16,17.95,18.16,12431800
2006-11-13,18.16,18.28,18.13,18.26,13551800
2006-11-14,18.22,18.5,18.11,18.46,13098400
2006-11-15,18.47,18.55,18.049999,18.059999,17859200
2006-11-16,18.16,18.27,18.030001,18.22,28664300
2006-11-17,18.19,18.19,17.71,18.059999,30367100
2006-11-20,18.02,18.18,17.91,18.030001,20771500
2006-11-21,18.01,18.16,18.01,18.16,12205900
2006-11-22,18.12,18.14,17.91,18.030001,13921900
2006-11-24,17.87,18.059999,17.84,17.96,3931600
2006-11-27,17.88,17.91,17.53,17.54,15639200
2006-11-28,17.47,17.69,17.42,17.65,12430300
2006-11-29,17.77,17.91,17.73,17.88,11503900
2006-11-30,17.82,18.07,17.73,17.92,12536300
2006-12-01,17.92,18.07,17.8,17.91,13625200
2006-12-04,17.91,18.12,17.83,18.1,9515600
2006-12-05,18.049999,18.16,18.040001,18.12,13197100
2006-12-06,18.12,18.28,18.11,18.22,17075000
2006-12-07,18.18,18.26,18.059999,18.1,13151900
2006-12-08,18.13,18.25,17.91,18.0,11831000
2006-12-11,17.96,18.24,17.9,18.16,19037400
2006-12-12,18.27,18.29,17.96,18.08,20368400
2006-12-13,18.11,18.14,17.92,18.01,16026400
2006-12-14,18.01,18.14,17.93,18.12,14813200
2006-12-15,18.14,18.28,18.1,18.13,15734200
2006-12-18,18.13,18.27,18.11,18.17,9725000
2006-12-19,18.18,18.39,18.16,18.36,14359800
2006-12-20,18.32,18.82,18.32,18.77,21097500
2006-12-21,18.66,18.72,18.39,18.52,13424800
2006-12-22,18.39,18.67,18.39,18.45,7154100
2006-12-26,18.42,18.63,18.41,18.58,6318000
2006-12-27,18.59,18.93,18.58,18.89,9796100
2006-12-28,18.8,18.91,18.74,18.78,7562900
2006-12-29,18.78,18.91,18.69,18.7,6285000
2007-01-03,18.64,18.95,18.64,18.9,21171100
2007-01-04,18.8,18.99,18.73,18.92,11961900
2007-01-05,18.9,19.19,18.83,19.16,17424400
2007-01-08,19.18,19.2,19.040001,19.049999,11493900
2007-01-09,19.1,19.25,19.02,19.16,11868400
2007-01-10,19.049999,19.2,19.040001,19.16,8814900
2007-01-11,19.09,19.43,19.049999,19.36,11844300
2007-01-12,19.33,19.85,19.33,19.76,23034200
2007-01-16,19.68,19.74,19.54,19.61,10063500
2007-01-17,19.51,19.61,19.2,19.29,12453000
2007-01-18,19.39,19.39,19.0,19.22,15169900
2007-01-19,19.22,19.28,18.83,19.07,14353800
2007-01-22,19.09,19.15,18.8,19.08,11353000
2007-01-23,19.059999,19.35,18.98,19.21,10898200
2007-01-24,19.19,19.42,19.18,19.25,9517400
2007-01-25,19.15,19.34,18.9,18.94,13402000
2007-01-26,18.95,19.11,18.78,18.93,9715400
2007-01-29,19.02,19.47,18.97,19.26,15632200
2007-01-30,19.3,19.62,19.22,19.57,13614400
2007-01-31,19.52,19.73,19.45,19.65,10832500
2007-02-01,19.34,19.58,19.17,19.23,16422700
2007-02-02,19.28,19.38,19.040001,19.1,11487900
2007-02-05,19.09,19.52,19.07,19.44,10012500
2007-02-06,19.42,19.42,18.96,19.07,17071700
2007-02-07,19.07,19.38,19.07,19.2,9806900
2007-02-08,19.3,19.43,19.21,19.28,9428100
2007-02-09,19.36,19.4,19.11,19.17,8009500
2007-02-12,19.28,19.3,19.1,19.11,8164756
2007-02-13,19.17,19.42,19.1,19.34,8375228
2007-02-14,19.34,19.52,19.24,19.45,8272967
2007-02-15,19.4,19.51,19.33,19.38,12565900
2007-02-16,19.32,19.43,19.29,19.42,10255600
2007-02-20,19.32,19.63,19.3,19.58,17414000
2007-02-21,19.12,19.12,18.65,18.66,36751900
2007-02-22,18.71,18.75,18.26,18.51,25345400
2007-02-23,18.56,18.65,18.43,18.53,14455700
2007-02-26,18.57,18.58,18.27,18.29,13313025
2007-02-27,17.96,18.07,17.47,17.67,25889000
2007-02-28,17.55,17.98,17.48,17.87,26344500
2007-03-01,17.55,17.89,17.32,17.67,22508876
2007-03-02,17.67,17.8,17.5,17.56,14743000
2007-03-05,17.47,17.91,17.32,17.59,18013200
2007-03-06,17.75,18.07,17.72,17.9,18590000
2007-03-07,17.95,18.34,17.93,18.24,21353200
2007-03-08,18.39,18.4,18.23,18.28,13432300
2007-03-09,18.35,18.4,17.94,18.21,17411400
2007-03-12,18.12,18.38,18.11,18.33,11253200
2007-03-13,18.18,18.33,17.91,17.96,13954100
2007-03-14,18.02,18.15,17.83,18.059999,17583092
2007-03-15,18.01,18.1,17.92,18.02,12770000
2007-03-16,18.25,18.3,18.09,18.12,24122000
2007-03-19,18.16,18.31,18.12,18.26,11071600
2007-03-20,18.19,18.27,17.96,17.98,22032400
2007-03-21,18.040001,18.37,17.97,18.25,15584900
2007-03-22,18.39,18.41,18.1,18.36,13828440
2007-03-23,18.28,18.43,18.18,18.36,13959658
2007-03-26,18.36,18.41,18.16,18.36,10486950
2007-03-27,18.25,18.33,18.21,18.26,11901000
2007-03-28,18.16,18.24,17.95,18.059999,12523600
2007-03-29,18.14,18.22,18.01,18.16,11113370
2007-03-30,18.21,18.33,17.93,18.22,14186314
2007-04-02,18.33,18.35,18.18,18.3,11378772
2007-04-03,18.32,18.61,18.31,18.56,11937829
2007-04-04,18.61,18.67,18.5,18.66,12465368
2007-04-05,18.61,19.01,18.53,18.98,14947491
2007-04-09,18.94,18.96,18.74,18.77,8460691
2007-04-10,18.79,19.01,18.32,18.49,15257635
2007-04-11,18.52,18.56,18.31,18.49,10501026
2007-04-12,18.44,18.71,18.36,18.67,10134484
2007-04-13,18.67,18.79,18.49,18.7,10482074
2007-04-16,18.7,18.73,18.52,18.7,10389187
2007-04-17,18.65,18.71,18.48,18.71,12297795
2007-04-18,18.61,18.67,18.37,18.61,12408115
2007-04-19,18.61,18.86,18.58,18.68,11925541
2007-04-20,18.82,18.89,18.66,18.78,11595542
2007-04-23,18.71,18.93,18.61,18.8,10698731
2007-04-24,18.9,19.07,18.68,18.91,12495815
2007-04-25,18.98,19.059999,18.91,19.01,10348709
2007-04-26,18.91,19.18,18.86,19.09,14332582
2007-04-27,19.07,19.24,19.049999,19.2,9959086
2007-04-30,19.13,19.34,19.11,19.13,10628538
2007-05-01,19.13,19.52,19.13,19.49,17033796
2007-05-02,19.42,19.56,19.42,19.49,10737874
2007-05-03,19.52,19.61,19.42,19.45,9593720
2007-05-04,19.69,19.91,19.57,19.88,16458822
2007-05-07,19.84,19.95,19.79,19.89,10154172
2007-05-08,20.34,20.49,19.97,20.43,39819464
2007-05-09,20.35,20.53,20.2,20.4,16530600
2007-05-10,20.27,20.36,20.15,20.28,13744164
2007-05-11,20.23,20.56,20.2,20.54,10120128
2007-05-14,20.57,20.57,20.34,20.44,9415966
2007-05-15,20.34,20.59,20.28,20.32,11932237
2007-05-16,20.52,20.53,20.12,20.53,18756170
2007-05-17,20.65,20.71,20.16,20.37,23087924
2007-05-18,20.45,20.45,20.040001,20.24,17803480
2007-05-21,20.18,20.67,20.14,20.53,19309572
2007-05-22,20.51,20.78,20.43,20.69,14965830
2007-05-23,20.79,20.93,20.69,20.72,20154716
2007-05-24,20.64,20.83,20.54,20.61,19211416
2007-05-25,20.66,20.83,20.58,20.71,16234910
2007-05-29,20.66,20.82,20.53,20.68,14220381
2007-05-30,20.52,20.75,20.5,20.73,11269127
2007-05-31,20.71,20.82,20.66,20.75,15199370
2007-06-01,20.78,20.88,20.75,20.8,15570536
2007-06-04,20.78,20.88,20.55,20.88,11279553
2007-06-05,20.76,20.92,20.67,20.85,14011741
2007-06-06,20.79,20.97,20.67,20.9,15666098
2007-06-07,20.77,20.97,20.59,20.62,17594108
2007-06-08,20.58,20.79,20.45,20.78,13574790
2007-06-11,20.79,21.02,20.64,20.83,12804383
2007-06-12,20.69,20.84,20.44,20.46,16940310
2007-06-13,20.51,20.66,20.34,20.66,16055200
2007-06-14,20.75,20.84,20.58,20.73,11320489
2007-06-15,20.8,20.9,20.75,20.75,18705750
2007-06-18,20.72,20.86,20.68,20.83,12083440
2007-06-19,20.79,20.92,20.67,20.84,12146905
2007-06-20,20.88,20.88,20.44,20.45,13896457
2007-06-21,20.5,20.71,20.38,20.66,14978050
2007-06-22,20.66,20.79,20.46,20.51,22952460
2007-06-25,20.48,20.68,20.32,20.4,13977479
2007-06-26,20.49,20.58,20.18,20.27,15537066
2007-06-27,20.23,20.56,20.23,20.52,11446569
2007-06-28,20.41,20.58,20.18,20.25,11359935
2007-06-29,20.34,20.62,20.09,20.26,13898294
2007-07-02,20.54,20.59,20.35,20.52,9432732
2007-07-03,20.54,20.72,20.51,20.69,5338964
2007-07-05,20.59,20.87,20.5,20.84,8795412
2007-07-06,20.8,20.88,20.66,20.88,8368839
2007-07-09,20.81,20.81,20.58,20.59,10467797
2007-07-10,20.57,20.68,20.38,20.4,12153175
2007-07-11,20.34,20.73,20.29,20.73,18209600
2007-07-12,20.79,21.62,20.66,21.5,25150208
2007-07-13,21.36,21.49,21.16,21.45,13688080
2007-07-16,21.34,21.56,21.29,21.54,11879508
2007-07-17,21.51,21.74,21.35,21.57,11896813
2007-07-18,21.4,21.59,21.17,21.4,10148900
2007-07-19,21.57,22.29,21.57,21.97,17165844
2007-07-20,22.02,22.21,21.85,22.040001,15068700
2007-07-23,22.02,22.25,21.93,21.99,10709600
2007-07-24,21.97,22.1,21.57,21.62,10406200
2007-07-25,21.75,22.040001,21.41,21.58,11455600
2007-07-26,21.54,21.85,21.049999,21.38,21992196
2007-07-27,21.43,21.53,21.09,21.09,13188800
2007-07-30,21.1,21.2,20.78,20.95,12914200
2007-07-31,21.11,21.38,20.87,20.9,14688000
2007-08-01,20.9,21.3,20.7,21.22,15254119
2007-08-02,21.36,21.98,21.36,21.9,18520000
2007-08-03,21.82,22.18,21.11,21.52,17351800
2007-08-06,21.59,22.030001,21.59,22.0,18327900
2007-08-07,21.95,22.24,21.77,22.01,15723300
2007-08-08,22.2,22.63,22.11,22.43,23707200
2007-08-09,21.99,22.34,21.35,21.35,24201200
2007-08-10,21.14,21.88,21.1,21.43,18332400
2007-08-13,21.78,22.19,21.7,21.99,17969600
2007-08-14,22.11,22.14,21.3,21.47,18407300
2007-08-15,21.34,21.61,20.86,20.95,20398648
2007-08-16,20.99,21.030001,19.81,20.91,35610500
2007-08-17,21.7,21.91,21.030001,21.41,29637900
2007-08-20,21.48,21.54,20.84,21.15,16821300
2007-08-21,21.16,21.27,20.81,20.89,15151800
2007-08-22,21.13,21.17,20.8,21.07,15472400
2007-08-23,21.12,21.72,21.02,21.63,14645400
2007-08-24,21.57,21.87,21.52,21.84,11163400
2007-08-27,21.79,21.89,21.69,21.7,9070571
2007-08-28,21.61,21.78,21.26,21.28,11416800
2007-08-29,21.32,22.14,21.32,21.98,13986300
2007-08-30,21.81,22.24,21.77,21.99,11036700
2007-08-31,22.23,22.57,22.11,22.41,17895948
2007-09-04,22.27,22.91,22.27,22.76,22086034
2007-09-05,22.59,22.77,22.52,22.75,16613590
2007-09-06,22.77,22.89,22.63,22.79,12430440
2007-09-07,22.5,22.63,22.0,22.18,15161573
2007-09-10,22.25,22.43,21.95,22.25,8719300
2007-09-11,22.38,22.72,22.31,22.64,11266600
2007-09-12,22.62,22.65,22.040001,22.14,14246400
2007-09-13,22.11,22.36,21.97,22.14,14051896
2007-09-14,22.02,22.13,21.66,21.96,16610540
2007-09-17,21.91,22.48,21.89,22.31,14532596
2007-09-18,22.45,22.86,21.86,22.78,14404200
2007-09-19,22.81,22.94,22.43,22.6,20414300
2007-09-20,22.5,22.84,22.5,22.75,11442186
2007-09-21,22.89,23.14,22.75,22.94,23563048
2007-09-24,23.030001,23.15,22.78,22.81,11121782
2007-09-25,22.72,23.15,22.72,23.15,13419002
2007-09-26,23.15,23.2,22.91,22.98,13786093
2007-09-27,23.049999,23.18,22.78,22.82,11332400
2007-09-28,22.8,22.85,22.5,22.6,11036106
2007-10-01,22.61,23.22,22.6,23.15,11401200
2007-10-02,23.1,23.19,22.85,23.17,8581394
2007-10-03,23.040001,23.08,22.76,22.86,9820916
2007-10-04,22.89,22.96,22.7,22.91,6383800
2007-10-05,23.0,23.26,22.95,23.11,11662800
2007-10-08,23.12,23.69,23.11,23.62,12580440
2007-10-09,23.7,23.83,23.49,23.82,9705200
2007-10-10,23.78,23.94,23.61,23.72,9068800
2007-10-11,23.83,23.9,23.23,23.43,11017800
2007-10-12,23.34,23.59,23.29,23.4,9249536
2007-10-15,23.4,23.56,23.07,23.26,7424500
2007-10-16,23.19,23.56,23.19,23.39,8026900
2007-10-17,23.78,23.95,23.65,23.85,12348300
2007-10-18,23.83,24.059999,23.62,24.0,8658500
2007-10-19,23.84,24.02,23.29,23.34,14251051
2007-10-22,23.08,23.36,22.81,23.29,11204717
2007-10-23,23.51,23.61,23.17,23.54,9701300
2007-10-24,23.47,23.54,22.9,23.43,12709500
2007-10-25,23.37,23.59,23.13,23.33,11874500
2007-10-26,23.69,23.9,23.59,23.82,11915525
2007-10-29,23.77,23.82,23.4,23.5,12094438
2007-10-30,23.44,23.59,23.38,23.42,8586400
2007-10-31,23.48,23.59,23.17,23.46,12487800
2007-11-01,23.25,23.74,23.23,23.38,15856094
2007-11-02,23.56,23.82,23.38,23.79,14030000
2007-11-05,23.62,23.99,23.51,23.85,11971569
2007-11-06,23.84,24.28,23.84,24.25,13662371
2007-11-07,24.0,24.24,23.49,23.54,14354783
2007-11-08,23.55,23.65,22.02,22.67,24831168
2007-11-09,22.33,22.44,21.73,21.97,20217094
2007-11-12,21.76,22.22,21.54,21.58,15474868
2007-11-13,21.91,22.5,21.83,22.47,16666059
2007-11-14,22.8,22.8,22.19,22.28,13220671
2007-11-15,22.16,22.52,22.049999,22.2,13643918
2007-11-16,22.75,23.040001,22.46,23.040001,22056782
2007-11-19,23.1,23.39,22.36,22.45,27212556
2007-11-20,22.96,23.01,22.07,22.5,32470016
2007-11-21,22.0,22.66,22.0,22.19,14373270
2007-11-23,22.45,22.46,22.2,22.32,4662755
2007-11-26,22.31,22.52,21.81,21.86,15949106
2007-11-27,21.93,22.26,21.84,22.11,15717412
2007-11-28,22.32,23.15,22.19,23.030001,16987770
2007-11-29,22.87,23.38,22.86,23.18,11032244
2007-11-30,23.41,23.5,22.78,23.23,20376976
2007-12-03,22.94,23.25,22.82,22.9,10014503
2007-12-04,22.72,23.36,22.7,23.02,12240837
2007-12-05,23.19,23.5,23.17,23.45,11657720
2007-12-06,23.44,23.72,23.24,23.7,10399691
2007-12-07,23.79,23.91,23.46,23.54,8940730
2007-12-10,23.65,23.7,23.26,23.59,12667627
2007-12-11,23.43,23.73,22.99,23.049999,13586942
2007-12-12,23.53,23.7,23.2,23.39,14451457
2007-12-13,23.25,23.81,23.25,23.78,12131377
2007-12-14,23.58,23.99,23.58,23.67,13192725
2007-12-17,23.52,23.63,23.059999,23.12,11214605
2007-12-18,23.25,23.5,23.1,23.16,12048429
2007-12-19,23.15,23.4,23.040001,23.22,10005403
2007-12-20,23.34,23.56,23.049999,23.23,9089011
2007-12-21,23.38,23.69,23.37,23.62,17235596
2007-12-24,23.6,23.83,23.53,23.75,3865549
2007-12-26,23.74,24.02,23.59,23.96,6020447
2007-12-27,23.68,23.89,23.39,23.43,8039702
2007-12-28,23.39,23.61,23.27,23.32,6958632
2007-12-31,23.29,23.29,22.88,22.92,8574409
2008-01-02,22.92,23.15,22.36,22.54,13999109
2008-01-03,22.46,22.62,22.28,22.54,10689935
2008-01-04,22.16,22.33,21.14,21.28,24722902
2008-01-07,21.37,21.41,20.07,20.59,31489552
2008-01-08,20.66,20.89,19.53,19.61,42721268
2008-01-09,19.58,20.26,19.41,20.18,30612380
2008-01-10,19.99,20.86,19.99,20.58,24673252
2008-01-11,20.66,20.73,20.36,20.43,18228812
2008-01-14,21.19,21.29,20.83,20.94,18881036
2008-01-15,20.7,20.77,20.43,20.45,16056794
2008-01-16,19.89,20.52,19.81,20.13,27993534
2008-01-17,20.18,20.34,19.3,19.52,24409552
2008-01-18,19.89,20.11,19.53,19.86,25085620
2008-01-22,18.39,19.75,18.39,19.4,32440456
2008-01-23,18.89,19.62,18.16,19.61,33859120
2008-01-24,19.65,20.51,19.29,20.38,22288660
2008-01-25,20.78,20.78,19.79,19.86,21297532
2008-01-28,19.86,20.34,19.71,19.89,14203957
2008-01-29,20.0,20.0,19.45,19.69,21162988
2008-01-30,19.58,20.11,19.45,19.77,19735154
2008-01-31,19.5,20.08,19.2,19.85,22126236
2008-02-01,19.88,20.18,19.73,20.17,18321376
2008-02-04,20.09,20.29,19.91,20.0,12449988
2008-02-05,19.95,19.95,19.44,19.51,18168442
2008-02-06,19.61,19.73,19.1,19.14,18644152
2008-02-07,18.98,18.98,18.23,18.39,48694048
2008-02-08,18.5,19.16,18.41,19.01,22501584
2008-02-11,19.18,19.35,19.040001,19.35,13511553
2008-02-12,19.42,19.71,19.22,19.47,19787192
2008-02-13,19.58,20.19,19.58,20.0,17496300
2008-02-14,19.77,19.8,19.43,19.64,19849704
2008-02-15,19.59,20.11,19.44,19.92,18957952
2008-02-19,20.16,20.51,19.95,19.95,31877828
2008-02-20,20.82,21.67,20.66,21.54,40228400
2008-02-21,21.54,21.72,21.13,21.26,19131946
2008-02-22,21.31,21.56,21.040001,21.52,14143548
2008-02-25,21.49,21.94,21.41,21.85,16875588
2008-02-26,21.75,22.56,21.63,22.34,20432328
2008-02-27,22.25,22.47,22.09,22.22,14494294
2008-02-28,22.07,22.16,21.86,22.040001,15779564
2008-02-29,21.84,22.07,21.62,21.69,14187147
2008-03-03,21.62,21.74,21.4,21.61,12177073
2008-03-04,21.47,22.030001,21.33,22.0,16190698
2008-03-05,22.059999,22.18,21.7,21.93,12475758
2008-03-06,21.8,22.16,21.65,21.69,16083963
2008-03-07,21.48,21.87,21.22,21.48,12587531
2008-03-10,21.46,21.53,21.16,21.21,11436791
2008-03-11,21.64,21.79,21.16,21.76,14533174
2008-03-12,21.64,21.79,21.39,21.46,12253368
2008-03-13,21.15,21.57,20.93,21.35,15662196
2008-03-14,21.49,21.5,20.48,20.85,18353436
2008-03-17,20.39,21.33,20.2,21.07,17547272
2008-03-18,21.37,21.76,21.25,21.76,15021510
2008-03-19,21.57,21.72,21.13,21.15,20735378
2008-03-20,21.18,21.49,20.98,21.11,28251792
2008-03-24,21.21,22.01,21.02,21.76,16555064
2008-03-25,21.72,22.01,21.61,21.91,10464434
2008-03-26,21.8,21.9,21.19,21.49,13734126
2008-03-27,21.39,21.49,21.08,21.17,12220334
2008-03-28,21.32,21.43,20.85,20.93,10184490
2008-03-31,20.88,21.16,20.73,20.73,22417238
2008-04-01,20.93,21.73,20.93,21.61,17601580
2008-04-02,21.59,21.79,21.24,21.44,13091439
2008-04-03,21.27,21.46,21.049999,21.32,15193383
2008-04-04,21.31,21.45,20.97,21.07,12361497
2008-04-07,21.09,21.31,20.76,20.85,14112564
2008-04-08,20.68,20.98,20.52,20.92,12393401
2008-04-09,20.91,20.99,20.55,20.93,11882307
2008-04-10,20.84,21.26,20.84,21.14,10848092
2008-04-11,21.01,21.040001,20.59,20.64,10276954
