date,open,high,low,close,volume
2006-10-18,8.925,8.98,8.91,8.9275,699600
2006-10-19,8.9275,8.9375,8.8175,8.8475,832000
2006-10-20,8.8475,8.9325,8.8,8.9225,572400
2006-10-23,8.8875,9.0225,8.8875,8.9525,695200
2006-10-24,8.9175,8.9575,8.88,8.945,714800
2006-10-25,8.9125,8.96,8.9125,8.95,748800
2006-10-26,8.98,9.0275,8.925,8.975,711200
2006-10-27,8.985,9.0775,8.935,9.0125,801200
2006-10-30,8.9775,9.0625,8.9775,9.0375,1020800
2006-10-31,9.0375,9.0875,8.95,9.0275,788400
2006-11-01,9.06,9.06,8.935,8.9475,618800
2006-11-02,8.9,8.9,8.8125,8.8825,990000
2006-11-03,8.8975,8.92,8.795,8.825,476400
2006-11-06,8.86,8.945,8.86,8.895,634000
2006-11-07,8.875,8.9625,8.875,8.91,807200
2006-11-08,8.8925,8.9525,8.8475,8.855,1513200
2006-11-09,8.8325,8.885,8.7075,8.7075,1446000
2006-11-10,9.2125,9.3975,8.88,9.025,7066000
2006-11-13,8.9625,9.2475,8.9625,9.225,2252400
2006-11-14,9.245,9.365,9.24,9.3625,2499200
2006-11-15,9.365,9.4,9.3,9.3025,1380000
2006-11-16,9.345,9.35,9.21,9.225,1525200
2006-11-17,9.2175,9.26,9.15,9.1975,1980800
2006-11-20,9.2225,9.3325,9.2225,9.2675,1114000
2006-11-21,9.3025,9.325,9.12,9.1725,1553200
2006-11-22,9.5,9.65,9.345,9.4675,2420400
2006-11-24,9.435,9.56,9.435,9.4975,571200
2006-11-27,9.4575,9.4575,9.325,9.3775,1456000
2006-11-28,9.3775,9.485,9.3675,9.45,1378400
2006-11-29,9.48,9.525,9.4,9.4725,896000
2006-11-30,9.44,9.5375,9.4125,9.47,1256000
2006-12-01,9.45,9.515,9.3825,9.495,1410400
2006-12-04,9.5,9.6325,9.495,9.625,923200
2006-12-05,9.725,9.735,9.6125,9.6775,954000
2006-12-06,9.6525,9.6875,9.59,9.5975,754400
2006-12-07,9.765,9.7725,9.3725,9.555,2189600
2006-12-08,9.565,9.65,9.55,9.6025,813600
2006-12-11,9.5925,9.625,9.57,9.585,833200
2006-12-12,9.57,9.625,9.57,9.625,406400
2006-12-13,9.625,9.625,9.535,9.605,840800
2006-12-14,9.59,9.67,9.58,9.5975,510800
2006-12-15,9.605,9.6125,9.53,9.53,655600
2006-12-18,9.5325,9.565,9.46,9.47,952000
2006-12-19,9.395,9.5875,9.3925,9.56,934800
2006-12-20,9.5325,9.605,9.4725,9.555,1186800
2006-12-21,9.585,9.625,9.4975,9.5175,707200
2006-12-22,9.4675,9.5375,9.4675,9.4875,518000
2006-12-26,9.47,9.525,9.4625,9.51,524400
2006-12-27,9.4475,9.535,9.4475,9.475,751600
2006-12-28,9.455,9.485,9.415,9.435,948000
2006-12-29,9.435,9.45,9.335,9.335,828000
2007-01-03,9.3775,9.625,9.3775,9.5375,1336400
2007-01-04,9.5375,9.5375,9.4225,9.4575,705600
2007-01-05,9.305,9.43,9.2625,9.395,790400
2007-01-08,9.38,9.4075,9.3125,9.3525,722000
2007-01-09,9.3625,9.385,9.2725,9.28,1085600
2007-01-10,9.2375,9.34,9.2275,9.325,1037600
2007-01-11,9.355,9.47,9.355,9.4525,601600
2007-01-12,9.4675,9.51,9.3875,9.4075,761200
2007-01-16,9.4475,9.4875,9.315,9.3425,834000
2007-01-17,9.3175,9.39,9.305,9.3525,738000
2007-01-18,9.335,9.43,9.315,9.315,607200
2007-01-19,9.295,9.4275,9.2925,9.4175,619200
2007-01-22,9.4,9.4275,9.3725,9.4,702800
2007-01-23,9.3975,9.475,9.35,9.3975,611600
2007-01-24,9.4125,9.4875,9.4,9.4575,394000
2007-01-25,9.4575,9.4775,9.4225,9.465,985600
2007-01-26,9.4625,9.4625,9.285,9.3425,877600
2007-01-29,9.3425,9.415,9.3225,9.34,1023200
2007-01-30,9.335,9.41,9.3125,9.3975,445200
2007-01-31,9.375,9.495,9.3375,9.475,1040400
2007-02-01,9.4675,9.485,9.3725,9.48,857200
2007-02-02,9.48,9.48,9.41,9.4575,616000
2007-02-05,9.45,9.45,9.345,9.4,824400
2007-02-06,9.4375,9.495,9.3875,9.49,830400
2007-02-07,9.49,9.5175,9.4175,9.5175,789200
2007-02-08,9.5125,9.5125,9.4475,9.49,447200
2007-02-09,9.49,9.525,9.43,9.4975,825200
2007-02-12,9.5025,9.5125,9.45,9.5025,955600
2007-02-13,9.525,9.6275,9.4975,9.6275,697200
2007-02-14,9.625,9.7375,9.625,9.7375,1136800
2007-02-15,9.7375,9.7875,9.645,9.7825,1595200
2007-02-16,9.625,9.6925,9.4875,9.515,1873600
2007-02-20,9.505,9.5325,9.345,9.47,1769600
2007-02-21,9.425,9.5325,9.4225,9.505,878000
2007-02-22,9.4875,9.505,9.32,9.3475,1042800
2007-02-23,9.3475,9.3475,9.2725,9.3275,796400
2007-02-26,9.3275,9.3925,9.275,9.3875,1094000
2007-02-27,9.28,9.3075,9.095,9.1625,1157600
2007-02-28,9.1625,9.215,9.115,9.1225,1545200
2007-03-01,9.0825,9.2225,9.0625,9.2025,1059200
2007-03-02,9.19,9.1925,9.0825,9.1075,1052800
2007-03-05,9.0875,9.135,9.055,9.0675,952800
2007-03-06,9.085,9.19,9.0775,9.16,933200
2007-03-07,9.16,9.16,9.09,9.1025,756000
2007-03-08,9.14,9.185,9.1325,9.175,613200
2007-03-09,9.2,9.2175,9.1225,9.1425,745600
2007-03-12,9.1575,9.2425,9.145,9.2375,639200
2007-03-13,9.2025,9.2025,9.0825,9.095,860000
2007-03-14,9.0875,9.1575,9.0125,9.1225,912800
2007-03-15,9.2075,9.27,9.175,9.2025,809200
