date,open,high,low,close,volume
2006-10-18,52.65,53.14,52.52,52.7,1096900
2006-10-19,50.45,50.45,48.96,50.38,9750000
2006-10-20,51.4,51.7,50.8,51.049999,3205900
2006-10-23,51.099998,51.22,50.75,51.049999,1535600
2006-10-24,51.11,51.55,50.85,51.55,1464000
2006-10-25,51.75,51.82,51.31,51.61,1186600
2006-10-26,51.85,52.52,51.77,52.47,1359000
2006-10-27,52.25,52.59,52.060001,52.41,1036000
2006-10-30,52.2,52.45,51.88,52.21,878200
2006-10-31,52.46,52.94,52.29,52.91,1176200
2006-11-01,52.81,52.91,52.4,52.5,1021500
2006-11-02,52.4,53.029999,52.35,53.02,1093100
2006-11-03,52.98,53.17,52.87,53.12,1321700
2006-11-06,52.98,53.26,52.87,53.09,1464400
2006-11-07,52.99,53.45,52.86,53.43,1456100
2006-11-08,53.18,53.46,52.96,53.19,949000
2006-11-09,53.02,53.34,52.67,52.76,973300
2006-11-10,52.6,52.96,52.55,52.92,703600
2006-11-13,52.75,53.0,52.59,52.76,902900
2006-11-14,52.65,52.85,52.33,52.68,884700
2006-11-15,52.6,52.95,52.57,52.8,945400
2006-11-16,52.69,52.98,52.54,52.94,1195200
2006-11-17,52.7,52.91,52.37,52.74,1064500
2006-11-20,52.33,52.49,52.060001,52.12,1132300
2006-11-21,52.0,52.44,51.88,52.21,750000
2006-11-22,52.15,53.16,52.15,53.07,881000
2006-11-24,52.9,53.32,52.9,53.11,504400
2006-11-27,53.0,53.13,52.68,52.8,991900
2006-11-28,52.85,53.029999,52.6,52.92,1036700
2006-11-29,52.8,53.07,52.78,53.0,709900
2006-11-30,52.95,53.19,52.66,52.97,856700
2006-12-01,51.35,52.09,50.48,50.89,3254900
2006-12-04,50.88,52.040001,50.85,51.77,1946100
2006-12-05,51.23,51.69,51.0099983,51.36,1233900
2006-12-06,51.15,51.3,50.9,51.060001,1252000
2006-12-07,49.65,50.34,49.33,49.34,6417400
2006-12-08,49.17,49.94,49.17,49.65,3215600
2006-12-11,49.98,50.14,49.73,49.98,1399500
2006-12-12,50.0,50.26,49.8,50.099998,1136800
2006-12-13,50.12,50.17,49.62,49.8,998700
2006-12-14,49.77,50.99,49.72,50.62,1916100
2006-12-15,50.049999,51.07,50.049999,51.02,1527500
2006-12-18,51.2,51.25,50.24,50.63,1322700
2006-12-19,50.35,50.66,50.32,50.52,760000
2006-12-20,50.35,50.44,50.17,50.25,879800
2006-12-21,50.28,50.4,49.83,50.0,813300
2006-12-22,50.78,50.78,49.65,49.9,865700
2006-12-26,49.94,50.49,49.88,50.35,477200
2006-12-27,50.34,50.69,50.17,50.34,787000
2006-12-28,50.13,50.31,50.0099983,50.11,483800
2006-12-29,50.0,50.049999,49.74,49.8,659000
2007-01-03,49.8,50.5,49.73,49.8,1279400
2007-01-04,49.75,50.55,49.7,50.41,1403200
2007-01-05,50.25,50.35,49.86,50.07,892500
2007-01-08,50.029999,50.59,49.8,50.54,986700
2007-01-09,50.64,50.64,50.15,50.42,735400
2007-01-10,50.11,50.37,50.040001,50.27,585700
2007-01-11,50.34,50.6,50.099998,50.49,761900
2007-01-12,50.67,50.84,50.33,50.58,697900
2007-01-16,50.6,50.7,50.27,50.61,549100
2007-01-17,50.69,50.9,50.44,50.77,716500
2007-01-18,51.0,52.23,50.82,52.15,2218700
2007-01-19,52.18,52.57,52.0,52.37,1091900
2007-01-22,52.33,52.65,52.3,52.3,911900
2007-01-23,52.2,52.67,52.029999,52.37,1167100
2007-01-24,51.099998,51.75,50.049999,50.78,4509000
2007-01-25,50.89,50.98,49.98,50.18,2491400
2007-01-26,50.18,50.51,50.15,50.4,1622400
2007-01-29,50.5,51.32,50.25,51.28,1798300
2007-01-30,50.9,51.27,50.79,51.040001,1542900
2007-01-31,51.049999,51.39,51.0099983,51.040001,1440100
2007-02-01,51.25,51.78,51.14,51.65,1137400
2007-02-02,51.55,51.95,51.47,51.88,891200
2007-02-05,51.88,51.89,51.23,51.45,923000
2007-02-06,51.46,51.54,51.13,51.16,871800
2007-02-07,51.14,51.3,50.82,51.2,780400
2007-02-08,51.15,51.3,50.63,50.81,1113400
2007-02-09,50.81,51.0099983,50.7,50.73,507500
2007-02-12,50.8,50.95,50.59,50.59,688685
2007-02-13,50.59,50.97,50.56,50.83,909765
2007-02-14,50.85,51.61,50.84,51.3,1595961
2007-02-15,51.55,52.9,51.3,52.099998,2476500
2007-02-16,51.88,52.45,51.87,52.38,1809700
2007-02-20,52.5,54.060001,52.27,53.57,2150000
2007-02-21,53.4,54.17,53.25,53.61,1856800
2007-02-22,53.4,53.55,52.93,53.21,795200
2007-02-23,53.26,53.27,52.68,53.09,729100
2007-02-26,52.98,53.63,52.91,53.56,926310
2007-02-27,52.92,53.41,52.0,52.35,1632700
2007-02-28,52.25,53.34,52.25,52.9,1610700
2007-03-01,52.26,53.46,52.25,52.99,1699874
2007-03-02,53.040001,54.0,52.65,53.049999,2246700
2007-03-05,52.99,54.11,52.75,53.51,1670600
2007-03-06,53.91,54.65,53.66,54.53,1924500
