date,open,high,low,close,volume
2006-10-18,51.6,51.71,50.68,51.32,295600
2006-10-19,51.4,51.45,50.67,50.84,133900
2006-10-20,50.84,51.97,50.4,51.46,351300
2006-10-23,51.47,51.47,50.84,51.28,193900
2006-10-24,51.15,51.34,50.49,51.25,195900
2006-10-25,51.25,51.3,50.53,51.21,198900
2006-10-26,51.21,51.21,50.25,50.92,239300
2006-10-27,50.8,50.82,50.31,50.63,196000
2006-10-30,50.43,50.43,50.12,50.15,224500
2006-10-31,50.38,50.46,49.38,49.52,220400
2006-11-01,49.7,49.89,49.07,49.07,197500
2006-11-02,49.07,49.22,48.63,49.22,239700
2006-11-03,49.3,49.65,48.66,49.2,108400
2006-11-06,49.4,50.19,49.15,50.099998,161900
2006-11-07,50.2,50.7,49.9,50.0,136600
2006-11-08,50.0,50.6,49.82,50.58,125900
2006-11-09,50.52,50.52,49.78,50.060001,100200
2006-11-10,50.0,50.049999,49.55,50.0,112000
2006-11-13,50.049999,50.43,49.88,50.25,104900
2006-11-14,50.2,50.6,50.0099983,50.6,126800
2006-11-15,50.7,50.9,50.46,50.63,114400
2006-11-16,50.97,50.97,50.47,50.82,87100
2006-11-17,50.78,50.78,50.26,50.69,106600
2006-11-20,51.59,51.59,50.25,50.67,94200
2006-11-21,50.5,50.55,50.09,50.39,90800
2006-11-22,50.45,50.62,50.049999,50.55,99600
2006-11-24,50.36,50.87,50.17,50.7,35400
2006-11-27,50.5,50.5,49.45,50.5,201500
2006-11-28,49.42,51.7,49.36,51.4,571100
2006-11-29,51.36,52.2,50.75,52.2,335300
2006-11-30,52.080002,52.49,51.26,52.45,476100
2006-12-01,52.35,53.38,52.29,53.28,443700
2006-12-04,53.099998,53.099998,52.5,52.8,309000
2006-12-05,52.75,53.18,51.99,53.15,363800
2006-12-06,52.92,52.92,51.32,52.099998,407000
2006-12-07,52.32,52.68,52.22,52.57,164600
2006-12-08,52.57,52.87,52.4,52.71,113600
2006-12-11,47.15,47.21,43.87,46.0,2639500
2006-12-12,46.0,46.21,44.95,45.63,949200
2006-12-13,46.0,46.15,44.66,45.0,802200
2006-12-14,44.71,45.24,44.46,44.57,642600
2006-12-15,44.2,44.38,43.8,44.12,794500
2006-12-18,44.3,44.3,43.84,43.88,398000
2006-12-19,43.81,44.69,43.41,44.53,378700
2006-12-20,44.48,44.93,44.23,44.57,361600
2006-12-21,44.68,45.22,44.63,45.049999,354800
2006-12-22,45.029999,45.31,44.95,45.080002,305500
2006-12-26,44.9,45.17,44.78,45.099998,112100
2006-12-27,45.2,45.65,45.2,45.47,145900
2006-12-28,45.37,45.5,45.09,45.22,268500
2006-12-29,45.22,45.45,44.91,45.21,225800
2007-01-03,45.6,46.099998,45.080002,45.48,316400
2007-01-04,45.5,45.8,45.0099983,45.13,410400
2007-01-05,45.07,45.15,43.61,43.77,595300
2007-01-08,43.6,43.73,43.34,43.39,726100
2007-01-09,43.45,44.66,43.35,44.32,597100
2007-01-10,44.049999,44.25,43.61,44.25,514800
2007-01-11,44.35,44.74,44.07,44.42,1180300
2007-01-12,44.45,45.23,44.45,45.0099983,486900
2007-01-16,45.060001,45.19,44.58,44.66,553400
2007-01-17,44.42,45.85,44.42,45.82,425800
2007-01-18,45.82,45.83,45.5,45.72,278500
2007-01-19,45.72,46.25,45.51,46.25,266200
2007-01-22,46.25,46.47,45.98,46.46,358500
2007-01-23,46.53,46.9,46.22,46.53,580400
2007-01-24,46.5,46.84,46.5,46.84,363100
2007-01-25,46.84,48.68,46.82,47.57,410200
2007-01-26,47.5,47.88,47.31,47.41,440700
2007-01-29,47.31,47.85,47.31,47.76,239700
2007-01-30,47.78,48.15,47.6,48.15,339600
2007-01-31,48.099998,48.48,47.91,48.2,316400
2007-02-01,48.45,49.15,48.45,49.11,204500
2007-02-02,49.25,49.44,48.84,49.02,247200
2007-02-05,48.95,49.29,48.85,49.2,385200
