date,open,high,low,close,volume
2006-10-18,64.65,65.89,64.65,65.5,1761800
2006-10-19,65.71,66.32,64.96,65.0,1617300
2006-10-20,65.13,66.76,65.12,66.5,1867000
2006-10-23,66.4,67.080002,65.86,66.12,845600
2006-10-24,66.13,66.38,65.16,65.72,1245300
2006-10-25,65.72,65.8,63.17,63.52,2149500
2006-10-26,64.17,64.3,62.8,64.029999,1753800
2006-10-27,64.029999,66.019997,63.38,65.7,2298900
2006-10-30,66.0,66.69,61.02,61.61,7092000
2006-10-31,61.65,61.8,59.93,60.0,3580300
2006-11-01,60.31,61.23,58.21,58.51,3146000
2006-11-02,58.26,60.040001,58.21,59.17,1774600
2006-11-03,58.99,59.0,56.23,56.79,3693900
2006-11-06,56.88,59.15,56.88,58.5,3509600
2006-11-07,58.51,59.07,57.83,58.65,2184900
2006-11-08,57.6,57.6,54.22,55.19,7431500
2006-11-09,55.19,55.39,52.25,52.76,5772100
2006-11-10,52.9,53.5,51.73,52.0,5929100
2006-11-13,53.0,54.049999,52.17,53.79,4373700
2006-11-14,54.0,54.25,53.49,53.73,2555900
2006-11-15,53.25,55.029999,53.02,54.4,2659600
2006-11-16,54.41,55.49,54.18,55.080002,2503000
2006-11-17,54.91,54.99,53.18,53.37,2269500
2006-11-20,53.9,54.27,52.4,52.71,1898800
2006-11-21,52.66,53.35,52.25,52.47,1388900
2006-11-22,52.47,53.13,51.87,52.77,1918800
2006-11-24,52.6,52.75,52.18,52.65,385600
2006-11-27,52.38,52.67,51.81,51.91,1294900
2006-11-28,51.91,52.95,51.82,52.44,1692600
2006-11-29,52.44,52.55,51.17,51.6,2349600
2006-11-30,51.82,54.21,51.26,54.099998,3243500
2006-12-01,54.099998,54.92,52.85,53.41,2553300
2006-12-04,53.49,54.11,53.4,53.73,1386400
2006-12-05,54.46,54.73,53.63,54.5,1596200
2006-12-06,54.19,56.33,54.080002,55.65,2338100
2006-12-07,55.46,56.81,55.26,55.52,1810700
2006-12-08,55.77,56.93,54.66,56.47,2808200
2006-12-11,56.22,56.26,55.060001,55.39,1901500
2006-12-12,55.32,56.24,54.89,55.45,1888000
2006-12-13,55.62,55.93,54.3,54.41,1785500
2006-12-14,55.0099983,56.15,54.77,55.28,2385700
2006-12-15,55.3,55.6,54.99,55.11,1656700
2006-12-18,55.09,55.09,54.3,54.63,1096600
2006-12-19,55.11,55.73,54.040001,55.38,1570500
2006-12-20,55.61,56.26,54.93,55.099998,1807600
2006-12-21,55.19,55.71,55.02,55.28,1051200
2006-12-22,55.39,55.51,54.62,55.19,767100
2006-12-26,55.099998,55.45,54.75,55.13,426500
2006-12-27,55.13,55.62,55.040001,55.62,1229100
2006-12-28,55.2,55.49,55.049999,55.37,1057800
2006-12-29,55.12,55.64,55.12,55.31,1026200
2007-01-03,55.46,56.68,55.4,56.02,2453400
2007-01-04,55.83,55.89,54.49,55.35,2305600
2007-01-05,54.5,54.54,52.6,52.98,3937300
2007-01-08,53.49,53.49,51.72,53.0099983,2858200
2007-01-09,53.02,53.049999,51.68,52.25,2776100
2007-01-10,51.0,52.52,51.0,52.31,2133400
2007-01-11,52.11,54.32,52.049999,54.02,1988200
2007-01-12,54.049999,54.78,53.52,54.52,1816000
2007-01-16,54.41,54.79,53.75,54.2,1560900
2007-01-17,54.2,55.6,54.099998,55.6,2300700
2007-01-18,55.4,55.42,53.92,54.85,3066400
2007-01-19,55.0,55.0,54.31,54.49,1068600
2007-01-22,54.47,54.89,53.87,53.9,1435900
2007-01-23,53.98,54.28,53.38,53.89,1599900
2007-01-24,53.84,54.15,52.93,53.64,1906000
2007-01-25,53.54,54.040001,53.41,53.49,1226800
2007-01-26,53.15,53.59,52.31,53.46,2086100
2007-01-29,53.47,54.02,53.07,53.51,1263400
2007-01-30,53.7,56.38,53.5,55.81,5087800
2007-01-31,55.62,55.88,54.42,55.5,2979400
2007-02-01,55.49,57.36,55.17,57.22,2703700
2007-02-02,57.29,57.88,56.71,57.32,2584300
2007-02-05,58.0,58.38,57.47,57.84,3416200
2007-02-06,57.95,60.22,57.77,60.0,3947300
2007-02-07,60.5,61.36,60.41,61.040001,3737100
2007-02-08,61.040001,61.040001,59.69,59.79,2810100
2007-02-09,60.02,60.17,59.37,59.62,1493900
2007-02-12,59.62,60.33,59.4,59.66,2138800
2007-02-13,60.0,60.52,59.78,60.0099983,1655100
2007-02-14,60.0099983,62.35,59.88,61.98,2282700
2007-02-15,62.23,63.52,61.98,63.029999,1713700
2007-02-16,62.61,62.92,61.64,62.23,2049900
2007-02-20,62.24,63.48,61.4,63.45,2287600
2007-02-21,64.5,64.5,62.2,62.44,1293500
2007-02-22,62.35,62.52,61.68,62.31,1164500
2007-02-23,62.099998,62.12,59.63,60.86,3685200
2007-02-26,61.15,61.48,60.26,61.0,2037400
2007-02-27,59.85,60.45,58.029999,59.22,1936000
2007-02-28,59.5,60.02,58.8,59.91,1751100
2007-03-01,59.0,61.65,58.0099983,60.81,2631500
2007-03-02,60.81,60.84,59.7,59.71,1783200
2007-03-05,58.61,58.85,57.62,57.86,2208900
