date,open,high,low,close,volume
2006-10-18,86.52964,87.99236,85.78394,85.86998,29157459
2006-10-19,85.85086,86.97897,85.38241,85.90822,11162284
2006-10-20,86.080307,86.71128,85.61185,86.50095,7730881
2006-10-23,86.089867,87.95411,86.051628,87.53346,9269966
2006-10-24,86.91205,87.90631,86.80688,87.46654,9646526
2006-10-25,87.19885,87.94455,86.94073,87.79159,6403717
2006-10-26,87.79159,87.88719,87.23709,87.51434,5219854
2006-10-27,86.91205,87.84895,86.59656,86.76864,6108954
2006-10-30,85.85086,87.95411,85.85086,87.4761,5851324
2006-10-31,87.4761,88.60421,87.4761,88.2696,9693596
2006-11-01,88.43212,88.60421,87.4761,87.76291,6114602
2006-11-02,87.76291,87.90631,87.23709,87.64819,5120275
2006-11-03,87.72466,88.27916,87.17017,87.39006,4713694
2006-11-06,87.4761,88.66157,87.4761,88.52773,6527668
2006-11-07,88.35564,89.29254,88.34608,88.67113,7641239
2006-11-08,88.19312,88.83365,87.96367,88.51817,6299221
2006-11-09,88.51817,89.091782,88.30784,88.35564,4726769
2006-11-10,88.24092,88.28872,87.60038,87.72466,5616602
2006-11-13,87.5239,88.3652,87.39006,88.021034,4558782
2006-11-14,87.95411,89.18738,87.6195,89.18738,6143158
2006-11-15,88.98662,89.17782,88.47036,89.015297,4364749
2006-11-16,88.97706,89.48375,88.52773,89.35947,4363389
2006-11-17,89.31166,89.91396,89.2065,89.68451,5492546
2006-11-20,89.48375,89.67495,88.91969,89.14914,5241088
2006-11-21,88.91969,89.32122,88.76673,88.98662,3208919
2006-11-22,88.81453,89.61759,88.71893,89.40726,3505878
2006-11-24,88.95793,89.62715,88.89101,89.24474,2227771
2006-11-27,88.63289,89.13958,87.11281,87.4283,6573064
2006-11-28,86.66348,87.54302,86.45316,87.3327,5190357
2006-11-29,87.3327,87.62907,87.0076447,87.49522,4835658
2006-11-30,87.3327,88.413,87.23709,87.87763,6768352
2006-12-01,87.85851,87.86807,86.56788,87.23709,5695888
2006-12-04,88.43212,89.81836,88.19312,89.39771,7853263
2006-12-05,89.39771,90.47801,89.33079,90.32505,7202965
2006-12-06,90.32505,90.6979,89.87572,89.98088,6220876
2006-12-07,89.86616,90.27724,89.43594,90.086044,4509097
2006-12-08,89.53155,90.23901,89.35947,89.73232,4330440
2006-12-11,89.59847,90.20077,89.4455,89.52199,3618323
2006-12-12,89.48375,90.67878,89.19694,89.98088,8141855
2006-12-13,90.61185,91.13766,90.34417,90.60229,6737600
2006-12-14,90.7935,91.51051,90.38241,91.16635,4857729
2006-12-15,91.40536,91.587,90.86998,91.10899,8458479
2006-12-18,90.77438,91.93117,90.63097,91.24283,8352205
2006-12-19,90.91779,92.15105,90.73614,91.77821,5160127
2006-12-20,91.8738,92.25621,91.49139,91.77821,3822712
2006-12-21,91.56788,92.25621,91.32887,91.69216,4608258
2006-12-22,91.5392,91.75908,91.051628,91.061188,3170949
2006-12-26,90.82218,91.59656,90.7457,91.45316,2383520
2006-12-27,92.06501,92.95411,92.036331,92.92543,4781894
2006-12-28,92.83939,93.11664,92.60994,92.70554,4708778
2006-12-29,92.73422,93.57552,92.5717,92.87763,4660871
2007-01-03,92.90631,94.072655,92.026772,92.99236,9619853
2007-01-04,92.97323,94.4455,92.6195,93.98662,11008627
2007-01-05,93.30784,93.64245,92.64819,93.13576,7553480
2007-01-08,94.16826,95.12428,94.024857,94.55067,10815640
2007-01-09,94.72276,95.91779,94.7132,95.66921,11619177
2007-01-10,94.16826,94.69408,93.62333,94.54111,9147061
2007-01-11,94.64627,95.50669,94.16826,94.31166,8368732
2007-01-12,94.63671,95.30592,94.16826,94.97132,6941779
2007-01-16,95.028679,96.40536,94.93307,96.38623,10043901
2007-01-17,96.26195,96.46272,95.50669,95.62141,8577932
2007-01-18,95.41109,95.5545,94.56023,95.076485,15309361
2007-01-19,90.82218,92.59082,90.39197,91.94073,27233447
2007-01-22,92.17973,92.95411,91.89292,92.83939,14162108
2007-01-23,92.64819,93.097511,91.96941,92.81071,10812920
2007-01-24,92.81071,93.28872,92.3327,93.11664,5962200
2007-01-25,92.94455,93.61377,92.94455,93.22179,6486560
2007-01-26,93.23136,93.52773,92.58126,93.16444,6036571
2007-01-29,93.40344,94.32122,93.16444,94.2065,7630361
2007-01-30,94.23518,95.076485,94.16826,95.0,7508083
2007-01-31,94.45507,95.10516,94.024857,94.78967,6728500
2007-02-01,94.61759,94.81836,93.65201,94.64627,6914792
2007-02-02,94.74187,95.34417,94.53155,94.80879,6962490
2007-02-05,94.80879,96.022942,94.55067,95.96558,8561301
2007-02-06,95.60229,95.9847,95.16252,95.45889,6833309
2007-02-07,95.41109,95.94646,94.76099,95.16252,8052317
2007-02-08,94.55067,95.35373,94.31166,95.23901,6435201
2007-02-09,95.1434,95.31549,93.50861,94.21606,6381018
2007-02-12,94.45507,94.83748,93.90057,94.24474,5576226
2007-02-13,94.26386,94.39771,93.49905,93.9675,5965129
2007-02-14,94.16826,95.057358,93.92925,94.83748,5904461
2007-02-15,94.70364,95.1434,94.14914,94.56979,5824756
2007-02-16,94.76099,94.88528,94.29254,94.63671,5021532
2007-02-20,94.32122,95.086044,94.21606,94.98088,4313913
2007-02-21,94.55067,95.0,94.35947,94.73232,4500310
2007-02-22,94.45507,95.12428,93.47036,94.16826,6171505
2007-02-23,94.072655,94.1109,93.1262,93.43212,6648167
2007-02-26,93.5564,93.5564,92.21797,92.64819,6194517
2007-02-27,91.77821,91.78777,88.79541,89.82792,12548548
2007-02-28,89.58891,89.9522,88.40344,88.85278,12752414
2007-03-01,86.28107,88.95793,84.86616,88.21223,13457522
2007-03-02,87.95411,88.30784,86.84512,86.90249,9886060
2007-03-05,86.28107,88.097511,86.13766,87.77247,10789385
2007-03-06,88.33652,89.76099,88.20267,89.67495,9606673
2007-03-07,89.83748,90.67878,89.50287,89.80879,10741479
2007-03-08,90.34417,90.65009,88.45124,88.91013,7744479
2007-03-09,89.36903,89.86616,88.73805,89.17782,6624318
2007-03-12,89.18738,90.028679,88.88145,89.97132,5785740
2007-03-13,89.73232,90.31549,88.54684,88.63289,7885899
2007-03-14,88.57552,89.89484,88.049713,89.63671,9114739
2007-03-15,89.29254,89.83748,89.0057373,89.34035,6181860
2007-03-16,90.29636,90.29636,88.92925,89.14914,9130220
2007-03-19,89.81836,90.17208,89.28298,89.8566,4778233
2007-03-20,89.86616,90.37285,89.43594,90.34417,4769760
2007-03-21,90.34417,91.59656,89.70364,91.16635,8018218
2007-03-22,90.91779,91.24283,90.48757,91.0038223,5962618
2007-03-23,90.65009,91.032501,90.48757,90.85086,4615475
2007-03-26,90.82218,91.061188,90.17208,90.82218,7038952
2007-03-27,90.54493,90.85086,90.057358,90.56406,4911807
2007-03-28,89.77055,90.8413,89.67495,90.11472,8501888
2007-03-29,90.49713,90.92735,89.82792,90.41109,7166669
2007-03-30,90.095604,90.58318,89.45507,90.11472,7989453
2007-04-02,90.35373,91.30019,89.92352,91.022942,6154350
2007-04-03,91.25239,91.99809,91.13766,91.8738,5994417
2007-04-04,91.587,92.20841,91.36711,91.97897,4472905
2007-04-05,91.75908,92.49522,91.5392,92.27534,3459227
2007-04-09,92.18929,92.67686,91.89292,92.37093,5073728
2007-04-10,92.16061,92.54302,91.93117,92.21797,3761834
2007-04-11,92.26578,92.44742,90.77438,90.97514,6209997
2007-04-12,90.85086,91.60612,90.37285,91.46272,7411224
2007-04-13,91.5392,91.5392,90.43021,90.75526,6305079
2007-04-16,90.81262,92.06501,90.5545,91.95029,7180895
2007-04-17,92.06501,93.3652,91.79733,92.84895,10736144
2007-04-18,90.63097,91.69216,90.24857,90.63097,16601798
2007-04-19,90.34417,90.6979,89.86616,90.1434,9880098
2007-04-20,90.8413,90.96558,89.78011,90.42065,9769954
2007-04-23,90.97514,91.52007,90.86998,91.022942,7580780
2007-04-24,92.95411,95.50669,92.95411,94.1587,22437432
2007-04-25,94.39771,97.22753,94.38815,96.99809,15509356
2007-04-26,96.55832,97.036331,95.80306,96.46272,9004491
2007-04-27,95.8891,96.72084,95.65965,96.72084,6423904
2007-04-30,96.66348,98.47036,96.52964,97.7151,10512718
2007-05-01,97.5717,98.63289,97.56214,98.63289,9068925
2007-05-02,98.27916,98.60421,97.63863,97.72466,7134034
2007-05-03,97.27534,98.47036,96.89292,98.27916,7638101
2007-05-04,98.23136,98.49905,97.75335,98.43212,5716181
2007-05-07,98.24092,98.63289,97.89675,98.62333,5878625
2007-05-08,97.91587,98.84321,97.7151,98.74761,6239390
2007-05-09,99.35947,100.1434,99.13958,99.78967,8794873
2007-05-10,99.2543,100.48757,99.14914,100.076485,9371951
2007-05-11,100.086044,101.32887,100.066925,101.31931,6303301
2007-05-14,101.15679,101.57744,100.18164,100.92735,5996300
2007-05-15,100.76482,101.14722,100.095604,100.21989,6384993
2007-05-16,100.47801,101.23327,99.93307,101.21415,5871721
2007-05-17,100.96558,101.55832,100.12428,100.67878,8060894
2007-05-18,101.18547,103.29828,100.95602,103.24092,10310945
2007-05-21,102.93499,103.25048,102.17017,102.3327,7857761
2007-05-22,102.24665,102.53346,101.34799,102.0076447,5557712
2007-05-23,102.10325,102.29446,100.62141,100.9369,4599157
2007-05-24,100.81262,101.31931,99.015297,99.37859,7244910
2007-05-25,99.33079,100.7935,99.28298,100.5545,6404658
2007-05-29,100.92735,101.94073,100.66921,101.25239,5669634
2007-05-30,100.76482,102.39006,100.58318,102.22753,7741446
2007-05-31,102.54302,102.93499,101.33843,101.91205,5332194
2007-06-01,101.93117,102.5239,101.35755,101.85468,5532503
2007-06-04,101.81644,101.90249,100.9369,101.55832,4780115
2007-06-05,101.86424,101.86424,100.89866,101.18547,5485433
2007-06-06,100.86042,100.86998,97.88719,97.90631,32186152
2007-06-07,97.95411,98.63289,97.093689,97.32314,15046292
2007-06-08,97.32314,98.67113,97.27534,98.53728,8594250
2007-06-11,98.34608,99.42638,97.99236,98.68069,8266643
2007-06-12,98.57552,98.64245,97.65775,97.83939,5835006
2007-06-13,98.32696,98.71893,97.60994,98.58508,6733730
2007-06-14,98.56596,99.65583,98.28872,99.28298,5403218
2007-06-15,99.63671,100.56406,99.31166,100.46845,9866186
2007-06-18,100.64053,101.0038223,100.27724,100.6979,6651723
2007-06-19,100.31549,101.96941,100.2868,101.81644,6018684
2007-06-20,101.81644,102.31358,101.29063,101.33843,6842409
2007-06-21,101.11855,102.29446,100.96558,101.91205,5844839
2007-06-22,101.30019,101.75908,99.84704,99.84704,11305691
2007-06-25,100.12428,101.11855,99.9044,100.47801,8866314
2007-06-26,100.47801,101.39579,100.21033,100.6979,5470162
2007-06-27,100.1434,100.83174,99.80879,100.7935,5652375
2007-06-28,100.87954,102.21797,100.59274,101.29063,5680721
2007-06-29,101.30019,101.89292,99.52199,100.62141,7341246
2007-07-02,100.75526,101.14722,99.98088,100.39197,4917560
