date,open,high,low,close,volume
2006-10-18,16.44,16.48,16.0,16.38,16060500
2006-10-19,16.28,16.33,16.01,16.31,9358000
2006-10-20,16.31,16.48,16.16,16.36,7047000
2006-10-23,16.36,16.76,16.19,16.48,11321500
2006-10-24,16.5,16.87,16.42,16.76,9915500
2006-10-25,16.81,17.030001,16.6,16.71,7313000
2006-10-26,16.67,17.33,16.65,17.13,6712500
2006-10-27,17.08,17.23,16.82,16.89,6543500
2006-10-30,16.77,16.87,16.26,16.43,7742000
2006-10-31,17.0,17.08,16.5,16.88,9998000
2006-11-01,16.98,17.49,16.87,16.98,11352000
2006-11-02,17.33,17.46,16.5,16.66,13449000
2006-11-03,16.66,16.82,16.28,16.35,6335000
2006-11-06,16.35,17.1,16.31,16.98,7164000
2006-11-07,17.22,17.84,17.14,17.42,13308500
2006-11-08,17.34,17.83,17.14,17.58,8238000
2006-11-09,17.69,17.92,16.69,16.7,15297500
2006-11-10,16.7,17.38,16.6,17.02,10233000
2006-11-13,16.92,17.75,16.91,17.7,9567500
2006-11-14,17.95,19.51,17.95,19.31,28859500
2006-11-15,19.28,19.46,18.66,19.13,20167000
2006-11-16,19.17,19.79,18.67,18.92,18001500
2006-11-17,18.78,21.08,18.78,20.24,62621500
2006-11-20,20.26,20.82,19.4,19.54,28042000
2006-11-21,19.52,20.32,19.12,20.22,17107500
2006-11-22,20.34,20.75,19.96,20.22,9818000
2006-11-24,20.17,21.0,19.9,20.82,8287000
2006-11-27,20.86,21.02,19.57,20.12,22040000
2006-11-28,20.12,20.66,19.93,20.16,16609000
2006-11-29,20.46,20.64,19.23,19.42,21491500
2006-11-30,19.5,19.93,19.4,19.65,14217000
2006-12-01,19.64,19.85,18.68,19.02,13159500
2006-12-04,18.9,19.85,18.7,19.8,14553500
2006-12-05,20.2,21.42,20.0,21.26,28706000
2006-12-06,21.19,21.23,20.48,21.0,15561000
2006-12-07,21.0,21.68,20.83,20.97,14494000
2006-12-08,20.9,21.75,20.6,21.62,13853000
2006-12-11,22.3,22.77,21.92,22.64,18778000
2006-12-12,22.7,22.76,21.77,22.0,22090000
2006-12-13,22.3,22.6,21.02,21.44,14862500
2006-12-14,21.49,21.7,20.62,20.76,17380000
2006-12-15,21.0,21.47,20.74,21.27,14993500
2006-12-18,21.3,22.030001,21.26,21.52,14018500
2006-12-19,21.01,22.049999,20.74,21.76,11447000
2006-12-20,21.9,22.14,21.44,22.0,10288500
2006-12-21,22.0,22.0,21.1,21.32,12860500
2006-12-22,21.2,21.49,20.76,20.85,7823000
2006-12-26,20.78,21.54,20.63,21.09,9528500
2006-12-27,21.12,21.47,20.94,21.39,5223000
2006-12-28,21.2,21.99,21.15,21.8,8226000
2006-12-29,21.62,21.91,21.38,21.58,11321000
2007-01-03,21.68,23.61,21.63,23.14,28149000
2007-01-04,23.14,24.28,22.83,24.2,19015500
2007-01-05,24.38,25.33,24.2,24.91,21985500
2007-01-08,25.07,25.55,24.49,25.14,16032500
2007-01-09,25.14,25.24,24.5,24.93,13874500
2007-01-10,24.87,27.22,24.6,27.049999,26278000
2007-01-11,27.049999,27.55,26.55,27.31,17059500
2007-01-12,26.86,27.1,26.25,26.95,16016000
2007-01-16,26.91,27.55,25.59,25.84,20354500
2007-01-17,25.51,26.79,25.5,26.64,19929500
2007-01-18,26.55,26.55,25.46,25.84,18923500
2007-01-19,25.46,25.8,24.81,25.38,18061500
2007-01-22,25.38,25.74,24.71,24.82,12592500
2007-01-23,24.82,26.059999,24.63,25.9,13824000
2007-01-24,26.17,27.4,26.049999,27.28,15428500
2007-01-25,27.62,28.1,26.16,26.35,20040000
2007-01-26,26.53,27.07,25.78,27.030001,17612000
2007-01-29,27.1,27.14,25.8,25.98,14781500
2007-01-30,25.52,26.48,25.42,26.29,14551500
