date,open,high,low,close,volume
2006-10-18,32.13333,32.42667,31.74,31.94667,159300
2006-10-19,31.93333,32.31333,31.62,31.90667,479850
2006-10-20,32.066666,32.10667,30.78667,31.54667,331350
2006-10-23,31.64,31.68,31.46667,31.54667,329850
2006-10-24,31.4,31.65333,31.34667,31.41333,391650
2006-10-25,31.41333,31.46667,31.21333,31.44,382350
2006-10-26,31.46,31.49333,31.22667,31.48667,310200
2006-10-27,31.4,31.64,31.16667,31.20667,163350
2006-10-30,31.16667,31.38667,31.12667,31.38,221850
2006-10-31,31.33333,31.40667,31.18667,31.26667,139950
2006-11-01,31.25333,31.5,31.17333,31.22667,222000
2006-11-02,31.16667,31.16667,30.66667,30.8,205050
2006-11-03,30.63333,30.83333,30.36,30.64,280200
2006-11-06,30.64667,30.84,30.58667,30.73333,327000
2006-11-07,30.74667,31.046667,30.56667,30.96667,456600
2006-11-08,30.9,31.3,30.82,31.22,145500
2006-11-09,31.15333,31.27333,30.99333,31.033333,285450
2006-11-10,31.12,31.19333,30.8,31.19333,221700
2006-11-13,31.19333,31.5,31.066668,31.46667,151950
2006-11-14,31.22,31.65333,31.16,31.63333,133650
2006-11-15,31.53333,31.94667,31.53333,31.86,131100
2006-11-16,32.0,32.0,31.60667,31.70667,139950
2006-11-17,31.70667,31.79333,31.50667,31.75333,130200
2006-11-20,31.75333,31.90667,31.60667,31.90667,178650
2006-11-21,31.83333,31.86667,31.64667,31.86667,172350
2006-11-22,31.93333,32.44,31.93333,32.44,449250
2006-11-24,32.36667,32.44667,32.12,32.32,267750
2006-11-27,32.23333,32.3,31.026667,31.093332,223200
2006-11-28,31.0,32.9,30.36667,32.28,1460850
2006-11-29,32.28667,32.57333,31.78667,31.99333,382350
2006-11-30,32.066666,32.13333,31.92,31.96667,629400
2006-12-01,31.83333,32.0066681,31.26667,31.66667,406350
2006-12-04,31.51333,31.88,31.29333,31.71333,443250
2006-12-05,31.84667,32.026669,31.59333,31.86667,148200
2006-12-06,31.90667,32.086666,31.79333,31.90667,107400
2006-12-07,32.066666,32.24,31.90667,32.16,218250
2006-12-08,32.16,32.26667,31.50667,31.91333,144600
2006-12-11,31.91333,31.91333,31.34667,31.36667,254400
2006-12-12,31.42,31.43333,31.040001,31.13333,279300
2006-12-13,31.12667,31.34667,31.059999,31.22667,257100
2006-12-14,31.3,31.40667,31.20667,31.29333,324450
2006-12-15,31.36667,31.54667,31.15333,31.36,307650
2006-12-18,31.36,31.53333,31.28,31.36,229500
2006-12-19,31.33333,31.42667,31.053333,31.36667,249150
2006-12-20,31.34,31.48,31.25333,31.37333,142800
2006-12-21,31.37333,31.46667,31.053333,31.17333,344550
2006-12-22,31.24,31.38667,30.64,30.96667,238650
2006-12-26,30.96667,31.33333,30.95333,31.30667,131400
2006-12-27,31.44,31.8,31.44,31.73333,157350
2006-12-28,31.76,31.93333,31.66667,31.89333,256950
2006-12-29,31.89333,32.026669,31.6,31.60667,206400
2007-01-03,31.73333,32.19333,31.33333,31.57333,432450
2007-01-04,31.56667,31.57333,31.10667,31.32,170400
2007-01-05,31.2,31.26,30.67333,30.74,305850
2007-01-08,30.74,30.80667,30.41333,30.8,278700
2007-01-09,30.8,31.1,30.57333,31.040001,265200
2007-01-10,30.91333,31.026667,30.7,30.92667,218400
2007-01-11,31.033333,31.43333,31.033333,31.26,177000
2007-01-12,31.28,31.64667,31.28,31.58,110250
2007-01-16,31.7,31.86667,31.62,31.84667,180150
2007-01-17,31.89333,32.12667,31.8,32.026669,114600
2007-01-18,32.026669,32.12667,31.69333,31.81333,221700
2007-01-19,32.14667,32.24,31.86667,32.18,249450
2007-01-22,32.28,32.28,31.83333,32.033333,169950
2007-01-23,32.066666,32.64,31.99333,32.54667,334050
2007-01-24,32.54667,32.63333,32.41333,32.57333,131700
2007-01-25,32.50667,32.6,32.17333,32.26667,149400
2007-01-26,32.26667,32.34667,31.93333,32.033333,241500
2007-01-29,31.96667,32.099998,31.86667,32.066666,358950
2007-01-30,33.56667,34.026669,32.44,33.96667,1903950
2007-01-31,33.96667,35.046665,33.96,34.6,824400
2007-02-01,34.60667,34.91333,34.0,34.78667,642900
2007-02-02,34.78,34.78,34.46667,34.65333,350100
2007-02-05,34.65333,34.66667,34.18,34.35333,413700
2007-02-06,34.25333,34.46,34.15333,34.46,241800
2007-02-07,34.59333,34.6,34.26,34.54667,284100
2007-02-08,34.54667,34.6,34.26667,34.46,550650
2007-02-09,34.46,34.46,33.82,33.99333,383850
2007-02-12,34.31333,34.43333,34.11333,34.18,397500
2007-02-13,34.24667,34.57333,34.046665,34.26667,453300
2007-02-14,34.42,34.6,34.34,34.52667,243150
2007-02-15,34.46667,34.66667,34.40667,34.60667,243750
2007-02-16,34.65333,34.87333,34.52,34.73333,349050
2007-02-20,34.66667,34.97333,34.47333,34.97333,210300
2007-02-21,34.97333,34.98,34.62,34.88,294000
2007-02-22,34.88,34.94667,34.76,34.89333,240600
2007-02-23,34.93333,35.093334,34.8,34.99333,228300
2007-02-26,35.066666,35.13333,34.97333,35.093334,518100
2007-02-27,35.0,35.0,34.6,34.66667,786750
2007-02-28,34.066666,35.26667,34.066666,34.67333,483750
2007-03-01,34.66667,34.66667,34.040001,34.18667,344700
2007-03-02,34.12,34.22,33.45333,33.45333,233850
2007-03-05,33.45333,33.45333,32.63333,32.76667,309900
2007-03-06,32.8,32.93333,32.66,32.76667,638700
2007-03-07,32.63333,32.93333,32.56667,32.77333,403800
2007-03-08,32.80667,33.24,32.80667,33.040001,257550
2007-03-09,33.17333,33.46,33.12,33.39333,285300
2007-03-12,33.41333,33.75333,33.3,33.64667,205950
