date,open,high,low,close,volume
2006-10-18,35.76,35.98,35.59,35.78,3171900
2006-10-19,35.4,35.76,35.18,35.42,2293800
2006-10-20,35.74,35.74,35.14,35.27,3027900
2006-10-23,34.11,35.14,34.049999,34.85,3225700
2006-10-24,34.95,35.099998,34.26,34.58,3886300
2006-10-25,34.48,34.76,34.15,34.66,2307300
2006-10-26,34.73,35.2,33.78,35.02,3034300
2006-10-27,34.85,35.14,34.040001,34.43,2400700
2006-10-30,34.54,35.22,34.060001,35.07,3000300
2006-10-31,35.23,35.42,34.71,35.3,2015500
2006-11-01,35.41,35.44,34.33,34.54,1918800
2006-11-02,34.57,34.82,34.33,34.51,1714800
2006-11-03,34.42,35.0,33.99,34.13,2230000
2006-11-06,34.34,35.29,34.31,35.18,2163000
2006-11-07,35.13,35.18,34.2,34.36,2633800
2006-11-08,34.57,34.68,34.0,34.44,2428400
2006-11-09,34.53,34.6,33.83,33.87,2219800
2006-11-10,34.09,34.35,33.78,34.28,1863000
2006-11-13,34.36,34.59,33.9,34.2,2120600
2006-11-14,34.099998,34.68,33.72,34.51,2386000
2006-11-15,34.58,34.74,34.22,34.41,2517700
2006-11-16,34.69,34.94,34.32,34.81,2489000
2006-11-17,33.73,33.96,32.040001,32.46,7064700
2006-11-20,32.25,32.29,31.52,31.93,4049300
2006-11-21,31.9,32.15,31.44,31.75,3224200
2006-11-22,31.6,31.68,30.95,31.55,3311300
2006-11-24,31.4,32.19,31.26,31.79,912300
2006-11-27,31.63,32.21,31.54,31.83,3473500
2006-11-28,31.91,31.91,31.57,31.62,3099100
2006-11-29,31.89,31.96,31.32,31.89,1948300
2006-11-30,31.27,31.95,31.27,31.52,3249800
2006-12-01,31.59,31.67,30.24,30.82,3535700
2006-12-04,30.98,31.54,30.71,31.36,2736800
2006-12-05,31.3,31.37,30.88,31.11,2903800
2006-12-06,31.049999,31.46,30.94,31.32,2292500
2006-12-07,31.31,31.69,30.66,30.83,4148300
2006-12-08,30.59,31.2,30.25,30.85,3064900
2006-12-11,30.85,31.33,30.63,30.85,2271100
2006-12-12,30.84,30.98,30.34,30.59,2423200
2006-12-13,30.81,31.09,30.55,31.030001,2634100
2006-12-14,31.19,31.84,31.12,31.45,2595700
2006-12-15,31.64,32.11,31.37,31.51,4718500
2006-12-18,31.52,31.65,30.62,30.77,2960100
2006-12-19,30.63,30.77,29.9,30.69,2986600
2006-12-20,30.65,30.97,30.41,30.55,2172900
2006-12-21,30.53,30.78,30.42,30.64,2232100
2006-12-22,30.73,30.73,30.11,30.3,1790700
2006-12-26,30.17,30.36,30.02,30.32,1594600
2006-12-27,30.73,30.99,30.52,30.78,1486800
2006-12-28,30.71,30.75,30.3,30.44,1405400
