date,open,high,low,close,volume
2006-10-18,12.034444,12.13556,11.84,11.92444,7771500
2006-10-19,11.87889,12.094444,11.86222,12.022222,2826900
2006-10-20,11.99889,12.07,11.89556,11.97,4085100
2006-10-23,11.91,12.28333,11.78333,12.26444,5960700
2006-10-24,12.22667,12.26444,12.0,12.11778,4069800
2006-10-25,12.16778,12.16778,11.9,11.91889,6498000
2006-10-26,12.045556,12.48111,11.92,12.46222,30265200
2006-10-27,11.47111,11.82667,11.037778,11.18667,48444300
2006-10-30,11.065556,11.28222,10.82222,11.18889,13382100
2006-10-31,11.18222,11.20889,10.97111,11.02,8199000
2006-11-01,11.0,11.13333,10.76333,10.79444,9426600
2006-11-02,10.75889,10.96667,10.74667,10.79556,4605300
2006-11-03,10.78222,10.82889,10.62667,10.73333,5955300
2006-11-06,10.74667,11.22222,10.74667,11.094444,10641600
2006-11-07,11.11556,11.31,10.89889,10.97556,7566300
2006-11-08,10.88889,11.055556,10.81778,10.87778,6941700
2006-11-09,10.83333,10.88333,10.70222,10.71889,6883200
2006-11-10,10.71889,10.87778,10.66667,10.81667,6777000
2006-11-13,10.70444,10.78667,10.53333,10.58,11021400
2006-11-14,10.59333,10.65556,10.50556,10.58333,7709400
2006-11-15,10.55444,10.67778,10.47222,10.57778,10620000
2006-11-16,10.64111,10.65111,10.46,10.53333,8429400
2006-11-17,10.47444,10.67778,10.43556,10.64333,12895200
2006-11-20,10.68556,11.32556,10.68556,11.05,20818800
2006-11-21,11.077778,11.10444,10.89778,10.98889,6294600
2006-11-22,11.038889,11.038889,10.78778,10.91,4816800
2006-11-24,10.86111,11.024444,10.77889,11.0066671,2039400
2006-11-27,11.17889,11.33333,10.96667,11.025556,9748800
2006-11-28,11.015556,11.5,10.96333,11.42222,12299400
2006-11-29,11.43333,11.62,11.13889,11.35889,8193600
2006-11-30,11.36,11.39222,11.15778,11.29111,4428900
2006-12-01,11.32222,11.34778,11.092222,11.28333,5881500
2006-12-04,11.28444,11.5,11.24556,11.36556,5143500
2006-12-05,11.43111,11.43111,11.26222,11.30556,4738500
2006-12-06,11.31111,11.56333,11.28,11.54111,6889500
2006-12-07,11.60444,11.83222,11.47444,11.71222,7922700
2006-12-08,11.70444,11.88667,11.63889,11.66333,7830000
2006-12-11,11.73,11.94444,11.70556,11.83111,5665500
2006-12-12,11.8,11.91111,11.65222,11.74,5644800
2006-12-13,11.75444,11.78111,11.48556,11.54444,7372800
2006-12-14,11.52889,11.74222,11.48111,11.52111,4741200
2006-12-15,11.58,11.72222,11.45222,11.54111,6817500
2006-12-18,11.60889,11.66667,11.32667,11.33889,5301900
2006-12-19,11.29889,11.33333,11.12889,11.27778,6508800
2006-12-20,11.28,11.34667,11.14333,11.16,4723200
2006-12-21,11.15333,11.2,10.97444,10.99556,6795900
2006-12-22,11.0,11.082222,10.75889,10.78,7618500
2006-12-26,10.78,10.80111,10.69556,10.71778,4815000
2006-12-27,10.78111,10.94444,10.72667,10.77667,5679900
2006-12-28,10.72222,10.79444,10.67667,10.74778,5482800
2006-12-29,10.73333,10.83,10.62667,10.65556,4241700
2007-01-03,10.78222,10.87667,10.33667,10.49778,8607600
2007-01-04,10.46333,10.65444,10.46111,10.57778,6482700
2007-01-05,10.56444,10.65889,10.39111,10.45333,8811000
2007-01-08,10.40778,10.43444,10.09,10.13333,14720400
2007-01-09,10.11556,10.22667,9.86556,9.93,14281200
2007-01-10,9.88889,9.92333,9.63111,9.67889,17465400
2007-01-11,9.64444,10.16778,9.57778,10.13778,16528500
2007-01-12,10.21333,10.53222,10.21333,10.44778,15317100
2007-01-16,10.52444,10.52444,10.31222,10.34556,7204500
2007-01-17,10.32889,10.55556,10.29111,10.52778,9243000
2007-01-18,10.53111,10.58444,10.37111,10.39556,8506800
2007-01-19,10.36667,10.44333,10.30667,10.37889,6073200
2007-01-22,10.52222,10.83,10.45889,10.78667,10731600
2007-01-23,10.78778,10.97889,10.71111,10.84444,8095500
2007-01-24,10.86667,10.88889,10.71889,10.76222,4689900
2007-01-25,10.76222,10.76333,10.48889,10.57333,5552100
2007-01-26,10.59222,10.64667,10.41444,10.55333,5084100
2007-01-29,10.59222,10.85333,10.51,10.83556,5310000
2007-01-30,10.78444,10.93889,10.60444,10.91111,10637100
2007-01-31,10.91556,11.021111,10.73889,10.93444,7117200
2007-02-01,11.015556,11.095556,10.93111,11.035556,19988100
2007-02-02,12.77778,13.10778,12.61556,12.97444,44829900
2007-02-05,12.89556,13.0,12.69778,12.76111,11394900
2007-02-06,12.72667,12.92222,12.63889,12.83333,8338500
2007-02-07,12.79333,12.96778,12.59667,12.72556,8591400
2007-02-08,12.70778,12.80111,12.56,12.72444,4354200
2007-02-09,12.68444,12.83333,12.31667,12.45111,8560800
2007-02-12,12.44889,12.63333,12.24667,12.61111,6930900
2007-02-13,12.57222,12.71667,12.44444,12.57778,5373900
2007-02-14,12.53889,12.77778,12.53778,12.64889,5084100
2007-02-15,12.64333,12.69889,12.46444,12.51778,5684400
2007-02-16,12.46778,12.72222,12.46333,12.71222,5598900
2007-02-20,12.71889,12.85,12.63889,12.77778,5540400
2007-02-21,12.75889,12.93667,12.72222,12.76444,4822200
2007-02-22,12.77778,12.79111,12.52222,12.63222,3858300
2007-02-23,12.63,12.65,12.48778,12.56444,3895200
2007-02-26,12.65667,12.71111,12.38889,12.58333,3895200
2007-02-27,12.39778,12.44,12.13333,12.16778,7671600
2007-02-28,12.17556,12.40333,11.91111,12.34444,8858700
2007-03-01,12.12,12.22222,11.83889,12.11111,8492400
2007-03-02,12.11,12.16556,11.92222,11.94667,5165100
2007-03-05,11.77889,11.94444,11.56333,11.58111,8264700
