date,open,high,low,close,volume
2006-10-18,18.53,18.99,18.52,18.76,889000
2006-10-19,18.82,19.059999,18.66,18.99,389600
2006-10-20,19.09,19.11,18.7,19.059999,628400
2006-10-23,18.94,19.24,18.84,19.01,814300
2006-10-24,18.93,19.0,18.81,18.96,654300
2006-10-25,18.91,19.21,18.63,18.76,442600
2006-10-26,18.85,18.85,18.44,18.72,759700
2006-10-27,18.6,18.71,18.27,18.34,408700
2006-10-30,18.4,18.67,18.11,18.55,497100
2006-10-31,18.64,19.59,18.17,18.6,1001400
2006-11-01,18.95,19.16,18.7,18.91,1086700
2006-11-02,18.55,18.79,18.5,18.63,745100
2006-11-03,18.61,18.88,18.56,18.78,470600
2006-11-06,18.75,19.0,18.72,18.9,438900
2006-11-07,18.69,19.11,18.69,18.96,525600
2006-11-08,18.75,19.39,18.75,19.25,560600
2006-11-09,19.28,19.37,19.15,19.3,336900
2006-11-10,19.18,19.48,19.18,19.45,391700
2006-11-13,19.5,19.79,19.45,19.7,664700
2006-11-14,19.65,19.91,19.5,19.91,550900
2006-11-15,19.82,20.21,19.71,20.21,777200
2006-11-16,19.95,20.27,19.95,20.2,1156600
2006-11-17,20.11,20.3,20.0,20.19,556200
2006-11-20,20.059999,20.1,19.7,19.81,868100
2006-11-21,19.75,19.83,19.6,19.74,360100
2006-11-22,19.7,19.75,19.53,19.7,333300
2006-11-24,19.35,19.62,19.33,19.5,447300
2006-11-27,19.38,19.49,18.53,18.63,1385200
2006-11-28,18.38,18.98,18.38,18.7,1072600
2006-11-29,18.83,19.55,18.83,19.41,1388900
2006-11-30,19.3,19.5,19.14,19.28,787200
2006-12-01,19.15,19.38,18.93,19.27,513500
2006-12-04,19.23,19.56,19.23,19.45,497100
2006-12-05,19.32,19.68,19.27,19.65,375300
2006-12-06,19.62,20.059999,19.45,19.91,828300
2006-12-07,20.19,21.4,20.19,20.75,1397300
2006-12-08,20.4,20.78,20.3,20.59,603800
2006-12-11,20.58,20.76,20.45,20.63,257000
2006-12-12,20.43,20.44,19.82,19.97,728200
2006-12-13,20.040001,20.35,20.030001,20.31,186500
2006-12-14,20.29,20.75,20.28,20.48,262800
2006-12-15,20.49,20.75,20.11,20.17,640000
2006-12-18,20.1,20.29,19.78,19.85,328900
2006-12-19,19.77,20.040001,19.65,19.92,305700
2006-12-20,19.98,20.049999,19.8,19.92,218900
2006-12-21,19.95,20.12,19.68,19.86,197500
2006-12-22,19.82,19.94,19.6,19.74,248800
2006-12-26,19.6,19.93,19.45,19.86,254000
2006-12-27,20.0,20.37,20.0,20.31,338100
2006-12-28,20.24,20.32,19.94,19.95,432500
2006-12-29,19.95,20.15,19.75,19.79,279000
2007-01-03,19.92,20.37,19.92,20.32,922600
2007-01-04,20.35,20.77,20.0,20.7,615100
2007-01-05,19.92,20.67,19.92,20.38,333100
2007-01-08,20.2,20.31,19.9,20.29,394100
2007-01-09,20.25,20.53,20.23,20.49,273900
2007-01-10,20.36,20.7,20.26,20.63,237000
2007-01-11,20.73,21.09,20.64,20.9,238000
2007-01-12,20.86,21.11,20.81,21.030001,230100
2007-01-16,21.13,21.38,21.030001,21.17,513600
2007-01-17,21.17,21.33,20.94,21.12,394900
2007-01-18,21.11,21.12,20.64,20.7,214400
2007-01-19,20.59,20.65,20.3,20.58,170400
2007-01-22,20.62,20.73,20.35,20.63,166900
2007-01-23,20.6,21.07,20.39,20.76,344000
2007-01-24,20.95,21.27,20.88,21.13,428400
2007-01-25,21.13,21.25,20.86,21.07,350800
2007-01-26,21.059999,21.42,21.0,21.33,272200
