date,open,high,low,close,volume
2006-10-18,47.7,48.94,46.9,47.22,7830200
2006-10-19,46.35,47.12,46.099998,46.59,4458500
2006-10-20,46.25,46.51,45.75,46.34,4345300
2006-10-23,46.32,47.14,46.26,47.0,2844700
2006-10-24,47.0,47.24,46.9,46.96,2691400
2006-10-25,47.12,47.12,46.5,46.7,2679000
2006-10-26,47.0,47.62,46.54,47.51,2997200
2006-10-27,47.080002,47.24,46.5,47.029999,2128600
2006-10-30,46.75,47.95,46.6,47.93,4040100
2006-10-31,47.89,48.25,47.58,47.93,4299200
2006-11-01,48.0,48.060001,47.49,47.76,3334200
2006-11-02,47.5,47.64,47.02,47.15,2981900
2006-11-03,47.4,47.53,46.67,46.76,1491400
2006-11-06,46.72,47.19,46.56,47.15,2731200
2006-11-07,47.39,47.8,47.19,47.64,3161500
2006-11-08,47.53,48.080002,47.37,47.92,1531800
2006-11-09,47.8,47.9,46.96,47.0099983,2614200
2006-11-10,47.0099983,47.13,46.51,46.84,2292200
2006-11-13,46.86,47.35,46.73,47.049999,1486800
2006-11-14,47.049999,47.080002,46.53,46.99,1693700
2006-11-15,47.11,47.47,46.9,47.23,2795400
2006-11-16,47.49,47.49,46.95,47.23,1889000
2006-11-17,47.0,47.25,46.82,47.07,2461800
2006-11-20,47.85,47.85,46.45,46.5,1918000
2006-11-21,46.4,47.25,46.24,47.0,3752800
2006-11-22,47.060001,47.58,46.93,47.57,1878400
2006-11-24,47.23,47.85,47.07,47.39,894100
2006-11-27,47.22,47.28,46.71,46.92,2543500
2006-11-28,46.72,46.84,46.35,46.71,2262200
2006-11-29,46.88,47.16,46.69,47.09,1368200
2006-11-30,46.97,47.55,46.82,47.2,1670600
2006-12-01,47.2,47.35,46.39,46.83,2501800
2006-12-04,46.7,47.53,46.26,47.27,3233300
2006-12-05,47.11,47.81,47.07,47.46,2241800
2006-12-06,47.71,48.0,47.19,47.36,3342600
2006-12-07,47.5,47.8,47.25,47.29,1538500
2006-12-08,47.24,47.74,47.2,47.53,1426600
2006-12-11,47.44,47.5,46.62,46.73,1728000
2006-12-12,46.52,46.95,46.35,46.83,1860200
2006-12-13,47.0099983,47.25,46.22,46.65,1930400
2006-12-14,46.58,48.09,46.45,47.92,4177600
2006-12-15,47.43,47.43,46.11,46.8,8531000
2006-12-18,47.0,47.24,46.86,47.24,3245000
2006-12-19,46.78,47.11,46.49,46.97,2656500
2006-12-20,46.63,47.15,46.48,46.66,2235500
2006-12-21,46.66,46.77,46.0099983,46.24,2592300
2006-12-22,46.3,46.45,45.93,46.099998,1926100
2006-12-26,46.099998,46.37,46.049999,46.25,1236700
2006-12-27,46.14,46.73,46.14,46.62,1710600
2006-12-28,46.45,46.74,46.42,46.54,1599100
2006-12-29,46.38,46.41,46.12,46.19,1302000
2007-01-03,46.37,46.98,45.69,45.89,2301200
2007-01-04,45.6,46.28,45.6,46.17,2493700
2007-01-05,45.96,46.28,45.68,46.0,2337500
2007-01-08,46.099998,46.33,45.78,46.17,1832600
2007-01-09,46.41,46.55,46.029999,46.52,1692000
2007-01-10,46.22,46.87,46.029999,46.8,2727400
2007-01-11,46.78,47.55,46.67,47.48,2344000
2007-01-12,47.28,47.56,46.88,47.55,1506200
2007-01-16,47.6,47.76,47.0099983,47.75,3062800
2007-01-17,47.9,48.3,47.39,47.58,3883000
2007-01-18,48.37,48.37,47.34,47.41,1695700
2007-01-19,47.45,47.71,47.35,47.48,2131900
2007-01-22,47.32,47.55,46.45,47.049999,4815600
2007-01-23,47.0,47.56,47.0,47.47,2665000
2007-01-24,47.43,47.66,47.19,47.43,2005800
2007-01-25,47.51,47.87,46.85,47.080002,2353600
2007-01-26,47.099998,47.2,46.7,46.95,4404000
2007-01-29,46.75,47.07,46.61,46.91,3522700
2007-01-30,48.31,50.95,47.82,50.15,6925600
2007-01-31,49.37,51.2,48.52,50.99,4702900
2007-02-01,50.9,51.9,50.82,51.8,3299300
2007-02-02,51.63,51.67,51.16,51.48,2448600
2007-02-05,51.31,51.81,51.18,51.72,2193100
2007-02-06,51.75,51.93,51.7,51.9,2892800
2007-02-07,52.0,52.09,51.8,52.0,1330400
2007-02-08,52.0099983,52.14,51.68,51.75,1482400
2007-02-09,52.0,52.099998,51.099998,51.33,1606700
2007-02-12,51.25,51.75,51.25,51.66,1848600
2007-02-13,52.0,52.56,51.89,51.95,2483700
2007-02-14,52.049999,52.93,52.02,52.77,1762800
2007-02-15,52.57,53.2,52.57,53.080002,1869900
2007-02-16,52.87,53.14,52.36,52.55,1718400
2007-02-20,52.61,53.5,52.52,53.33,1851800
2007-02-21,53.060001,53.47,52.55,53.43,1127100
2007-02-22,53.3,53.65,52.59,52.86,1466700
2007-02-23,52.85,52.94,52.43,52.77,1159000
2007-02-26,52.75,53.040001,52.41,52.6,1305700
2007-02-27,51.98,52.07,50.82,51.39,2703200
2007-02-28,51.47,52.35,51.21,51.64,3195500
2007-03-01,50.8,51.77,50.73,51.53,3382900
2007-03-02,52.38,52.38,50.86,50.9,1823900
2007-03-05,50.3,51.34,50.14,50.21,2096000
2007-03-06,50.7,50.87,50.2,50.53,3004300
2007-03-07,50.37,51.23,50.31,50.78,1751400
2007-03-08,51.11,51.53,50.67,51.14,2149100
2007-03-09,51.62,51.68,50.68,50.88,1790900
2007-03-12,50.77,51.27,50.4,50.98,1472000
2007-03-13,50.57,50.75,49.51,49.64,2396200
2007-03-14,50.2,50.65,48.74,49.5,3819000
2007-03-15,49.5,50.22,49.15,49.93,2074800
2007-03-16,50.02,50.66,50.02,50.41,2824500
2007-03-19,50.9,51.41,50.9,51.27,2876300
2007-03-20,51.15,51.35,51.02,51.2,2619400
2007-03-21,51.15,52.84,51.099998,52.6,2412500
2007-03-22,52.54,52.86,52.28,52.66,1929100
2007-03-23,52.45,53.02,52.36,52.87,1416900
2007-03-26,52.69,52.95,51.85,52.45,1640000
2007-03-27,52.080002,52.25,51.22,52.040001,2041400
2007-03-28,51.7,51.78,51.0,51.35,2166500
2007-03-29,51.82,52.040001,51.18,51.56,1706300
2007-03-30,51.56,52.080002,51.040001,51.6,1490200
2007-04-02,51.54,51.87,51.24,51.76,906900
2007-04-03,52.0,52.34,51.92,52.2,1173800
2007-04-04,52.26,52.54,52.16,52.43,952900
2007-04-05,52.2,52.5,51.92,52.32,1632400
2007-04-09,52.5,52.73,52.32,52.49,1246400
2007-04-10,52.67,52.94,52.49,52.8,1503100
2007-04-11,52.9,52.91,52.0,52.21,1617300
2007-04-12,52.28,52.29,51.63,51.83,2414100
2007-04-13,52.66,52.66,51.54,52.27,2666700
2007-04-16,52.5,53.029999,52.32,53.029999,1713300
2007-04-17,53.28,53.56,52.81,53.56,1803000
2007-04-18,53.0,53.0,50.51,51.76,5590000
2007-04-19,52.77,52.77,50.99,51.31,4761100
2007-04-20,51.91,52.39,51.38,51.68,3934100
2007-04-23,51.9,52.27,51.62,51.62,2363300
2007-04-24,51.81,51.94,51.23,51.38,2330900
2007-04-25,51.58,51.77,51.09,51.67,2539100
2007-04-26,50.82,51.79,50.82,51.46,2312400
2007-04-27,51.43,52.24,51.31,51.96,2076500
2007-04-30,52.049999,52.049999,51.25,51.31,1565000
2007-05-01,51.64,51.76,51.13,51.51,1655400
2007-05-02,51.72,52.61,51.68,52.42,2413200
2007-05-03,52.61,52.84,52.36,52.6,1459900
2007-05-04,52.85,53.099998,52.4,52.99,2111000
2007-05-07,53.8,53.8,52.5,52.72,1041800
2007-05-08,52.26,52.6,52.060001,52.6,1317400
2007-05-09,52.61,52.78,52.25,52.67,1571500
2007-05-10,52.25,52.49,51.77,51.91,1945100
2007-05-11,52.24,52.35,51.85,52.33,1404200
2007-05-14,52.25,52.6,52.099998,52.38,1611400
2007-05-15,52.3,52.96,51.97,51.98,1541400
2007-05-16,52.049999,52.26,51.64,51.95,1680700
2007-05-17,51.7,51.74,51.24,51.6,1562500
2007-05-18,51.7,51.83,51.3,51.43,2120800
2007-05-21,51.11,51.96,51.11,51.96,3522200
2007-05-22,51.79,55.14,51.13,53.72,7987800
2007-05-23,53.96,54.0,52.99,53.24,3113000
2007-05-24,53.61,54.0,52.41,52.46,2142100
2007-05-25,52.040001,52.9,52.040001,52.72,961100
2007-05-29,52.49,52.78,52.26,52.75,2554000
2007-05-30,52.64,53.16,52.43,52.8,3864600
2007-05-31,52.65,53.0099983,52.43,52.72,2560500
2007-06-01,52.75,53.080002,52.45,52.58,1816300
2007-06-04,52.24,52.47,51.99,52.3,1508000
2007-06-05,51.8,51.89,51.32,51.65,2859200
2007-06-06,51.36,51.82,51.15,51.71,3020300
2007-06-07,51.33,51.79,51.13,51.25,2871700
2007-06-08,51.46,52.02,51.42,52.02,2375100
2007-06-11,51.97,52.89,51.83,52.54,2224800
2007-06-12,52.15,53.45,52.049999,52.85,3073100
2007-06-13,54.5,55.45,54.13,55.35,5357900
2007-06-14,54.75,55.77,54.5,55.57,3065300
2007-06-15,56.0,56.09,55.049999,55.36,4263700
2007-06-18,55.61,55.86,55.0,55.32,2601000
2007-06-19,55.0099983,55.5,54.74,55.42,1544600
2007-06-20,55.8,56.7,55.040001,55.43,3181800
2007-06-21,55.040001,56.14,55.0,55.85,1893100
2007-06-22,55.7,56.11,55.07,55.12,2134000
2007-06-25,55.12,55.93,54.79,54.88,1591500
2007-06-26,54.9,55.16,54.02,54.15,1920700
2007-06-27,53.55,54.85,53.5,54.85,1790400
2007-06-28,55.09,55.59,54.37,54.45,1272300
2007-06-29,54.42,54.42,53.51,54.19,3081700
2007-07-02,54.61,55.66,54.41,55.61,1972500
2007-07-03,55.6,55.87,55.49,55.73,866000
2007-07-05,55.59,55.82,55.0099983,55.54,1152100
2007-07-06,55.63,56.19,55.099998,55.81,2623700
2007-07-09,56.51,56.99,56.36,56.7,2520300
2007-07-10,56.24,56.44,55.25,55.3,2281800
2007-07-11,55.35,56.34,55.3,56.27,1553500
2007-07-12,56.5,57.54,56.27,57.46,1769200
2007-07-13,57.32,58.11,57.060001,57.91,1828000
2007-07-16,57.68,58.32,57.53,58.0099983,1312400
2007-07-17,58.23,58.52,57.73,58.16,1482000
2007-07-18,58.0,58.19,57.26,57.9,2376800
2007-07-19,58.02,58.59,57.060001,57.79,3337600
2007-07-20,57.16,57.65,56.14,57.09,2911700
2007-07-23,57.7,57.79,56.85,57.07,1731400
2007-07-24,56.7,57.16,56.16,56.73,2861700
2007-07-25,56.14,57.060001,55.5,56.17,2254700
2007-07-26,55.5,56.23,54.87,55.52,3308600
2007-07-27,55.31,55.65,54.59,54.64,2597100
2007-07-30,53.89,55.59,53.89,55.29,2416500
2007-07-31,54.51,56.0099983,54.51,55.049999,3355200
2007-08-01,55.029999,56.09,54.97,56.02,3413300
2007-08-02,56.28,56.38,55.46,56.080002,1872800
2007-08-03,56.080002,56.25,54.69,54.76,2485400
2007-08-06,55.099998,55.22,54.099998,55.22,3265400
2007-08-07,54.85,55.35,54.21,54.88,2708100
2007-08-08,54.91,55.57,54.46,55.48,2569400
2007-08-09,54.35,55.56,53.41,54.26,3431900
2007-08-10,53.9,54.96,53.11,54.63,2992900
2007-08-13,55.0,55.19,53.73,54.13,2329800
2007-08-14,53.94,54.23,53.43,53.72,1698800
2007-08-15,52.25,54.09,51.8,51.89,2341100
2007-08-16,51.63,52.9,50.58,52.6,3271800
2007-08-17,53.98,54.25,52.48,52.87,3827000
2007-08-20,52.9,54.73,52.62,54.6,2367800
2007-08-21,55.2,55.52,54.2,54.89,1920400
2007-08-22,55.029999,57.67,55.029999,57.44,3394500
