date,open,high,low,close,volume
2006-10-18,23.14,23.28,22.78,22.87,425200
2006-10-19,22.81,22.89,22.7,22.8,245800
2006-10-20,23.24,23.36,23.16,23.32,602800
2006-10-23,23.2,23.63,23.07,23.57,1046700
2006-10-24,23.71,23.73,23.51,23.7,435000
2006-10-25,22.1,22.75,22.049999,22.65,1719900
2006-10-26,22.78,23.0,22.65,22.97,579000
2006-10-27,22.72,23.13,22.71,22.97,438600
2006-10-30,22.68,22.92,22.65,22.86,410000
2006-10-31,22.93,23.059999,22.87,22.98,124300
2006-11-01,23.19,23.39,22.9,22.91,151200
2006-11-02,22.69,22.71,22.48,22.57,731200
2006-11-03,22.73,22.84,22.5,22.65,175500
2006-11-06,23.16,23.18,22.94,23.059999,198600
2006-11-07,22.91,23.5,22.91,23.26,831000
2006-11-08,23.01,23.23,22.97,23.19,467200
2006-11-09,22.73,22.88,22.3,22.39,2006000
2006-11-10,22.57,22.95,22.52,22.83,745900
2006-11-13,22.85,23.13,22.85,23.08,539200
2006-11-14,23.030001,23.1,22.78,23.01,461200
2006-11-15,22.83,23.21,22.83,23.11,334700
2006-11-16,22.98,23.16,22.98,23.09,193600
2006-11-17,22.8,22.91,22.72,22.8,439500
2006-11-20,22.6,22.66,22.45,22.47,1069800
2006-11-21,22.36,22.44,22.27,22.41,327900
2006-11-22,22.5,22.57,22.44,22.56,539400
2006-11-24,21.7,21.7,21.47,21.59,552700
2006-11-27,21.64,21.66,21.1,21.16,569500
2006-11-28,21.77,21.91,21.64,21.86,466000
2006-11-29,21.8,21.8,21.46,21.6,397900
2006-11-30,21.6,21.72,21.5,21.63,167600
2006-12-01,21.55,21.66,21.17,21.49,331000
2006-12-04,21.46,21.69,21.43,21.64,240000
2006-12-05,21.73,21.91,21.7,21.91,255700
2006-12-06,21.86,21.95,21.53,21.84,538600
2006-12-07,22.049999,22.13,21.89,21.89,377900
2006-12-08,22.25,22.36,22.11,22.15,158700
2006-12-11,21.99,22.37,21.99,22.26,510700
2006-12-12,22.26,22.28,22.09,22.22,204400
2006-12-13,22.7,22.78,22.49,22.68,259100
2006-12-14,22.68,22.91,22.67,22.83,164500
2006-12-15,22.77,22.77,22.45,22.51,133700
2006-12-18,22.42,22.5,22.29,22.47,329400
2006-12-19,22.73,22.96,22.65,22.93,188200
2006-12-20,22.72,22.75,22.51,22.58,187200
2006-12-21,22.65,22.78,22.54,22.6,92900
2006-12-22,22.6,22.78,22.47,22.59,164800
2006-12-26,22.75,22.8,22.53,22.66,117900
2006-12-27,22.95,23.09,22.91,23.059999,173700
2006-12-28,23.15,23.18,23.01,23.13,478700
