date,open,high,low,close,volume
2006-10-18,21.78,22.1,20.97,21.4,3296800
2006-10-19,21.23,21.93,21.23,21.7,1596500
2006-10-20,21.8,21.8,21.22,21.49,1188600
2006-10-23,21.37,21.86,20.86,21.52,2038900
2006-10-24,21.35,21.83,21.1,21.83,2317700
2006-10-25,21.74,22.049999,21.54,21.81,1891300
2006-10-26,21.85,21.95,21.38,21.64,1680100
2006-10-27,21.5,21.76,21.27,21.4,1581800
2006-10-30,21.35,21.98,21.21,21.9,1803800
2006-10-31,21.97,22.38,21.49,21.64,1892500
2006-11-01,21.71,22.07,21.34,21.39,1346100
2006-11-02,21.28,21.37,20.74,21.07,1488100
2006-11-03,21.12,21.36,20.88,21.0,1169300
2006-11-06,21.9,22.14,21.38,21.74,4091000
2006-11-07,21.66,21.76,21.48,21.63,1648400
2006-11-08,21.62,21.83,21.34,21.83,1940400
2006-11-09,21.83,21.83,21.45,21.56,1672100
2006-11-10,21.64,22.39,21.46,22.34,2427400
2006-11-13,22.39,22.48,22.15,22.34,1128300
2006-11-14,22.31,22.47,22.049999,22.45,1026500
2006-11-15,22.37,22.65,22.22,22.34,2200400
2006-11-16,22.5,22.71,22.21,22.5,1486900
2006-11-17,22.59,22.59,22.07,22.19,1403300
2006-11-20,22.16,22.16,21.69,21.84,1634600
2006-11-21,21.79,21.93,21.55,21.63,1470000
2006-11-22,21.52,21.87,21.43,21.69,1061100
2006-11-24,21.58,21.69,21.46,21.69,379000
2006-11-27,21.75,22.08,21.7,21.83,1513400
2006-11-28,21.84,21.85,21.55,21.73,1347100
2006-11-29,21.77,21.82,21.54,21.74,1489300
2006-11-30,21.69,21.99,21.57,21.87,1287300
2006-12-01,21.95,22.01,21.33,21.5,1608500
2006-12-04,21.59,21.59,21.040001,21.24,2480500
2006-12-05,21.25,21.61,21.11,21.46,1522000
2006-12-06,21.49,21.63,21.32,21.44,716000
2006-12-07,21.4,22.25,21.18,22.059999,3804300
2006-12-08,21.98,22.57,21.93,22.15,1956900
2006-12-11,22.11,22.2,21.89,21.95,1417900
2006-12-12,22.049999,22.059999,21.42,21.55,1876300
2006-12-13,21.65,21.72,20.88,21.01,3340500
2006-12-14,20.92,21.52,20.82,21.3,2135200
2006-12-15,21.030001,21.93,20.98,21.49,2617200
2006-12-18,21.5,21.57,21.0,21.28,1666100
2006-12-19,21.18,21.33,20.97,21.19,1374100
2006-12-20,21.15,21.29,20.91,21.18,2067300
2006-12-21,21.18,21.24,20.9,20.96,1277900
2006-12-22,20.94,20.99,20.62,20.76,989400
2006-12-26,20.69,21.01,20.6,21.0,547600
2006-12-27,21.07,21.37,20.94,21.18,668800
2006-12-28,21.14,21.15,20.9,20.96,1081500
2006-12-29,20.87,21.01,20.65,20.77,1166300
2007-01-03,21.68,22.8,21.55,22.42,4251000
2007-01-04,22.33,23.26,22.33,23.15,2838000
2007-01-05,23.0,23.13,22.49,22.67,1902300
2007-01-08,22.75,22.94,22.47,22.78,1522200
2007-01-09,22.81,23.54,22.78,23.43,2158600
2007-01-10,23.43,23.43,23.059999,23.2,1345500
2007-01-11,23.25,23.53,22.87,22.96,2564700
2007-01-12,23.030001,23.61,22.97,23.61,1541600
2007-01-16,23.71,23.95,23.48,23.84,1060800
2007-01-17,23.85,24.030001,23.69,23.88,1277400
2007-01-18,23.81,23.93,23.76,23.88,2033000
2007-01-19,24.01,24.18,23.81,24.01,1240400
