date,open,high,low,close,volume
2006-10-18,29.97,30.2,29.66,29.85,2098000
2006-10-19,29.86,30.1,29.6,29.78,2151700
2006-10-20,29.78,29.83,29.51,29.6,999100
2006-10-23,29.5,29.5,28.81,28.97,1480300
2006-10-24,28.92,29.24,28.85,29.08,1015000
2006-10-25,29.1,29.53,28.85,29.31,877400
2006-10-26,29.4,29.5,28.94,29.45,701800
2006-10-27,29.4,29.4,28.57,28.71,1008900
2006-10-30,28.57,28.97,28.54,28.67,817500
2006-10-31,28.69,29.3,28.54,28.71,1138400
2006-11-01,28.8,29.55,28.61,29.01,1751900
2006-11-02,28.89,28.93,28.45,28.56,1395900
2006-11-03,28.58,29.0,28.54,28.69,994400
2006-11-06,28.83,29.28,28.78,29.049999,1401600
2006-11-07,29.059999,29.9,29.01,29.4,1524800
2006-11-08,29.32,29.69,29.049999,29.42,1441200
2006-11-09,30.14,30.5,29.38,29.8,2111500
2006-11-10,29.98,30.08,29.45,29.8,692800
2006-11-13,29.82,30.13,29.8,30.0,847000
2006-11-14,30.2,30.5,29.91,30.38,1180200
2006-11-15,29.0,29.39,28.5,29.12,5127800
2006-11-16,29.12,29.19,28.7,29.12,1843700
2006-11-17,28.99,29.13,28.64,28.75,1267100
2006-11-20,28.75,29.19,28.65,28.99,1497600
2006-11-21,29.14,29.25,28.92,29.049999,1181100
2006-11-22,29.0,29.22,28.93,29.15,1137100
2006-11-24,29.1,29.39,29.0,29.16,683000
2006-11-27,29.11,29.24,27.68,28.08,2601300
2006-11-28,28.08,28.5,27.89,28.25,2315800
2006-11-29,28.47,28.88,28.19,28.61,1249300
2006-11-30,27.8,28.73,27.8,28.36,995500
2006-12-01,28.5,28.94,28.26,28.68,1268200
2006-12-04,28.8,29.33,28.69,29.11,1389800
2006-12-05,29.12,29.48,28.94,29.18,1065500
2006-12-06,29.0,29.23,28.64,28.77,942300
2006-12-07,29.049999,29.11,28.74,28.83,1021100
2006-12-08,28.82,28.91,28.38,28.43,1328800
2006-12-11,28.32,28.35,27.69,27.77,2555300
2006-12-12,27.46,27.6,27.19,27.52,2979300
2006-12-13,27.62,27.75,27.36,27.57,2878100
2006-12-14,27.66,28.14,27.41,27.49,4898800
2006-12-15,27.5,27.8,27.25,27.3,2783100
2006-12-18,27.43,27.69,27.17,27.27,1667100
2006-12-19,27.12,27.25,26.77,27.040001,2324900
2006-12-20,27.09,27.22,26.55,26.56,3194700
2006-12-21,24.1,24.7,23.4,24.12,12490400
2006-12-22,23.93,24.4,23.9,24.15,4734100
2006-12-26,24.2,24.41,24.16,24.27,2194900
2006-12-27,24.24,24.4,24.07,24.33,2111200
2006-12-28,24.23,24.35,24.09,24.32,1546900
2006-12-29,24.35,24.66,24.34,24.55,2242600
2007-01-03,24.79,25.39,24.76,24.98,4130500
2007-01-04,24.74,25.27,24.64,25.23,3115000
2007-01-05,25.15,25.15,24.75,25.030001,3708900
2007-01-08,25.030001,25.15,24.92,25.040001,1879300
2007-01-09,25.059999,25.16,24.44,24.64,2163200
2007-01-10,24.47,24.63,24.26,24.48,2034300
2007-01-11,24.58,24.71,24.39,24.45,2002900
2007-01-12,24.36,25.11,24.26,24.92,3051400
2007-01-16,25.15,25.45,25.0,25.08,2785700
2007-01-17,25.1,25.51,24.67,24.81,2314000
2007-01-18,24.77,24.8,24.32,24.47,1891500
2007-01-19,24.59,24.59,24.18,24.21,2354500
2007-01-22,24.1,24.18,23.94,23.98,2158300
2007-01-23,24.07,24.26,23.87,24.17,2023300
2007-01-24,24.22,24.49,24.040001,24.29,2490100
2007-01-25,24.31,24.61,24.16,24.41,2014000
2007-01-26,24.38,24.73,24.18,24.61,1941100
2007-01-29,24.61,24.64,23.85,23.95,2615600
2007-01-30,23.97,24.09,23.45,23.82,2406400
2007-01-31,23.86,24.08,23.58,23.99,2481100
2007-02-01,23.99,24.34,23.95,24.24,2644900
2007-02-02,24.24,24.57,24.030001,24.47,1988100
2007-02-05,24.52,24.61,24.21,24.47,2484000
2007-02-06,24.63,24.82,24.36,24.77,2139700
2007-02-07,24.94,25.56,24.8,25.51,3182100
2007-02-08,25.5,25.8,25.18,25.7,2441100
2007-02-09,25.83,26.22,25.72,25.87,2840800
2007-02-12,26.1,26.63,25.93,26.08,1531700
2007-02-13,26.1,26.25,25.9,26.030001,2614600
2007-02-14,26.16,26.64,26.13,26.39,1496500
2007-02-15,27.0,27.29,25.6,26.89,1554200
2007-02-16,26.4,26.78,26.0,26.49,1877000
2007-02-20,26.39,26.53,26.1,26.34,1559800
2007-02-21,26.3,26.9,26.27,26.84,1558600
2007-02-22,27.0,27.45,26.9,27.35,2617800
2007-02-23,27.41,27.83,27.31,27.64,1860800
2007-02-26,27.85,27.86,27.28,27.45,2500400
2007-02-27,27.07,27.23,26.38,26.7,2807100
2007-02-28,26.7,27.030001,26.38,26.72,2861300
2007-03-01,26.41,26.85,26.16,26.52,2790200
2007-03-02,26.37,26.55,26.19,26.35,2749400
2007-03-05,26.35,26.8,26.19,26.45,3042500
2007-03-06,26.67,26.82,26.18,26.51,2176500
2007-03-07,26.52,26.75,25.83,25.9,3348100
2007-03-08,26.21,26.66,26.07,26.54,2223200
2007-03-09,26.7,26.79,26.13,26.29,2077200
2007-03-12,26.13,26.3,25.88,25.94,2310200
2007-03-13,25.8,25.98,25.5,25.52,2190500
2007-03-14,25.0,26.31,25.0,26.2,2356300
2007-03-15,26.14,26.41,25.87,26.3,1954700
2007-03-16,26.3,26.46,25.95,26.09,1404700
2007-03-19,26.26,26.6,25.87,25.94,1820100
2007-03-20,26.0,26.059999,25.73,25.79,1903000
2007-03-21,25.71,26.18,25.51,26.0,2438100
2007-03-22,26.01,26.1,24.85,24.93,5825800
2007-03-23,22.61,22.8,21.86,22.26,17175900
2007-03-26,22.2,22.3,21.79,22.1,4758200
2007-03-27,21.98,22.43,21.94,22.24,4703500
2007-03-28,22.09,22.26,21.9,22.040001,3637100
2007-03-29,22.049999,22.059999,21.1,21.39,4900400
2007-03-30,21.51,21.82,21.18,21.41,3179100
2007-04-02,21.44,21.55,21.2,21.35,2667700
2007-04-03,21.35,21.6,21.3,21.48,2166200
2007-04-04,21.5,21.58,21.17,21.39,2245500
2007-04-05,21.39,21.64,21.27,21.33,1389700
2007-04-09,21.34,21.49,21.22,21.25,1279200
2007-04-10,21.17,21.4,21.07,21.35,1489300
2007-04-11,21.26,21.66,21.11,21.46,2956000
2007-04-12,21.0,21.59,21.0,21.53,1987900
2007-04-13,21.02,21.92,21.02,21.85,3362700
2007-04-16,21.57,22.58,21.57,22.37,3751300
2007-04-17,22.34,22.37,22.09,22.12,1514300
2007-04-18,22.11,22.47,22.11,22.31,1544800
2007-04-19,23.21,23.25,22.16,22.5,1706900
2007-04-20,22.71,22.81,22.5,22.81,2073100
2007-04-23,22.81,23.08,22.61,23.0,1762100
2007-04-24,23.0,23.42,23.0,23.15,3563200
2007-04-25,23.4,23.5,23.21,23.36,2176000
2007-04-26,23.4,24.1,23.22,23.92,3309100
2007-04-27,23.84,23.98,23.4,23.6,1885100
2007-04-30,23.71,23.8,23.16,23.3,1924400
2007-05-01,23.31,23.49,23.0,23.42,1494900
2007-05-02,23.5,24.0,23.15,23.74,1358500
2007-05-03,23.85,24.33,23.75,24.2,1686100
2007-05-04,24.35,24.36,23.62,23.87,2445000
2007-05-07,23.92,24.12,23.63,23.69,1178400
2007-05-08,23.54,24.12,23.49,24.07,1417600
2007-05-09,23.91,24.07,23.43,23.95,1319000
2007-05-10,23.9,23.95,23.08,23.14,2052600
2007-05-11,23.24,23.44,22.94,23.4,1409400
2007-05-14,23.37,23.5,22.99,23.15,921200
2007-05-15,23.14,23.32,22.79,22.84,1095400
2007-05-16,22.85,22.94,22.69,22.8,1988200
2007-05-17,22.63,22.74,22.42,22.48,2365000
2007-05-18,22.6,22.8,22.44,22.57,2678800
2007-05-21,22.7,22.74,22.52,22.61,3145000
2007-05-22,22.59,23.3,22.56,23.18,1997400
2007-05-23,23.26,23.77,23.16,23.46,2310700
2007-05-24,22.52,23.42,22.32,22.99,5388700
2007-05-25,23.14,23.68,22.86,23.12,3714100
2007-05-29,23.23,23.31,22.74,22.86,3542600
2007-05-30,22.7,23.11,22.48,23.040001,3035200
2007-05-31,23.030001,23.25,22.77,23.0,2390000
2007-06-01,22.78,22.95,22.42,22.61,2761100
2007-06-04,22.61,22.73,22.19,22.25,4155100
2007-06-05,22.08,22.38,21.52,21.62,3997400
2007-06-06,21.48,21.58,20.87,21.0,4802300
2007-06-07,20.93,21.14,20.39,20.45,4984500
2007-06-08,20.47,20.69,20.36,20.53,4689700
2007-06-11,20.5,20.59,20.32,20.38,3301800
2007-06-12,20.35,20.35,20.040001,20.07,2593100
2007-06-13,20.14,20.34,19.95,20.2,2026300
2007-06-14,20.31,20.5,20.07,20.28,4103800
2007-06-15,20.35,20.6,20.26,20.58,2528400
2007-06-18,20.53,20.72,20.32,20.33,1586800
2007-06-19,20.21,20.4,20.11,20.16,2129200
2007-06-20,20.31,20.97,20.28,20.63,3486400
2007-06-21,20.61,21.29,20.57,21.2,4690200
2007-06-22,23.5,23.84,23.0,23.13,11047200
2007-06-25,23.15,23.18,22.73,22.87,4020000
2007-06-26,22.88,23.12,22.5,22.67,2394800
2007-06-27,22.47,22.68,22.38,22.68,2516500
2007-06-28,22.57,22.89,22.45,22.52,2022700
2007-06-29,23.0,23.030001,22.02,22.07,2767100
2007-07-02,22.07,22.3,21.91,22.16,2279900
2007-07-03,22.17,22.4,22.16,22.37,740400
2007-07-05,22.3,22.44,22.059999,22.21,1885800
2007-07-06,22.15,22.46,22.07,22.31,1727100
2007-07-09,22.2,22.35,22.049999,22.22,1327300
2007-07-10,22.13,23.64,22.11,23.31,4689900
2007-07-11,23.25,24.2,23.23,23.83,5346200
2007-07-12,23.78,24.01,23.35,24.0,4439400
2007-07-13,24.030001,24.88,23.93,24.81,5387800
2007-07-16,24.75,25.059999,24.33,24.69,4781100
2007-07-17,24.69,25.27,24.57,24.83,3140200
2007-07-18,24.73,24.83,24.26,24.52,2959800
2007-07-19,24.5,24.94,24.45,24.73,1706000
2007-07-20,24.71,24.8,24.31,24.47,2086700
2007-07-23,24.55,24.7,24.07,24.12,1631900
2007-07-24,23.92,24.33,23.53,23.61,2747400
2007-07-25,23.55,23.84,23.44,23.59,2205600
2007-07-26,23.31,23.77,22.75,23.12,2869000
2007-07-27,23.12,23.33,22.68,22.69,2137100
2007-07-30,22.63,23.23,22.56,23.07,1524800
2007-07-31,23.21,23.35,22.47,22.53,1789700
2007-08-01,23.4,23.4,22.15,22.65,1916900
2007-08-02,22.75,22.93,22.26,22.68,1482500
2007-08-03,22.74,22.95,21.87,21.89,1588000
2007-08-06,21.62,22.030001,21.58,22.030001,1799400
2007-08-07,21.88,22.08,20.86,21.34,3140800
2007-08-08,21.64,23.39,21.5,22.91,4460400
2007-08-09,22.6,24.25,22.41,23.45,4379200
2007-08-10,23.39,24.28,23.25,24.08,2927600
2007-08-13,23.86,24.1,23.34,23.91,2501500
2007-08-14,24.0,24.0,23.39,23.53,2035900
2007-08-15,23.58,23.85,23.22,23.26,1687400
2007-08-16,23.07,23.28,22.27,22.74,2403400
2007-08-17,23.24,23.25,21.62,22.42,4004500
2007-08-20,22.37,22.97,22.24,22.44,1924300
2007-08-21,22.34,22.38,21.85,21.94,1900600
